gi|493613085|ref|WP_006565388.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Anaerostipes] 
gi|493615076|ref|WP_006567337.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615077|ref|WP_006567338.1|	MULTISPECIES: hydrolase [Anaerostipes] 
gi|493615078|ref|WP_006567339.1|	acetyltransferase [Anaerostipes caccae] 
gi|493615079|ref|WP_006567340.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615080|ref|WP_006567341.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615081|ref|WP_006567342.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615082|ref|WP_006567343.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615083|ref|WP_006567344.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615084|ref|WP_006567345.1|	prevent-host-death protein [Anaerostipes caccae] 
gi|493615085|ref|WP_006567346.1|	toxin Fic [Anaerostipes caccae] 
gi|493615087|ref|WP_006567347.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615088|ref|WP_006567348.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615089|ref|WP_006567349.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615090|ref|WP_006567350.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615091|ref|WP_006567351.1|	MULTISPECIES: ATPase AAA [Anaerostipes] 
gi|493615092|ref|WP_006567352.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615093|ref|WP_006567353.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615094|ref|WP_006567354.1|	RNA polymerase sigma factor RpoD [Anaerostipes caccae] 
gi|493615095|ref|WP_006567355.1|	DNA primase [Anaerostipes caccae] 
gi|493615096|ref|WP_006567356.1|	MULTISPECIES: deoxyguanosinetriphosphate triphosphohydrolase [Anaerostipes] 
gi|493615097|ref|WP_006567357.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615098|ref|WP_006567358.1|	MULTISPECIES: UDP-diphosphatase [Anaerostipes] 
gi|493615099|ref|WP_006567359.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615100|ref|WP_006567360.1|	MULTISPECIES: guanylate kinase [Anaerostipes] 
gi|493615101|ref|WP_006567361.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615102|ref|WP_006567362.1|	MULTISPECIES: endonuclease [Anaerostipes] 
gi|493615103|ref|WP_006567363.1|	MULTISPECIES: pseudouridine synthase [Anaerostipes] 
gi|493615104|ref|WP_006567364.1|	MULTISPECIES: short-chain dehydrogenase [Anaerostipes] 
gi|493615105|ref|WP_006567365.1|	HAD family hydrolase [Anaerostipes caccae] 
gi|493615106|ref|WP_006567366.1|	RNA pseudouridine synthase [Anaerostipes caccae] 
gi|493615107|ref|WP_006567367.1|	MULTISPECIES: SAM-dependent methyltransferase [Anaerostipes] 
gi|493615108|ref|WP_006567368.1|	MULTISPECIES: GTP pyrophosphokinase [Clostridiales] 
gi|493615109|ref|WP_006567369.1|	MULTISPECIES: 3-oxoacyl-ACP synthase [Clostridiales] 
gi|493615110|ref|WP_006567370.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615111|ref|WP_006567371.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615112|ref|WP_006567372.1|	MULTISPECIES: shikimate 5-dehydrogenase [Anaerostipes] 
gi|493615113|ref|WP_006567373.1|	MULTISPECIES: UDP-N-acetylmuramyl peptide synthase [Anaerostipes] 
gi|493615114|ref|WP_006567374.1|	diaminopimelate epimerase [Anaerostipes caccae] 
gi|493615115|ref|WP_006567375.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615116|ref|WP_006567376.1|	MULTISPECIES: AraC family transcriptional regulator [Anaerostipes] 
gi|493615117|ref|WP_006567377.1|	MULTISPECIES: alpha-galactosidase [Clostridiales] 
gi|493615118|ref|WP_006567378.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615119|ref|WP_006567379.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615120|ref|WP_006567380.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493615121|ref|WP_006567381.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615122|ref|WP_006567382.1|	MULTISPECIES: multidrug transporter MatE [Anaerostipes] 
gi|493615123|ref|WP_006567383.1|	aminotransferase [Anaerostipes caccae] 
gi|493615124|ref|WP_006567384.1|	MULTISPECIES: glycerol-3-phosphate dehydrogenase [Clostridiales] 
gi|493615125|ref|WP_006567385.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615126|ref|WP_006567386.1|	MULTISPECIES: GTP-binding protein Der [Clostridiales] 
gi|493615127|ref|WP_006567387.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615128|ref|WP_006567388.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615129|ref|WP_006567389.1|	ribonuclease HII [Anaerostipes caccae] 
gi|493615130|ref|WP_006567390.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615131|ref|WP_006567391.1|	GTPase YlqF [Anaerostipes caccae] 
gi|493615132|ref|WP_006567392.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615133|ref|WP_006567393.1|	MULTISPECIES: 50S ribosomal protein L19 [Clostridiales] 
gi|493615134|ref|WP_006567394.1|	MULTISPECIES: tRNA (guanine-N1)-methyltransferase [Anaerostipes] 
gi|493615135|ref|WP_006567395.1|	MULTISPECIES: 16S rRNA-processing protein RimM [Clostridiales] 
gi|493615136|ref|WP_006567396.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615137|ref|WP_006567397.1|	XRE family transcriptional regulator [Anaerostipes caccae] 
gi|493615138|ref|WP_006567398.1|	bacitracin ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493615139|ref|WP_006567399.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615140|ref|WP_006567400.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615141|ref|WP_006567401.1|	histidine kinase [Anaerostipes caccae] 
gi|493615142|ref|WP_006567402.1|	1,4-alpha-glucan branching protein [Anaerostipes caccae] 
gi|493615143|ref|WP_006567403.1|	RNA polymerase subunit sigma-24 [Anaerostipes caccae] 
gi|493615144|ref|WP_006567404.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615146|ref|WP_006567405.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493615147|ref|WP_006567406.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615148|ref|WP_006567407.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615149|ref|WP_006567408.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615150|ref|WP_006567409.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615151|ref|WP_006567410.1|	transketolase [Anaerostipes caccae] 
gi|493615152|ref|WP_006567411.1|	carbohydrate degradation protein [Anaerostipes caccae] 
gi|493615153|ref|WP_006567412.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615154|ref|WP_006567413.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615155|ref|WP_006567414.1|	aspartyl-tRNA synthetase [Anaerostipes caccae] 
gi|493615157|ref|WP_006567415.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615158|ref|WP_006567416.1|	diguanylate cyclase [Anaerostipes caccae] 
gi|493615159|ref|WP_006567417.1|	transcriptional regulator [Anaerostipes caccae] 
gi|493615160|ref|WP_006567418.1|	cobalt ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493615161|ref|WP_006567419.1|	cobalt ABC transporter permease [Anaerostipes caccae] 
gi|493615162|ref|WP_006567420.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615163|ref|WP_006567421.1|	asparagine synthase [Anaerostipes caccae] 
gi|493615164|ref|WP_006567422.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615165|ref|WP_006567423.1|	MULTISPECIES: 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [Anaerostipes] 
gi|493615166|ref|WP_006567424.1|	glycerol kinase [Anaerostipes caccae] 
gi|493615167|ref|WP_006567425.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615168|ref|WP_006567426.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615169|ref|WP_006567427.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615170|ref|WP_006567428.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615171|ref|WP_006567429.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615172|ref|WP_006567430.1|	MarR family transcriptional regulator [Anaerostipes caccae] 
gi|493615173|ref|WP_006567431.1|	phosphoesterase [Anaerostipes caccae] 
gi|493615174|ref|WP_006567432.1|	aldo/keto reductase [Anaerostipes caccae] 
gi|493615175|ref|WP_006567433.1|	L-sorbose 1-phosphate reductase [Anaerostipes caccae] 
gi|493615176|ref|WP_006567434.1|	MULTISPECIES: fructose transporter [Anaerostipes] 
gi|493615177|ref|WP_006567435.1|	DeoR family transcriptional regulator [Anaerostipes caccae] 
gi|493615178|ref|WP_006567436.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615179|ref|WP_006567437.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493615180|ref|WP_006567438.1|	MULTISPECIES: PTS galactitol transporter subunit IIC [Anaerostipes] 
gi|493615181|ref|WP_006567439.1|	1-phosphofructokinase [Anaerostipes caccae] 
gi|493615182|ref|WP_006567440.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615183|ref|WP_006567441.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615184|ref|WP_006567442.1|	MULTISPECIES: RpiR family transcriptional regulator [Anaerostipes] 
gi|493615185|ref|WP_006567443.1|	fructose-bisphosphate aldolase [Anaerostipes caccae] 
gi|493615186|ref|WP_006567444.1|	MULTISPECIES: serine dehydratase [Anaerostipes] 
gi|493615187|ref|WP_006567445.1|	MULTISPECIES: serine dehydratase [Anaerostipes] 
gi|493615188|ref|WP_006567446.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615189|ref|WP_006567447.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615190|ref|WP_006567448.1|	MULTISPECIES: alcohol dehydrogenase [Anaerostipes] 
gi|493615191|ref|WP_006567449.1|	MULTISPECIES: PTS mannose transporter subunit IIB [Clostridiales] 
gi|493615192|ref|WP_006567450.1|	MULTISPECIES: sugar isomerase [Anaerostipes] 
gi|493615193|ref|WP_006567451.1|	MULTISPECIES: allulose-6-phosphate 3-epimerase [Anaerostipes] 
gi|493615194|ref|WP_006567452.1|	alcohol dehydrogenase [Anaerostipes caccae] 
gi|493615195|ref|WP_006567453.1|	MULTISPECIES: PTS fructose transporter subunit IIA [Anaerostipes] 
gi|493615196|ref|WP_006567454.1|	MULTISPECIES: PTS mannose transporter subunit IICD [Anaerostipes] 
gi|493615197|ref|WP_006567455.1|	MULTISPECIES: PTS ascorbate transporter subunit IIC [Anaerostipes] 
gi|493615198|ref|WP_006567456.1|	MULTISPECIES: PTS lactose transporter subunit IIB [Anaerostipes] 
gi|493615199|ref|WP_006567457.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615200|ref|WP_006567458.1|	MULTISPECIES: transcriptional regulator [Anaerostipes] 
gi|493615201|ref|WP_006567459.1|	MULTISPECIES: deoxyribose-phosphate aldolase [Anaerostipes] 
gi|493615202|ref|WP_006567460.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493615203|ref|WP_006567461.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615204|ref|WP_006567462.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615205|ref|WP_006567463.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615206|ref|WP_006567464.1|	diaminopimelate decarboxylase [Anaerostipes caccae] 
gi|493615207|ref|WP_006567465.1|	TrmB family transcriptional regulator [Anaerostipes caccae] 
gi|493615208|ref|WP_006567466.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615209|ref|WP_006567467.1|	MULTISPECIES: fructose-bisphosphate aldolase [Anaerostipes] 
gi|493615210|ref|WP_006567468.1|	branched-chain amino acid transporter AzlD [Anaerostipes caccae] 
gi|493615211|ref|WP_006567469.1|	MULTISPECIES: branched-chain amino acid permease [Anaerostipes] 
gi|493615212|ref|WP_006567470.1|	homocysteine methyltransferase [Anaerostipes caccae] 
gi|493615214|ref|WP_006567471.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615215|ref|WP_006567472.1|	MULTISPECIES: 5,10-methylenetetrahydrofolate reductase [Anaerostipes] 
gi|493615216|ref|WP_006567473.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615217|ref|WP_006567474.1|	MULTISPECIES: O-acetylhomoserine aminocarboxypropyltransferase [Anaerostipes] 
gi|493615218|ref|WP_006567475.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615219|ref|WP_006567476.1|	diguanylate phosphodiesterase [Anaerostipes caccae] 
gi|493615220|ref|WP_006567477.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615221|ref|WP_006567478.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615222|ref|WP_006567479.1|	MULTISPECIES: acetyltransferase [Anaerostipes] 
gi|493615223|ref|WP_006567480.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615224|ref|WP_006567481.1|	PAP2 family phosphoesterase [Anaerostipes caccae] 
gi|493615225|ref|WP_006567482.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615226|ref|WP_006567483.1|	glutamate racemase [Anaerostipes caccae] 
gi|493615227|ref|WP_006567484.1|	MULTISPECIES: D-alanine--D-alanine ligase [Anaerostipes] 
gi|493615228|ref|WP_006567485.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615229|ref|WP_006567486.1|	polynucleotide adenylyltransferase [Anaerostipes caccae] 
gi|493615230|ref|WP_006567487.1|	prolyl-tRNA synthetase [Anaerostipes caccae] 
gi|493615231|ref|WP_006567488.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615232|ref|WP_006567489.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615233|ref|WP_006567490.1|	tRNA methyltransferase [Anaerostipes caccae] 
gi|493615234|ref|WP_006567491.1|	aminotransferase [Anaerostipes caccae] 
gi|493615235|ref|WP_006567492.1|	AsnC family transcriptional regulator [Anaerostipes caccae] 
gi|493615236|ref|WP_006567493.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615237|ref|WP_006567494.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615238|ref|WP_006567495.1|	exonuclease [Anaerostipes caccae] 
gi|493615239|ref|WP_006567496.1|	endonuclease III [Anaerostipes caccae] 
gi|493615240|ref|WP_006567497.1|	MULTISPECIES: 4-alpha-glucanotransferase [Anaerostipes] 
gi|493615241|ref|WP_006567498.1|	MULTISPECIES: TetR family transcriptional regulator [Anaerostipes] 
gi|493615242|ref|WP_006567499.1|	ankyrin [Anaerostipes caccae] 
gi|493615243|ref|WP_006567500.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615244|ref|WP_006567501.1|	MULTISPECIES: sodium transporter [Anaerostipes] 
gi|493615245|ref|WP_006567502.1|	MULTISPECIES: MarR family transcripitonal regulator [Anaerostipes] 
gi|493615246|ref|WP_006567503.1|	malate dehydrogenase [Anaerostipes caccae] 
gi|493615247|ref|WP_006567504.1|	MULTISPECIES: N-acetyltransferase GCN5 [Anaerostipes] 
gi|493615248|ref|WP_006567505.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615249|ref|WP_006567506.1|	cyclic nucleotide-binding protein [Anaerostipes caccae] 
gi|493615250|ref|WP_006567507.1|	(Fe-S)-binding protein [Anaerostipes caccae] 
gi|493615251|ref|WP_006567508.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615252|ref|WP_006567509.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615253|ref|WP_006567510.1|	membrane protein [Anaerostipes caccae] 
gi|493615254|ref|WP_006567511.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615255|ref|WP_006567512.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615256|ref|WP_006567513.1|	MULTISPECIES: DNA methyltransferase [Anaerostipes] 
gi|493615257|ref|WP_006567514.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615258|ref|WP_006567515.1|	CAAX amino terminal protease [Anaerostipes caccae] 
gi|493615259|ref|WP_006567516.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615260|ref|WP_006567517.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615261|ref|WP_006567518.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615262|ref|WP_006567519.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615263|ref|WP_006567520.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615264|ref|WP_006567521.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615265|ref|WP_006567522.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615266|ref|WP_006567523.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615267|ref|WP_006567524.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615268|ref|WP_006567525.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615269|ref|WP_006567526.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615270|ref|WP_006567527.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615271|ref|WP_006567528.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615272|ref|WP_006567529.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615273|ref|WP_006567530.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615274|ref|WP_006567531.1|	multidrug transporter MatE [Anaerostipes caccae] 
gi|493615275|ref|WP_006567532.1|	sodium:dicarboxylate symporter [Anaerostipes caccae] 
gi|493615276|ref|WP_006567533.1|	cell division protein FtsH [Anaerostipes caccae] 
gi|493615277|ref|WP_006567534.1|	hypoxanthine phosphoribosyltransferase [Anaerostipes caccae] 
gi|493615278|ref|WP_006567535.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615279|ref|WP_006567536.1|	stage II sporulation protein E [Anaerostipes caccae] 
gi|493615280|ref|WP_006567537.1|	Crp/Fnr family transcriptional regulator [Anaerostipes caccae] 
gi|493615281|ref|WP_006567538.1|	CoA-disulfide reductase [Anaerostipes caccae] 
gi|493615282|ref|WP_006567539.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615283|ref|WP_006567540.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615284|ref|WP_006567541.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615285|ref|WP_006567542.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615286|ref|WP_006567543.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615287|ref|WP_006567544.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615288|ref|WP_006567545.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615289|ref|WP_006567546.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615290|ref|WP_006567547.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615291|ref|WP_006567548.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615292|ref|WP_006567549.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615293|ref|WP_006567550.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615294|ref|WP_006567551.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615295|ref|WP_006567552.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615296|ref|WP_006567553.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615297|ref|WP_006567554.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615298|ref|WP_006567555.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615299|ref|WP_006567556.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615300|ref|WP_006567557.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615301|ref|WP_006567558.1|	MULTISPECIES: deoxyribose-phosphate aldolase [Anaerostipes] 
gi|493615302|ref|WP_006567559.1|	MULTISPECIES: iron ABC transporter substrate-binding protein [Anaerostipes] 
gi|493615303|ref|WP_006567560.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615304|ref|WP_006567561.1|	PTS beta-glucoside transporter subunit IIBC [Anaerostipes caccae] 
gi|493615305|ref|WP_006567562.1|	MULTISPECIES: PTS ascorbate transporter subunit IIB [Clostridiales] 
gi|493615306|ref|WP_006567563.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493615307|ref|WP_006567564.1|	transcriptional antiterminator [Anaerostipes caccae] 
gi|493615308|ref|WP_006567565.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615309|ref|WP_006567566.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615310|ref|WP_006567567.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615311|ref|WP_006567568.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615312|ref|WP_006567569.1|	MULTISPECIES: DNA-binding protein [Clostridiales] 
gi|493615313|ref|WP_006567570.1|	MULTISPECIES: nucleotide pyrophosphohydrolase [Anaerostipes] 
gi|493615314|ref|WP_006567571.1|	RNA-binding protein [Anaerostipes caccae] 
gi|493615315|ref|WP_006567572.1|	MULTISPECIES: CAAX amino terminal protease [Anaerostipes] 
gi|493615316|ref|WP_006567573.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615317|ref|WP_006567574.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615318|ref|WP_006567575.1|	MULTISPECIES: sortase [Anaerostipes] 
gi|493615320|ref|WP_006567576.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615321|ref|WP_006567577.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615322|ref|WP_006567578.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615323|ref|WP_006567579.1|	MULTISPECIES: ABC transporter [Anaerostipes] 
gi|493615324|ref|WP_006567580.1|	bacitracin ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493615325|ref|WP_006567581.1|	LytTR family transcriptional regulator [Anaerostipes caccae] 
gi|493615326|ref|WP_006567582.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615327|ref|WP_006567583.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615328|ref|WP_006567584.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615329|ref|WP_006567585.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615330|ref|WP_006567586.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615331|ref|WP_006567587.1|	inosose dehydratase [Anaerostipes caccae] 
gi|493615332|ref|WP_006567588.1|	hisitidine kinase [Anaerostipes caccae] 
gi|493615333|ref|WP_006567589.1|	histidine kinase [Anaerostipes caccae] 
gi|493615334|ref|WP_006567590.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615335|ref|WP_006567591.1|	myo-inositol 2-dehydrogenase [Anaerostipes caccae] 
gi|493615336|ref|WP_006567592.1|	MULTISPECIES: ribose ABC transporter substrate-binding protein [Anaerostipes] 
gi|493615337|ref|WP_006567593.1|	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Anaerostipes] 
gi|493615338|ref|WP_006567594.1|	MULTISPECIES: thioredoxin [Anaerostipes] 
gi|493615339|ref|WP_006567595.1|	MULTISPECIES: tRNA (guanine-N(7)-)-methyltransferase [Anaerostipes] 
gi|493615340|ref|WP_006567596.1|	adenylate cyclase [Anaerostipes caccae] 
gi|493615341|ref|WP_006567597.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615342|ref|WP_006567598.1|	MULTISPECIES: F0F1 ATP synthase subunit epsilon [Anaerostipes] 
gi|493615343|ref|WP_006567599.1|	MULTISPECIES: F0F1 ATP synthase subunit beta [Anaerostipes] 
gi|493615344|ref|WP_006567600.1|	ATP synthase F1 subunit gamma [Anaerostipes caccae] 
gi|493615345|ref|WP_006567601.1|	MULTISPECIES: F0F1 ATP synthase subunit alpha [Anaerostipes] 
gi|493615346|ref|WP_006567602.1|	ATP synthase subunit delta [Anaerostipes caccae] 
gi|493615347|ref|WP_006567603.1|	ATP synthase F0 subunit B [Anaerostipes caccae] 
gi|493615348|ref|WP_006567604.1|	MULTISPECIES: F0F1 ATP synthase subunit C [Anaerostipes] 
gi|493615349|ref|WP_006567605.1|	ATP synthase F0 subunit A [Anaerostipes caccae] 
gi|493615350|ref|WP_006567606.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615351|ref|WP_006567607.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615352|ref|WP_006567608.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615353|ref|WP_006567609.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615355|ref|WP_006567610.1|	tRNA threonylcarbamoyladenosine biosynthesis protein [Anaerostipes caccae] 
gi|493615356|ref|WP_006567611.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615357|ref|WP_006567612.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615358|ref|WP_006567613.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Anaerostipes] 
gi|493615359|ref|WP_006567614.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615360|ref|WP_006567615.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615361|ref|WP_006567616.1|	oxidoreductase [Anaerostipes caccae] 
gi|493615362|ref|WP_006567617.1|	sugar transporter [Anaerostipes caccae] 
gi|493615363|ref|WP_006567618.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615364|ref|WP_006567619.1|	cytochrome C4 [Anaerostipes caccae] 
gi|493615365|ref|WP_006567620.1|	dihydroxyacetone kinase subunit K [Anaerostipes caccae] 
gi|493615366|ref|WP_006567621.1|	aldolase [Anaerostipes caccae] 
gi|493615367|ref|WP_006567622.1|	transcriptional antiterminator [Anaerostipes caccae] 
gi|493615368|ref|WP_006567623.1|	dihydroxyacetone kinase subunit K [Anaerostipes caccae] 
gi|493615369|ref|WP_006567624.1|	PTS galactitol transporter subunit IIC [Anaerostipes caccae] 
gi|493615370|ref|WP_006567625.1|	MULTISPECIES: PTS galactitol transporter subunit IIB [Clostridiales] 
gi|493615371|ref|WP_006567626.1|	PTS sugar transporter subunit IIA [Anaerostipes caccae] 
gi|493615372|ref|WP_006567627.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615373|ref|WP_006567628.1|	MULTISPECIES: ferredoxin [Clostridiales] 
gi|493615374|ref|WP_006567629.1|	MULTISPECIES: MerR family transcripitonal regulator [Anaerostipes] 
gi|493615375|ref|WP_006567630.1|	MULTISPECIES: replicative DNA helicase [Anaerostipes] 
gi|493615376|ref|WP_006567631.1|	50S ribosomal protein L9 [Anaerostipes caccae] 
gi|493615377|ref|WP_006567632.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615378|ref|WP_006567633.1|	MULTISPECIES: 30S ribosomal protein S18 [Clostridiales] 
gi|493615379|ref|WP_006567634.1|	MULTISPECIES: single-stranded DNA-binding protein [Clostridiales] 
gi|493615380|ref|WP_006567635.1|	MULTISPECIES: 30S ribosomal protein S6 [Anaerostipes] 
gi|493615381|ref|WP_006567636.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615382|ref|WP_006567637.1|	MULTISPECIES: peptidyl-prolyl cis-trans isomerase [Anaerostipes] 
gi|493615383|ref|WP_006567638.1|	MULTISPECIES: transcription-repair coupling factor [Anaerostipes] 
gi|493615384|ref|WP_006567639.1|	MULTISPECIES: peptidyl-tRNA hydrolase [Anaerostipes] 
gi|493615385|ref|WP_006567640.1|	MULTISPECIES: 3-deoxy-7-phosphoheptulonate synthase [Anaerostipes] 
