WP_002322728.1	MULTISPECIES: excisionase [Firmicutes] 
WP_007286814.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286815.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286816.1	membrane protein [Intestinibacter bartlettii] 
WP_007286817.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286818.1	MFS transporter [Intestinibacter bartlettii] 
WP_007286819.1	NADH dehydrogenase [Intestinibacter bartlettii] 
WP_007286820.1	NADH dehydrogenase [Intestinibacter bartlettii] 
WP_007286821.1	NADH:ubiquinone oxidoreductase [Intestinibacter bartlettii] 
WP_007286822.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286823.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286824.1	serine hydrolase [Intestinibacter bartlettii] 
WP_007286826.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286828.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286831.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286836.1	MULTISPECIES: RNA polymerase sigma factor RpoD [Clostridiales] 
WP_007286837.1	MULTISPECIES: SAM-dependent methyltransferase [Clostridiales] 
WP_007286838.1	Nif3-like dinuclear metal center hexameric protein [Intestinibacter bartlettii] 
WP_007286839.1	tryptophan transporter [Intestinibacter bartlettii] 
WP_007286842.1	MULTISPECIES: alanine racemase [Clostridiales] 
WP_007286844.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286845.1	GNAT family N-acetyltransferase [Intestinibacter bartlettii] 
WP_007286847.1	glutamyl-tRNA(Gln) amidotransferase [Intestinibacter bartlettii] 
WP_007286848.1	aspartyl/glutamyl-tRNA amidotransferase subunit A [Intestinibacter bartlettii] 
WP_007286849.1	aspartyl/glutamyl-tRNA amidotransferase subunit B [Intestinibacter bartlettii] 
WP_007286851.1	cardiolipin synthase [Intestinibacter bartlettii] 
WP_007286853.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286860.1	chemical-damaging agent resistance protein C [Intestinibacter bartlettii] 
WP_007286861.1	stress protein [Intestinibacter bartlettii] 
WP_007286862.1	calcium-transporting ATPase [Intestinibacter bartlettii] 
WP_007286863.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286864.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286865.1	ATP-binding protein [Intestinibacter bartlettii] 
WP_007286866.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286870.1	MULTISPECIES: DUF2992 domain-containing protein [Clostridiales] 
WP_007286871.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286872.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286873.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286874.1	sortase [Intestinibacter bartlettii] 
WP_007286875.1	heme ABC transporter substrate-binding protein IsdE [Intestinibacter bartlettii] 
WP_007286876.1	ferrichrome ABC transporter [Intestinibacter bartlettii] 
WP_007286877.1	iron ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007286878.1	membrane protein [Intestinibacter bartlettii] 
WP_007286879.1	cysteine ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007286880.1	ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007286881.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286882.1	TSCPD domain-containing protein [Intestinibacter bartlettii] 
WP_007286883.1	tyrosine--tRNA ligase [Intestinibacter bartlettii] 
WP_007286884.1	lipoate--protein ligase A [Intestinibacter bartlettii] 
WP_007286886.1	sodium:proton antiporter [Intestinibacter bartlettii] 
WP_007286887.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286888.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286889.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286890.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286891.1	MULTISPECIES: DNA-binding response regulator [Clostridiales] 
WP_007286892.1	MULTISPECIES: two-component sensor histidine kinase [Clostridiales] 
WP_007286893.1	MULTISPECIES: thiol reductase thioredoxin [Clostridiales] 
WP_007286894.1	thioredoxin reductase [Intestinibacter bartlettii] 
WP_007286895.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007286896.1	diguanylate cyclase [Intestinibacter bartlettii] 
WP_007286897.1	cation transporter [Intestinibacter bartlettii] 
WP_007286898.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286900.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286902.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286903.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286904.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286905.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286906.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286908.1	type I-B CRISPR-associated protein Cas7/Csh2 [Intestinibacter bartlettii] 
WP_007286912.1	DNA repair protein [Intestinibacter bartlettii] 
WP_007286916.1	CRISPR-associated endonuclease Cas2 [Intestinibacter bartlettii] 
WP_007286919.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286923.1	MULTISPECIES: GNAT family N-acetyltransferase [Clostridiales] 
WP_007286925.1	MULTISPECIES: taurine ABC transporter ATP-binding protein [Clostridiales] 
WP_007286928.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286929.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286930.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286931.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286932.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286933.1	MULTISPECIES: methyltetrahydrofolate--corrinoid methyltransferase [Clostridiales] 
WP_007286934.1	cobalamin-binding protein [Intestinibacter bartlettii] 
WP_007286937.1	cobalamin-binding protein [Intestinibacter bartlettii] 
WP_007286938.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286940.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286942.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286945.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286946.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286947.1	ATP--cobalamin adenosyltransferase [Intestinibacter bartlettii] 
WP_007286948.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286949.1	RNA-splicing ligase RtcB [Intestinibacter bartlettii] 
WP_007286950.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286954.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286955.1	MULTISPECIES: purine-nucleoside phosphorylase [Clostridiales] 
WP_007286961.1	alanine racemase [Intestinibacter bartlettii] 
WP_007286963.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286965.1	thymidine kinase [Intestinibacter bartlettii] 
WP_007286966.1	oxidoreductase [Intestinibacter bartlettii] 
WP_007286967.1	MULTISPECIES: stage V sporulation protein S [Clostridiales] 
WP_007286968.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286969.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286971.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286973.1	tRNA (guanosine(46)-N7)-methyltransferase TrmB [Intestinibacter bartlettii] 
WP_007286975.1	acetyltransferase [Intestinibacter bartlettii] 
WP_007286976.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286977.1	integrase [Intestinibacter bartlettii] 
WP_007286980.1	peptide ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007286981.1	two-component sensor histidine kinase [Intestinibacter bartlettii] 
WP_007286982.1	MULTISPECIES: DNA-binding response regulator [Clostridiales] 
WP_007286983.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286984.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286985.1	branched-chain amino acid transporter [Intestinibacter bartlettii] 
WP_007286986.1	shikimate dehydrogenase [Intestinibacter bartlettii] 
WP_007286987.1	3-dehydroquinase [Intestinibacter bartlettii] 
WP_007286988.1	LysR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007286989.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Intestinibacter bartlettii] 
WP_007286991.1	cytidylate kinase [Intestinibacter bartlettii] 
WP_007286992.1	pyridine nucleotide-disulfide oxidoreductase [Intestinibacter bartlettii] 
WP_007286993.1	MULTISPECIES: phosphoglycerate mutase [Clostridiales] 
WP_007286994.1	AI-2E family transporter [Intestinibacter bartlettii] 
WP_007286995.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286997.1	ATP-dependent chaperone ClpB [Intestinibacter bartlettii] 
WP_007286998.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286999.1	HDIG domain-containing protein [Intestinibacter bartlettii] 
WP_007287000.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287002.1	peptidase U62 [Intestinibacter bartlettii] 
WP_007287003.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287004.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287007.1	3-ketoacyl-ACP reductase [Intestinibacter bartlettii] 
WP_007287008.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287009.1	arginine ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007287010.1	MULTISPECIES: polar amino acid ABC transporter permease [Clostridiales] 
WP_007287012.1	SAM-dependent methyltransferase [Intestinibacter bartlettii] 
WP_007287013.1	MBL fold metallo-hydrolase [Intestinibacter bartlettii] 
WP_007287015.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287016.1	type I deoxyribonuclease HsdR [Intestinibacter bartlettii] 
WP_007287018.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287021.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287025.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287026.1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Intestinibacter bartlettii] 
WP_007287027.1	MULTISPECIES: dihydroneopterin aldolase [Clostridiales] 
WP_007287028.1	dihydropteroate synthase [Intestinibacter bartlettii] 
WP_007287029.1	MULTISPECIES: GTP cyclohydrolase I FolE [Clostridiales] 
WP_007287030.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287031.1	aminodeoxychorismate lyase [Intestinibacter bartlettii] 
WP_007287034.1	glutamine amidotransferase [Intestinibacter bartlettii] 
WP_007287035.1	endonuclease [Intestinibacter bartlettii] 
WP_007287037.1	sugar kinase [Intestinibacter bartlettii] 
WP_007287038.1	fructosidase [Intestinibacter bartlettii] 
WP_007287039.1	MULTISPECIES: sugar ABC transporter ATP-binding protein [Clostridiales] 
WP_007287040.1	ABC transporter permease [Intestinibacter bartlettii] 
WP_007287041.1	MULTISPECIES: ABC transporter permease [Clostridiales] 
WP_007287042.1	ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007287043.1	ribose operon repressor [Intestinibacter bartlettii] 
WP_007287044.1	sodium:dicarboxylate symporter [Intestinibacter bartlettii] 
WP_007287045.1	isocitrate dehydrogenase NAD-dependent [Intestinibacter bartlettii] 
WP_007287046.1	homocitrate synthase [Intestinibacter bartlettii] 
WP_007287047.1	MULTISPECIES: ornithine carbamoyltransferase [Clostridiales] 
WP_007287048.1	N-acetylmannosamine kinase [Intestinibacter bartlettii] 
WP_007287049.1	MULTISPECIES: rRNA methyltransferase [Clostridiales] 
WP_007287050.1	MULTISPECIES: ribosomal large subunit pseudouridine synthase B [Clostridiales] 
WP_007287051.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287052.1	diaminopimelate decarboxylase [Intestinibacter bartlettii] 
WP_007287053.1	aspartate kinase [Intestinibacter bartlettii] 
WP_007287054.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287056.1	glutamine--tRNA ligase [Intestinibacter bartlettii] 
WP_007287057.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287058.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287059.1	MULTISPECIES: lipid kinase [Clostridiales] 
WP_007287060.1	MULTISPECIES: (Fe-S)-binding protein [Clostridiales] 
WP_007287061.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287064.1	MULTISPECIES: heme ABC transporter ATP-binding protein [Clostridiales] 
WP_007287065.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287066.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007287067.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287068.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287073.1	membrane protein [Intestinibacter bartlettii] 
WP_007287074.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287075.1	restriction endonuclease [Intestinibacter bartlettii] 
WP_007287076.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287077.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287078.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287079.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287080.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287082.1	MULTISPECIES: cytidine deaminase [Clostridiales] 
WP_007287085.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287086.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287087.1	MULTISPECIES: L-lactate dehydrogenase [Clostridiales] 
WP_007287088.1	MULTISPECIES: YARHG domain-containing protein [Clostridiales] 
WP_007287089.1	MULTISPECIES: methionine aminopeptidase [Clostridiales] 
WP_007287090.1	MULTISPECIES: peptidase U32 [Clostridiales] 
WP_007287091.1	MULTISPECIES: adenine permease [Clostridiales] 
WP_007287092.1	radical SAM protein [Intestinibacter bartlettii] 
WP_007287093.1	membrane protein [Intestinibacter bartlettii] 
WP_007287094.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287097.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287099.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287100.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287101.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287104.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287105.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287106.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287107.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287108.1	phosphoesterase [Intestinibacter bartlettii] 
WP_007287109.1	amino acid permease [Intestinibacter bartlettii] 
WP_007287110.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287111.1	MULTISPECIES: GTP-binding protein [Clostridiales] 
WP_007287112.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287113.1	Fe3+-citrate ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007287115.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287119.1	threonine synthase [Intestinibacter bartlettii] 
WP_007287120.1	homoserine kinase [Intestinibacter bartlettii] 
WP_007287121.1	permease [Intestinibacter bartlettii] 
WP_007287122.1	magnesium transporter [Intestinibacter bartlettii] 
WP_007287123.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287124.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287127.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287128.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287129.1	MULTISPECIES: thiamine phosphate synthase [Clostridiales] 
WP_007287130.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287131.1	thiaminase II [Intestinibacter bartlettii] 
WP_007287133.1	MULTISPECIES: hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [Clostridiales] 
WP_007287134.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287135.1	MULTISPECIES: ferredoxin [Clostridiales] 
WP_007287136.1	serine O-acetyltransferase [Intestinibacter bartlettii] 
WP_007287138.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287140.1	nucleotide excision repair endonuclease [Intestinibacter bartlettii] 
WP_007287141.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287142.1	elongation factor G [Intestinibacter bartlettii] 
WP_007287143.1	sodium:glutamate symporter [Intestinibacter bartlettii] 
WP_007287144.1	1-acyl-sn-glycerol-3-phosphate acyltransferase [Intestinibacter bartlettii] 
WP_007287145.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287146.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287147.1	multiprotein complex assembly protein [Intestinibacter bartlettii] 
WP_007287148.1	Fis family transcriptional regulator [Intestinibacter bartlettii] 
WP_007287149.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287151.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287152.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287154.1	bifunctional peroxiredoxin/chitinase [Intestinibacter bartlettii] 
WP_007287155.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287157.1	MULTISPECIES: transporter [Clostridiales] 
WP_007287161.1	delta-lactam-biosynthetic de-N-acetylase [Intestinibacter bartlettii] 
WP_007287162.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287163.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287164.1	ATP-binding protein [Intestinibacter bartlettii] 
WP_007287165.1	CTP synthetase [Intestinibacter bartlettii] 
WP_007287166.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_007287167.1	glutamine synthetase [Intestinibacter bartlettii] 
WP_007287168.1	glutamine synthetase [Intestinibacter bartlettii] 
WP_007287171.1	fructose-6-phosphate aldolase [Intestinibacter bartlettii] 
WP_007287172.1	MULTISPECIES: TIGR01212 family radical SAM protein [Clostridiales] 
WP_007287173.1	membrane protein [Intestinibacter bartlettii] 
WP_007287174.1	4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein [Intestinibacter bartlettii] 
WP_007287175.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287176.1	ABC transporter [Intestinibacter bartlettii] 
WP_007287177.1	ABC transporter [Intestinibacter bartlettii] 
WP_007287179.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287181.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287182.1	competence/damage-inducible protein A [Intestinibacter bartlettii] 
WP_007287183.1	D-alanine--D-alanine ligase [Intestinibacter bartlettii] 
WP_007287188.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287189.1	multidrug ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007287190.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287191.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287192.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287193.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287194.1	membrane protein [Intestinibacter bartlettii] 
WP_007287195.1	GntR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007287196.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287197.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287198.1	MULTISPECIES: RNA polymerase sigma factor RpoD [Clostridiales] 
WP_007287200.1	multidrug MFS transporter [Intestinibacter bartlettii] 
WP_007287203.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287204.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_007287205.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287206.1	transaldolase [Intestinibacter bartlettii] 
WP_007287207.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287210.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287211.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287212.1	MULTISPECIES: TSCPD domain-containing protein [Clostridiales] 
WP_007287213.1	MULTISPECIES: peptidylprolyl isomerase [Clostridiales] 
WP_007287214.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287215.1	membrane protein [Intestinibacter bartlettii] 
WP_007287216.1	MULTISPECIES: cold-shock protein [Clostridiales] 
WP_007287217.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287219.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287220.1	aspartate aminotransferase family protein [Intestinibacter bartlettii] 
WP_007287221.1	histidinol-phosphate aminotransferase [Intestinibacter bartlettii] 
WP_007287222.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287223.1	DNA-binding response regulator [Intestinibacter bartlettii] 
WP_007287224.1	two-component sensor histidine kinase [Intestinibacter bartlettii] 
WP_007287226.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287227.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287228.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287230.1	glutamine synthetase [Intestinibacter bartlettii] 
WP_007287231.1	exonuclease [Intestinibacter bartlettii] 
WP_007287232.1	exodeoxyribonuclease III [Intestinibacter bartlettii] 
WP_007287233.1	aspartate aminotransferase [Intestinibacter bartlettii] 
WP_007287234.1	MarR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007287235.1	MULTISPECIES: adenylosuccinate lyase [Clostridiales] 
WP_007287236.1	tyrosine recombinase [Intestinibacter bartlettii] 
WP_007287237.1	DNA helicase [Intestinibacter bartlettii] 
WP_007287238.1	MULTISPECIES: ribonuclease Y [Clostridiales] 
WP_007287239.1	MULTISPECIES: DNA recombination/repair protein RecA [Clostridiales] 
WP_007287240.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Intestinibacter bartlettii] 
WP_007287241.1	ribosomal protein S12 methylthiotransferase RimO [Intestinibacter bartlettii] 
WP_007287242.1	cell division protein FtsK [Intestinibacter bartlettii] 
WP_007287244.1	aspartate kinase [Intestinibacter bartlettii] 
WP_007287245.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287246.1	zinc protease [Intestinibacter bartlettii] 
WP_007287247.1	MULTISPECIES: polysaccharide deacetylase [Clostridiales] 
WP_007287248.1	polyribonucleotide nucleotidyltransferase [Intestinibacter bartlettii] 
WP_007287249.1	MULTISPECIES: 6-phosphogluconate dehydratase [Clostridiales] 
WP_007287251.1	MULTISPECIES: riboflavin biosynthesis protein RibC [Clostridiales] 
WP_007287252.1	tRNA pseudouridine(55) synthase [Intestinibacter bartlettii] 
WP_007287253.1	RNA-binding protein [Intestinibacter bartlettii] 
WP_007287254.1	MULTISPECIES: ribosome-binding factor A [Clostridiales] 
WP_007287255.1	MULTISPECIES: translation initiation factor IF-2 [Clostridiales] 
WP_007287256.1	MULTISPECIES: 50S ribosomal protein L7ae [Clostridiales] 
WP_007287257.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287258.1	transcription termination/antitermination protein NusA [Intestinibacter bartlettii] 
WP_007287259.1	ribosome maturation factor [Intestinibacter bartlettii] 
WP_007287260.1	PolC-type DNA polymerase III [Intestinibacter bartlettii] 
WP_007287261.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287263.1	NAD-dependent protein deacylase [Intestinibacter bartlettii] 
WP_007287266.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287268.1	segregation and condensation protein A [Intestinibacter bartlettii] 
WP_007287269.1	peptidase M25 [Intestinibacter bartlettii] 
WP_007287272.1	MULTISPECIES: transcriptional repressor [Clostridiales] 
WP_007287273.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287274.1	crossover junction endodeoxyribonuclease RuvA [Intestinibacter bartlettii] 
WP_007287275.1	membrane protein [Intestinibacter bartlettii] 
WP_007287276.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287277.1	alanine--tRNA ligase [Intestinibacter bartlettii] 
WP_007287278.1	MULTISPECIES: tRNA 2-thiouridine(34) synthase MnmA [Clostridiales] 
WP_007287279.1	MULTISPECIES: iron-sulfur cluster assembly scaffold protein [Clostridiales] 
WP_007287281.1	AsnC family transcriptional regulator [Intestinibacter bartlettii] 
WP_007287282.1	acetyltransferase [Intestinibacter bartlettii] 
WP_007287283.1	ATPase AAA [Intestinibacter bartlettii] 
WP_007287284.1	MULTISPECIES: transcriptional repressor CodY [Clostridiales] 
WP_007287285.1	DNA topoisomerase I [Intestinibacter bartlettii] 
WP_007287286.1	DNA processing protein DprA [Intestinibacter bartlettii] 
WP_007287287.1	magnesium chelatase [Intestinibacter bartlettii] 
WP_007287289.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287290.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287291.1	MULTISPECIES: alpha-hydroxy-acid oxidizing enzyme [Clostridiales] 
WP_007287292.1	MULTISPECIES: ribonuclease HII [Clostridiales] 
WP_007287293.1	branched-chain amino acid transporter [Intestinibacter bartlettii] 
WP_007287294.1	MULTISPECIES: ribosome biogenesis GTPase YlqF [Clostridiales] 
WP_007287295.1	MULTISPECIES: 50S ribosomal protein L19 [Clostridiales] 
WP_007287296.1	MULTISPECIES: tRNA (guanosine(37)-N1)-methyltransferase TrmD [Clostridiales] 
WP_007287297.1	MULTISPECIES: 16S rRNA processing protein RimM [Clostridiales] 
WP_007287299.1	MULTISPECIES: 30S ribosomal protein S16 [Clostridiales] 
WP_007287300.1	signal recognition particle protein [Intestinibacter bartlettii] 
WP_007287304.1	radical SAM protein [Intestinibacter bartlettii] 
WP_007287305.1	MULTISPECIES: ribonuclease III [Clostridiales] 
WP_007287307.1	MULTISPECIES: elongation factor P [Clostridiales] 
WP_007287308.1	MULTISPECIES: chorismate mutase [Clostridiales] 
WP_007287309.1	3-dehydroquinase [Intestinibacter bartlettii] 
WP_007287310.1	LysR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007287311.1	2,4-dienoyl-CoA reductase [Intestinibacter bartlettii] 
WP_007287312.1	shikimate dehydrogenase [Intestinibacter bartlettii] 
WP_007287314.1	MULTISPECIES: shikimate 5-dehydrogenase [Clostridiales] 
WP_007287316.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287317.1	LysR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007287318.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287319.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287320.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287324.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287325.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287326.1	RNA polymerase sigma 70 [Intestinibacter bartlettii] 
WP_007287327.1	penicillin-binding protein [Intestinibacter bartlettii] 
WP_007287328.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287331.1	integrase [Intestinibacter bartlettii] 
WP_007287332.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287333.1	MULTISPECIES: ADP-ribose pyrophosphatase [Clostridiales] 
WP_007287334.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007287335.1	glycosyl transferase [Intestinibacter bartlettii] 
WP_007287336.1	MULTISPECIES: glycosyl transferase [Clostridiales] 
WP_007287337.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287338.1	thiamin pyrophosphokinase [Intestinibacter bartlettii] 
WP_007287341.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007287342.1	DNA repair protein RecN [Intestinibacter bartlettii] 
WP_007287344.1	MULTISPECIES: acid phosphatase [Clostridiales] 
WP_007287345.1	farnesyl-diphosphate synthase [Intestinibacter bartlettii] 
WP_007287346.1	MULTISPECIES: exodeoxyribonuclease VII small subunit [Clostridiales] 
WP_007287348.1	O-sialoglycoprotein endopeptidase [Intestinibacter bartlettii] 
WP_007287349.1	MULTISPECIES: transcription antitermination factor NusB [Clostridiales] 
WP_007287351.1	MULTISPECIES: stage III sporulation protein AH [Clostridiales] 
WP_007287352.1	MULTISPECIES: stage III sporulation protein AG [Clostridiales] 
WP_007287353.1	stage III sporulation protein AF [Intestinibacter bartlettii] 
