gi|491802668|ref|WP_005608258.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491807025|ref|WP_005610500.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807028|ref|WP_005610502.1|	phosphatase [Ruminococcus lactaris] 
gi|491807030|ref|WP_005610503.1|	sodium:proton antiporter [Ruminococcus lactaris] 
gi|491807033|ref|WP_005610505.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807037|ref|WP_005610508.1|	asparagine synthase [Ruminococcus lactaris] 
gi|491807040|ref|WP_005610510.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807043|ref|WP_005610512.1|	isoleucyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491807046|ref|WP_005610514.1|	AraC family transcriptional regulator [Ruminococcus lactaris] 
gi|491807049|ref|WP_005610516.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807052|ref|WP_005610518.1|	maltodextrin phosphorylase [Ruminococcus lactaris] 
gi|491807056|ref|WP_005610519.1|	4-alpha-glucanotransferase [Ruminococcus lactaris] 
gi|491807058|ref|WP_005610520.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807061|ref|WP_005610522.1|	glyoxalase [Ruminococcus lactaris] 
gi|491807077|ref|WP_005610528.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807080|ref|WP_005610530.1|	precorrin-6X reductase [Ruminococcus lactaris] 
gi|491807082|ref|WP_005610531.1|	cobinamide adenolsyltransferase [Ruminococcus lactaris] 
gi|491807084|ref|WP_005610532.1|	cobalt-precorrin-6A synthase [Ruminococcus lactaris] 
gi|491807086|ref|WP_005610533.1|	precorrin-2 C20-methyltransferase [Ruminococcus lactaris] 
gi|491807088|ref|WP_005610534.1|	cobalt-precorrin-4 C(11)-methyltransferase [Ruminococcus lactaris] 
gi|491807090|ref|WP_005610535.1|	precorrin-3B C17-methyltransferase [Ruminococcus lactaris] 
gi|491807092|ref|WP_005610536.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807095|ref|WP_005610537.1|	cobyrinic acid a,c-diamide synthase [Ruminococcus lactaris] 
gi|491807097|ref|WP_005610538.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807100|ref|WP_005610539.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807102|ref|WP_005610540.1|	PTS ascorbate transporter subunit IIC [Ruminococcus lactaris] 
gi|491807105|ref|WP_005610541.1|	membrane protein [Ruminococcus lactaris] 
gi|491807107|ref|WP_005610542.1|	phosphoenolpyruvate carboxykinase [Ruminococcus lactaris] 
gi|491807109|ref|WP_005610543.1|	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [Ruminococcus lactaris] 
gi|491807111|ref|WP_005610544.1|	cobalamin-5-phosphate synthase [Ruminococcus lactaris] 
gi|491807113|ref|WP_005610545.1|	histidine phosphatase [Ruminococcus lactaris] 
gi|491807115|ref|WP_005610546.1|	cobalamin biosynthesis protein CobD [Ruminococcus lactaris] 
gi|491807117|ref|WP_005610547.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807120|ref|WP_005610549.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807122|ref|WP_005610550.1|	cobyric acid synthase [Ruminococcus lactaris] 
gi|491807124|ref|WP_005610551.1|	beta-galactosidase [Ruminococcus lactaris] 
gi|491807126|ref|WP_005610552.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807128|ref|WP_005610553.1|	choloylglycine hydrolase [Ruminococcus lactaris] 
gi|491807131|ref|WP_005610554.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807133|ref|WP_005610555.1|	beta-lactamase [Ruminococcus lactaris] 
gi|491807134|ref|WP_005610556.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807135|ref|WP_005610557.1|	precorrin-8X methylmutase [Ruminococcus lactaris] 
gi|491807136|ref|WP_005610558.1|	LysR family transcriptional regulator [Ruminococcus lactaris] 
gi|491807137|ref|WP_005610559.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807138|ref|WP_005610560.1|	DNA glycosylase [Ruminococcus lactaris] 
gi|491807139|ref|WP_005610561.1|	tetrahydrofolate synthase [Ruminococcus lactaris] 
gi|491807140|ref|WP_005610562.1|	GTP cyclohydrolase I [Ruminococcus lactaris] 
gi|491807142|ref|WP_005610564.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807144|ref|WP_005610566.1|	dihydropteroate synthase [Ruminococcus lactaris] 
gi|491807146|ref|WP_005610568.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Ruminococcus lactaris] 
gi|491807148|ref|WP_005610570.1|	adenine permease [Ruminococcus lactaris] 
gi|491807151|ref|WP_005610573.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Ruminococcus lactaris] 
gi|491807152|ref|WP_005610574.1|	prephenate dehydrogenase [Ruminococcus lactaris] 
gi|491807153|ref|WP_005610575.1|	elongation factor G [Ruminococcus lactaris] 
gi|491807155|ref|WP_005610577.1|	potassium transporter TrkA [Ruminococcus lactaris] 
gi|491807156|ref|WP_005610578.1|	potassium transporter KefA [Ruminococcus lactaris] 
gi|491807158|ref|WP_005610580.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807159|ref|WP_005610581.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807160|ref|WP_005610582.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807161|ref|WP_005610583.1|	flavodoxin [Ruminococcus lactaris] 
gi|491807162|ref|WP_005610584.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807164|ref|WP_005610586.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807163|ref|WP_005610585.1|	transporter [Ruminococcus lactaris] 
gi|491807165|ref|WP_005610587.1|	ribonucleoside triphosphate reductase [Ruminococcus lactaris] 
gi|491807166|ref|WP_005610588.1|	ribonucleoside-triphosphate reductase activating protein [Ruminococcus lactaris] 
gi|491807167|ref|WP_005610589.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807168|ref|WP_005610590.1|	leucyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491807170|ref|WP_005610592.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807171|ref|WP_005610593.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807172|ref|WP_005610594.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807173|ref|WP_005610595.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807174|ref|WP_005610596.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491807176|ref|WP_005610598.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807177|ref|WP_005610599.1|	iron transporter FeoA [Ruminococcus lactaris] 
gi|491807179|ref|WP_005610601.1|	iron transporter FeoA [Ruminococcus lactaris] 
gi|491807180|ref|WP_005610602.1|	iron transporter FeoB [Ruminococcus lactaris] 
gi|491807181|ref|WP_005610603.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807183|ref|WP_005610605.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807185|ref|WP_005610607.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807188|ref|WP_005610610.1|	Fur family transcriptional regulator [Ruminococcus lactaris] 
gi|491807190|ref|WP_005610612.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807193|ref|WP_005610615.1|	cation transporter [Ruminococcus lactaris] 
gi|491807196|ref|WP_005610618.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807200|ref|WP_005610622.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803811|ref|WP_005609147.1|	integrase [Ruminococcus lactaris] 
gi|491807206|ref|WP_005610627.1|	metallophosphatase [Ruminococcus lactaris] 
gi|491807207|ref|WP_005610628.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807208|ref|WP_005610629.1|	polynucleotide adenylyltransferase [Ruminococcus lactaris] 
gi|491807209|ref|WP_005610630.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807211|ref|WP_005610632.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491807213|ref|WP_005610634.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807214|ref|WP_005610635.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807215|ref|WP_005610636.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807216|ref|WP_005610637.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807217|ref|WP_005610638.1|	cell-division initiation protein [Ruminococcus lactaris] 
gi|491807218|ref|WP_005610639.1|	serine phosphatase RsbU regulator of sigma subunit [Ruminococcus lactaris] 
gi|491807219|ref|WP_005610640.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807220|ref|WP_005610641.1|	hypoxanthine phosphoribosyltransferase [Ruminococcus lactaris] 
gi|491807221|ref|WP_005610642.1|	cell division protein FtsH [Ruminococcus lactaris] 
gi|491807222|ref|WP_005610643.1|	alpha-amylase [Ruminococcus lactaris] 
gi|491807223|ref|WP_005610644.1|	membrane protein [Ruminococcus lactaris] 
gi|491807224|ref|WP_005610645.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807225|ref|WP_005610646.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807226|ref|WP_005610647.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807227|ref|WP_005610648.1|	phosphopantothenoylcysteine decarboxylase [Ruminococcus lactaris] 
gi|491807228|ref|WP_005610649.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491807229|ref|WP_005610650.1|	glucose-1-phosphate adenylyltransferase [Ruminococcus lactaris] 
gi|491807230|ref|WP_005610651.1|	glucose-1-phosphate adenylyltransferase [Ruminococcus lactaris] 
gi|491807231|ref|WP_005610652.1|	methionine aminopeptidase [Ruminococcus lactaris] 
gi|491807232|ref|WP_005610653.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807233|ref|WP_005610654.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807235|ref|WP_005610656.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491807237|ref|WP_005610658.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807239|ref|WP_005610660.1|	NADH:flavin oxidoreductase [Ruminococcus lactaris] 
gi|491807240|ref|WP_005610661.1|	short-chain dehydrogenase [Ruminococcus lactaris] 
gi|491807242|ref|WP_005610663.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807244|ref|WP_005610665.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491807245|ref|WP_005610666.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807247|ref|WP_005610668.1|	transposase [Ruminococcus lactaris] 
gi|491807248|ref|WP_005610669.1|	transposase [Ruminococcus lactaris] 
gi|491807249|ref|WP_005610670.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807250|ref|WP_005610671.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807251|ref|WP_005610672.1|	thiamine pyrophosphokinase [Ruminococcus lactaris] 
gi|491807252|ref|WP_005610673.1|	ribulose-phosphate 3-epimerase [Ruminococcus lactaris] 
gi|491807253|ref|WP_005610674.1|	GTPase A [Ruminococcus lactaris] 
gi|491807255|ref|WP_005610676.1|	protein kinase [Ruminococcus lactaris] 
gi|491807256|ref|WP_005610677.1|	protein serine/threonine phosphatase [Ruminococcus lactaris] 
gi|491807258|ref|WP_005610679.1|	23S rRNA methyltransferase [Ruminococcus lactaris] 
gi|491807260|ref|WP_005610681.1|	16S rRNA methyltransferase [Ruminococcus lactaris] 
gi|491807262|ref|WP_005610683.1|	peptidase [Ruminococcus lactaris] 
gi|491807265|ref|WP_005610686.1|	methionyl-tRNA formyltransferase [Ruminococcus lactaris] 
gi|491807268|ref|WP_005610689.1|	peptide deformylase [Ruminococcus lactaris] 
gi|491807271|ref|WP_005610692.1|	primosomal protein N' [Ruminococcus lactaris] 
gi|491807274|ref|WP_005610695.1|	UDP-N-acetylmuramyl peptide synthase [Ruminococcus lactaris] 
gi|491807276|ref|WP_005610697.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807279|ref|WP_005610700.1|	ATP-dependent Clp protease ATP-binding protein [Ruminococcus lactaris] 
gi|491807281|ref|WP_005610702.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807285|ref|WP_005610706.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807288|ref|WP_005610709.1|	membrane protein [Ruminococcus lactaris] 
gi|491807290|ref|WP_005610710.1|	zinc ABC transporter ATPase [Ruminococcus lactaris] 
gi|491807291|ref|WP_005610711.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807294|ref|WP_005610714.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491807295|ref|WP_005610715.1|	excinuclease ABC subunit C [Ruminococcus lactaris] 
gi|491807296|ref|WP_005610716.1|	HPr kinase [Ruminococcus lactaris] 
gi|491807297|ref|WP_005610717.1|	glucokinase [Ruminococcus lactaris] 
gi|491807298|ref|WP_005610718.1|	glycosyl transferase [Ruminococcus lactaris] 
gi|491807299|ref|WP_005610719.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807300|ref|WP_005610720.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807301|ref|WP_005610721.1|	GTP-binding protein [Ruminococcus lactaris] 
gi|491807302|ref|WP_005610722.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807303|ref|WP_005610723.1|	single-stranded DNA-binding protein [Ruminococcus lactaris] 
gi|491807304|ref|WP_005610724.1|	dihydrodipicolinate reductase [Ruminococcus lactaris] 
gi|491807306|ref|WP_005610726.1|	fructose-1,6-bisphosphatase [Ruminococcus lactaris] 
gi|491807308|ref|WP_005610728.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807310|ref|WP_005610730.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807312|ref|WP_005610732.1|	RNA polymerase sigma factor RpoD [Ruminococcus lactaris] 
gi|491807314|ref|WP_005610734.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807315|ref|WP_005610735.1|	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [Ruminococcus lactaris] 
gi|491807317|ref|WP_005610737.1|	preprotein translocase subunit SecA [Ruminococcus lactaris] 
gi|491807318|ref|WP_005610738.1|	peptide chain release factor 2 [Ruminococcus lactaris] 
gi|491807320|ref|WP_005610740.1|	homoserine dehydrogenase [Ruminococcus lactaris] 
gi|491807321|ref|WP_005610741.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491807323|ref|WP_005610743.1|	adenylate cyclase [Ruminococcus lactaris] 
gi|491807326|ref|WP_005610746.1|	4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein [Ruminococcus lactaris] 
gi|491807328|ref|WP_005610748.1|	trigger factor [Ruminococcus lactaris] 
gi|491807330|ref|WP_005610750.1|	ATP-dependent Clp protease proteolytic subunit [Ruminococcus lactaris] 
gi|491807333|ref|WP_005610753.1|	ATP-dependent protease [Ruminococcus lactaris] 
gi|491807335|ref|WP_005610755.1|	Lon protease [Ruminococcus lactaris] 
gi|491807336|ref|WP_005610756.1|	GTP-binding protein EngB [Ruminococcus lactaris] 
gi|491807337|ref|WP_005610757.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807339|ref|WP_005610759.1|	FAD-dependent oxidoreductase [Ruminococcus lactaris] 
gi|491807341|ref|WP_005610761.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807343|ref|WP_005610763.1|	prevent-host-death protein [Ruminococcus lactaris] 
gi|491807344|ref|WP_005610764.1|	toxin RelE [Ruminococcus lactaris] 
gi|491807346|ref|WP_005610766.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807348|ref|WP_005610768.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807350|ref|WP_005610770.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807352|ref|WP_005610772.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807353|ref|WP_005610773.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807355|ref|WP_005610775.1|	helicase [Ruminococcus lactaris] 
gi|491807357|ref|WP_005610777.1|	integrase [Ruminococcus lactaris] 
gi|491807360|ref|WP_005610780.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807361|ref|WP_005610781.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807362|ref|WP_005610782.1|	CRISPR-associated protein [Ruminococcus lactaris] 
gi|491807363|ref|WP_005610783.1|	CRISPR-associated protein Csd1 [Ruminococcus lactaris] 
gi|491807364|ref|WP_005610784.1|	CRISPR-associated protein Csh2 [Ruminococcus lactaris] 
gi|491807366|ref|WP_005610786.1|	CRISPR-associated protein Cas4 [Ruminococcus lactaris] 
gi|491807368|ref|WP_005610788.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803811|ref|WP_005609147.1|	integrase [Ruminococcus lactaris] 
gi|491807369|ref|WP_005610789.1|	DNA repair protein [Ruminococcus lactaris] 
gi|491807370|ref|WP_005610790.1|	CRISPR-associated protein Cas4 [Ruminococcus lactaris] 
gi|491807371|ref|WP_005610791.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807372|ref|WP_005610792.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807373|ref|WP_005610793.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807374|ref|WP_005610794.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807375|ref|WP_005610795.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807376|ref|WP_005610796.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807377|ref|WP_005610797.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807378|ref|WP_005610798.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807379|ref|WP_005610799.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491807380|ref|WP_005610800.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807381|ref|WP_005610801.1|	excinuclease ABC subunit B [Ruminococcus lactaris] 
gi|491807382|ref|WP_005610802.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807383|ref|WP_005610803.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804018|ref|WP_005609354.1|	transposase [Ruminococcus lactaris] 
gi|491804019|ref|WP_005609355.1|	integrase [Ruminococcus lactaris] 
gi|491807385|ref|WP_005610805.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807386|ref|WP_005610806.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807388|ref|WP_005610808.1|	chromosome partitioning protein ParA [Ruminococcus lactaris] 
gi|491807389|ref|WP_005610809.1|	plasmid stablization protein ParB [Ruminococcus lactaris] 
gi|491807390|ref|WP_005610810.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807392|ref|WP_005610812.1|	collagen-binding protein [Ruminococcus lactaris] 
gi|491807394|ref|WP_005610813.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806943|ref|WP_005610457.1|	transposase IS116/IS110/IS902 family [Ruminococcus lactaris] 
gi|491807395|ref|WP_005610814.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807396|ref|WP_005610815.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807397|ref|WP_005610816.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807398|ref|WP_005610817.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807399|ref|WP_005610818.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807401|ref|WP_005610820.1|	topoisomerase [Ruminococcus lactaris] 
gi|491807402|ref|WP_005610821.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807404|ref|WP_005610823.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807405|ref|WP_005610824.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807406|ref|WP_005610825.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807407|ref|WP_005610826.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807408|ref|WP_005610827.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807409|ref|WP_005610828.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491807410|ref|WP_005610829.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807411|ref|WP_005610830.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491807412|ref|WP_005610831.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807413|ref|WP_005610832.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807414|ref|WP_005610833.1|	beta-lactamase [Ruminococcus lactaris] 
gi|491807415|ref|WP_005610834.1|	serine protease [Ruminococcus lactaris] 
gi|491807416|ref|WP_005610835.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807417|ref|WP_005610836.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807419|ref|WP_005610838.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807420|ref|WP_005610839.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807421|ref|WP_005610840.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807423|ref|WP_005610842.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807424|ref|WP_005610843.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491807425|ref|WP_005610844.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807426|ref|WP_005610845.1|	excinuclease ABC subunit B [Ruminococcus lactaris] 
gi|491807427|ref|WP_005610846.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807428|ref|WP_005610847.1|	excinuclease ABC subunit A [Ruminococcus lactaris] 
gi|491807429|ref|WP_005610848.1|	rod shape-determining protein Mbl [Ruminococcus lactaris] 
gi|491807430|ref|WP_005610849.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491807431|ref|WP_005610850.1|	competence protein [Ruminococcus lactaris] 
gi|491807432|ref|WP_005610851.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807433|ref|WP_005610852.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807434|ref|WP_005610853.1|	membrane protein [Ruminococcus lactaris] 
gi|491807435|ref|WP_005610854.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807437|ref|WP_005610856.1|	PTS glucose transporter subunit IIABC [Ruminococcus lactaris] 
gi|491807438|ref|WP_005610857.1|	nucleotidyltransferase [Ruminococcus lactaris] 
gi|491807439|ref|WP_005610858.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807440|ref|WP_005610859.1|	phosphoglycerol transferase [Ruminococcus lactaris] 
gi|491807441|ref|WP_005610860.1|	polyprenyl glycosylphosphotransferase [Ruminococcus lactaris] 
gi|491807442|ref|WP_005610861.1|	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase [Ruminococcus lactaris] 
gi|491807443|ref|WP_005610862.1|	multidrug MFS transporter [Ruminococcus lactaris] 
gi|491807444|ref|WP_005610863.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807445|ref|WP_005610864.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807447|ref|WP_005610866.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807448|ref|WP_005610867.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807450|ref|WP_005610869.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807452|ref|WP_005610871.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807453|ref|WP_005610872.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807454|ref|WP_005610873.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807456|ref|WP_005610875.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807457|ref|WP_005610876.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807458|ref|WP_005610877.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807459|ref|WP_005610878.1|	glycosyltransferase [Ruminococcus lactaris] 
gi|491807460|ref|WP_005610879.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807461|ref|WP_005610880.1|	polysaccharide biosynthesis protein GtrA [Ruminococcus lactaris] 
gi|491807462|ref|WP_005610881.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807463|ref|WP_005610882.1|	teichoic acid ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491807464|ref|WP_005610883.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807465|ref|WP_005610884.1|	glycosyl transferase [Ruminococcus lactaris] 
gi|491807466|ref|WP_005610885.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807467|ref|WP_005610886.1|	UDP-N-acetylglucosamine 2-epimerase [Ruminococcus lactaris] 
gi|491807468|ref|WP_005610887.1|	LPS biosynthesis protein [Ruminococcus lactaris] 
gi|491807469|ref|WP_005610888.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807470|ref|WP_005610889.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807471|ref|WP_005610890.1|	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase [Ruminococcus lactaris] 
gi|491807472|ref|WP_005610891.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807473|ref|WP_005610892.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807474|ref|WP_005610893.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807476|ref|WP_005610895.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807477|ref|WP_005610896.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807478|ref|WP_005610897.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807479|ref|WP_005610898.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807480|ref|WP_005610899.1|	CotJC [Ruminococcus lactaris] 
gi|491807482|ref|WP_005610901.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807483|ref|WP_005610902.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807484|ref|WP_005610903.1|	asparagine synthase [Ruminococcus lactaris] 
gi|491807485|ref|WP_005610904.1|	cell division protein FtsW [Ruminococcus lactaris] 
gi|491807487|ref|WP_005610906.1|	dihydroxyacetone kinase [Ruminococcus lactaris] 
gi|491807488|ref|WP_005610907.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807490|ref|WP_005610909.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807491|ref|WP_005610910.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807492|ref|WP_005610911.1|	cell division protein MraZ [Ruminococcus lactaris] 
gi|491807493|ref|WP_005610912.1|	16S rRNA methyltransferase [Ruminococcus lactaris] 
gi|491807494|ref|WP_005610913.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807495|ref|WP_005610914.1|	peptidoglycan glycosyltransferase [Ruminococcus lactaris] 
gi|491807496|ref|WP_005610915.1|	peptidoglycan glycosyltransferase [Ruminococcus lactaris] 
gi|491807497|ref|WP_005610916.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Ruminococcus lactaris] 
gi|491807499|ref|WP_005610918.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Ruminococcus lactaris] 
gi|491807501|ref|WP_005610920.1|	cell division protein [Ruminococcus lactaris] 
gi|491807502|ref|WP_005610921.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807504|ref|WP_005610923.1|	cell division protein FtsZ [Ruminococcus lactaris] 
gi|491807507|ref|WP_005610926.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807510|ref|WP_005610929.1|	flagellar biosynthesis protein FliA [Ruminococcus lactaris] 
gi|491807512|ref|WP_005610931.1|	metallo-beta-lactamase [Ruminococcus lactaris] 
gi|491807514|ref|WP_005610933.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807516|ref|WP_005610935.1|	RNA polymerase sigma 70 [Ruminococcus lactaris] 
gi|491807520|ref|WP_005610939.1|	HAD family hydrolase [Ruminococcus lactaris] 
