gi|493773704|ref|WP_006722204.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774356|ref|WP_006722848.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774357|ref|WP_006722849.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774358|ref|WP_006722850.1|	RNA methyltransferase [Collinsella intestinalis] 
gi|493774359|ref|WP_006722851.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774360|ref|WP_006722852.1|	septum formation protein Maf [Collinsella intestinalis] 
gi|493774361|ref|WP_006722853.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774362|ref|WP_006722854.1|	amino acid APC transporter [Collinsella intestinalis] 
gi|493774363|ref|WP_006722855.1|	PTS glucose transporter subunit IIA [Collinsella intestinalis] 
gi|493774364|ref|WP_006722856.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774365|ref|WP_006722857.1|	sulfurtransferase [Collinsella intestinalis] 
gi|493774366|ref|WP_006722858.1|	NADH dehydrogenase [Collinsella intestinalis] 
gi|493774367|ref|WP_006722859.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774368|ref|WP_006722860.1|	lactate dehydrogenase [Collinsella intestinalis] 
gi|493774369|ref|WP_006722861.1|	diaminopimelate aminotransferase [Collinsella intestinalis] 
gi|493774370|ref|WP_006722862.1|	1-phosphofructokinase [Collinsella intestinalis] 
gi|493774371|ref|WP_006722863.1|	PTS fructose transporter subunit IIABC [Collinsella intestinalis] 
gi|493774372|ref|WP_006722864.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774373|ref|WP_006722865.1|	NAD synthetase [Collinsella intestinalis] 
gi|493774374|ref|WP_006722866.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774375|ref|WP_006722867.1|	DNA repair protein [Collinsella intestinalis] 
gi|493774376|ref|WP_006722868.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774377|ref|WP_006722869.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774378|ref|WP_006722870.1|	NADH-dependent butanol dehydrogenase [Collinsella intestinalis] 
gi|493774379|ref|WP_006722871.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774380|ref|WP_006722872.1|	ABC transporter [Collinsella intestinalis] 
gi|493774381|ref|WP_006722873.1|	amino acid ABC transporter permease [Collinsella intestinalis] 
gi|493774382|ref|WP_006722874.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774383|ref|WP_006722875.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774384|ref|WP_006722876.1|	Tat pathway signal sequence [Collinsella intestinalis] 
gi|493774385|ref|WP_006722877.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774386|ref|WP_006722878.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774387|ref|WP_006722879.1|	ABC transporter [Collinsella intestinalis] 
gi|493774388|ref|WP_006722880.1|	endonuclease IV [Collinsella intestinalis] 
gi|493774389|ref|WP_006722881.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774390|ref|WP_006722882.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774391|ref|WP_006722883.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774392|ref|WP_006722884.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774393|ref|WP_006722885.1|	ribonuclease H [Collinsella intestinalis] 
gi|493774394|ref|WP_006722886.1|	oxidoreductase [Collinsella intestinalis] 
gi|493774395|ref|WP_006722887.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774396|ref|WP_006722888.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774397|ref|WP_006722889.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774398|ref|WP_006722890.1|	ribonuclease D [Collinsella intestinalis] 
gi|493774399|ref|WP_006722891.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774400|ref|WP_006722892.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774401|ref|WP_006722893.1|	ABC transporter [Collinsella intestinalis] 
gi|493774402|ref|WP_006722894.1|	cobalt ABC transporter [Collinsella intestinalis] 
gi|493774403|ref|WP_006722895.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774404|ref|WP_006722896.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774405|ref|WP_006722897.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774406|ref|WP_006722898.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774407|ref|WP_006722899.1|	sugar translocase [Collinsella intestinalis] 
gi|493774408|ref|WP_006722900.1|	sugar translocase [Collinsella intestinalis] 
gi|493774409|ref|WP_006722901.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774410|ref|WP_006722902.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774411|ref|WP_006722903.1|	aminopeptidase [Collinsella intestinalis] 
gi|493774412|ref|WP_006722904.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774413|ref|WP_006722905.1|	glycosyl transferase [Collinsella intestinalis] 
gi|493774414|ref|WP_006722906.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774415|ref|WP_006722907.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774416|ref|WP_006722908.1|	ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774417|ref|WP_006722909.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774418|ref|WP_006722910.1|	thiamine biosynthesis protein ThiF [Collinsella intestinalis] 
gi|493774419|ref|WP_006722911.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774420|ref|WP_006722912.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774421|ref|WP_006722913.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774422|ref|WP_006722914.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774423|ref|WP_006722915.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774424|ref|WP_006722916.1|	sugar isomerase [Collinsella intestinalis] 
gi|493774425|ref|WP_006722917.1|	PTS mannose transporter subunit IID [Collinsella intestinalis] 
gi|493774426|ref|WP_006722918.1|	PTS sugar transporter [Collinsella intestinalis] 
gi|493774427|ref|WP_006722919.1|	PTS mannose transporter subunit IIA [Collinsella intestinalis] 
gi|493774428|ref|WP_006722920.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774429|ref|WP_006722921.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774430|ref|WP_006722922.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774431|ref|WP_006722923.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774432|ref|WP_006722924.1|	sugar isomerase [Collinsella intestinalis] 
gi|493774433|ref|WP_006722925.1|	GntR family transcriptional regulator [Collinsella intestinalis] 
gi|493774434|ref|WP_006722926.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774435|ref|WP_006722927.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774436|ref|WP_006722928.1|	HAD family hydrolase [Collinsella intestinalis] 
gi|493774437|ref|WP_006722929.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774438|ref|WP_006722930.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774439|ref|WP_006722931.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774440|ref|WP_006722932.1|	PTS mannose transporter subunit IID [Collinsella intestinalis] 
gi|493774441|ref|WP_006722933.1|	PTS sugar transporter [Collinsella intestinalis] 
gi|493774442|ref|WP_006722934.1|	sugar isomerase [Collinsella intestinalis] 
gi|493774443|ref|WP_006722935.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774444|ref|WP_006722936.1|	peptidase [Collinsella intestinalis] 
gi|493774445|ref|WP_006722937.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774446|ref|WP_006722938.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774447|ref|WP_006722939.1|	glucose-6-phosphate isomerase [Collinsella intestinalis] 
gi|493774448|ref|WP_006722940.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774449|ref|WP_006722941.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774451|ref|WP_006722943.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774453|ref|WP_006722944.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774454|ref|WP_006722945.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774455|ref|WP_006722946.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774456|ref|WP_006722947.1|	DNA-binding protein [Collinsella intestinalis] 
gi|493774457|ref|WP_006722948.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774458|ref|WP_006722949.1|	heavy metal transporter [Collinsella intestinalis] 
gi|493774459|ref|WP_006722950.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774460|ref|WP_006722951.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774461|ref|WP_006722952.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774462|ref|WP_006722953.1|	phosphoenolpyruvate carboxykinase [Collinsella intestinalis] 
gi|493774463|ref|WP_006722954.1|	lactate permease [Collinsella intestinalis] 
gi|493774464|ref|WP_006722955.1|	polysaccharide biosynthesis protein [Collinsella intestinalis] 
gi|493774465|ref|WP_006722956.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774466|ref|WP_006722957.1|	MFS transporter [Collinsella intestinalis] 
gi|493774467|ref|WP_006722958.1|	3-phosphoglycerate dehydrogenase [Collinsella intestinalis] 
gi|493774468|ref|WP_006722959.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774469|ref|WP_006722960.1|	radical SAM protein [Collinsella intestinalis] 
gi|493774470|ref|WP_006722961.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774471|ref|WP_006722962.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774472|ref|WP_006722963.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774473|ref|WP_006722964.1|	phosphoglycerate mutase [Collinsella intestinalis] 
gi|493774474|ref|WP_006722965.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774475|ref|WP_006722966.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774476|ref|WP_006722967.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774477|ref|WP_006722968.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774478|ref|WP_006722969.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774479|ref|WP_006722970.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774480|ref|WP_006722971.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774481|ref|WP_006722972.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774482|ref|WP_006722973.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774483|ref|WP_006722974.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774484|ref|WP_006722975.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774485|ref|WP_006722976.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774486|ref|WP_006722977.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774487|ref|WP_006722978.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774488|ref|WP_006722979.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774489|ref|WP_006722980.1|	DNA polymerase [Collinsella intestinalis] 
gi|493774490|ref|WP_006722981.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774491|ref|WP_006722982.1|	polysaccharide deacetylase [Collinsella intestinalis] 
gi|493774492|ref|WP_006722983.1|	Crp/Fnr family transcriptional regulator [Collinsella intestinalis] 
gi|493774493|ref|WP_006722984.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774494|ref|WP_006722985.1|	glycerol transporter [Collinsella intestinalis] 
gi|493774495|ref|WP_006722986.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774496|ref|WP_006722987.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774497|ref|WP_006722988.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774498|ref|WP_006722989.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774499|ref|WP_006722990.1|	heavy metal transporter [Collinsella intestinalis] 
gi|493774500|ref|WP_006722991.1|	zinc ABC transporter ATPase [Collinsella intestinalis] 
gi|493774501|ref|WP_006722992.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774502|ref|WP_006722993.1|	MFS transporter [Collinsella intestinalis] 
gi|493774503|ref|WP_006722994.1|	serine hydroxymethyltransferase [Collinsella intestinalis] 
gi|493774504|ref|WP_006722995.1|	peptidylprolyl isomerase [Collinsella intestinalis] 
gi|493774506|ref|WP_006722996.1|	uracil-xanthine permease [Collinsella intestinalis] 
gi|493774507|ref|WP_006722997.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774508|ref|WP_006722998.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774509|ref|WP_006722999.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774510|ref|WP_006723000.1|	rubredoxin [Collinsella intestinalis] 
gi|493774511|ref|WP_006723001.1|	flavin reductase [Collinsella intestinalis] 
gi|493774512|ref|WP_006723002.1|	single-stranded DNA-binding protein [Collinsella intestinalis] 
gi|493774513|ref|WP_006723003.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774514|ref|WP_006723004.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774515|ref|WP_006723005.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774516|ref|WP_006723006.1|	cell division protein [Collinsella intestinalis] 
gi|493774517|ref|WP_006723007.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774518|ref|WP_006723008.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774519|ref|WP_006723009.1|	peptide chain release factor 2 [Collinsella intestinalis] 
gi|493774520|ref|WP_006723010.1|	preprotein translocase subunit SecA [Collinsella intestinalis] 
gi|493774521|ref|WP_006723011.1|	50S ribosomal protein L31 [Collinsella intestinalis] 
gi|493774522|ref|WP_006723012.1|	citrate synthase [Collinsella intestinalis] 
gi|493774523|ref|WP_006723013.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774524|ref|WP_006723014.1|	COF family hydrolase [Collinsella intestinalis] 
gi|493774525|ref|WP_006723015.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774526|ref|WP_006723016.1|	tyrosyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774527|ref|WP_006723017.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774528|ref|WP_006723018.1|	penicillin-binding protein [Collinsella intestinalis] 
gi|493774529|ref|WP_006723019.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774530|ref|WP_006723020.1|	ArgR family transcriptional regulator [Collinsella intestinalis] 
gi|493774531|ref|WP_006723021.1|	tRNA pseudouridine synthase A [Collinsella intestinalis] 
gi|493774532|ref|WP_006723022.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774533|ref|WP_006723023.1|	50S ribosomal protein L17 [Collinsella intestinalis] 
gi|493774534|ref|WP_006723024.1|	DNA-directed RNA polymerase subunit alpha [Collinsella intestinalis] 
gi|493774535|ref|WP_006723025.1|	30S ribosomal protein S4 [Collinsella intestinalis] 
gi|493774536|ref|WP_006723026.1|	30S ribosomal protein S11 [Collinsella intestinalis] 
gi|493774537|ref|WP_006723027.1|	30S ribosomal protein S13 [Collinsella intestinalis] 
gi|493407172|ref|WP_006363204.1|	MULTISPECIES: 50S ribosomal protein L36 [Coriobacteriaceae] 
gi|493774538|ref|WP_006723028.1|	translation initiation factor IF-1 [Collinsella intestinalis] 
gi|493774539|ref|WP_006723029.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774540|ref|WP_006723030.1|	methionine aminopeptidase [Collinsella intestinalis] 
gi|493774541|ref|WP_006723031.1|	adenylate kinase [Collinsella intestinalis] 
gi|493774542|ref|WP_006723032.1|	preprotein translocase subunit SecY [Collinsella intestinalis] 
gi|493774543|ref|WP_006723033.1|	50S ribosomal protein L15 [Collinsella intestinalis] 
gi|493774544|ref|WP_006723034.1|	50S ribosomal protein L30 [Collinsella intestinalis] 
gi|493774545|ref|WP_006723035.1|	30S ribosomal protein S5 [Collinsella intestinalis] 
gi|493774546|ref|WP_006723036.1|	50S ribosomal protein L18 [Collinsella intestinalis] 
gi|493774547|ref|WP_006723037.1|	50S ribosomal protein L6 [Collinsella intestinalis] 
gi|493774548|ref|WP_006723038.1|	30S ribosomal protein S8 [Collinsella intestinalis] 
gi|493771804|ref|WP_006720324.1|	MULTISPECIES: 30S ribosomal protein S14 [Collinsella] 
gi|493774549|ref|WP_006723039.1|	50S ribosomal protein L5 [Collinsella intestinalis] 
gi|493774550|ref|WP_006723040.1|	peptidase U32 [Collinsella intestinalis] 
gi|493774551|ref|WP_006723041.1|	oxidoreductase [Collinsella intestinalis] 
gi|493774552|ref|WP_006723042.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774553|ref|WP_006723043.1|	50S ribosomal protein L24 [Collinsella intestinalis] 
gi|493771775|ref|WP_006720295.1|	MULTISPECIES: 50S ribosomal protein L14 [Collinsella] 
gi|493774554|ref|WP_006723044.1|	30S ribosomal protein S17 [Collinsella intestinalis] 
gi|493774555|ref|WP_006723045.1|	50S ribosomal protein L29 [Collinsella intestinalis] 
gi|493771772|ref|WP_006720292.1|	MULTISPECIES: 50S ribosomal protein L16 [Collinsella] 
gi|493774556|ref|WP_006723046.1|	30S ribosomal protein S3 [Collinsella intestinalis] 
gi|493774557|ref|WP_006723047.1|	50S ribosomal protein L22 [Collinsella intestinalis] 
gi|493774558|ref|WP_006723048.1|	30S ribosomal protein S19 [Collinsella intestinalis] 
gi|493774559|ref|WP_006723049.1|	50S ribosomal protein L2 [Collinsella intestinalis] 
gi|493774560|ref|WP_006723050.1|	50S ribosomal protein L23 [Collinsella intestinalis] 
gi|493774561|ref|WP_006723051.1|	50S ribosomal protein L4 [Collinsella intestinalis] 
gi|493774562|ref|WP_006723052.1|	50S ribosomal protein L3 [Collinsella intestinalis] 
gi|493774563|ref|WP_006723053.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774564|ref|WP_006723054.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774565|ref|WP_006723055.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774566|ref|WP_006723056.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774567|ref|WP_006723057.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774568|ref|WP_006723058.1|	cytochrome C552 [Collinsella intestinalis] 
gi|493774569|ref|WP_006723059.1|	O-acyltransferase [Collinsella intestinalis] 
gi|493774570|ref|WP_006723060.1|	D-alanine--D-alanine ligase [Collinsella intestinalis] 
gi|493774571|ref|WP_006723061.1|	phosphoribosylformylglycinamidine synthase [Collinsella intestinalis] 
gi|493774572|ref|WP_006723062.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774573|ref|WP_006723063.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774574|ref|WP_006723064.1|	glutaredoxin [Collinsella intestinalis] 
gi|493774575|ref|WP_006723065.1|	cation diffusion facilitator family transporter [Collinsella intestinalis] 
gi|493774576|ref|WP_006723066.1|	30S ribosomal protein S10 [Collinsella intestinalis] 
gi|493774578|ref|WP_006723067.1|	elongation factor P [Collinsella intestinalis] 
gi|493774579|ref|WP_006723068.1|	30S ribosomal protein S7 [Collinsella intestinalis] 
gi|493771744|ref|WP_006720265.1|	MULTISPECIES: 30S ribosomal protein S12 [Collinsella] 
gi|493774580|ref|WP_006723069.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774581|ref|WP_006723070.1|	DNA-directed RNA polymerase subunit beta [Collinsella intestinalis] 
gi|493774582|ref|WP_006723071.1|	DNA-directed RNA polymerase subunit beta [Collinsella intestinalis] 
gi|493774583|ref|WP_006723072.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774584|ref|WP_006723073.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774585|ref|WP_006723074.1|	nucleotidyltransferase [Collinsella intestinalis] 
gi|493774586|ref|WP_006723075.1|	50S ribosomal protein L7/L12 [Collinsella intestinalis] 
gi|493774587|ref|WP_006723076.1|	50S ribosomal protein L10 [Collinsella intestinalis] 
gi|493774588|ref|WP_006723077.1|	iron transporter FeoB [Collinsella intestinalis] 
gi|493774589|ref|WP_006723078.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774590|ref|WP_006723079.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774591|ref|WP_006723080.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774592|ref|WP_006723081.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774593|ref|WP_006723082.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774594|ref|WP_006723083.1|	ArsR family transcriptional regulator [Collinsella intestinalis] 
gi|493774595|ref|WP_006723084.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774596|ref|WP_006723085.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774597|ref|WP_006723086.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774598|ref|WP_006723087.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774599|ref|WP_006723088.1|	MFS transporter [Collinsella intestinalis] 
gi|493774600|ref|WP_006723089.1|	ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774601|ref|WP_006723090.1|	ABC transporter permease [Collinsella intestinalis] 
gi|493774602|ref|WP_006723091.1|	ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493774603|ref|WP_006723092.1|	ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493774604|ref|WP_006723093.1|	asparaginyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774605|ref|WP_006723094.1|	protein tyrosine/serine phosphatase [Collinsella intestinalis] 
gi|493774606|ref|WP_006723095.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774607|ref|WP_006723096.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774608|ref|WP_006723097.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774609|ref|WP_006723098.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774610|ref|WP_006723099.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774611|ref|WP_006723100.1|	small mechanosensitive ion channel protein MscS [Collinsella intestinalis] 
gi|493774612|ref|WP_006723101.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774613|ref|WP_006723102.1|	PadR family transcriptional regulator [Collinsella intestinalis] 
gi|493774614|ref|WP_006723103.1|	50S ribosomal protein L1 [Collinsella intestinalis] 
gi|493774615|ref|WP_006723104.1|	50S ribosomal protein L11 [Collinsella intestinalis] 
gi|493774616|ref|WP_006723105.1|	transcription antitermination protein nusG [Collinsella intestinalis] 
gi|493774617|ref|WP_006723106.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774618|ref|WP_006723107.1|	50S ribosomal protein L33 [Collinsella intestinalis] 
gi|493774619|ref|WP_006723108.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774620|ref|WP_006723109.1|	elongation factor Tu [Collinsella intestinalis] 
gi|493774621|ref|WP_006723110.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774622|ref|WP_006723111.1|	RNA methyltransferase [Collinsella intestinalis] 
gi|493774623|ref|WP_006723112.1|	cysteinyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774624|ref|WP_006723113.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Collinsella intestinalis] 
gi|493774625|ref|WP_006723114.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774626|ref|WP_006723115.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Collinsella intestinalis] 
gi|493774627|ref|WP_006723116.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774628|ref|WP_006723117.1|	ATP-dependent Clp protease ATP-binding protein [Collinsella intestinalis] 
gi|493774629|ref|WP_006723118.1|	peptidase M20 [Collinsella intestinalis] 
gi|493774630|ref|WP_006723119.1|	lysyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774631|ref|WP_006723120.1|	transcription elongation factor GreA [Collinsella intestinalis] 
gi|493774632|ref|WP_006723121.1|	translocase [Collinsella intestinalis] 
gi|493774633|ref|WP_006723122.1|	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Collinsella intestinalis] 
gi|493774634|ref|WP_006723123.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774635|ref|WP_006723124.1|	D-tyrosyl-tRNA(Tyr) deacylase [Collinsella intestinalis] 
gi|493774636|ref|WP_006723125.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774637|ref|WP_006723126.1|	ribonuclease PH [Collinsella intestinalis] 
gi|493774638|ref|WP_006723127.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774639|ref|WP_006723128.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774641|ref|WP_006723129.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774642|ref|WP_006723130.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774643|ref|WP_006723131.1|	NADPH-dependent butanol dehydrogenase [Collinsella intestinalis] 
gi|493774644|ref|WP_006723132.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774645|ref|WP_006723133.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774646|ref|WP_006723134.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774647|ref|WP_006723135.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774648|ref|WP_006723136.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774649|ref|WP_006723137.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774650|ref|WP_006723138.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774651|ref|WP_006723139.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774652|ref|WP_006723140.1|	glutamine synthetase [Collinsella intestinalis] 
gi|493774653|ref|WP_006723141.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774654|ref|WP_006723142.1|	RNA-binding protein [Collinsella intestinalis] 
gi|493774655|ref|WP_006723143.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774656|ref|WP_006723144.1|	glucosamine-6-phosphate deaminase [Collinsella intestinalis] 
gi|493774657|ref|WP_006723145.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774658|ref|WP_006723146.1|	PTS glucose transporter subunit IIA [Collinsella intestinalis] 
gi|493774659|ref|WP_006723147.1|	phosphoglucosamine mutase [Collinsella intestinalis] 
gi|493774660|ref|WP_006723148.1|	30S ribosomal protein S9 [Collinsella intestinalis] 
gi|493774661|ref|WP_006723149.1|	50S ribosomal protein L13 [Collinsella intestinalis] 
gi|493774662|ref|WP_006723150.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774663|ref|WP_006723151.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774664|ref|WP_006723152.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774665|ref|WP_006723153.1|	glutamyl-tRNA(Gln) amidotransferase [Collinsella intestinalis] 
gi|493774666|ref|WP_006723154.1|	glutamyl-tRNA amidotransferase subunit A [Collinsella intestinalis] 
gi|493774667|ref|WP_006723155.1|	glutamyl-tRNA(Gln) amidotransferase [Collinsella intestinalis] 
gi|493774668|ref|WP_006723156.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774669|ref|WP_006723157.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774670|ref|WP_006723158.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774671|ref|WP_006723159.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774672|ref|WP_006723160.1|	molybdenum cofactor biosynthesis protein MoeA [Collinsella intestinalis] 
gi|493774673|ref|WP_006723161.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774674|ref|WP_006723162.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774675|ref|WP_006723163.1|	DNA ligase [Collinsella intestinalis] 
gi|493774676|ref|WP_006723164.1|	3-oxoacyl-ACP reductase [Collinsella intestinalis] 
