gi|490134337|ref|WP_004034698.1|	citramalate synthase [Methanobrevibacter smithii] 
gi|490135039|ref|WP_004035399.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135040|ref|WP_004035400.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135041|ref|WP_004035401.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135043|ref|WP_004035403.1|	major facilitator transporter [Methanobrevibacter smithii] 
gi|490135046|ref|WP_004035406.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135048|ref|WP_004035408.1|	major facilitator transporter [Methanobrevibacter smithii] 
gi|490132966|ref|WP_004033327.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135058|ref|WP_004035418.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135060|ref|WP_004035420.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135063|ref|WP_004035423.1|	aspartate aminotransferase [Methanobrevibacter smithii] 
gi|490135065|ref|WP_004035425.1|	ATPase [Methanobrevibacter smithii] 
gi|490132961|ref|WP_004033322.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135069|ref|WP_004035429.1|	MULTISPECIES: glutamyl-tRNA synthetase [Methanobrevibacter] 
gi|490135071|ref|WP_004035431.1|	peptide transporter [Methanobrevibacter smithii] 
gi|490135073|ref|WP_004035433.1|	aldo/keto reductase [Methanobrevibacter smithii] 
gi|490135075|ref|WP_004035435.1|	peptide transporter [Methanobrevibacter smithii] 
gi|490135078|ref|WP_004035438.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490132949|ref|WP_004033310.1|	MULTISPECIES: cupin [Methanobrevibacter] 
gi|490135080|ref|WP_004035440.1|	hydroxylamine reductase [Methanobrevibacter smithii] 
gi|490135082|ref|WP_004035442.1|	transcriptional regulator [Methanobrevibacter smithii] 
gi|490135083|ref|WP_004035443.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135084|ref|WP_004035444.1|	serralysin [Methanobrevibacter smithii] 
gi|490132939|ref|WP_004033300.1|	MULTISPECIES: ribonuclease J [Methanobrevibacter] 
gi|490132937|ref|WP_004033298.1|	isopentenyl pyrophosphate isomerase [Methanobrevibacter smithii] 
gi|490132934|ref|WP_004033295.1|	amino acid kinase family protein [Methanobrevibacter smithii] 
gi|490132932|ref|WP_004033293.1|	MULTISPECIES: mevalonate kinase [Methanobrevibacter] 
gi|490135085|ref|WP_004035445.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132929|ref|WP_004033290.1|	MULTISPECIES: 30S ribosomal protein S2 [Methanobrevibacter] 
gi|490132926|ref|WP_004033287.1|	MULTISPECIES: ferredoxin [Methanobrevibacter] 
gi|490132918|ref|WP_004033279.1|	enolase [Methanobrevibacter smithii] 
gi|490132916|ref|WP_004033277.1|	DNA-directed RNA polymerase subunit K [Methanobrevibacter smithii] 
gi|490132914|ref|WP_004033275.1|	MULTISPECIES: DNA-directed RNA polymerase subunit N [Methanobrevibacter] 
gi|490132911|ref|WP_004033272.1|	MULTISPECIES: 30S ribosomal protein S9 [Methanobrevibacter] 
gi|490132909|ref|WP_004033270.1|	MULTISPECIES: 50S ribosomal protein L13 [Methanobrevibacter] 
gi|490132907|ref|WP_004033268.1|	MULTISPECIES: 50S ribosomal protein L18 [Methanobrevibacter] 
gi|490135086|ref|WP_004035446.1|	DNA-directed RNA polymerase subunit D [Methanobrevibacter smithii] 
gi|490132903|ref|WP_004033264.1|	MULTISPECIES: 30S ribosomal protein S11 [Methanobrevibacter] 
gi|490132901|ref|WP_004033262.1|	MULTISPECIES: 30S ribosomal protein S4 [Methanobrevibacter] 
gi|490132899|ref|WP_004033260.1|	MULTISPECIES: 30S ribosomal protein S13 [Methanobrevibacter] 
gi|490135087|ref|WP_004035447.1|	polyphosphate kinase [Methanobrevibacter smithii] 
gi|490135088|ref|WP_004035448.1|	exopolyphosphatase [Methanobrevibacter smithii] 
gi|490135089|ref|WP_004035449.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135090|ref|WP_004035450.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135091|ref|WP_004035451.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135094|ref|WP_004035454.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132888|ref|WP_004033249.1|	H/ACA RNA-protein complex protein Cbf5p [Methanobrevibacter smithii] 
gi|490132887|ref|WP_004033248.1|	MULTISPECIES: 50S ribosomal protein L14 [Methanobrevibacter] 
gi|490132886|ref|WP_004033247.1|	MULTISPECIES: cytidylate kinase [Methanobrevibacter] 
gi|490132885|ref|WP_004033246.1|	MULTISPECIES: 50S ribosomal protein L34 [Methanobrevibacter] 
gi|490132883|ref|WP_004033244.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490135095|ref|WP_004035455.1|	MULTISPECIES: adenylate kinase [Methanobrevibacter] 
gi|490135096|ref|WP_004035456.1|	MULTISPECIES: preprotein translocase subunit SecY [Methanobrevibacter] 
gi|490132878|ref|WP_004033239.1|	50S ribosomal protein L15 [Methanobrevibacter smithii] 
gi|490132876|ref|WP_004033237.1|	MULTISPECIES: 50S ribosomal protein L7ae [Methanobrevibacter] 
gi|490132874|ref|WP_004033235.1|	MULTISPECIES: 30S ribosomal protein S5 [Methanobrevibacter] 
gi|490132872|ref|WP_004033233.1|	50S ribosomal protein L18 [Methanobrevibacter smithii] 
gi|490132870|ref|WP_004033231.1|	MULTISPECIES: 50S ribosomal protein L19 [Methanobrevibacter] 
gi|490132868|ref|WP_004033229.1|	MULTISPECIES: 50S ribosomal protein L32e [Methanobrevibacter] 
gi|490132866|ref|WP_004033227.1|	MULTISPECIES: 50S ribosomal protein L6 [Methanobrevibacter] 
gi|490132864|ref|WP_004033225.1|	MULTISPECIES: 30S ribosomal protein S8 [Methanobrevibacter] 
gi|490132863|ref|WP_004033224.1|	30S ribosomal protein S14 [Methanobrevibacter smithii] 
gi|490132862|ref|WP_004033223.1|	MULTISPECIES: 50S ribosomal protein L5 [Methanobrevibacter] 
gi|490132861|ref|WP_004033222.1|	MULTISPECIES: 30S ribosomal protein S4 [Methanobrevibacter] 
gi|490132860|ref|WP_004033221.1|	MULTISPECIES: 50S ribosomal protein L24 [Methanobrevibacter] 
gi|490132859|ref|WP_004033220.1|	MULTISPECIES: 50S ribosomal protein L14 [Methanobrevibacter] 
gi|490132858|ref|WP_004033219.1|	MULTISPECIES: 30S ribosomal protein S17 [Methanobrevibacter] 
gi|490132857|ref|WP_004033218.1|	MULTISPECIES: ribonuclease P [Methanobrevibacter] 
gi|490132855|ref|WP_004033216.1|	MULTISPECIES: translation initiation factor SUI1 [Methanobrevibacter] 
gi|490132853|ref|WP_004033214.1|	MULTISPECIES: 50S ribosomal protein L29 [Methanobrevibacter] 
gi|490132852|ref|WP_004033213.1|	30S ribosomal protein S3 [Methanobrevibacter smithii] 
gi|490132849|ref|WP_004033210.1|	50S ribosomal protein L22 [Methanobrevibacter smithii] 
gi|490132848|ref|WP_004033209.1|	MULTISPECIES: 30S ribosomal protein S19 [Methanobrevibacter] 
gi|490132845|ref|WP_004033206.1|	MULTISPECIES: 50S ribosomal protein L2P [Methanobrevibacter] 
gi|490132844|ref|WP_004033205.1|	50S ribosomal protein L23 [Methanobrevibacter smithii] 
gi|490132842|ref|WP_004033203.1|	MULTISPECIES: 50S ribosomal protein L4 [Methanobrevibacter] 
gi|490132840|ref|WP_004033201.1|	MULTISPECIES: 50S ribosomal protein L3 [Methanobrevibacter] 
gi|490135099|ref|WP_004035459.1|	MULTISPECIES: RNA-binding protein [Methanobrevibacter] 
gi|490135100|ref|WP_004035460.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490132831|ref|WP_004033192.1|	MULTISPECIES: biotin carboxylase [Methanobrevibacter] 
gi|490132830|ref|WP_004033191.1|	MULTISPECIES: biotin [Methanobrevibacter] 
gi|490135102|ref|WP_004035462.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132826|ref|WP_004033187.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135104|ref|WP_004035464.1|	MULTISPECIES: fumarate hydratase [Methanobrevibacter] 
gi|490135107|ref|WP_004035467.1|	ABC transporter [Methanobrevibacter smithii] 
gi|490135109|ref|WP_004035469.1|	cobalt ABC transporter permease [Methanobrevibacter smithii] 
gi|490135111|ref|WP_004035471.1|	MFS transporter permease [Methanobrevibacter smithii] 
gi|490135119|ref|WP_004035479.1|	ABC transporter ATP-binding protein [Methanobrevibacter smithii] 
gi|490135121|ref|WP_004035481.1|	ABC transporter ATP-binding protein [Methanobrevibacter smithii] 
gi|490132802|ref|WP_004033163.1|	MULTISPECIES: AraC family transcriptional regulator [Methanobrevibacter] 
gi|490135123|ref|WP_004035483.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135125|ref|WP_004035485.1|	membrane protein [Methanobrevibacter smithii] 
gi|490135127|ref|WP_004035487.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135129|ref|WP_004035489.1|	fibronectin-binding protein [Methanobrevibacter smithii] 
gi|490132796|ref|WP_004033157.1|	metal-dependent hydrolase [Methanobrevibacter smithii] 
gi|490135131|ref|WP_004035491.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132794|ref|WP_004033155.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132792|ref|WP_004033153.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135133|ref|WP_004035493.1|	ferredoxin [Methanobrevibacter smithii] 
gi|490132787|ref|WP_004033148.1|	MULTISPECIES: ferredoxin [Methanobrevibacter] 
gi|490132786|ref|WP_004033147.1|	MULTISPECIES: phosphopantetheine adenylyltransferase [Methanobrevibacter] 
gi|490135135|ref|WP_004035495.1|	transglutaminase [Methanobrevibacter smithii] 
gi|490135141|ref|WP_004035501.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490135143|ref|WP_004035503.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135145|ref|WP_004035505.1|	aspartate aminotransferase [Methanobrevibacter smithii] 
gi|490132780|ref|WP_004033141.1|	MULTISPECIES: cation transporter [Methanobrevibacter] 
gi|490132779|ref|WP_004033140.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132777|ref|WP_004033138.1|	2-phosphoglycerate kinase [Methanobrevibacter smithii] 
gi|490135148|ref|WP_004035508.1|	MULTISPECIES: phosphoesterase [Methanobrevibacter] 
gi|490132774|ref|WP_004033135.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132773|ref|WP_004033134.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132772|ref|WP_004033133.1|	MULTISPECIES: disulfide reductase [Methanobrevibacter] 
gi|490135151|ref|WP_004035511.1|	heterodisulfide reductase subunit C [Methanobrevibacter smithii] 
gi|490135153|ref|WP_004035513.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132769|ref|WP_004033130.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135155|ref|WP_004035515.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132767|ref|WP_004033128.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135156|ref|WP_004035516.1|	MULTISPECIES: diphthine synthase [Methanobrevibacter] 
gi|490135157|ref|WP_004035517.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490135158|ref|WP_004035518.1|	peptidase [Methanobrevibacter smithii] 
gi|490135159|ref|WP_004035519.1|	methylthioribose-1-phosphate isomerase [Methanobrevibacter smithii] 
gi|490135160|ref|WP_004035520.1|	MULTISPECIES: arginine ABC transporter ATP-binding protein [Methanobrevibacter] 
gi|490132761|ref|WP_004033122.1|	MULTISPECIES: polar amino acid ABC transporter permease [Methanobrevibacter] 
gi|490132760|ref|WP_004033121.1|	MULTISPECIES: ABC transporter substrate-binding protein [Methanobrevibacter] 
gi|490135161|ref|WP_004035521.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132758|ref|WP_004033119.1|	MULTISPECIES: methanogeneis marker protein 17 [Methanobrevibacter] 
gi|490132757|ref|WP_004033118.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132756|ref|WP_004033117.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132755|ref|WP_004033116.1|	MULTISPECIES: putative methanogeneis marker protein 6 [Methanobrevibacter] 
gi|490135163|ref|WP_004035523.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135165|ref|WP_004035525.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135167|ref|WP_004035527.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132751|ref|WP_004033112.1|	MULTISPECIES: ribonuclease VapC2 [Methanobrevibacter] 
gi|490132750|ref|WP_004033111.1|	ArsR family transcriptional regulator [Methanobrevibacter smithii] 
gi|490135169|ref|WP_004035529.1|	transcriptional regulator [Methanobrevibacter smithii] 
gi|490135171|ref|WP_004035531.1|	MULTISPECIES: ArsR family transcriptional regulator [Methanobrevibacter] 
gi|490132747|ref|WP_004033108.1|	MULTISPECIES: molybdopterin adenylyltransferase [Methanobrevibacter] 
gi|490135173|ref|WP_004035533.1|	MULTISPECIES: orotate phosphoribosyltransferase [Methanobrevibacter] 
gi|490132745|ref|WP_004033106.1|	MULTISPECIES: photosystem reaction center subunit H [Methanobrevibacter] 
gi|490135175|ref|WP_004035535.1|	phosphoenolpyruvate synthase [Methanobrevibacter smithii] 
gi|490135177|ref|WP_004035537.1|	GNAT family acetyltransferase [Methanobrevibacter smithii] 
gi|490135181|ref|WP_004035541.1|	adenosylcobinamide amidohydrolase [Methanobrevibacter smithii] 
gi|490132741|ref|WP_004033102.1|	MULTISPECIES: thermosome subunit [Methanobrevibacter] 
gi|490132740|ref|WP_004033101.1|	MULTISPECIES: metal-dependent hydrolase [Methanobrevibacter] 
gi|490135189|ref|WP_004035549.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135191|ref|WP_004035551.1|	aspartate-semialdehyde dehydrogenase [Methanobrevibacter smithii] 
gi|490135193|ref|WP_004035553.1|	dihydrodipicolinate reductase [Methanobrevibacter smithii] 
gi|490135194|ref|WP_004035554.1|	dihydrodipicolinate synthase [Methanobrevibacter smithii] 
gi|490132735|ref|WP_004033096.1|	MULTISPECIES: aspartate kinase [Methanobrevibacter] 
gi|490132734|ref|WP_004033095.1|	30S ribosomal protein S17 [Methanobrevibacter smithii] 
gi|490132733|ref|WP_004033094.1|	MULTISPECIES: chorismate mutase [Methanobrevibacter] 
gi|490135195|ref|WP_004035555.1|	shikimate kinase [Methanobrevibacter smithii] 
gi|490135196|ref|WP_004035556.1|	glycosyl transferase family 1 [Methanobrevibacter smithii] 
gi|490135197|ref|WP_004035557.1|	cobalt-precorrin-6A synthase [Methanobrevibacter smithii] 
gi|490135198|ref|WP_004035558.1|	thioredoxin [Methanobrevibacter smithii] 
gi|490135199|ref|WP_004035559.1|	DEAD/DEAH box helicase [Methanobrevibacter smithii] 
gi|490132726|ref|WP_004033088.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132725|ref|WP_004033087.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135201|ref|WP_004035561.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135203|ref|WP_004035563.1|	deoxyribose-phosphate aldolase [Methanobrevibacter smithii] 
gi|490132722|ref|WP_004033084.1|	MULTISPECIES: histone [Methanobrevibacter] 
gi|490135204|ref|WP_004035564.1|	threonylcarbamoyladenosine tRNA methylthiotransferase [Methanobrevibacter smithii] 
gi|490132720|ref|WP_004033082.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132719|ref|WP_004033081.1|	3-isopropylmalate dehydratase small subunit [Methanobrevibacter smithii] 
gi|490135206|ref|WP_004035566.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135208|ref|WP_004035568.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135213|ref|WP_004035573.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135215|ref|WP_004035575.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135217|ref|WP_004035577.1|	carboxylate-amine ligase [Methanobrevibacter smithii] 
gi|490135219|ref|WP_004035579.1|	UDP-N-acetylglucosamine 2-epimerase [Methanobrevibacter smithii] 
gi|490132712|ref|WP_004033074.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135221|ref|WP_004035581.1|	tRNA pseudouridine synthase A [Methanobrevibacter smithii] 
gi|490135223|ref|WP_004035583.1|	cell division protein FtsX [Methanobrevibacter smithii] 
gi|490132709|ref|WP_004033071.1|	MULTISPECIES: macrolide ABC transporter ATP-binding protein [Methanobrevibacter] 
gi|490132708|ref|WP_004033070.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Methanobrevibacter smithii] 
gi|490132707|ref|WP_004033069.1|	FAD synthase [Methanobrevibacter smithii] 
gi|490132706|ref|WP_004033068.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Methanobrevibacter smithii] 
gi|490132705|ref|WP_004033067.1|	MULTISPECIES: flavodoxin [Methanobrevibacter] 
gi|490132704|ref|WP_004033066.1|	aspartate carbamoyltransferase [Methanobrevibacter smithii] 
gi|490135229|ref|WP_004035589.1|	ferredoxin [Methanobrevibacter smithii] 
gi|490135231|ref|WP_004035591.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132701|ref|WP_004033063.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135233|ref|WP_004035593.1|	helicase [Methanobrevibacter smithii] 
gi|490135235|ref|WP_004035595.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135237|ref|WP_004035597.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135239|ref|WP_004035599.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135242|ref|WP_004035602.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135249|ref|WP_004035609.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135251|ref|WP_004035611.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490135253|ref|WP_004035613.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135255|ref|WP_004035615.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135256|ref|WP_004035616.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135258|ref|WP_004035618.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135259|ref|WP_004035619.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135261|ref|WP_004035621.1|	molecular chaperone Hsp20 [Methanobrevibacter smithii] 
gi|490135263|ref|WP_004035623.1|	glucosamine--fructose-6-phosphate aminotransferase [Methanobrevibacter smithii] 
gi|490132694|ref|WP_004033056.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135267|ref|WP_004035627.1|	adenine deaminase [Methanobrevibacter smithii] 
gi|490135269|ref|WP_004035629.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135271|ref|WP_004035631.1|	arginase [Methanobrevibacter smithii] 
gi|490132690|ref|WP_004033052.1|	MULTISPECIES: translation initiation factor 5A [Methanobrevibacter] 
gi|490132689|ref|WP_004033051.1|	pyruvoyl-dependent arginine decarboxylase [Methanobrevibacter smithii] 
gi|490135273|ref|WP_004035633.1|	inorganic polyphosphate kinase [Methanobrevibacter smithii] 
gi|490135275|ref|WP_004035635.1|	UDP-N-acetylmuramyl peptide synthase [Methanobrevibacter smithii] 
gi|490132686|ref|WP_004033048.1|	MULTISPECIES: porphobilinogen deaminase [Methanobrevibacter] 
gi|490132685|ref|WP_004033047.1|	MULTISPECIES: oxidoreductase [Methanobrevibacter] 
gi|490132684|ref|WP_004033046.1|	orotate phosphoribosyltransferase [Methanobrevibacter smithii] 
gi|490135277|ref|WP_004035637.1|	adhesin [Methanobrevibacter smithii] 
gi|490135278|ref|WP_004035638.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490135283|ref|WP_004035643.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135285|ref|WP_004035645.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135287|ref|WP_004035647.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132680|ref|WP_004033042.1|	MULTISPECIES: adenine nucleotide alpha hydrolase stress protein [Methanobrevibacter] 
gi|490132679|ref|WP_004033041.1|	MULTISPECIES: glutamate dehydrogenase [Methanobrevibacter] 
gi|490132678|ref|WP_004033040.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132677|ref|WP_004033039.1|	MULTISPECIES: peptide chain release factor 1 [Methanobrevibacter] 
gi|490132676|ref|WP_004033038.1|	zinc-binding protein [Methanobrevibacter smithii] 
gi|490132675|ref|WP_004033037.1|	MULTISPECIES: acetyltransferase [Methanobrevibacter] 
gi|490132674|ref|WP_004033036.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135292|ref|WP_004035652.1|	ATPase [Methanobrevibacter smithii] 
gi|490135297|ref|WP_004035657.1|	precorrin-6x reductase [Methanobrevibacter smithii] 
gi|490132671|ref|WP_004033033.1|	MULTISPECIES: 30S ribosomal protein S10 [Methanobrevibacter] 
gi|490132670|ref|WP_004033032.1|	elongation factor 1-alpha [Methanobrevibacter smithii] 
gi|490132669|ref|WP_004033031.1|	elongation factor EF-2 [Methanobrevibacter smithii] 
gi|490132668|ref|WP_004033030.1|	MULTISPECIES: 30S ribosomal protein S7 [Methanobrevibacter] 
gi|490132667|ref|WP_004033029.1|	MULTISPECIES: 30S ribosomal protein S12 [Methanobrevibacter] 
gi|490132664|ref|WP_004033026.1|	MULTISPECIES: transcription elongation factor NusA [Methanobrevibacter] 
gi|490132663|ref|WP_004033025.1|	50S ribosomal protein L30 [Methanobrevibacter smithii] 
gi|490132662|ref|WP_004033024.1|	MULTISPECIES: DNA-directed RNA polymerase subunit A'' [Methanobrevibacter] 
gi|490132661|ref|WP_004033023.1|	MULTISPECIES: DNA-directed RNA polymerase subunit A' [Methanobrevibacter] 
gi|490135300|ref|WP_004035660.1|	DNA-directed RNA polymerase subunit B' [Methanobrevibacter smithii] 
gi|490135304|ref|WP_004035664.1|	DNA-directed RNA polymerase subunit B'' [Methanobrevibacter smithii] 
gi|490135308|ref|WP_004035668.1|	DNA-directed RNA polymerase subunit H [Methanobrevibacter smithii] 
gi|490135309|ref|WP_004035669.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135311|ref|WP_004035671.1|	peptide transporter [Methanobrevibacter smithii] 
gi|490135313|ref|WP_004035673.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135314|ref|WP_004035674.1|	hydroxyethylthiazole kinase [Methanobrevibacter smithii] 
gi|490135316|ref|WP_004035676.1|	thiamine-phosphate pyrophosphorylase [Methanobrevibacter smithii] 
gi|490135318|ref|WP_004035678.1|	phosphoglycerate kinase [Methanobrevibacter smithii] 
gi|490132653|ref|WP_004033015.1|	MULTISPECIES: triosephosphate isomerase [Methanobrevibacter] 
gi|490135323|ref|WP_004035683.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132651|ref|WP_004033013.1|	O-linked N-acetylglucosamine transferase [Methanobrevibacter smithii] 
gi|490135324|ref|WP_004035684.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490135325|ref|WP_004035685.1|	flavodoxin [Methanobrevibacter smithii] 
gi|490135326|ref|WP_004035686.1|	succinyl-CoA synthetase subunit beta [Methanobrevibacter smithii] 
gi|490135328|ref|WP_004035688.1|	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [Methanobrevibacter smithii] 
gi|490135329|ref|WP_004035689.1|	2-oxoglutarate synthase [Methanobrevibacter smithii] 
gi|490135331|ref|WP_004035691.1|	2-oxoglutarate ferredoxin oxidoreductase subunit alpha [Methanobrevibacter smithii] 
gi|490132644|ref|WP_004033006.1|	2-oxoglutarate ferredoxin oxidoreductase subunit delta [Methanobrevibacter smithii] 
gi|490135333|ref|WP_004035693.1|	MULTISPECIES: fumarate hydratase [Methanobrevibacter] 
gi|490135335|ref|WP_004035695.1|	peptidylprolyl isomerase [Methanobrevibacter smithii] 
gi|490135336|ref|WP_004035696.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135337|ref|WP_004035697.1|	tRNA methyltransferase [Methanobrevibacter smithii] 
gi|490135338|ref|WP_004035698.1|	cobalamin-5-phosphate synthase [Methanobrevibacter smithii] 
gi|490132638|ref|WP_004033000.1|	MULTISPECIES: phosphatidylglycerophosphatase [Methanobrevibacter] 
gi|490135339|ref|WP_004035699.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135340|ref|WP_004035700.1|	7-cyano-7-deazaguanine synthase [Methanobrevibacter smithii] 
gi|490135342|ref|WP_004035702.1|	phosphohydrolase [Methanobrevibacter smithii] 
gi|490135343|ref|WP_004035703.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132634|ref|WP_004032996.1|	MULTISPECIES: pyruvate carboxylase [Methanobrevibacter] 
gi|490135344|ref|WP_004035704.1|	inositol-3-phosphate synthase [Methanobrevibacter smithii] 
gi|490132632|ref|WP_004032994.1|	MULTISPECIES: prenyltransferase [Methanobrevibacter] 
gi|490135346|ref|WP_004035706.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135348|ref|WP_004035708.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132629|ref|WP_004032991.1|	MULTISPECIES: cytidyltransferase [Methanobrevibacter] 
gi|490132628|ref|WP_004032990.1|	MULTISPECIES: hydrogenase formation protein HypD [Methanobrevibacter] 
gi|490135349|ref|WP_004035709.1|	phosphoglycolate phosphatase [Methanobrevibacter smithii] 
gi|490135350|ref|WP_004035710.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132625|ref|WP_004032987.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135352|ref|WP_004035712.1|	MULTISPECIES: transcriptional activator [Methanobrevibacter] 
gi|490135354|ref|WP_004035714.1|	molybdenum cofactor biosynthesis protein MoeA [Methanobrevibacter smithii] 
gi|490132622|ref|WP_004032984.1|	MULTISPECIES: translation initiation factor IF-1 [Methanobrevibacter] 
gi|490135356|ref|WP_004035716.1|	serine/threonine kinase [Methanobrevibacter smithii] 
gi|490132620|ref|WP_004032982.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490135358|ref|WP_004035718.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135360|ref|WP_004035720.1|	DNA topoisomerase VI subunit B [Methanobrevibacter smithii] 
gi|490132617|ref|WP_004032979.1|	MULTISPECIES: DNA topoisomerase VI subunit A [Methanobrevibacter] 
gi|490135362|ref|WP_004035722.1|	adhesin [Methanobrevibacter smithii] 
gi|490135365|ref|WP_004035725.1|	1,4-beta-cellobiosidase [Methanobrevibacter smithii] 
gi|490135368|ref|WP_004035728.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135370|ref|WP_004035730.1|	cation transporter [Methanobrevibacter smithii] 
gi|490132612|ref|WP_004032974.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132611|ref|WP_004032973.1|	MULTISPECIES: glyceraldehyde-3-phosphate dehydrogenase [Methanobrevibacter] 
gi|490135373|ref|WP_004035733.1|	endonuclease IV [Methanobrevibacter smithii] 
gi|490135375|ref|WP_004035735.1|	metallophosphatase [Methanobrevibacter smithii] 
gi|490135378|ref|WP_004035738.1|	3-hydroxybutyryl-CoA dehydrogenase [Methanobrevibacter smithii] 
