gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689431|ref|WP_005923210.1|	NAD synthetase [Faecalibacterium prausnitzii] 
gi|492689435|ref|WP_005923212.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689441|ref|WP_005923216.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492689443|ref|WP_005923217.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689447|ref|WP_005923220.1|	pseudouridine synthase [Faecalibacterium prausnitzii] 
gi|492689452|ref|WP_005923223.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689456|ref|WP_005923226.1|	purine nucleoside phosphorylase [Faecalibacterium prausnitzii] 
gi|492689460|ref|WP_005923229.1|	cytidine deaminase [Faecalibacterium prausnitzii] 
gi|492689464|ref|WP_005923231.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689469|ref|WP_005923234.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689474|ref|WP_005923237.1|	heme ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492689480|ref|WP_005923241.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492689483|ref|WP_005923243.1|	branched-chain amino acid ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492689486|ref|WP_005923245.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689491|ref|WP_005923248.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689495|ref|WP_005923250.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689500|ref|WP_005923254.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689506|ref|WP_005923257.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689511|ref|WP_005923260.1|	peptide ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492689515|ref|WP_005923262.1|	peptide ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492689518|ref|WP_005923264.1|	peptide ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492689521|ref|WP_005923266.1|	peptide ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492689525|ref|WP_005923268.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492689530|ref|WP_005923271.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689535|ref|WP_005923274.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689540|ref|WP_005923277.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689544|ref|WP_005923280.1|	ATPase [Faecalibacterium prausnitzii] 
gi|492689550|ref|WP_005923284.1|	FMN-binding protein [Faecalibacterium prausnitzii] 
gi|492689556|ref|WP_005923287.1|	LysR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492689562|ref|WP_005923290.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492689567|ref|WP_005923293.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492689574|ref|WP_005923297.1|	MarR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492689579|ref|WP_005923300.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689585|ref|WP_005923303.1|	Na/Pi-cotransporter II [Faecalibacterium prausnitzii] 
gi|492689590|ref|WP_005923306.1|	sortase [Faecalibacterium prausnitzii] 
gi|492689595|ref|WP_005923309.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689600|ref|WP_005923312.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689605|ref|WP_005923315.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689610|ref|WP_005923318.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689614|ref|WP_005923321.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689618|ref|WP_005923323.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689622|ref|WP_005923326.1|	transglycosylase [Faecalibacterium prausnitzii] 
gi|492689627|ref|WP_005923329.1|	amino acid-binding protein [Faecalibacterium prausnitzii] 
gi|492689631|ref|WP_005923332.1|	homoserine dehydrogenase [Faecalibacterium prausnitzii] 
gi|492689635|ref|WP_005923334.1|	homoserine kinase [Faecalibacterium prausnitzii] 
gi|492689639|ref|WP_005923337.1|	aspartate kinase [Faecalibacterium prausnitzii] 
gi|492689644|ref|WP_005923340.1|	D-alanyl-D-alanine carboxypeptidase [Faecalibacterium prausnitzii] 
gi|492689648|ref|WP_005923343.1|	peptidase M16 [Faecalibacterium prausnitzii] 
gi|492689654|ref|WP_005923346.1|	peptidase M16 [Faecalibacterium prausnitzii] 
gi|492689658|ref|WP_005923348.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689661|ref|WP_005923350.1|	50S ribosomal protein L21 [Faecalibacterium prausnitzii] 
gi|492689679|ref|WP_005923362.1|	50S ribosomal protein L27 [Faecalibacterium prausnitzii] 
gi|492689685|ref|WP_005923365.1|	GTPase [Faecalibacterium prausnitzii] 
gi|492689691|ref|WP_005923368.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689695|ref|WP_005923371.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689697|ref|WP_005923372.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689702|ref|WP_005923375.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689708|ref|WP_005923378.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492689713|ref|WP_005923381.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689717|ref|WP_005923383.1|	toxin of toxin-antitoxin (TA) system [Faecalibacterium prausnitzii] 
gi|492689720|ref|WP_005923385.1|	prevent-host-death protein [Faecalibacterium prausnitzii] 
gi|492689723|ref|WP_005923387.1|	D-serine dehydratase [Faecalibacterium prausnitzii] 
gi|492689728|ref|WP_005923390.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689734|ref|WP_005923393.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689739|ref|WP_005923396.1|	mannonate dehydratase [Faecalibacterium prausnitzii] 
gi|492689744|ref|WP_005923399.1|	dioxygenase [Faecalibacterium prausnitzii] 
gi|492689749|ref|WP_005923402.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689753|ref|WP_005923405.1|	histidine kinase [Faecalibacterium prausnitzii] 
gi|492689759|ref|WP_005923408.1|	hisitidine kinase [Faecalibacterium prausnitzii] 
gi|492689764|ref|WP_005923411.1|	C4-dicarboxylate ABC transporter [Faecalibacterium prausnitzii] 
gi|492689769|ref|WP_005923414.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689775|ref|WP_005923418.1|	C4-dicarboxylate ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492689780|ref|WP_005923421.1|	C4-dicarboxylate ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492689786|ref|WP_005923424.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492689790|ref|WP_005923427.1|	histidine kinase [Faecalibacterium prausnitzii] 
gi|492689795|ref|WP_005923430.1|	glutamate synthase subunit beta [Faecalibacterium prausnitzii] 
gi|492689799|ref|WP_005923433.1|	glutamate synthase [Faecalibacterium prausnitzii] 
gi|492689804|ref|WP_005923436.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689809|ref|WP_005923439.1|	hydroxylamine reductase [Faecalibacterium prausnitzii] 
gi|492689812|ref|WP_005923441.1|	glutamate dehydrogenase [Faecalibacterium prausnitzii] 
gi|492689819|ref|WP_005923445.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689824|ref|WP_005923449.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689829|ref|WP_005923452.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492689834|ref|WP_005923455.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689841|ref|WP_005923459.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689844|ref|WP_005923461.1|	epimerase/dehydratase WbiI [Faecalibacterium prausnitzii] 
gi|492689848|ref|WP_005923463.1|	diaminopimelate decarboxylase [Faecalibacterium prausnitzii] 
gi|492689853|ref|WP_005923466.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689859|ref|WP_005923470.1|	peptidase [Faecalibacterium prausnitzii] 
gi|492689866|ref|WP_005923474.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492689871|ref|WP_005923477.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689873|ref|WP_005923479.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689876|ref|WP_005923482.1|	alpha-glucan phosphorylase [Faecalibacterium prausnitzii] 
gi|492689882|ref|WP_005923485.1|	cell division protein ZapA [Faecalibacterium prausnitzii] 
gi|492689887|ref|WP_005923488.1|	peptidase U32 [Faecalibacterium prausnitzii] 
gi|492689893|ref|WP_005923491.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Faecalibacterium prausnitzii] 
gi|492689898|ref|WP_005923494.1|	septum formation protein Maf [Faecalibacterium prausnitzii] 
gi|492689903|ref|WP_005923497.1|	rod shape-determining protein Mbl [Faecalibacterium prausnitzii] 
gi|492689906|ref|WP_005923499.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689910|ref|WP_005923501.1|	rod shape-determining protein MreC [Faecalibacterium prausnitzii] 
gi|492689916|ref|WP_005923504.1|	rod shape-determining protein MreD [Faecalibacterium prausnitzii] 
gi|492689921|ref|WP_005923507.1|	peptidase [Faecalibacterium prausnitzii] 
gi|492689926|ref|WP_005923510.1|	methylglyoxal synthase [Faecalibacterium prausnitzii] 
gi|492689931|ref|WP_005923513.1|	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase [Faecalibacterium prausnitzii] 
gi|492689936|ref|WP_005923516.1|	ribonuclease H [Faecalibacterium prausnitzii] 
gi|492689942|ref|WP_005923520.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689947|ref|WP_005923523.1|	beta-lactamase [Faecalibacterium prausnitzii] 
gi|492689952|ref|WP_005923526.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689957|ref|WP_005923529.1|	UDP-galactopyranose mutase [Faecalibacterium prausnitzii] 
gi|492689961|ref|WP_005923531.1|	50S ribosomal protein L9 [Faecalibacterium prausnitzii] 
gi|492689964|ref|WP_005923533.1|	replicative DNA helicase [Faecalibacterium prausnitzii] 
gi|492689967|ref|WP_005923535.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689971|ref|WP_005923537.1|	hypoxanthine phosphoribosyltransferase [Faecalibacterium prausnitzii] 
gi|492689976|ref|WP_005923540.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689980|ref|WP_005923543.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689983|ref|WP_005923545.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492689989|ref|WP_005923548.1|	LacI family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492689993|ref|WP_005923551.1|	HAD hydrolase [Faecalibacterium prausnitzii] 
gi|492689997|ref|WP_005923553.1|	S-ribosylhomocysteinase [Faecalibacterium prausnitzii] 
gi|492690003|ref|WP_005923556.1|	pyruvate kinase [Faecalibacterium prausnitzii] 
gi|492690007|ref|WP_005923559.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690013|ref|WP_005923562.1|	phosphopentomutase [Faecalibacterium prausnitzii] 
gi|492690017|ref|WP_005923565.1|	pyrimidine-nucleoside phosphorylase [Faecalibacterium prausnitzii] 
gi|492690020|ref|WP_005923567.1|	potassium transporter TrkA [Faecalibacterium prausnitzii] 
gi|492690024|ref|WP_005923569.1|	Trk system potassium transporter TrkH [Faecalibacterium prausnitzii] 
gi|492690026|ref|WP_005923571.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690029|ref|WP_005923573.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690030|ref|WP_005923574.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690032|ref|WP_005923576.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690034|ref|WP_005923578.1|	peptidase [Faecalibacterium prausnitzii] 
gi|492690036|ref|WP_005923580.1|	protein BmrU [Faecalibacterium prausnitzii] 
gi|492690039|ref|WP_005923582.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690043|ref|WP_005923585.1|	co-chaperonin GroES [Faecalibacterium prausnitzii] 
gi|492690060|ref|WP_005923596.1|	molecular chaperone GroEL [Faecalibacterium prausnitzii] 
gi|492690064|ref|WP_005923599.1|	peptidase [Faecalibacterium prausnitzii] 
gi|492690069|ref|WP_005923602.1|	preprotein translocase subunit SecG [Faecalibacterium prausnitzii] 
gi|492690073|ref|WP_005923604.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690078|ref|WP_005923607.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690083|ref|WP_005923610.1|	TetR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492690088|ref|WP_005923613.1|	glycosyl hydrolase family 2 [Faecalibacterium prausnitzii] 
gi|492690091|ref|WP_005923615.1|	sugar:sodium symporter [Faecalibacterium prausnitzii] 
gi|492690096|ref|WP_005923618.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690099|ref|WP_005923620.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690102|ref|WP_005923622.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690105|ref|WP_005923624.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690110|ref|WP_005923627.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690113|ref|WP_005923629.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690118|ref|WP_005923632.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690123|ref|WP_005923635.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690128|ref|WP_005923638.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690133|ref|WP_005923641.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690138|ref|WP_005923644.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690143|ref|WP_005923647.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690148|ref|WP_005923650.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690151|ref|WP_005923652.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690154|ref|WP_005923654.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690157|ref|WP_005923656.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690162|ref|WP_005923659.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690167|ref|WP_005923662.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690171|ref|WP_005923665.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690174|ref|WP_005923667.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690179|ref|WP_005923670.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690183|ref|WP_005923673.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690186|ref|WP_005923675.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690190|ref|WP_005923678.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690195|ref|WP_005923681.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690199|ref|WP_005923684.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690204|ref|WP_005923687.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690209|ref|WP_005923690.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690213|ref|WP_005923692.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690218|ref|WP_005923695.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690223|ref|WP_005923698.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690226|ref|WP_005923700.1|	tail protein [Faecalibacterium prausnitzii] 
gi|492690229|ref|WP_005923702.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690233|ref|WP_005923704.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690238|ref|WP_005923707.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690243|ref|WP_005923710.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690249|ref|WP_005923713.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690252|ref|WP_005923716.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690254|ref|WP_005923718.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690258|ref|WP_005923720.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690265|ref|WP_005923724.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690270|ref|WP_005923727.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690274|ref|WP_005923730.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690279|ref|WP_005923733.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690285|ref|WP_005923736.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690288|ref|WP_005923738.1|	phage portal protein [Faecalibacterium prausnitzii] 
gi|492690294|ref|WP_005923742.1|	peptidyl-prolyl cis-trans isomerase [Faecalibacterium prausnitzii] 
gi|492690298|ref|WP_005923745.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690303|ref|WP_005923748.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690308|ref|WP_005923751.1|	terminase [Faecalibacterium prausnitzii] 
gi|492690313|ref|WP_005923754.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690318|ref|WP_005923757.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690321|ref|WP_005923759.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690325|ref|WP_005923761.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690330|ref|WP_005923764.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690337|ref|WP_005923768.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690341|ref|WP_005923771.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690348|ref|WP_005923775.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690352|ref|WP_005923778.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690356|ref|WP_005923780.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690359|ref|WP_005923782.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690364|ref|WP_005923785.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690368|ref|WP_005923788.1|	DNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492690371|ref|WP_005923790.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690375|ref|WP_005923793.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690379|ref|WP_005923795.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690384|ref|WP_005923798.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690391|ref|WP_005923802.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690397|ref|WP_005923805.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690403|ref|WP_005923808.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690408|ref|WP_005923811.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690413|ref|WP_005923814.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690419|ref|WP_005923817.1|	helicase SNF2 [Faecalibacterium prausnitzii] 
gi|492690424|ref|WP_005923820.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690429|ref|WP_005923823.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690432|ref|WP_005923825.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690435|ref|WP_005923827.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690439|ref|WP_005923829.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690442|ref|WP_005923831.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690446|ref|WP_005923834.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690451|ref|WP_005923837.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690455|ref|WP_005923839.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690460|ref|WP_005923842.1|	23S rRNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492690465|ref|WP_005923845.1|	AraC family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492690470|ref|WP_005923848.1|	galactokinase [Faecalibacterium prausnitzii] 
gi|492690475|ref|WP_005923851.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690480|ref|WP_005923854.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690485|ref|WP_005923857.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690490|ref|WP_005923861.1|	4-alpha-glucanotransferase [Faecalibacterium prausnitzii] 
gi|492690495|ref|WP_005923863.1|	sugar ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492690498|ref|WP_005923865.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690501|ref|WP_005923867.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492690504|ref|WP_005923869.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492690508|ref|WP_005923871.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690514|ref|WP_005923875.1|	30S ribosomal protein S18 [Faecalibacterium prausnitzii] 
gi|492690517|ref|WP_005923877.1|	single-stranded DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492690521|ref|WP_005923879.1|	30S ribosomal protein S6 [Faecalibacterium prausnitzii] 
gi|492690524|ref|WP_005923881.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690530|ref|WP_005923884.1|	sodium:proton antiporter [Faecalibacterium prausnitzii] 
gi|492690535|ref|WP_005923887.1|	UTP--glucose-1-phosphate uridylyltransferase [Faecalibacterium prausnitzii] 
gi|492690539|ref|WP_005923890.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690542|ref|WP_005923892.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690547|ref|WP_005923895.1|	peptide chain release factor 2 [Faecalibacterium prausnitzii] 
gi|492690552|ref|WP_005923898.1|	stage IV sporulation protein B [Faecalibacterium prausnitzii] 
gi|492690555|ref|WP_005923900.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492690560|ref|WP_005923903.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690564|ref|WP_005923905.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690568|ref|WP_005923907.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690572|ref|WP_005923909.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690577|ref|WP_005923912.1|	uridylate kinase [Faecalibacterium prausnitzii] 
gi|492690582|ref|WP_005923915.1|	ribosome recycling factor [Faecalibacterium prausnitzii] 
gi|492690587|ref|WP_005923918.1|	UDP pyrophosphate synthase [Faecalibacterium prausnitzii] 
gi|492690592|ref|WP_005923921.1|	phosphatidate cytidylyltransferase [Faecalibacterium prausnitzii] 
gi|492690597|ref|WP_005923924.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Faecalibacterium prausnitzii] 
gi|492690601|ref|WP_005923927.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690605|ref|WP_005923929.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Faecalibacterium prausnitzii] 
gi|492690608|ref|WP_005923931.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690613|ref|WP_005923934.1|	DNA polymerase III subunit alpha [Faecalibacterium prausnitzii] 
gi|492690618|ref|WP_005923937.1|	dihydroxyacetone kinase [Faecalibacterium prausnitzii] 
gi|492690624|ref|WP_005923940.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690628|ref|WP_005923943.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690632|ref|WP_005923945.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690638|ref|WP_005923949.1|	dihydropyrimidine dehydrogenase subunit A [Faecalibacterium prausnitzii] 
gi|492690644|ref|WP_005923953.1|	ferredoxin-NADP(+) reductase subunit alpha [Faecalibacterium prausnitzii] 
gi|492690648|ref|WP_005923956.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690653|ref|WP_005923959.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690657|ref|WP_005923961.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690661|ref|WP_005923963.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690665|ref|WP_005923965.1|	helicase [Faecalibacterium prausnitzii] 
gi|492690669|ref|WP_005923968.1|	rod shape-determining protein Mbl [Faecalibacterium prausnitzii] 
gi|492690674|ref|WP_005923971.1|	sodium pump decarboxylase [Faecalibacterium prausnitzii] 
gi|492690678|ref|WP_005923974.1|	glutaconyl-CoA decarboxylase subunit beta [Faecalibacterium prausnitzii] 
gi|492690685|ref|WP_005923978.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690690|ref|WP_005923981.1|	alpha/beta hydrolase [Faecalibacterium prausnitzii] 
gi|492690693|ref|WP_005923983.1|	carbon starvation protein CstA [Faecalibacterium prausnitzii] 
gi|492690699|ref|WP_005923986.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690702|ref|WP_005923988.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690706|ref|WP_005923990.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690709|ref|WP_005923992.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690714|ref|WP_005923995.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492690720|ref|WP_005923999.1|	lipase [Faecalibacterium prausnitzii] 
gi|492690726|ref|WP_005924002.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690730|ref|WP_005924005.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492690734|ref|WP_005924008.1|	ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492690741|ref|WP_005924012.1|	heptaprenyl diphosphate synthase [Faecalibacterium prausnitzii] 
gi|492690746|ref|WP_005924015.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690751|ref|WP_005924018.1|	peptidase [Faecalibacterium prausnitzii] 
gi|492690755|ref|WP_005924021.1|	GTP-binding protein [Faecalibacterium prausnitzii] 
gi|492690758|ref|WP_005924023.1|	methyltransferase [Faecalibacterium prausnitzii] 
gi|492690761|ref|WP_005924025.1|	molecular chaperone Hsp33 [Faecalibacterium prausnitzii] 
gi|492690765|ref|WP_005924027.1|	sporulation protein [Faecalibacterium prausnitzii] 
gi|492690769|ref|WP_005924030.1|	sporulation protein [Faecalibacterium prausnitzii] 
gi|492690773|ref|WP_005924032.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690778|ref|WP_005924035.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690782|ref|WP_005924038.1|	phenylalanyl-tRNA synthase subunit alpha [Faecalibacterium prausnitzii] 
gi|492690785|ref|WP_005924040.1|	phenylalanyl-tRNA synthetase [Faecalibacterium prausnitzii] 
