gi|490423333|ref|WP_004295544.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426067|ref|WP_004298236.1|	MULTISPECIES: DNA-cytosine methyltransferase [Bacteroides] 
gi|490426068|ref|WP_004298237.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426069|ref|WP_004298238.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426070|ref|WP_004298239.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426071|ref|WP_004298240.1|	phosphoglyceromutase [Bacteroides ovatus] 
gi|490426072|ref|WP_004298241.1|	thiol:disulfide interchange protein [Bacteroides ovatus] 
gi|490426073|ref|WP_004298242.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426074|ref|WP_004298243.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426075|ref|WP_004298244.1|	MULTISPECIES: ribonuclease HII [Bacteroides] 
gi|490426076|ref|WP_004298245.1|	potassium transporter [Bacteroides ovatus] 
gi|490426077|ref|WP_004298246.1|	histidine kinase [Bacteroides ovatus] 
gi|490426078|ref|WP_004298247.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426079|ref|WP_004298248.1|	alpha-galactosidase [Bacteroides ovatus] 
gi|490426080|ref|WP_004298249.1|	MULTISPECIES: cysteine desulfurase [Bacteroides] 
gi|490426081|ref|WP_004298250.1|	ABC transporter permease [Bacteroides ovatus] 
gi|490426082|ref|WP_004298251.1|	MULTISPECIES: transporter [Bacteroides] 
gi|490426083|ref|WP_004298252.1|	cysteine desulfurase activator complex subunit SufB [Bacteroides ovatus] 
gi|490426084|ref|WP_004298253.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426085|ref|WP_004298254.1|	translation initiation factor IF-2 [Bacteroides ovatus] 
gi|490426086|ref|WP_004298255.1|	MULTISPECIES: transcription elongation factor NusA [Bacteroides] 
gi|490426087|ref|WP_004298256.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426088|ref|WP_004298257.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490426089|ref|WP_004298258.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426090|ref|WP_004298259.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426091|ref|WP_004298260.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426092|ref|WP_004298261.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|490426093|ref|WP_004298262.1|	acetylglutamate kinase [Bacteroides ovatus] 
gi|490426094|ref|WP_004298263.1|	arginine decarboxylase [Bacteroides ovatus] 
gi|490426095|ref|WP_004298264.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426096|ref|WP_004298265.1|	heat shock protein Hsp90 [Bacteroides ovatus] 
gi|490426097|ref|WP_004298266.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426098|ref|WP_004298267.1|	MULTISPECIES: shikimate kinase [Bacteroides] 
gi|490426099|ref|WP_004298268.1|	MULTISPECIES: nitroreductase [Bacteroides] 
gi|490426100|ref|WP_004298269.1|	MULTISPECIES: ribonuclease H [Bacteroides] 
gi|490426101|ref|WP_004298270.1|	dolichyl-phosphate-mannose-protein mannosyltransferase [Bacteroides ovatus] 
gi|490426102|ref|WP_004298271.1|	phosphoglycerol transferase [Bacteroides ovatus] 
gi|490426103|ref|WP_004298272.1|	polysaccharide biosynthesis protein GtrA [Bacteroides ovatus] 
gi|490426104|ref|WP_004298273.1|	glycosyltransferase [Bacteroides ovatus] 
gi|490426105|ref|WP_004298274.1|	polysaccharide deacetylase [Bacteroides ovatus] 
gi|490426106|ref|WP_004298275.1|	MULTISPECIES: antibiotic ABC transporter ATP-binding protein [Bacteroides] 
gi|490426107|ref|WP_004298276.1|	MULTISPECIES: ATPase [Bacteroides] 
gi|490426108|ref|WP_004298277.1|	helicase [Bacteroides ovatus] 
gi|490426109|ref|WP_004298278.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426110|ref|WP_004298279.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490426111|ref|WP_004298280.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|490426112|ref|WP_004298281.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426113|ref|WP_004298282.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426114|ref|WP_004298283.1|	MULTISPECIES: glycosyltransferase [Bacteroides] 
gi|490426115|ref|WP_004298284.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426116|ref|WP_004298285.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426117|ref|WP_004298286.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426118|ref|WP_004298287.1|	glycosyltransferase family 2 [Bacteroides ovatus] 
gi|490426119|ref|WP_004298288.1|	glycosyl transferase family A [Bacteroides ovatus] 
gi|490426120|ref|WP_004298289.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|490426121|ref|WP_004298290.1|	glycosyltransferase [Bacteroides ovatus] 
gi|490426122|ref|WP_004298291.1|	MULTISPECIES: glycosyltransferase family 2 [Bacteroides] 
gi|490426123|ref|WP_004298292.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426124|ref|WP_004298293.1|	glycosyl transferase family 2 [Bacteroides ovatus] 
gi|490426125|ref|WP_004298294.1|	MULTISPECIES: aspartate aminotransferase [Bacteroides] 
gi|490426126|ref|WP_004298295.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426127|ref|WP_004298296.1|	MULTISPECIES: LicD [Bacteroides] 
gi|490426128|ref|WP_004298297.1|	mannosyltransferase [Bacteroides ovatus] 
gi|490426129|ref|WP_004298298.1|	MULTISPECIES: methyltransferase [Bacteroides] 
gi|490426130|ref|WP_004298299.1|	MULTISPECIES: serine/threonine protein kinase [Bacteroides] 
gi|490426131|ref|WP_004298300.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426132|ref|WP_004298301.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426133|ref|WP_004298302.1|	glycosyltransferase [Bacteroides ovatus] 
gi|490426134|ref|WP_004298303.1|	glycosyl transferase family 1 [Bacteroides ovatus] 
gi|490426135|ref|WP_004298304.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426136|ref|WP_004298305.1|	erythronate-4-phosphate dehydrogenase [Bacteroides ovatus] 
gi|490426137|ref|WP_004298306.1|	MULTISPECIES: phosphoribosylglycinamide formyltransferase [Bacteroides] 
gi|490419666|ref|WP_004291965.1|	MULTISPECIES: acyl carrier protein [Bacteroides] 
gi|490426138|ref|WP_004298307.1|	3-oxoacyl-ACP synthase [Bacteroides ovatus] 
gi|490426139|ref|WP_004298308.1|	MULTISPECIES: ribonuclease [Bacteroides] 
gi|490426140|ref|WP_004298309.1|	MULTISPECIES: 6-phosphofructokinase [Bacteroides] 
gi|490426141|ref|WP_004298310.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426142|ref|WP_004298311.1|	thiouridylase [Bacteroides ovatus] 
gi|490426143|ref|WP_004298312.1|	helicase [Bacteroides ovatus] 
gi|490426144|ref|WP_004298313.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426145|ref|WP_004298314.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426146|ref|WP_004298315.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426147|ref|WP_004298316.1|	HAD family hydrolase [Bacteroides ovatus] 
gi|490426148|ref|WP_004298317.1|	cysteinyl-tRNA synthetase [Bacteroides ovatus] 
gi|490426149|ref|WP_004298318.1|	chondroitinase [Bacteroides ovatus] 
gi|490426150|ref|WP_004298319.1|	MULTISPECIES: arylsulfatase [Bacteroides] 
gi|490426151|ref|WP_004298320.1|	MULTISPECIES: glucuronyl hydrolase [Bacteroides] 
gi|490426152|ref|WP_004298321.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426153|ref|WP_004298322.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490426154|ref|WP_004298323.1|	Ser/Thr phosphatase [Bacteroides ovatus] 
gi|490426155|ref|WP_004298324.1|	MULTISPECIES: antitoxin [Bacteroides] 
gi|490426156|ref|WP_004298325.1|	starch-binding protein [Bacteroides ovatus] 
gi|490426157|ref|WP_004298326.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490426158|ref|WP_004298327.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426159|ref|WP_004298328.1|	MULTISPECIES: RNA polymerase subunit sigma-70 [Bacteroides] 
gi|490426160|ref|WP_004298329.1|	antirepressor [Bacteroides ovatus] 
gi|490426161|ref|WP_004298330.1|	MULTISPECIES: phenylacetic acid degradation protein [Bacteroides] 
gi|490426162|ref|WP_004298331.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426163|ref|WP_004298332.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426164|ref|WP_004298333.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426165|ref|WP_004298334.1|	DNA-binding protein [Bacteroides ovatus] 
gi|490426166|ref|WP_004298335.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426167|ref|WP_004298336.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490426168|ref|WP_004298337.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|490426169|ref|WP_004298338.1|	TonB-dependent receptor [Bacteroides ovatus] 
gi|490426171|ref|WP_004298340.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|490426173|ref|WP_004298342.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|490426175|ref|WP_004298344.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490426177|ref|WP_004298346.1|	MULTISPECIES: hemolysin D [Bacteroides] 
gi|490426181|ref|WP_004298349.1|	multidrug transporter AcrB [Bacteroides ovatus] 
gi|490426183|ref|WP_004298351.1|	MULTISPECIES: multidrug transporter [Bacteroides] 
gi|490426185|ref|WP_004298353.1|	MULTISPECIES: UDP-N-acetylglucosamine acyltransferase [Bacteroides] 
gi|490426187|ref|WP_004298355.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426189|ref|WP_004298357.1|	chemotaxis protein CheY [Bacteroides ovatus] 
gi|490426191|ref|WP_004298359.1|	arylsulfatase [Bacteroides ovatus] 
gi|490426193|ref|WP_004298361.1|	TonB-dependent receptor [Bacteroides ovatus] 
gi|490426194|ref|WP_004298362.1|	starch-binding protein [Bacteroides ovatus] 
gi|490426195|ref|WP_004298363.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426196|ref|WP_004298364.1|	dihydrouridine synthase [Bacteroides ovatus] 
gi|490426197|ref|WP_004298365.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490426199|ref|WP_004298367.1|	transposase [Bacteroides ovatus] 
gi|490426215|ref|WP_004298383.1|	MULTISPECIES: mechanosensitive ion channel protein MscS [Bacteroides] 
gi|490426218|ref|WP_004298386.1|	MULTISPECIES: K+-dependent Na+/Ca+ exchanger [Bacteroides] 
gi|490426219|ref|WP_004298387.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426221|ref|WP_004298389.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426223|ref|WP_004298391.1|	glycosyl hydrolase family 5 [Bacteroides ovatus] 
gi|490426225|ref|WP_004298393.1|	membrane protein [Bacteroides ovatus] 
gi|490426227|ref|WP_004298395.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426229|ref|WP_004298397.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426232|ref|WP_004298400.1|	MULTISPECIES: glycosyl hydrolase family 5 [Bacteroides] 
gi|490426234|ref|WP_004298402.1|	beta-mannosidase [Bacteroides ovatus] 
gi|490426236|ref|WP_004298404.1|	MULTISPECIES: glycosyl hydrolase family 5 [Bacteroides] 
gi|490426238|ref|WP_004298406.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426240|ref|WP_004298408.1|	MULTISPECIES: glycosidase [Bacteroides] 
gi|490426242|ref|WP_004298410.1|	MULTISPECIES: cation transporter [Bacteroides] 
gi|490426244|ref|WP_004298412.1|	alpha-rhamnosidase [Bacteroides ovatus] 
gi|490426246|ref|WP_004298414.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426249|ref|WP_004298417.1|	9-O-acetylesterase [Bacteroides ovatus] 
gi|490426251|ref|WP_004298419.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426254|ref|WP_004298422.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426256|ref|WP_004298424.1|	DNA topoisomerase IV subunit B [Bacteroides ovatus] 
gi|490426258|ref|WP_004298426.1|	phosphopantetheine adenylyltransferase [Bacteroides ovatus] 
gi|490426259|ref|WP_004298427.1|	peptidase S41 [Bacteroides ovatus] 
gi|490426261|ref|WP_004298429.1|	glycosyl hydrolase family 3 [Bacteroides ovatus] 
gi|490426262|ref|WP_004298430.1|	glycoside hydrolase [Bacteroides ovatus] 
gi|490426264|ref|WP_004298432.1|	alpha-xylosidase [Bacteroides ovatus] 
gi|490426266|ref|WP_004298434.1|	histidine kinase [Bacteroides ovatus] 
gi|490426268|ref|WP_004298436.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426269|ref|WP_004298437.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426271|ref|WP_004298439.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426273|ref|WP_004298441.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426275|ref|WP_004298443.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426277|ref|WP_004298445.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426279|ref|WP_004298447.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426282|ref|WP_004298450.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426283|ref|WP_004298451.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426285|ref|WP_004298453.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426286|ref|WP_004298454.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426290|ref|WP_004298458.1|	glycoside hydrolase family 3 [Bacteroides ovatus] 
gi|490426291|ref|WP_004298459.1|	toxin Fic [Bacteroides ovatus] 
gi|490426293|ref|WP_004298461.1|	xylanase [Bacteroides ovatus] 
gi|490426295|ref|WP_004298463.1|	endo-1,4-beta-xylanase [Bacteroides ovatus] 
gi|490426298|ref|WP_004298466.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426300|ref|WP_004298468.1|	membrane protein [Bacteroides ovatus] 
gi|490426301|ref|WP_004298469.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426303|ref|WP_004298471.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426306|ref|WP_004298474.1|	chemotaxis protein CheY [Bacteroides ovatus] 
gi|490426308|ref|WP_004298476.1|	chitinase [Bacteroides ovatus] 
gi|490426310|ref|WP_004298478.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426311|ref|WP_004298479.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490426313|ref|WP_004298481.1|	MULTISPECIES: fumarate reductase [Bacteroides] 
gi|490426315|ref|WP_004298483.1|	MULTISPECIES: succinate dehydrogenase [Bacteroides] 
gi|490426317|ref|WP_004298485.1|	MULTISPECIES: succinate dehydrogenase [Bacteroides] 
gi|490426319|ref|WP_004298487.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490426321|ref|WP_004298489.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426323|ref|WP_004298491.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426325|ref|WP_004298493.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426326|ref|WP_004298494.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426328|ref|WP_004298495.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426329|ref|WP_004298496.1|	MULTISPECIES: toxin [Bacteroides] 
gi|490426330|ref|WP_004298497.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426331|ref|WP_004298498.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426332|ref|WP_004298499.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426333|ref|WP_004298500.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426334|ref|WP_004298501.1|	aankyrin [Bacteroides ovatus] 
gi|490426335|ref|WP_004298502.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426336|ref|WP_004298503.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426337|ref|WP_004298504.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426338|ref|WP_004298505.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426339|ref|WP_004298506.1|	oxaloacetate decarboxylase [Bacteroides ovatus] 
gi|490426340|ref|WP_004298507.1|	DNA-binding protein [Bacteroides ovatus] 
gi|490426341|ref|WP_004298508.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426342|ref|WP_004298509.1|	rhamnogalacturonan acetylesterase [Bacteroides ovatus] 
gi|490426343|ref|WP_004298510.1|	histidine kinase [Bacteroides ovatus] 
gi|490426344|ref|WP_004298511.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426345|ref|WP_004298512.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426346|ref|WP_004298513.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426347|ref|WP_004298514.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426348|ref|WP_004298515.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426349|ref|WP_004298516.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426350|ref|WP_004298517.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426351|ref|WP_004298518.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426352|ref|WP_004298519.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426353|ref|WP_004298520.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426354|ref|WP_004298521.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426355|ref|WP_004298522.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426356|ref|WP_004298523.1|	membrane protein [Bacteroides ovatus] 
gi|490426357|ref|WP_004298524.1|	TonB-dependent receptor [Bacteroides ovatus] 
gi|490426358|ref|WP_004298525.1|	fasciclin [Bacteroides ovatus] 
gi|490426359|ref|WP_004298526.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490426360|ref|WP_004298527.1|	glucuronyl hydrolase [Bacteroides ovatus] 
gi|490426361|ref|WP_004298528.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426362|ref|WP_004298529.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426363|ref|WP_004298530.1|	glycoside hydrolase [Bacteroides ovatus] 
gi|490426364|ref|WP_004298531.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426365|ref|WP_004298532.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426366|ref|WP_004298533.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490426367|ref|WP_004298534.1|	glycosyl hydrolase family 88 [Bacteroides ovatus] 
gi|490426368|ref|WP_004298535.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426369|ref|WP_004298536.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426370|ref|WP_004298537.1|	DNA processing protein DprA [Bacteroides ovatus] 
gi|490426371|ref|WP_004298538.1|	thioesterase [Bacteroides ovatus] 
gi|490426372|ref|WP_004298539.1|	collagenase [Bacteroides ovatus] 
gi|490426373|ref|WP_004298540.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426374|ref|WP_004298541.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426375|ref|WP_004298542.1|	NAD-dependent dehydratase [Bacteroides ovatus] 
gi|490426376|ref|WP_004298543.1|	RNA polymerase sigma 70 [Bacteroides ovatus] 
gi|490426377|ref|WP_004298544.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426378|ref|WP_004298545.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426379|ref|WP_004298546.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426380|ref|WP_004298547.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426381|ref|WP_004298548.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426382|ref|WP_004298549.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426383|ref|WP_004298550.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426384|ref|WP_004298551.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426385|ref|WP_004298552.1|	MULTISPECIES: ribonuclease R [Bacteroides] 
gi|490426386|ref|WP_004298553.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|490426387|ref|WP_004298554.1|	glycosyl hydrolase family 3 [Bacteroides ovatus] 
gi|490426388|ref|WP_004298555.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426389|ref|WP_004298556.1|	hisitidine kinase [Bacteroides ovatus] 
gi|490426390|ref|WP_004298557.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426391|ref|WP_004298558.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426392|ref|WP_004298559.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426393|ref|WP_004298560.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426394|ref|WP_004298561.1|	glycoside hydrolase family 3 [Bacteroides ovatus] 
gi|490426395|ref|WP_004298562.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426396|ref|WP_004298563.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426397|ref|WP_004298564.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426398|ref|WP_004298565.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426399|ref|WP_004298566.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426400|ref|WP_004298567.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426401|ref|WP_004298568.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490426402|ref|WP_004298569.1|	beta-glucosidase [Bacteroides ovatus] 
gi|490426403|ref|WP_004298570.1|	xanthan lyase [Bacteroides ovatus] 
gi|490426404|ref|WP_004298571.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426405|ref|WP_004298572.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426406|ref|WP_004298573.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426407|ref|WP_004298574.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426408|ref|WP_004298575.1|	RNA-directed DNA polymerase [Bacteroides ovatus] 
gi|490426409|ref|WP_004298576.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426410|ref|WP_004298577.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426411|ref|WP_004298578.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426412|ref|WP_004298579.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426413|ref|WP_004298580.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426414|ref|WP_004298581.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426415|ref|WP_004298582.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426416|ref|WP_004298583.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426417|ref|WP_004298584.1|	beta-glucosidase [Bacteroides ovatus] 
gi|490426418|ref|WP_004298585.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426419|ref|WP_004298586.1|	cysteine synthase [Bacteroides ovatus] 
gi|490426420|ref|WP_004298587.1|	MULTISPECIES: cupin [Bacteroides] 
gi|490426421|ref|WP_004298588.1|	lipase [Bacteroides ovatus] 
gi|490426422|ref|WP_004298589.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426423|ref|WP_004298590.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426424|ref|WP_004298591.1|	type I restriction endonuclease subunit S [Bacteroides ovatus] 
gi|490426425|ref|WP_004298592.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426426|ref|WP_004298593.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426428|ref|WP_004298594.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426429|ref|WP_004298595.1|	ATPase [Bacteroides ovatus] 
gi|490426430|ref|WP_004298596.1|	ATPase [Bacteroides ovatus] 
gi|490426431|ref|WP_004298597.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426432|ref|WP_004298598.1|	glycosyl hydrolase family 31 [Bacteroides ovatus] 
gi|490426433|ref|WP_004298599.1|	cycloisomaltooligosaccharide glucanotransferase [Bacteroides ovatus] 
gi|490426434|ref|WP_004298600.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426435|ref|WP_004298601.1|	membrane protein [Bacteroides ovatus] 
gi|490426436|ref|WP_004298602.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426438|ref|WP_004298604.1|	MULTISPECIES: regulatory protein [Bacteroides] 
gi|490426440|ref|WP_004298606.1|	MULTISPECIES: ATPase [Bacteroides] 
gi|490426442|ref|WP_004298608.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426444|ref|WP_004298610.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|490426446|ref|WP_004298612.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426448|ref|WP_004298614.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426452|ref|WP_004298618.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426454|ref|WP_004298620.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490426456|ref|WP_004298622.1|	MULTISPECIES: arylsulfatase [Bacteroides] 
gi|490426458|ref|WP_004298624.1|	glycosyl hydrolase family 43 [Bacteroides ovatus] 
gi|490426460|ref|WP_004298626.1|	MULTISPECIES: sulfatase [Bacteroides] 
gi|490426462|ref|WP_004298628.1|	alpha-L-arabinofuranosidase [Bacteroides ovatus] 
gi|490426464|ref|WP_004298630.1|	chemotaxis protein CheY [Bacteroides ovatus] 
gi|490426466|ref|WP_004298632.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426468|ref|WP_004298634.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426470|ref|WP_004298636.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426472|ref|WP_004298638.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426473|ref|WP_004298639.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426475|ref|WP_004298641.1|	beta-xylosidase [Bacteroides ovatus] 
gi|490426477|ref|WP_004298643.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426479|ref|WP_004298645.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426482|ref|WP_004298648.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426484|ref|WP_004298650.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426488|ref|WP_004298654.1|	MULTISPECIES: arylsulfatase [Bacteroides] 
gi|490426489|ref|WP_004298655.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426491|ref|WP_004298657.1|	MULTISPECIES: alpha/beta hydrolase [Bacteroides] 
gi|490426492|ref|WP_004298658.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|490426494|ref|WP_004298660.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490426496|ref|WP_004298662.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426497|ref|WP_004298663.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490426499|ref|WP_004298665.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426502|ref|WP_004298668.1|	hypothetical protein [Bacteroides ovatus] 
gi|490426504|ref|WP_004298670.1|	hypothetical protein [Bacteroides ovatus] 
