gi|491472322|ref|WP_005330076.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491475091|ref|WP_005332832.1|	endonuclease [Dorea formicigenerans] 
gi|491475097|ref|WP_005332838.1|	pseudouridine synthase [Dorea formicigenerans] 
gi|491475098|ref|WP_005332839.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475105|ref|WP_005332846.1|	short-chain dehydrogenase [Dorea formicigenerans] 
gi|491475106|ref|WP_005332847.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475107|ref|WP_005332848.1|	RNA pseudouridine synthase [Dorea formicigenerans] 
gi|491475108|ref|WP_005332849.1|	SAM-dependent methyltransferase [Dorea formicigenerans] 
gi|491475109|ref|WP_005332850.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475110|ref|WP_005332851.1|	peptidase M20 [Dorea formicigenerans] 
gi|491475111|ref|WP_005332852.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475113|ref|WP_005332854.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475114|ref|WP_005332855.1|	phosphopantetheine adenylyltransferase [Dorea formicigenerans] 
gi|491475116|ref|WP_005332857.1|	methyltransferase [Dorea formicigenerans] 
gi|491475118|ref|WP_005332859.1|	MULTISPECIES: spore protein [Dorea] 
gi|491475119|ref|WP_005332860.1|	ATP-dependent DNA helicase RecG [Dorea formicigenerans] 
gi|491475120|ref|WP_005332861.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475121|ref|WP_005332862.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475122|ref|WP_005332863.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475126|ref|WP_005332867.1|	MULTISPECIES: 50S ribosomal protein L28 [Dorea] 
gi|491475128|ref|WP_005332869.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475129|ref|WP_005332870.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475130|ref|WP_005332871.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475131|ref|WP_005332872.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475132|ref|WP_005332873.1|	peptidoglycan glycosyltransferase [Dorea formicigenerans] 
gi|491475133|ref|WP_005332874.1|	cell division protein FtsW [Dorea formicigenerans] 
gi|491475134|ref|WP_005332875.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475135|ref|WP_005332876.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475136|ref|WP_005332877.1|	Holliday junction DNA helicase RuvB [Dorea formicigenerans] 
gi|491475137|ref|WP_005332878.1|	Holliday junction DNA helicase RuvA [Dorea formicigenerans] 
gi|491475138|ref|WP_005332879.1|	heptaprenyl diphosphate synthase subunit I [Dorea formicigenerans] 
gi|491475139|ref|WP_005332880.1|	membrane protein [Dorea formicigenerans] 
gi|491475140|ref|WP_005332881.1|	thiamine biosynthesis lipoprotein ApbE [Dorea formicigenerans] 
gi|491475141|ref|WP_005332882.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475142|ref|WP_005332883.1|	ferredoxin [Dorea formicigenerans] 
gi|491475143|ref|WP_005332884.1|	MULTISPECIES: electron transport complex RsxE subunit [Dorea] 
gi|491475144|ref|WP_005332885.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475145|ref|WP_005332886.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475147|ref|WP_005332888.1|	NADH:ubiquinone oxidoreductase [Dorea formicigenerans] 
gi|491475155|ref|WP_005332896.1|	MULTISPECIES: electron transporter RnfC [Dorea] 
gi|491475157|ref|WP_005332898.1|	MULTISPECIES: 30S ribosomal protein S1 [Dorea] 
gi|491475159|ref|WP_005332900.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Dorea formicigenerans] 
gi|491475161|ref|WP_005332902.1|	cytidylate kinase [Dorea formicigenerans] 
gi|491475163|ref|WP_005332904.1|	FAD-dependent oxidoreductase [Dorea formicigenerans] 
gi|491475165|ref|WP_005332906.1|	N-acetylmannosamine kinase [Dorea formicigenerans] 
gi|491475167|ref|WP_005332908.1|	oxaloacetate decarboxylase [Dorea formicigenerans] 
gi|491475168|ref|WP_005332909.1|	glutaconyl-CoA decarboxylase subunit beta [Dorea formicigenerans] 
gi|491475173|ref|WP_005332914.1|	biotin attachment protein [Dorea formicigenerans] 
gi|491475174|ref|WP_005332915.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475175|ref|WP_005332916.1|	carboxyl transferase [Dorea formicigenerans] 
gi|491475176|ref|WP_005332917.1|	2-isopropylmalate synthase [Dorea formicigenerans] 
gi|491475177|ref|WP_005332918.1|	sodium:solute symporter [Dorea formicigenerans] 
gi|491475178|ref|WP_005332919.1|	MULTISPECIES: UDP-N-acetylglucosamine pyrophosphorylase [Dorea] 
gi|491475180|ref|WP_005332921.1|	DNA topoisomerase III [Dorea formicigenerans] 
gi|491475182|ref|WP_005332923.1|	polyphosphate kinase [Dorea formicigenerans] 
gi|491475183|ref|WP_005332924.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475184|ref|WP_005332925.1|	endoribonuclease L-PSP [Dorea formicigenerans] 
gi|491475185|ref|WP_005332926.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475191|ref|WP_005332932.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475193|ref|WP_005332934.1|	formate dehydrogenase [Dorea formicigenerans] 
gi|491475195|ref|WP_005332936.1|	phosphate transport regulator [Dorea formicigenerans] 
gi|491475196|ref|WP_005332937.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475198|ref|WP_005332939.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475200|ref|WP_005332941.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475201|ref|WP_005332942.1|	aspartate-semialdehyde dehydrogenase [Dorea formicigenerans] 
gi|491475202|ref|WP_005332943.1|	argininosuccinate lyase [Dorea formicigenerans] 
gi|491475203|ref|WP_005332944.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475204|ref|WP_005332945.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475205|ref|WP_005332946.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Dorea] 
gi|491475206|ref|WP_005332947.1|	MULTISPECIES: nitrate ABC transporter permease [Dorea] 
gi|491475207|ref|WP_005332948.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475216|ref|WP_005332957.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475218|ref|WP_005332959.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475220|ref|WP_005332961.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475222|ref|WP_005332963.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475224|ref|WP_005332965.1|	oxidoreductase [Dorea formicigenerans] 
gi|491475226|ref|WP_005332967.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475228|ref|WP_005332969.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475230|ref|WP_005332971.1|	MULTISPECIES: iron-only hydrogenase system regulator [Dorea] 
gi|491475231|ref|WP_005332972.1|	hydrogenase [Dorea formicigenerans] 
gi|491475232|ref|WP_005332973.1|	hydrogenase formation protein HypD [Dorea formicigenerans] 
gi|491475233|ref|WP_005332974.1|	hydrogenase assembly protein HypC [Dorea formicigenerans] 
gi|491475234|ref|WP_005332975.1|	carbamoyltransferase [Dorea formicigenerans] 
gi|491475235|ref|WP_005332976.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475236|ref|WP_005332977.1|	oxidoreductase [Dorea formicigenerans] 
gi|491475238|ref|WP_005332979.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475237|ref|WP_005332978.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475243|ref|WP_005332984.1|	uracil permease [Dorea formicigenerans] 
gi|491475245|ref|WP_005332986.1|	signal peptidase [Dorea formicigenerans] 
gi|491475246|ref|WP_005332987.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475247|ref|WP_005332988.1|	phosphomethylpyrimidine synthase [Dorea formicigenerans] 
gi|491475248|ref|WP_005332989.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475249|ref|WP_005332990.1|	mechanosensitive ion channel protein [Dorea formicigenerans] 
gi|491475250|ref|WP_005332991.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475251|ref|WP_005332992.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475253|ref|WP_005332994.1|	ribonuclease HII [Dorea formicigenerans] 
gi|491475255|ref|WP_005332996.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475257|ref|WP_005332998.1|	GTPase YlqF [Dorea formicigenerans] 
gi|491475259|ref|WP_005333000.1|	signal peptidase I [Dorea formicigenerans] 
gi|491475261|ref|WP_005333002.1|	MULTISPECIES: 50S ribosomal protein L19 [Dorea] 
gi|491475262|ref|WP_005333003.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475263|ref|WP_005333004.1|	tRNA (guanine-N1)-methyltransferase [Dorea formicigenerans] 
gi|491475266|ref|WP_005333007.1|	16S rRNA-processing protein RimM [Dorea formicigenerans] 
gi|491475272|ref|WP_005333013.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475273|ref|WP_005333014.1|	MULTISPECIES: 30S ribosomal protein S16 [Dorea] 
gi|491475274|ref|WP_005333015.1|	signal recognition particle protein Srp54 [Dorea formicigenerans] 
gi|491475275|ref|WP_005333016.1|	MULTISPECIES: DNA-binding protein [Dorea] 
gi|491475276|ref|WP_005333017.1|	peptidase S8 [Dorea formicigenerans] 
gi|491475277|ref|WP_005333018.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475278|ref|WP_005333019.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475290|ref|WP_005333031.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475288|ref|WP_005333029.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475292|ref|WP_005333033.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475294|ref|WP_005333035.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475296|ref|WP_005333037.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475298|ref|WP_005333039.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475302|ref|WP_005333043.1|	thioesterase [Dorea formicigenerans] 
gi|491475304|ref|WP_005333045.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475305|ref|WP_005333046.1|	heme ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491475306|ref|WP_005333047.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475307|ref|WP_005333048.1|	histidine phosphatase [Dorea formicigenerans] 
gi|491475308|ref|WP_005333049.1|	S-ribosylhomocysteinase [Dorea formicigenerans] 
gi|491475309|ref|WP_005333050.1|	amidase [Dorea formicigenerans] 
gi|491475312|ref|WP_005333053.1|	MULTISPECIES: 50S ribosomal protein L20 [Dorea] 
gi|491475313|ref|WP_005333054.1|	MULTISPECIES: 50S ribosomal protein L35 [Dorea] 
gi|491475314|ref|WP_005333055.1|	MULTISPECIES: translation initiation factor IF-3 [Dorea] 
gi|491475315|ref|WP_005333056.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475318|ref|WP_005333059.1|	stage V sporulation protein AF [Dorea formicigenerans] 
gi|491475320|ref|WP_005333061.1|	MULTISPECIES: deoxyuridine 5'-triphosphate nucleotidohydrolase [Dorea] 
gi|491475322|ref|WP_005333063.1|	ABC transporter [Dorea formicigenerans] 
gi|491475324|ref|WP_005333065.1|	ABC transporter [Dorea formicigenerans] 
gi|491475327|ref|WP_005333068.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475329|ref|WP_005333070.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475330|ref|WP_005333071.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475331|ref|WP_005333072.1|	polyphosphate kinase [Dorea formicigenerans] 
gi|491475332|ref|WP_005333073.1|	Na/Pi cotransporter [Dorea formicigenerans] 
gi|491475333|ref|WP_005333074.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475334|ref|WP_005333075.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475335|ref|WP_005333076.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475337|ref|WP_005333078.1|	plasmid stabilization protein [Dorea formicigenerans] 
gi|491475338|ref|WP_005333079.1|	prevent-host-death protein [Dorea formicigenerans] 
gi|491475339|ref|WP_005333080.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475340|ref|WP_005333081.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475341|ref|WP_005333082.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475342|ref|WP_005333083.1|	homoserine O-succinyltransferase [Dorea formicigenerans] 
gi|491475343|ref|WP_005333084.1|	membrane protein [Dorea formicigenerans] 
gi|491475344|ref|WP_005333085.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475345|ref|WP_005333086.1|	threonyl-tRNA synthetase [Dorea formicigenerans] 
gi|491475346|ref|WP_005333087.1|	MULTISPECIES: acyl-CoA thioester hydrolase [Dorea] 
gi|491475347|ref|WP_005333088.1|	2,5-diketo-D-gluconic acid reductase [Dorea formicigenerans] 
gi|491475348|ref|WP_005333089.1|	preprotein translocase SecA [Dorea formicigenerans] 
gi|491475349|ref|WP_005333090.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475350|ref|WP_005333091.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475351|ref|WP_005333092.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475352|ref|WP_005333093.1|	adenylosuccinate synthetase [Dorea formicigenerans] 
gi|491475353|ref|WP_005333094.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475354|ref|WP_005333095.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475372|ref|WP_005333113.1|	3-dehydroquinate dehydratase [Dorea formicigenerans] 
gi|491475373|ref|WP_005333114.1|	autotransporter [Dorea formicigenerans] 
gi|491475374|ref|WP_005333115.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475376|ref|WP_005333117.1|	sodium:proton antiporter [Dorea formicigenerans] 
gi|491475382|ref|WP_005333123.1|	MULTISPECIES: thiamine biosynthesis protein ThiF [Dorea] 
gi|491475389|ref|WP_005333130.1|	nitroreductase [Dorea formicigenerans] 
gi|491475390|ref|WP_005333131.1|	formate--tetrahydrofolate ligase [Dorea formicigenerans] 
gi|491475392|ref|WP_005333133.1|	LysR family transcriptional regulator [Dorea formicigenerans] 
gi|491475394|ref|WP_005333135.1|	membrane protein [Dorea formicigenerans] 
gi|491475396|ref|WP_005333137.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475398|ref|WP_005333139.1|	NADH dehydrogenase [Dorea formicigenerans] 
gi|491475400|ref|WP_005333141.1|	NADH dehydrogenase [Dorea formicigenerans] 
gi|491475402|ref|WP_005333143.1|	ferredoxin [Dorea formicigenerans] 
gi|491475403|ref|WP_005333144.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475404|ref|WP_005333145.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475405|ref|WP_005333146.1|	aldose 1-epimerase [Dorea formicigenerans] 
gi|491475406|ref|WP_005333147.1|	potassium transporter KtrB [Dorea formicigenerans] 
gi|491475407|ref|WP_005333148.1|	potassium transporter Trk [Dorea formicigenerans] 
gi|491475408|ref|WP_005333149.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475409|ref|WP_005333150.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475410|ref|WP_005333151.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475411|ref|WP_005333152.1|	ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491475413|ref|WP_005333154.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475419|ref|WP_005333160.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475421|ref|WP_005333162.1|	acetyl-CoA carboxylase biotin carboxylase subunit [Dorea formicigenerans] 
gi|491475423|ref|WP_005333164.1|	acetyl-CoA carboxylase [Dorea formicigenerans] 
gi|491475424|ref|WP_005333165.1|	MULTISPECIES: allophanate hydrolase [Dorea] 
gi|491475426|ref|WP_005333167.1|	allophanate hydrolase [Dorea formicigenerans] 
gi|491475428|ref|WP_005333169.1|	membrane protein [Dorea formicigenerans] 
gi|491475432|ref|WP_005333173.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475430|ref|WP_005333171.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475434|ref|WP_005333175.1|	3-oxoacyl-ACP synthase [Dorea formicigenerans] 
gi|491475436|ref|WP_005333177.1|	acyl carrier protein [Dorea formicigenerans] 
gi|491475438|ref|WP_005333179.1|	2-nitropropane dioxygenase [Dorea formicigenerans] 
gi|491475445|ref|WP_005333186.1|	ACP S-malonyltransferase [Dorea formicigenerans] 
gi|491475447|ref|WP_005333188.1|	3-ketoacyl-ACP reductase [Dorea formicigenerans] 
gi|491475448|ref|WP_005333189.1|	3-oxoacyl-ACP synthase [Dorea formicigenerans] 
gi|491475449|ref|WP_005333190.1|	acetyl-CoA carboxylase [Dorea formicigenerans] 
gi|491475450|ref|WP_005333191.1|	3-hydroxyacyl-ACP dehydratase [Dorea formicigenerans] 
gi|491475463|ref|WP_005333204.1|	acetyl-CoA carboxylase biotin carboxylase subunit [Dorea formicigenerans] 
gi|491475465|ref|WP_005333206.1|	acetyl-CoA carboxylase carboxyl transferase subunit beta [Dorea formicigenerans] 
gi|491475466|ref|WP_005333207.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475468|ref|WP_005333209.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475470|ref|WP_005333211.1|	NAD-dependent deacetylase [Dorea formicigenerans] 
gi|491475472|ref|WP_005333213.1|	acyltransferase [Dorea formicigenerans] 
gi|491475474|ref|WP_005333215.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475476|ref|WP_005333217.1|	acetyltransferase [Dorea formicigenerans] 
gi|491475478|ref|WP_005333219.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475480|ref|WP_005333221.1|	transcriptional regulator [Dorea formicigenerans] 
gi|491475481|ref|WP_005333222.1|	1-deoxy-D-xylulose-5-phosphate synthase [Dorea formicigenerans] 
gi|491475483|ref|WP_005333224.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475485|ref|WP_005333226.1|	phosphoenolpyruvate carboxykinase [Dorea formicigenerans] 
gi|491475487|ref|WP_005333228.1|	ABC transporter [Dorea formicigenerans] 
gi|491475489|ref|WP_005333230.1|	ABC transporter [Dorea formicigenerans] 
gi|491475491|ref|WP_005333232.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475493|ref|WP_005333234.1|	divalent cation transporter [Dorea formicigenerans] 
gi|491475495|ref|WP_005333236.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475496|ref|WP_005333237.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475497|ref|WP_005333238.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475498|ref|WP_005333239.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475499|ref|WP_005333240.1|	MULTISPECIES: branched-chain amino acid transporter [Dorea] 
gi|491475513|ref|WP_005333254.1|	branched-chain amino acid ABC transporter permease [Dorea formicigenerans] 
gi|491475514|ref|WP_005333255.1|	HAD family hydrolase [Dorea formicigenerans] 
gi|491475515|ref|WP_005333256.1|	UDP-N-acetylmuramoylalanyl-D-glutamyl-2 6-diaminopimelate--D-alanyl-D-alanine ligase [Dorea formicigenerans] 
gi|491475516|ref|WP_005333257.1|	D-alanine--D-alanine ligase [Dorea formicigenerans] 
gi|491475517|ref|WP_005333258.1|	nicotinate phosphoribosyltransferase [Dorea formicigenerans] 
gi|491475518|ref|WP_005333259.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Dorea formicigenerans] 
gi|491475519|ref|WP_005333260.1|	4-alpha-glucanotransferase [Dorea formicigenerans] 
gi|491475520|ref|WP_005333261.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475521|ref|WP_005333262.1|	peptidoglycan-binding protein [Dorea formicigenerans] 
gi|491475522|ref|WP_005333263.1|	4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Dorea formicigenerans] 
gi|491475523|ref|WP_005333264.1|	GntR family transcriptional regulator [Dorea formicigenerans] 
gi|491475524|ref|WP_005333265.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475525|ref|WP_005333266.1|	cation diffusion facilitator family transporter [Dorea formicigenerans] 
gi|491475526|ref|WP_005333267.1|	acyl-ACP thioesterase [Dorea formicigenerans] 
gi|491475527|ref|WP_005333268.1|	RNA-binding protein [Dorea formicigenerans] 
gi|491475528|ref|WP_005333269.1|	MULTISPECIES: polyA polymerase [Dorea] 
gi|491475531|ref|WP_005333272.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475529|ref|WP_005333270.1|	DNA polymerase III subunit alpha [Dorea formicigenerans] 
gi|491475539|ref|WP_005333280.1|	6-phosphofructokinase [Dorea formicigenerans] 
gi|491475541|ref|WP_005333282.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475543|ref|WP_005333284.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475545|ref|WP_005333286.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475547|ref|WP_005333288.1|	peptide transporter [Dorea formicigenerans] 
gi|491475549|ref|WP_005333290.1|	MULTISPECIES: coenzyme PQQ synthesis protein [Dorea] 
gi|491475551|ref|WP_005333292.1|	LysR family transcriptional regulator [Dorea formicigenerans] 
gi|491475554|ref|WP_005333295.1|	transposase [Dorea formicigenerans] 
gi|491475556|ref|WP_005333297.1|	DNA invertase [Dorea formicigenerans] 
gi|491475558|ref|WP_005333299.1|	gamma-glutamyl kinase [Dorea formicigenerans] 
gi|491475560|ref|WP_005333301.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475562|ref|WP_005333303.1|	thioredoxin [Dorea formicigenerans] 
gi|491475563|ref|WP_005333304.1|	4Fe-4S ferredoxin [Dorea formicigenerans] 
gi|491475565|ref|WP_005333306.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475567|ref|WP_005333308.1|	membrane protein [Dorea formicigenerans] 
gi|491475569|ref|WP_005333310.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475571|ref|WP_005333312.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475573|ref|WP_005333314.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475575|ref|WP_005333316.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475577|ref|WP_005333318.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475579|ref|WP_005333320.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475580|ref|WP_005333321.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475582|ref|WP_005333323.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475584|ref|WP_005333325.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475585|ref|WP_005333326.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475586|ref|WP_005333327.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475589|ref|WP_005333330.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475591|ref|WP_005333332.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475593|ref|WP_005333334.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475594|ref|WP_005333335.1|	ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491475595|ref|WP_005333336.1|	ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491475596|ref|WP_005333337.1|	MULTISPECIES: stage III sporulation protein D [Dorea] 
gi|491475597|ref|WP_005333338.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491475599|ref|WP_005333340.1|	multidrug transporter MatE [Dorea formicigenerans] 
gi|491475601|ref|WP_005333342.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475604|ref|WP_005333345.1|	GMP synthase [Dorea formicigenerans] 
gi|491475606|ref|WP_005333347.1|	MULTISPECIES: integrase [Clostridiales] 
gi|491475608|ref|WP_005333349.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491475609|ref|WP_005333350.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|491475610|ref|WP_005333351.1|	MULTISPECIES: 2-ketoisovalerate ferredoxin oxidoreductase [Clostridiales] 
gi|491475611|ref|WP_005333352.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475612|ref|WP_005333353.1|	MULTISPECIES: transposase [Clostridiales] 
gi|491475613|ref|WP_005333354.1|	MULTISPECIES: endonuclease [Clostridiales] 
gi|491475615|ref|WP_005333356.1|	MULTISPECIES: helicase [Clostridiales] 
gi|491475634|ref|WP_005333375.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491475640|ref|WP_005333381.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491475642|ref|WP_005333383.1|	MULTISPECIES: sortase [Clostridiales] 
gi|491475643|ref|WP_005333384.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475644|ref|WP_005333385.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475645|ref|WP_005333386.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475646|ref|WP_005333387.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475647|ref|WP_005333388.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491475648|ref|WP_005333389.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475651|ref|WP_005333392.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475649|ref|WP_005333390.1|	hypothetical protein [Dorea formicigenerans] 
gi|491475659|ref|WP_005333400.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491475661|ref|WP_005333402.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Clostridiales] 
gi|491475663|ref|WP_005333404.1|	MULTISPECIES: RNA polymerase subunit sigma [Lachnospiraceae] 
gi|491475665|ref|WP_005333406.1|	MULTISPECIES: RNA polymerase sigma-H factor [Clostridiales] 
gi|491475666|ref|WP_005333407.1|	MULTISPECIES: multidrug transporter MatE [Clostridiales] 
gi|491475669|ref|WP_005333410.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475671|ref|WP_005333412.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475674|ref|WP_005333415.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475676|ref|WP_005333417.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475678|ref|WP_005333419.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475679|ref|WP_005333420.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475681|ref|WP_005333422.1|	MULTISPECIES: toxin HicA [Clostridiales] 
gi|491475683|ref|WP_005333424.1|	MULTISPECIES: antitoxin HicB [Clostridiales] 
gi|491475684|ref|WP_005333425.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475686|ref|WP_005333427.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491475688|ref|WP_005333429.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475690|ref|WP_005333431.1|	MULTISPECIES: NAD-dependent DNA ligase [Lachnospiraceae] 
gi|491475694|ref|WP_005333435.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491475696|ref|WP_005333437.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491475699|ref|WP_005333440.1|	MULTISPECIES: transcriptional regulator [Lachnospiraceae] 
gi|491475701|ref|WP_005333442.1|	MULTISPECIES: histidine kinase [Lachnospiraceae] 
