gi|494108007|ref|WP_007048791.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494109208|ref|WP_007049992.1|	acetyl-CoA acetyltransferase [Anaerofustis stercorihominis] 
gi|494109209|ref|WP_007049993.1|	REX family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109210|ref|WP_007049994.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109211|ref|WP_007049995.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109212|ref|WP_007049996.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109213|ref|WP_007049997.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109214|ref|WP_007049998.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109215|ref|WP_007049999.1|	gamma-glutamyl kinase [Anaerofustis stercorihominis] 
gi|494109216|ref|WP_007050000.1|	gamma-glutamyl phosphate reductase [Anaerofustis stercorihominis] 
gi|494109217|ref|WP_007050001.1|	formate--tetrahydrofolate ligase [Anaerofustis stercorihominis] 
gi|494109218|ref|WP_007050002.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109219|ref|WP_007050003.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109220|ref|WP_007050004.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109221|ref|WP_007050005.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109222|ref|WP_007050006.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109223|ref|WP_007050007.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109224|ref|WP_007050008.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109225|ref|WP_007050009.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109226|ref|WP_007050010.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109227|ref|WP_007050011.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109228|ref|WP_007050012.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109229|ref|WP_007050013.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109230|ref|WP_007050014.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109231|ref|WP_007050015.1|	heat shock protein Hsp20 [Anaerofustis stercorihominis] 
gi|494109232|ref|WP_007050016.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109233|ref|WP_007050017.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109234|ref|WP_007050018.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494109235|ref|WP_007050019.1|	GntR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109236|ref|WP_007050020.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109237|ref|WP_007050021.1|	ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494109238|ref|WP_007050022.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109239|ref|WP_007050023.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109240|ref|WP_007050024.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109241|ref|WP_007050025.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494109242|ref|WP_007050026.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109243|ref|WP_007050027.1|	stress responsive protein [Anaerofustis stercorihominis] 
gi|494109244|ref|WP_007050028.1|	ATP-binding protein [Anaerofustis stercorihominis] 
gi|494109245|ref|WP_007050029.1|	alanine racemase [Anaerofustis stercorihominis] 
gi|494109246|ref|WP_007050030.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109247|ref|WP_007050031.1|	peptidase M15 [Anaerofustis stercorihominis] 
gi|494109248|ref|WP_007050032.1|	D-alanine--D-alanine ligase [Anaerofustis stercorihominis] 
gi|494109249|ref|WP_007050033.1|	serine protease [Anaerofustis stercorihominis] 
gi|494109250|ref|WP_007050034.1|	diaminopimelate aminotransferase [Anaerofustis stercorihominis] 
gi|494109251|ref|WP_007050035.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109252|ref|WP_007050036.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109253|ref|WP_007050037.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109254|ref|WP_007050038.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109255|ref|WP_007050039.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109256|ref|WP_007050040.1|	prephenate dehydratase [Anaerofustis stercorihominis] 
gi|494109257|ref|WP_007050041.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109258|ref|WP_007050042.1|	twitching motility protein PilT [Anaerofustis stercorihominis] 
gi|494109259|ref|WP_007050043.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109260|ref|WP_007050044.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109261|ref|WP_007050045.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109262|ref|WP_007050046.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109263|ref|WP_007050047.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109264|ref|WP_007050048.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109265|ref|WP_007050049.1|	polysaccharide biosynthesis protein [Anaerofustis stercorihominis] 
gi|494109266|ref|WP_007050050.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109267|ref|WP_007050051.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109268|ref|WP_007050052.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109269|ref|WP_007050053.1|	aminotransferase DegT [Anaerofustis stercorihominis] 
gi|494109270|ref|WP_007050054.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109271|ref|WP_007050055.1|	acetyltransferase [Anaerofustis stercorihominis] 
gi|494109272|ref|WP_007050056.1|	oxidoreductase [Anaerofustis stercorihominis] 
gi|494109273|ref|WP_007050057.1|	UDP-N-acetyl-D-glucosamine dehydrogenase [Anaerofustis stercorihominis] 
gi|494109274|ref|WP_007050058.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109275|ref|WP_007050059.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109276|ref|WP_007050060.1|	UDP-galactose phosphate transferase [Anaerofustis stercorihominis] 
gi|494109277|ref|WP_007050061.1|	aminotransferase DegT [Anaerofustis stercorihominis] 
gi|494109278|ref|WP_007050062.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109279|ref|WP_007050063.1|	nucleoside-diphosphate sugar epimerase [Anaerofustis stercorihominis] 
gi|494109280|ref|WP_007050064.1|	NAD synthetase [Anaerofustis stercorihominis] 
gi|494109281|ref|WP_007050065.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109282|ref|WP_007050066.1|	threonine synthase [Anaerofustis stercorihominis] 
gi|494109283|ref|WP_007050067.1|	PTS sugar transporter subunit IID [Anaerofustis stercorihominis] 
gi|494109284|ref|WP_007050068.1|	stage 0 sporulation protein [Anaerofustis stercorihominis] 
gi|494109285|ref|WP_007050069.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109286|ref|WP_007050070.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109287|ref|WP_007050071.1|	thymidylate kinase [Anaerofustis stercorihominis] 
gi|494109288|ref|WP_007050072.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109289|ref|WP_007050073.1|	thioredoxin [Anaerofustis stercorihominis] 
gi|494109290|ref|WP_007050074.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109291|ref|WP_007050075.1|	manganese catalase [Anaerofustis stercorihominis] 
gi|494109292|ref|WP_007050076.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109293|ref|WP_007050077.1|	O-sialoglycoprotein endopeptidase [Anaerofustis stercorihominis] 
gi|494109294|ref|WP_007050078.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109295|ref|WP_007050079.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109296|ref|WP_007050080.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109297|ref|WP_007050081.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109298|ref|WP_007050082.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109299|ref|WP_007050083.1|	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [Anaerofustis stercorihominis] 
gi|494109300|ref|WP_007050084.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109301|ref|WP_007050085.1|	cobalt ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494109302|ref|WP_007050086.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109303|ref|WP_007050087.1|	cobalamin biosynthesis protein CbiM [Anaerofustis stercorihominis] 
gi|494109304|ref|WP_007050088.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109305|ref|WP_007050089.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109306|ref|WP_007050090.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109307|ref|WP_007050091.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109308|ref|WP_007050092.1|	N-acetyltransferase [Anaerofustis stercorihominis] 
gi|494109309|ref|WP_007050093.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109310|ref|WP_007050094.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109311|ref|WP_007050095.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109312|ref|WP_007050096.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109313|ref|WP_007050097.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109314|ref|WP_007050098.1|	multidrug transporter MatE [Anaerofustis stercorihominis] 
gi|494109315|ref|WP_007050099.1|	glycerol-3-phosphate dehydrogenase [Anaerofustis stercorihominis] 
gi|494109316|ref|WP_007050100.1|	RNA polymerase sigma 70 [Anaerofustis stercorihominis] 
gi|494109317|ref|WP_007050101.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109318|ref|WP_007050102.1|	DNA glycosylase [Anaerofustis stercorihominis] 
gi|494109319|ref|WP_007050103.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494109320|ref|WP_007050104.1|	2,5-diketo-D-gluconic acid reductase [Anaerofustis stercorihominis] 
gi|494109321|ref|WP_007050105.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109322|ref|WP_007050106.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109323|ref|WP_007050107.1|	aconitate hydratase [Anaerofustis stercorihominis] 
gi|494109324|ref|WP_007050108.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494109325|ref|WP_007050109.1|	methionine ABC transporter permease [Anaerofustis stercorihominis] 
gi|494109326|ref|WP_007050110.1|	ABC transporter substrate-binding protein [Anaerofustis stercorihominis] 
gi|494109327|ref|WP_007050111.1|	phosphomethylpyrimidine synthase [Anaerofustis stercorihominis] 
gi|494109328|ref|WP_007050112.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109329|ref|WP_007050113.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109330|ref|WP_007050114.1|	quinolinate synthetase [Anaerofustis stercorihominis] 
gi|494109331|ref|WP_007050115.1|	L-aspartate oxidase [Anaerofustis stercorihominis] 
gi|494109332|ref|WP_007050116.1|	nicotinate-nucleotide pyrophosphorylase [Anaerofustis stercorihominis] 
gi|494109333|ref|WP_007050117.1|	DeoR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109334|ref|WP_007050118.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109335|ref|WP_007050119.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109336|ref|WP_007050120.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109337|ref|WP_007050121.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109338|ref|WP_007050122.1|	thiamine biosynthesis protein ThiH [Anaerofustis stercorihominis] 
gi|494109339|ref|WP_007050123.1|	thiazole synthase [Anaerofustis stercorihominis] 
gi|494109340|ref|WP_007050124.1|	thiamine biosynthesis protein ThiF [Anaerofustis stercorihominis] 
gi|494109341|ref|WP_007050125.1|	thiamine biosynthesis protein [Anaerofustis stercorihominis] 
gi|494109342|ref|WP_007050126.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109343|ref|WP_007050127.1|	cell division protein FtsH [Anaerofustis stercorihominis] 
gi|494109344|ref|WP_007050128.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109345|ref|WP_007050129.1|	Fe-S oxidoreductase [Anaerofustis stercorihominis] 
gi|494109346|ref|WP_007050130.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109347|ref|WP_007050131.1|	elongation factor P [Anaerofustis stercorihominis] 
gi|494109348|ref|WP_007050132.1|	rubrerythrin [Anaerofustis stercorihominis] 
gi|494109349|ref|WP_007050133.1|	isoleucyl-tRNA synthase [Anaerofustis stercorihominis] 
gi|494109350|ref|WP_007050134.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109351|ref|WP_007050135.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109352|ref|WP_007050136.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109353|ref|WP_007050137.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109354|ref|WP_007050138.1|	sgc region protein SgcQ [Anaerofustis stercorihominis] 
gi|494109355|ref|WP_007050139.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109356|ref|WP_007050140.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109357|ref|WP_007050141.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109358|ref|WP_007050142.1|	PTS sugar transporter [Anaerofustis stercorihominis] 
gi|494109359|ref|WP_007050143.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109360|ref|WP_007050144.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109361|ref|WP_007050145.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109362|ref|WP_007050146.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109363|ref|WP_007050147.1|	molecular chaperone DnaJ [Anaerofustis stercorihominis] 
gi|494109364|ref|WP_007050148.1|	molecular chaperone DnaK [Anaerofustis stercorihominis] 
gi|494109365|ref|WP_007050149.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109366|ref|WP_007050150.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109367|ref|WP_007050151.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109368|ref|WP_007050152.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109369|ref|WP_007050153.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109370|ref|WP_007050154.1|	macrolide ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494109371|ref|WP_007050155.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109372|ref|WP_007050156.1|	fumarate hydratase [Anaerofustis stercorihominis] 
gi|494109373|ref|WP_007050157.1|	fumarate hydratase [Anaerofustis stercorihominis] 
gi|494109374|ref|WP_007050158.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109375|ref|WP_007050159.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109376|ref|WP_007050160.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109377|ref|WP_007050161.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109378|ref|WP_007050162.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109379|ref|WP_007050163.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109380|ref|WP_007050164.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109381|ref|WP_007050165.1|	50S ribosomal protein L34 [Anaerofustis stercorihominis] 
gi|494109382|ref|WP_007050166.1|	50S ribosomal protein L31 [Anaerofustis stercorihominis] 
gi|494109383|ref|WP_007050167.1|	osmotically inducible protein C [Anaerofustis stercorihominis] 
gi|494109384|ref|WP_007050168.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109385|ref|WP_007050169.1|	acetyltransferase [Anaerofustis stercorihominis] 
gi|494109386|ref|WP_007050170.1|	GTP-binding protein LepA [Anaerofustis stercorihominis] 
gi|494109387|ref|WP_007050171.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109388|ref|WP_007050172.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109389|ref|WP_007050173.1|	alanine racemase [Anaerofustis stercorihominis] 
gi|494109390|ref|WP_007050174.1|	arginine deiminase [Anaerofustis stercorihominis] 
gi|494109391|ref|WP_007050175.1|	ornithine carbamoyltransferase [Anaerofustis stercorihominis] 
gi|494109392|ref|WP_007050176.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109393|ref|WP_007050177.1|	protein RecA [Anaerofustis stercorihominis] 
gi|494109394|ref|WP_007050178.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109395|ref|WP_007050179.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109396|ref|WP_007050180.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109397|ref|WP_007050181.1|	excinuclease ABC subunit A [Anaerofustis stercorihominis] 
gi|494109398|ref|WP_007050182.1|	thioredoxin [Anaerofustis stercorihominis] 
gi|494109399|ref|WP_007050183.1|	Crp/Fnr family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109400|ref|WP_007050184.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109401|ref|WP_007050185.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109402|ref|WP_007050186.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109403|ref|WP_007050187.1|	PhoB family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494109404|ref|WP_007050188.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109405|ref|WP_007050189.1|	cell division protein FtsE [Anaerofustis stercorihominis] 
gi|494109406|ref|WP_007050190.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109407|ref|WP_007050191.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109408|ref|WP_007050192.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109409|ref|WP_007050193.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109410|ref|WP_007050194.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109411|ref|WP_007050195.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109412|ref|WP_007050196.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109413|ref|WP_007050197.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109414|ref|WP_007050198.1|	thymidine kinase [Anaerofustis stercorihominis] 
gi|494109415|ref|WP_007050199.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109416|ref|WP_007050200.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109417|ref|WP_007050201.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109418|ref|WP_007050202.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109419|ref|WP_007050203.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109420|ref|WP_007050204.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109421|ref|WP_007050205.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109422|ref|WP_007050206.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109423|ref|WP_007050207.1|	ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494109424|ref|WP_007050208.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109425|ref|WP_007050209.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109426|ref|WP_007050210.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494109427|ref|WP_007050211.1|	galactoside O-acetyltransferase [Anaerofustis stercorihominis] 
gi|494109428|ref|WP_007050212.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109429|ref|WP_007050213.1|	adenylosuccinate synthetase [Anaerofustis stercorihominis] 
gi|494109430|ref|WP_007050214.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109431|ref|WP_007050215.1|	permease [Anaerofustis stercorihominis] 
gi|494109432|ref|WP_007050216.1|	toxin-antitoxin system protein [Anaerofustis stercorihominis] 
gi|494109433|ref|WP_007050217.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109434|ref|WP_007050218.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109435|ref|WP_007050219.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109436|ref|WP_007050220.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109437|ref|WP_007050221.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109438|ref|WP_007050222.1|	stage III sporulation protein AC [Anaerofustis stercorihominis] 
gi|494109439|ref|WP_007050223.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109440|ref|WP_007050224.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109441|ref|WP_007050225.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109442|ref|WP_007050226.1|	RNA pseudouridine synthase [Anaerofustis stercorihominis] 
gi|494109443|ref|WP_007050227.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109444|ref|WP_007050228.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109445|ref|WP_007050229.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109446|ref|WP_007050230.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109447|ref|WP_007050231.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109448|ref|WP_007050232.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109449|ref|WP_007050233.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109450|ref|WP_007050234.1|	citrate synthase [Anaerofustis stercorihominis] 
gi|494109451|ref|WP_007050235.1|	phosphoribosyl-ATP pyrophosphatase [Anaerofustis stercorihominis] 
gi|494109452|ref|WP_007050236.1|	imidazole glycerol phosphate synthase [Anaerofustis stercorihominis] 
gi|494109453|ref|WP_007050237.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109454|ref|WP_007050238.1|	imidazole glycerol phosphate synthase [Anaerofustis stercorihominis] 
gi|494109455|ref|WP_007050239.1|	imidazoleglycerol-phosphate dehydratase [Anaerofustis stercorihominis] 
gi|494109456|ref|WP_007050240.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109457|ref|WP_007050241.1|	histidinol dehydrogenase [Anaerofustis stercorihominis] 
gi|494109458|ref|WP_007050242.1|	ATP phosphoribosyltransferase [Anaerofustis stercorihominis] 
gi|494109459|ref|WP_007050243.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109460|ref|WP_007050244.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109461|ref|WP_007050245.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109462|ref|WP_007050246.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109463|ref|WP_007050247.1|	PTS galactitol transporter subunit IIB [Anaerofustis stercorihominis] 
gi|494109464|ref|WP_007050248.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109465|ref|WP_007050249.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109466|ref|WP_007050250.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109467|ref|WP_007050251.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109468|ref|WP_007050252.1|	PTS galactitol transporter subunit IIC [Anaerofustis stercorihominis] 
gi|494109469|ref|WP_007050253.1|	PTS galactitol transporter subunit IIB [Anaerofustis stercorihominis] 
gi|494109470|ref|WP_007050254.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109471|ref|WP_007050255.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109472|ref|WP_007050256.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109473|ref|WP_007050257.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109474|ref|WP_007050258.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109475|ref|WP_007050259.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109476|ref|WP_007050260.1|	iditol 2-dehydrogenase [Anaerofustis stercorihominis] 
gi|494109477|ref|WP_007050261.1|	ribulose-phosphate 3-epimerase [Anaerofustis stercorihominis] 
gi|494109478|ref|WP_007050262.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109479|ref|WP_007050263.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109480|ref|WP_007050264.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109481|ref|WP_007050265.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109482|ref|WP_007050266.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109483|ref|WP_007050267.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109484|ref|WP_007050268.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109485|ref|WP_007050269.1|	PTS sugar transporter [Anaerofustis stercorihominis] 
gi|494109486|ref|WP_007050270.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109487|ref|WP_007050271.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109488|ref|WP_007050272.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109489|ref|WP_007050273.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109490|ref|WP_007050274.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109491|ref|WP_007050275.1|	beta-lactamase [Anaerofustis stercorihominis] 
gi|494109492|ref|WP_007050276.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109493|ref|WP_007050277.1|	16S rRNA methyltransferase [Anaerofustis stercorihominis] 
gi|494109494|ref|WP_007050278.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109495|ref|WP_007050279.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109496|ref|WP_007050280.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109497|ref|WP_007050281.1|	aspartate aminotransferase [Anaerofustis stercorihominis] 
gi|494109498|ref|WP_007050282.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109499|ref|WP_007050283.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109500|ref|WP_007050284.1|	radical SAM protein [Anaerofustis stercorihominis] 
gi|494109501|ref|WP_007050285.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109502|ref|WP_007050286.1|	GNAT family acetyltransferase [Anaerofustis stercorihominis] 
gi|494109503|ref|WP_007050287.1|	ferredoxin [Anaerofustis stercorihominis] 
gi|494109504|ref|WP_007050288.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109505|ref|WP_007050289.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109506|ref|WP_007050290.1|	ferredoxin-NADP(+) reductase subunit alpha [Anaerofustis stercorihominis] 
gi|494109507|ref|WP_007050291.1|	dihydropyrimidine dehydrogenase subunit A [Anaerofustis stercorihominis] 
gi|494109508|ref|WP_007050292.1|	tRNA (guanine-N1)-methyltransferase [Anaerofustis stercorihominis] 
gi|494109509|ref|WP_007050293.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109510|ref|WP_007050294.1|	aminopeptidase [Anaerofustis stercorihominis] 
gi|494109511|ref|WP_007050295.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494109512|ref|WP_007050296.1|	hypothetical protein [Anaerofustis stercorihominis] 
