gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472479|ref|WP_006427519.1|	hypothetical protein [Dorea longicatena] 
gi|493470997|ref|WP_006426067.1|	cupin [Dorea longicatena] 
gi|493472480|ref|WP_006427520.1|	hypothetical protein [Dorea longicatena] 
gi|493472481|ref|WP_006427521.1|	hypothetical protein [Dorea longicatena] 
gi|493472482|ref|WP_006427522.1|	alpha/beta hydrolase [Dorea longicatena] 
gi|493472483|ref|WP_006427523.1|	citrate synthase [Dorea longicatena] 
gi|493472484|ref|WP_006427524.1|	MULTISPECIES: 16S rRNA methyltransferase [Dorea] 
gi|493472485|ref|WP_006427525.1|	hydrolase TatD [Dorea longicatena] 
gi|493472486|ref|WP_006427526.1|	methionyl-tRNA synthetase [Dorea longicatena] 
gi|493472487|ref|WP_006427527.1|	hypothetical protein [Dorea longicatena] 
gi|493472488|ref|WP_006427528.1|	hypothetical protein [Dorea longicatena] 
gi|493472489|ref|WP_006427529.1|	L-glyceraldehyde 3-phosphate reductase [Dorea longicatena] 
gi|493472490|ref|WP_006427530.1|	branched-chain amino acid ABC transporter permease [Dorea longicatena] 
gi|493472491|ref|WP_006427531.1|	MULTISPECIES: branched-chain amino acid transporter [Dorea] 
gi|493472492|ref|WP_006427532.1|	hypothetical protein [Dorea longicatena] 
gi|493472493|ref|WP_006427533.1|	spermidine/putrescine ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493472494|ref|WP_006427534.1|	ABC transporter permease [Dorea longicatena] 
gi|493472495|ref|WP_006427535.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Dorea] 
gi|493472496|ref|WP_006427536.1|	hypothetical protein [Dorea longicatena] 
gi|493472497|ref|WP_006427537.1|	hypothetical protein [Dorea longicatena] 
gi|493472498|ref|WP_006427538.1|	hypothetical protein [Dorea longicatena] 
gi|493472499|ref|WP_006427539.1|	MULTISPECIES: beta-lactamase [Dorea] 
gi|493472500|ref|WP_006427540.1|	hypothetical protein [Dorea longicatena] 
gi|493472501|ref|WP_006427541.1|	ATPase [Dorea longicatena] 
gi|493472502|ref|WP_006427542.1|	hypothetical protein [Dorea longicatena] 
gi|493472504|ref|WP_006427543.1|	hypothetical protein [Dorea longicatena] 
gi|493472505|ref|WP_006427544.1|	hypothetical protein [Dorea longicatena] 
gi|493472506|ref|WP_006427545.1|	hypothetical protein [Dorea longicatena] 
gi|493472507|ref|WP_006427546.1|	hypothetical protein [Dorea longicatena] 
gi|493472508|ref|WP_006427547.1|	hypothetical protein [Dorea longicatena] 
gi|493472509|ref|WP_006427548.1|	chromosome segregation protein SMC [Dorea longicatena] 
gi|493472510|ref|WP_006427549.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472511|ref|WP_006427550.1|	hypothetical protein [Dorea longicatena] 
gi|493472512|ref|WP_006427551.1|	hypothetical protein [Dorea longicatena] 
gi|493472513|ref|WP_006427552.1|	spore maturation protein [Dorea longicatena] 
gi|493472514|ref|WP_006427553.1|	nucleoside recognition protein [Dorea longicatena] 
gi|493472515|ref|WP_006427554.1|	membrane protein [Dorea longicatena] 
gi|493472516|ref|WP_006427555.1|	ATPase [Dorea longicatena] 
gi|493472517|ref|WP_006427556.1|	hypothetical protein [Dorea longicatena] 
gi|493472518|ref|WP_006427557.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472519|ref|WP_006427558.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472520|ref|WP_006427559.1|	peptide chain release factor 3 [Dorea longicatena] 
gi|493472521|ref|WP_006427560.1|	stage III sporulation protein AH [Dorea longicatena] 
gi|493472522|ref|WP_006427561.1|	stage III sporulation protein AG [Dorea longicatena] 
gi|493472523|ref|WP_006427562.1|	hypothetical protein [Dorea longicatena] 
gi|493472524|ref|WP_006427563.1|	stage III sporulation protein AF [Dorea longicatena] 
gi|493472525|ref|WP_006427564.1|	stage III sporulation protein AD [Dorea longicatena] 
gi|493472526|ref|WP_006427565.1|	MULTISPECIES: stage III sporulation protein AC [Dorea] 
gi|493472527|ref|WP_006427566.1|	hypothetical protein [Dorea longicatena] 
gi|493472528|ref|WP_006427567.1|	stage III sporulation protein AA [Dorea longicatena] 
gi|493472529|ref|WP_006427568.1|	hypothetical protein [Dorea longicatena] 
gi|493472530|ref|WP_006427569.1|	MULTISPECIES: polyribonucleotide nucleotidyltransferase [Dorea] 
gi|493472531|ref|WP_006427570.1|	MULTISPECIES: 30S ribosomal protein S15 [Dorea] 
gi|493472532|ref|WP_006427571.1|	FAD synthetase [Dorea longicatena] 
gi|493472533|ref|WP_006427572.1|	tRNA pseudouridine synthase B [Dorea longicatena] 
gi|493472534|ref|WP_006427573.1|	exopolyphosphatase [Dorea longicatena] 
gi|493472535|ref|WP_006427574.1|	MULTISPECIES: ribosome-binding factor A [Dorea] 
gi|493472536|ref|WP_006427575.1|	translation initiation factor IF-2 [Dorea longicatena] 
gi|493472537|ref|WP_006427576.1|	50S ribosomal protein L7ae [Dorea longicatena] 
gi|493472538|ref|WP_006427577.1|	hypothetical protein [Dorea longicatena] 
gi|493472539|ref|WP_006427578.1|	MULTISPECIES: transcription elongation factor NusA [Dorea] 
gi|493472540|ref|WP_006427579.1|	ribosome maturation factor RimP [Dorea longicatena] 
gi|493472541|ref|WP_006427580.1|	zinc ribbon NADH pyrophosphatase [Dorea longicatena] 
gi|493472542|ref|WP_006427581.1|	DNA topoisomerase [Dorea longicatena] 
gi|493472543|ref|WP_006427582.1|	DNA topoisomerase [Dorea longicatena] 
gi|493472544|ref|WP_006427583.1|	stage II sporulation protein P [Dorea longicatena] 
gi|493472545|ref|WP_006427584.1|	peptidase [Dorea longicatena] 
gi|493472546|ref|WP_006427585.1|	30S ribosomal protein S20 [Dorea longicatena] 
gi|493472547|ref|WP_006427586.1|	ketol-acid reductoisomerase [Dorea longicatena] 
gi|493472548|ref|WP_006427587.1|	acetolactate synthase [Dorea longicatena] 
gi|493472549|ref|WP_006427588.1|	5'-nucleotidase [Dorea longicatena] 
gi|493472550|ref|WP_006427589.1|	hypothetical protein [Dorea longicatena] 
gi|493472551|ref|WP_006427590.1|	hypothetical protein [Dorea longicatena] 
gi|493472552|ref|WP_006427591.1|	multidrug ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493472553|ref|WP_006427592.1|	hypothetical protein [Dorea longicatena] 
gi|493472555|ref|WP_006427593.1|	transcriptional regulator [Dorea longicatena] 
gi|493472556|ref|WP_006427594.1|	phosphoglyceromutase [Dorea longicatena] 
gi|493472557|ref|WP_006427595.1|	MULTISPECIES: triosephosphate isomerase [Dorea] 
gi|493472558|ref|WP_006427596.1|	MULTISPECIES: phosphoglycerate kinase [Dorea] 
gi|493472559|ref|WP_006427597.1|	MULTISPECIES: glyceraldehyde-3-phosphate dehydrogenase [Dorea] 
gi|493472560|ref|WP_006427598.1|	histidinol phosphate phosphatase [Dorea longicatena] 
gi|493472561|ref|WP_006427599.1|	hypothetical protein [Dorea longicatena] 
gi|493472562|ref|WP_006427600.1|	hypothetical protein [Dorea longicatena] 
gi|493472563|ref|WP_006427601.1|	MULTISPECIES: FeS cluster assembly scaffold IscU [Dorea] 
gi|493472564|ref|WP_006427602.1|	cysteine desulfurase [Dorea longicatena] 
gi|493472565|ref|WP_006427603.1|	hypothetical protein [Dorea longicatena] 
gi|493472566|ref|WP_006427604.1|	MULTISPECIES: Rrf2 family transcriptional regulator [Dorea] 
gi|493472567|ref|WP_006427605.1|	stage V sporulation protein D [Dorea longicatena] 
gi|493472568|ref|WP_006427606.1|	hypothetical protein [Dorea longicatena] 
gi|493472569|ref|WP_006427607.1|	hypothetical protein [Dorea longicatena] 
gi|493472570|ref|WP_006427608.1|	MULTISPECIES: NUDIX hydrolase [Dorea] 
gi|493472571|ref|WP_006427609.1|	hypothetical protein [Dorea longicatena] 
gi|493472572|ref|WP_006427610.1|	hypothetical protein [Dorea longicatena] 
gi|493472573|ref|WP_006427611.1|	hypothetical protein [Dorea longicatena] 
gi|493472574|ref|WP_006427612.1|	hypothetical protein [Dorea longicatena] 
gi|493472575|ref|WP_006427613.1|	protein RecA [Dorea longicatena] 
gi|493472576|ref|WP_006427614.1|	hypothetical protein [Dorea longicatena] 
gi|493472577|ref|WP_006427615.1|	hypothetical protein [Dorea longicatena] 
gi|493472578|ref|WP_006427616.1|	hypothetical protein [Dorea longicatena] 
gi|493472580|ref|WP_006427618.1|	hypothetical protein [Dorea longicatena] 
gi|493472582|ref|WP_006427620.1|	peptidase S11 [Dorea longicatena] 
gi|493472584|ref|WP_006427621.1|	hypothetical protein [Dorea longicatena] 
gi|493472585|ref|WP_006427622.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472586|ref|WP_006427623.1|	MULTISPECIES: chromosome segregation and condensation protein ScpA [Dorea] 
gi|493472587|ref|WP_006427624.1|	Ser/Thr phosphatase [Dorea longicatena] 
gi|493472588|ref|WP_006427625.1|	peptidase M24 [Dorea longicatena] 
gi|493472589|ref|WP_006427626.1|	D-Ala-D-Ala carboxypeptidase [Dorea longicatena] 
gi|493472590|ref|WP_006427627.1|	MULTISPECIES: antitoxin HicB [Dorea] 
gi|493472591|ref|WP_006427628.1|	MULTISPECIES: spore protein [Dorea] 
gi|493472592|ref|WP_006427629.1|	ATP-dependent DNA helicase RecG [Dorea longicatena] 
gi|493472593|ref|WP_006427630.1|	hypothetical protein [Dorea longicatena] 
gi|493472594|ref|WP_006427631.1|	hypothetical protein [Dorea longicatena] 
gi|493472595|ref|WP_006427632.1|	hypothetical protein [Dorea longicatena] 
gi|493472596|ref|WP_006427633.1|	hypothetical protein [Dorea longicatena] 
gi|493472597|ref|WP_006427634.1|	hypothetical protein [Dorea longicatena] 
gi|493472598|ref|WP_006427635.1|	hypothetical protein [Dorea longicatena] 
gi|493472599|ref|WP_006427636.1|	peptidoglycan glycosyltransferase [Dorea longicatena] 
gi|493472600|ref|WP_006427637.1|	cell division protein FtsW [Dorea longicatena] 
gi|493472601|ref|WP_006427638.1|	hypothetical protein [Dorea longicatena] 
gi|493472602|ref|WP_006427639.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472603|ref|WP_006427640.1|	Holliday junction DNA helicase RuvB [Dorea longicatena] 
gi|493472604|ref|WP_006427641.1|	MULTISPECIES: Holliday junction DNA helicase RuvA [Dorea] 
gi|493472605|ref|WP_006427642.1|	heptaprenyl diphosphate synthase subunit I [Dorea longicatena] 
gi|493472606|ref|WP_006427643.1|	hypothetical protein [Dorea longicatena] 
gi|493472607|ref|WP_006427644.1|	phosphoserine phosphatase [Dorea longicatena] 
gi|493472608|ref|WP_006427645.1|	rRNA methyltransferase [Dorea longicatena] 
gi|493472609|ref|WP_006427646.1|	MULTISPECIES: SAM-dependent methyltransferase [Dorea] 
gi|493472610|ref|WP_006427647.1|	hypothetical protein [Dorea longicatena] 
gi|493472611|ref|WP_006427648.1|	hypothetical protein [Dorea longicatena] 
gi|493472612|ref|WP_006427649.1|	hypothetical protein [Dorea longicatena] 
gi|493472613|ref|WP_006427650.1|	hypothetical protein [Dorea longicatena] 
gi|493472614|ref|WP_006427651.1|	hypothetical protein [Dorea longicatena] 
gi|493472615|ref|WP_006427652.1|	hypothetical protein [Dorea longicatena] 
gi|493472616|ref|WP_006427653.1|	K+-dependent Na+/Ca+ exchanger [Dorea longicatena] 
gi|493472617|ref|WP_006427654.1|	2-hydroxyacid dehydrogenase [Dorea longicatena] 
gi|493472618|ref|WP_006427655.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472619|ref|WP_006427656.1|	permease [Dorea longicatena] 
gi|493472620|ref|WP_006427657.1|	amino acid:cation symporter [Dorea longicatena] 
gi|493472621|ref|WP_006427658.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472622|ref|WP_006427659.1|	acetyltransferase [Dorea longicatena] 
gi|493472623|ref|WP_006427660.1|	NADPH-dependent FMN reductase [Dorea longicatena] 
gi|493472624|ref|WP_006427661.1|	hypothetical protein [Dorea longicatena] 
gi|493472625|ref|WP_006427662.1|	MULTISPECIES: DNA-binding protein [Dorea] 
gi|493472626|ref|WP_006427663.1|	hypothetical protein [Dorea longicatena] 
gi|493472627|ref|WP_006427664.1|	sugar ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493472628|ref|WP_006427665.1|	hypothetical protein [Dorea longicatena] 
gi|493472629|ref|WP_006427666.1|	histidine kinase [Dorea longicatena] 
gi|493472630|ref|WP_006427667.1|	chemotaxis protein CheY [Dorea longicatena] 
gi|493472631|ref|WP_006427668.1|	galactoside ABC transporter permease [Dorea longicatena] 
gi|493472632|ref|WP_006427669.1|	D-ribose transporter ATP binding protein [Dorea longicatena] 
gi|493472633|ref|WP_006427670.1|	hypothetical protein [Dorea longicatena] 
gi|493472635|ref|WP_006427671.1|	MULTISPECIES: carbon starvation protein CstA [Dorea] 
gi|493472636|ref|WP_006427672.1|	haloacid dehalogenase [Dorea longicatena] 
gi|493472637|ref|WP_006427673.1|	MULTISPECIES: 6,7-dimethyl-8-ribityllumazine synthase [Clostridiales] 
gi|493472638|ref|WP_006427674.1|	GTP cyclohydrolase [Dorea longicatena] 
gi|493472639|ref|WP_006427675.1|	riboflavin synthase subunit alpha [Dorea longicatena] 
gi|493472640|ref|WP_006427676.1|	riboflavin biosynthesis protein RibD [Dorea longicatena] 
gi|493472641|ref|WP_006427677.1|	hypothetical protein [Dorea longicatena] 
gi|493472642|ref|WP_006427678.1|	lysophospholipase [Dorea longicatena] 
gi|493472643|ref|WP_006427679.1|	hypothetical protein [Dorea longicatena] 
gi|493472644|ref|WP_006427680.1|	hypothetical protein [Dorea longicatena] 
gi|493472645|ref|WP_006427681.1|	hypothetical protein [Dorea longicatena] 
gi|493472646|ref|WP_006427682.1|	hypothetical protein [Dorea longicatena] 
gi|493472647|ref|WP_006427683.1|	hypothetical protein [Dorea longicatena] 
gi|493472648|ref|WP_006427684.1|	hypothetical protein [Dorea longicatena] 
gi|493472649|ref|WP_006427685.1|	MULTISPECIES: ArsC family transcriptional regulator [Dorea] 
gi|493472650|ref|WP_006427686.1|	ATPase AAA [Dorea longicatena] 
gi|493472651|ref|WP_006427687.1|	hypothetical protein [Dorea longicatena] 
gi|493472652|ref|WP_006427688.1|	hypothetical protein [Dorea longicatena] 
gi|493472653|ref|WP_006427689.1|	PTS sucrose transporter subunit IIABC [Dorea longicatena] 
gi|493472654|ref|WP_006427690.1|	hypothetical protein [Dorea longicatena] 
gi|493472655|ref|WP_006427691.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472656|ref|WP_006427692.1|	mucin desulfatase [Dorea longicatena] 
gi|493472657|ref|WP_006427693.1|	nucleotidyltransferase [Dorea longicatena] 
gi|493472658|ref|WP_006427694.1|	hypothetical protein [Dorea longicatena] 
gi|493472659|ref|WP_006427695.1|	hypothetical protein [Dorea longicatena] 
gi|493472660|ref|WP_006427696.1|	sugar ABC transporter permease [Dorea longicatena] 
gi|493472661|ref|WP_006427697.1|	sugar ABC transporter permease [Dorea longicatena] 
gi|493472662|ref|WP_006427698.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493472663|ref|WP_006427699.1|	AraC family transcriptional regulator [Dorea longicatena] 
gi|493472664|ref|WP_006427700.1|	glucosamine-6-phosphate deaminase [Dorea longicatena] 
gi|493472665|ref|WP_006427701.1|	hypothetical protein [Dorea longicatena] 
gi|493472666|ref|WP_006427702.1|	MULTISPECIES: 30S ribosomal protein S18 [Dorea] 
gi|493472667|ref|WP_006427703.1|	MULTISPECIES: single-stranded DNA-binding protein [Dorea] 
gi|493472668|ref|WP_006427704.1|	MULTISPECIES: 30S ribosomal protein S6 [Dorea] 
gi|493472669|ref|WP_006427705.1|	hypothetical protein [Dorea longicatena] 
gi|493472670|ref|WP_006427706.1|	sortase [Dorea longicatena] 
gi|493472671|ref|WP_006427707.1|	hypothetical protein [Dorea longicatena] 
gi|493472672|ref|WP_006427708.1|	hypothetical protein [Dorea longicatena] 
gi|493472673|ref|WP_006427709.1|	hypothetical protein [Dorea longicatena] 
gi|493472674|ref|WP_006427710.1|	molecular chaperone DnaJ [Dorea longicatena] 
gi|493472675|ref|WP_006427711.1|	MULTISPECIES: flavodoxin [Dorea] 
gi|493472676|ref|WP_006427712.1|	glyceraldehyde-3-phosphate dehydrogenase [Dorea longicatena] 
gi|493472677|ref|WP_006427713.1|	hypothetical protein [Dorea longicatena] 
gi|493472678|ref|WP_006427714.1|	hypothetical protein [Dorea longicatena] 
gi|493472679|ref|WP_006427715.1|	hypothetical protein [Dorea longicatena] 
gi|487736471|ref|WP_001820670.1|	MULTISPECIES: recombinase [Firmicutes] 
gi|446175321|ref|WP_000253176.1|	MULTISPECIES: stage II sporulation protein R [Firmicutes] 
gi|447129730|ref|WP_001206986.1|	MULTISPECIES: seryl-tRNA synthetase [Firmicutes] 
gi|446666354|ref|WP_000743700.1|	MULTISPECIES: plasmid stablization protein ParB [Firmicutes] 
gi|446139792|ref|WP_000217647.1|	MULTISPECIES: recombinase [Firmicutes] 
gi|487736468|ref|WP_001820667.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489629667|ref|WP_003534107.1|	MULTISPECIES: RNA polymerase subunit sigma [Firmicutes] 
gi|487736466|ref|WP_001820665.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|446246040|ref|WP_000323895.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|446163854|ref|WP_000241709.1|	MULTISPECIES: RNA polymerase sigma factor [Bacteria] 
gi|488867516|ref|WP_002779755.1|	MULTISPECIES: conjugal transfer protein [Bacteria] 
gi|493472685|ref|WP_006427719.1|	tetracycline resistance protein tetM [Dorea longicatena] 
gi|447052666|ref|WP_001129922.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493472686|ref|WP_006427720.1|	hypothetical protein [Dorea longicatena] 
gi|493472690|ref|WP_006427723.1|	hypothetical protein [Dorea longicatena] 
gi|493472691|ref|WP_006427724.1|	hypothetical protein [Dorea longicatena] 
gi|493472692|ref|WP_006427725.1|	DNA topoisomerase III [Dorea longicatena] 
gi|493472693|ref|WP_006427726.1|	hypothetical protein [Dorea longicatena] 
gi|493472694|ref|WP_006427727.1|	hypothetical protein [Dorea longicatena] 
gi|493472695|ref|WP_006427728.1|	ABC transporter permease [Dorea longicatena] 
gi|493472696|ref|WP_006427729.1|	ABC transporter permease [Dorea longicatena] 
gi|493472697|ref|WP_006427730.1|	cytochrome C oxidase subunit IV [Dorea longicatena] 
gi|493472698|ref|WP_006427731.1|	hypothetical protein [Dorea longicatena] 
gi|493472699|ref|WP_006427732.1|	hypothetical protein [Dorea longicatena] 
gi|493472700|ref|WP_006427733.1|	XRE family transcriptional regulator [Dorea longicatena] 
gi|493472701|ref|WP_006427734.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472702|ref|WP_006427735.1|	hypothetical protein [Dorea longicatena] 
gi|493472703|ref|WP_006427736.1|	beta-galactosidase [Dorea longicatena] 
gi|493472704|ref|WP_006427737.1|	beta-galactosidase [Dorea longicatena] 
gi|493472705|ref|WP_006427738.1|	hypothetical protein [Dorea longicatena] 
gi|493472706|ref|WP_006427739.1|	membrane protein [Dorea longicatena] 
gi|493472707|ref|WP_006427740.1|	MULTISPECIES: sugar ABC transporter substrate-binding protein [Dorea] 
gi|493472708|ref|WP_006427741.1|	tetrahydrofolate dehydrogenase [Dorea longicatena] 
gi|493472709|ref|WP_006427742.1|	AraC family transcriptional regulator [Dorea longicatena] 
gi|493472710|ref|WP_006427743.1|	LysR family transcriptional regulator [Dorea longicatena] 
gi|493472711|ref|WP_006427744.1|	endonuclease V [Dorea longicatena] 
gi|493472712|ref|WP_006427745.1|	hypothetical protein [Dorea longicatena] 
gi|493472713|ref|WP_006427746.1|	hypothetical protein [Dorea longicatena] 
gi|493472715|ref|WP_006427748.1|	MULTISPECIES: voltage-gated potassium channel [Dorea] 
gi|493472716|ref|WP_006427749.1|	MULTISPECIES: MarR family transcriptional regulator [Dorea] 
gi|493472717|ref|WP_006427750.1|	MULTISPECIES: sodium transporter [Dorea] 
gi|493472718|ref|WP_006427751.1|	MULTISPECIES: prevent-host-death protein [Dorea] 
gi|493472719|ref|WP_006427752.1|	MULTISPECIES: DNA damage-inducible protein [Dorea] 
gi|493472720|ref|WP_006427753.1|	MULTISPECIES: cytidylate kinase [Dorea] 
gi|493472721|ref|WP_006427754.1|	hypothetical protein [Dorea longicatena] 
gi|493472722|ref|WP_006427755.1|	hypothetical protein [Dorea longicatena] 
gi|493472723|ref|WP_006427756.1|	hypothetical protein [Dorea longicatena] 
gi|493472724|ref|WP_006427757.1|	hypothetical protein [Dorea longicatena] 
gi|493472725|ref|WP_006427758.1|	hypothetical protein [Dorea longicatena] 
gi|493472726|ref|WP_006427759.1|	hypothetical protein [Dorea longicatena] 
gi|493472727|ref|WP_006427760.1|	membrane protein [Dorea longicatena] 
gi|493472728|ref|WP_006427761.1|	hypothetical protein [Dorea longicatena] 
gi|493472729|ref|WP_006427762.1|	hypothetical protein [Dorea longicatena] 
gi|493472730|ref|WP_006427763.1|	hypothetical protein [Dorea longicatena] 
gi|493472731|ref|WP_006427764.1|	MULTISPECIES: heat shock protein Hsp20 [Dorea] 
gi|493472732|ref|WP_006427765.1|	ATP-dependent Clp protease ATP-binding protein [Dorea longicatena] 
gi|493472734|ref|WP_006427766.1|	hypothetical protein [Dorea longicatena] 
gi|493472735|ref|WP_006427767.1|	membrane protein [Dorea longicatena] 
gi|493472736|ref|WP_006427768.1|	peptidase T [Dorea longicatena] 
gi|493472737|ref|WP_006427769.1|	MULTISPECIES: UDP-N-acetylmuramyl peptide synthase [Dorea] 
gi|493472738|ref|WP_006427770.1|	MULTISPECIES: primosomal protein N' [Dorea] 
gi|493472739|ref|WP_006427771.1|	MULTISPECIES: peptide deformylase [Dorea] 
gi|493472740|ref|WP_006427772.1|	methionyl-tRNA formyltransferase [Dorea longicatena] 
gi|493472741|ref|WP_006427773.1|	peptidase [Dorea longicatena] 
gi|493472742|ref|WP_006427774.1|	16S rRNA methyltransferase [Dorea longicatena] 
gi|493472743|ref|WP_006427775.1|	23S rRNA methyltransferase [Dorea longicatena] 
gi|493472744|ref|WP_006427776.1|	MULTISPECIES: protein serine/threonine phosphatase [Dorea] 
gi|493472745|ref|WP_006427777.1|	hypothetical protein [Dorea longicatena] 
gi|493472746|ref|WP_006427778.1|	MULTISPECIES: GTPase A [Dorea] 
gi|493472747|ref|WP_006427779.1|	ribulose-phosphate 3-epimerase [Dorea longicatena] 
gi|493472748|ref|WP_006427780.1|	thiamine pyrophosphokinase [Dorea longicatena] 
gi|493472749|ref|WP_006427781.1|	MULTISPECIES: GTP-binding protein YchF [Dorea] 
gi|493472750|ref|WP_006427782.1|	diacylglyceryl transferase [Dorea longicatena] 
gi|493472751|ref|WP_006427783.1|	glucosamine-6-phosphate deaminase [Dorea longicatena] 
gi|493472752|ref|WP_006427784.1|	MULTISPECIES: N-acetylmannosamine-6-phosphate 2-epimerase [Dorea] 
gi|493472753|ref|WP_006427785.1|	MULTISPECIES: N-acetylneuraminate lyase [Lachnospiraceae] 
gi|493472754|ref|WP_006427786.1|	sodium:solute symporter [Dorea longicatena] 
gi|493472756|ref|WP_006427787.1|	hypothetical protein [Dorea longicatena] 
gi|493472757|ref|WP_006427788.1|	hypothetical protein [Dorea longicatena] 
gi|493472758|ref|WP_006427789.1|	RpiR family transcriptional regulator [Dorea longicatena] 
gi|493472759|ref|WP_006427790.1|	N-acetylglucosamine-6-phosphate deacetylase [Dorea longicatena] 
gi|493472760|ref|WP_006427791.1|	hypothetical protein [Dorea longicatena] 
gi|493472761|ref|WP_006427792.1|	tyrosyl-tRNA synthetase [Dorea longicatena] 
gi|493472762|ref|WP_006427793.1|	flavin reductase [Dorea longicatena] 
gi|493472763|ref|WP_006427794.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472764|ref|WP_006427795.1|	hypothetical protein [Dorea longicatena] 
gi|493472765|ref|WP_006427796.1|	maltodextrin glucosidase [Dorea longicatena] 
gi|493472766|ref|WP_006427797.1|	MULTISPECIES: 50S ribosomal protein L13 [Dorea] 
gi|493472767|ref|WP_006427798.1|	MULTISPECIES: 30S ribosomal protein S9 [Dorea] 
gi|493472768|ref|WP_006427799.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472769|ref|WP_006427800.1|	LysR family transcriptional regulator [Dorea longicatena] 
gi|493472770|ref|WP_006427801.1|	hypothetical protein [Dorea longicatena] 
gi|493472771|ref|WP_006427802.1|	hypothetical protein [Dorea longicatena] 
gi|493472772|ref|WP_006427803.1|	hypothetical protein [Dorea longicatena] 
gi|493472773|ref|WP_006427804.1|	heme ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493472774|ref|WP_006427805.1|	hypothetical protein [Dorea longicatena] 
gi|493472775|ref|WP_006427806.1|	hypothetical protein [Dorea longicatena] 
gi|493472776|ref|WP_006427807.1|	tRNA-binding protein [Dorea longicatena] 
gi|493472777|ref|WP_006427808.1|	haloacid dehalogenase [Dorea longicatena] 
gi|493472778|ref|WP_006427809.1|	MULTISPECIES: transcription elongation factor GreA [Dorea] 
gi|493472779|ref|WP_006427810.1|	hydroxyethylthiazole kinase [Dorea longicatena] 
gi|493472780|ref|WP_006427811.1|	thiamine-phosphate pyrophosphorylase [Dorea longicatena] 
gi|493472781|ref|WP_006427812.1|	hypothetical protein [Dorea longicatena] 
gi|493472782|ref|WP_006427813.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472783|ref|WP_006427814.1|	hypothetical protein [Dorea longicatena] 
gi|493472784|ref|WP_006427815.1|	hypothetical protein [Dorea longicatena] 
gi|493472785|ref|WP_006427816.1|	6-phosphofructokinase [Dorea longicatena] 
gi|493472786|ref|WP_006427817.1|	hypothetical protein [Dorea longicatena] 
gi|493472787|ref|WP_006427818.1|	cobalt chelatase [Dorea longicatena] 
gi|493472788|ref|WP_006427819.1|	pyridoxine kinase [Dorea longicatena] 
gi|493472789|ref|WP_006427820.1|	glycosyl hydrolase family 32 [Dorea longicatena] 
gi|493472790|ref|WP_006427821.1|	MULTISPECIES: PTS sucrose transporter subunit IIABC [Dorea] 
gi|493472791|ref|WP_006427822.1|	hypothetical protein [Dorea longicatena] 
gi|493472792|ref|WP_006427823.1|	sugar ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493472793|ref|WP_006427824.1|	multidrug ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493472794|ref|WP_006427825.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472795|ref|WP_006427826.1|	hypothetical protein [Dorea longicatena] 
gi|493472796|ref|WP_006427827.1|	hypothetical protein [Dorea longicatena] 
gi|493472797|ref|WP_006427828.1|	MULTISPECIES: DNA-binding protein [Dorea] 
gi|493472798|ref|WP_006427829.1|	uracil permease [Dorea longicatena] 
gi|493472799|ref|WP_006427830.1|	hypothetical protein [Dorea longicatena] 
gi|493472800|ref|WP_006427831.1|	hypothetical protein [Dorea longicatena] 
gi|493472801|ref|WP_006427832.1|	hypothetical protein [Dorea longicatena] 
gi|493472802|ref|WP_006427833.1|	hypothetical protein [Dorea longicatena] 
gi|493472803|ref|WP_006427834.1|	hypothetical protein [Dorea longicatena] 
gi|493472804|ref|WP_006427835.1|	DNA methylase [Dorea longicatena] 
gi|493472805|ref|WP_006427836.1|	hypothetical protein [Dorea longicatena] 
gi|493472806|ref|WP_006427837.1|	copper-translocating P-type ATPase [Dorea longicatena] 
gi|493472807|ref|WP_006427838.1|	hypothetical protein [Dorea longicatena] 
gi|493472808|ref|WP_006427839.1|	4Fe-4S ferredoxin [Dorea longicatena] 
