gi|493396717|ref|WP_006352832.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398758|ref|WP_006354866.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398759|ref|WP_006354867.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398760|ref|WP_006354868.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398761|ref|WP_006354869.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398762|ref|WP_006354870.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398763|ref|WP_006354871.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398764|ref|WP_006354872.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398765|ref|WP_006354873.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398766|ref|WP_006354874.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398767|ref|WP_006354875.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398768|ref|WP_006354876.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398769|ref|WP_006354877.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398770|ref|WP_006354878.1|	rubrerythrin [[Clostridium] methylpentosum] 
gi|493398771|ref|WP_006354879.1|	Fur family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398772|ref|WP_006354880.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398773|ref|WP_006354881.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398774|ref|WP_006354882.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398775|ref|WP_006354883.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398776|ref|WP_006354884.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398777|ref|WP_006354885.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398778|ref|WP_006354886.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398779|ref|WP_006354887.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398780|ref|WP_006354888.1|	PTS cellbiose transporter subunit IIC [[Clostridium] methylpentosum] 
gi|493398781|ref|WP_006354889.1|	elongation factor Tu [[Clostridium] methylpentosum] 
gi|493398782|ref|WP_006354890.1|	elongation factor P [[Clostridium] methylpentosum] 
gi|493398783|ref|WP_006354891.1|	30S ribosomal protein S7 [[Clostridium] methylpentosum] 
gi|493398784|ref|WP_006354892.1|	30S ribosomal protein S12 [[Clostridium] methylpentosum] 
gi|493398785|ref|WP_006354893.1|	DNA-directed RNA polymerase subunit beta' [[Clostridium] methylpentosum] 
gi|493398786|ref|WP_006354894.1|	DNA-directed RNA polymerase subunit beta [[Clostridium] methylpentosum] 
gi|493398787|ref|WP_006354895.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398788|ref|WP_006354896.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398789|ref|WP_006354897.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398790|ref|WP_006354898.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398791|ref|WP_006354899.1|	Rrf2 family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398792|ref|WP_006354900.1|	RNA polymerase sigma factor RpoD [[Clostridium] methylpentosum] 
gi|493398793|ref|WP_006354901.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398794|ref|WP_006354902.1|	deoxyguanosinetriphosphate triphosphohydrolase [[Clostridium] methylpentosum] 
gi|493398795|ref|WP_006354903.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398796|ref|WP_006354904.1|	50S ribosomal protein L31 [[Clostridium] methylpentosum] 
gi|493398797|ref|WP_006354905.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398798|ref|WP_006354906.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398799|ref|WP_006354907.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398800|ref|WP_006354908.1|	phosphoglucomutase [[Clostridium] methylpentosum] 
gi|493398801|ref|WP_006354909.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398802|ref|WP_006354910.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398803|ref|WP_006354911.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398804|ref|WP_006354912.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398805|ref|WP_006354913.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398806|ref|WP_006354914.1|	ribulose-phosphate 3-epimerase [[Clostridium] methylpentosum] 
gi|493398807|ref|WP_006354915.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398808|ref|WP_006354916.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398809|ref|WP_006354917.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398810|ref|WP_006354918.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398811|ref|WP_006354919.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398812|ref|WP_006354920.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398813|ref|WP_006354921.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398814|ref|WP_006354922.1|	nitrogen-fixing protein NifU [[Clostridium] methylpentosum] 
gi|493398815|ref|WP_006354923.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398816|ref|WP_006354924.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398817|ref|WP_006354925.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398818|ref|WP_006354926.1|	multidrug transporter MatE [[Clostridium] methylpentosum] 
gi|493398819|ref|WP_006354927.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398820|ref|WP_006354928.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398821|ref|WP_006354929.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398822|ref|WP_006354930.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398823|ref|WP_006354931.1|	recombinase [[Clostridium] methylpentosum] 
gi|493398824|ref|WP_006354932.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398825|ref|WP_006354933.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398826|ref|WP_006354934.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398827|ref|WP_006354935.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398828|ref|WP_006354936.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398829|ref|WP_006354937.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398830|ref|WP_006354938.1|	MULTISPECIES: integrase [Clostridiales] 
gi|493398831|ref|WP_006354939.1|	MULTISPECIES: excisionase [Firmicutes] 
gi|493398832|ref|WP_006354940.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398833|ref|WP_006354941.1|	MULTISPECIES: RNA polymerase sigma factor [Firmicutes] 
gi|493398834|ref|WP_006354942.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489529610|ref|WP_003434344.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493398835|ref|WP_006354943.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489529608|ref|WP_003434342.1|	MULTISPECIES: methyltransferase [Firmicutes] 
gi|493398836|ref|WP_006354944.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|493398837|ref|WP_006354945.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|493398838|ref|WP_006354946.1|	cation diffusion facilitator family transporter [[Clostridium] methylpentosum] 
gi|493398839|ref|WP_006354947.1|	ABC transporter permease [[Clostridium] methylpentosum] 
gi|493398840|ref|WP_006354948.1|	ABC transporter permease [[Clostridium] methylpentosum] 
gi|493398841|ref|WP_006354949.1|	ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|489529595|ref|WP_003434329.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|493398842|ref|WP_006354950.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398843|ref|WP_006354951.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398844|ref|WP_006354952.1|	MULTISPECIES: hydrolase [Firmicutes] 
gi|489532686|ref|WP_003437417.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493398845|ref|WP_006354953.1|	AraC family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398846|ref|WP_006354954.1|	MULTISPECIES: GNAT family acetyltransferase [Clostridiales] 
gi|493398847|ref|WP_006354955.1|	methyltransferase [[Clostridium] methylpentosum] 
gi|493398848|ref|WP_006354956.1|	MerR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398849|ref|WP_006354957.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398850|ref|WP_006354958.1|	peptidase P60 [[Clostridium] methylpentosum] 
gi|493398851|ref|WP_006354959.1|	membrane protein [[Clostridium] methylpentosum] 
gi|493398852|ref|WP_006354960.1|	ATP/GTP-binding protein [[Clostridium] methylpentosum] 
gi|493398853|ref|WP_006354961.1|	membrane protein [[Clostridium] methylpentosum] 
gi|493398854|ref|WP_006354962.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398855|ref|WP_006354963.1|	MULTISPECIES: antirestriction protein [Firmicutes] 
gi|493398856|ref|WP_006354964.1|	antirestriction protein [[Clostridium] methylpentosum] 
gi|493398857|ref|WP_006354965.1|	conjugal transfer protein [[Clostridium] methylpentosum] 
gi|489532970|ref|WP_003437701.1|	MULTISPECIES: acetyltransferase [Clostridiales] 
gi|493398858|ref|WP_006354966.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|493398859|ref|WP_006354967.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|493398860|ref|WP_006354968.1|	Cro/Cl family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398861|ref|WP_006354969.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398862|ref|WP_006354970.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398863|ref|WP_006354971.1|	cell division protein FtsK [[Clostridium] methylpentosum] 
gi|493398864|ref|WP_006354972.1|	signal peptide protein [[Clostridium] methylpentosum] 
gi|493398865|ref|WP_006354973.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|489532487|ref|WP_003437218.1|	MULTISPECIES: hydrolase [Clostridiales] 
gi|493398866|ref|WP_006354974.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|489532483|ref|WP_003437214.1|	MULTISPECIES: glyoxalase [Clostridiales] 
gi|489532480|ref|WP_003437211.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493398867|ref|WP_006354975.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493398868|ref|WP_006354976.1|	collagen-binding protein [[Clostridium] methylpentosum] 
gi|493398869|ref|WP_006354977.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398870|ref|WP_006354978.1|	quinolinate synthetase [[Clostridium] methylpentosum] 
gi|493398871|ref|WP_006354979.1|	Rrf2 family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398872|ref|WP_006354980.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398873|ref|WP_006354981.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398874|ref|WP_006354982.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398875|ref|WP_006354983.1|	microcompartment protein [[Clostridium] methylpentosum] 
gi|493398876|ref|WP_006354984.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398877|ref|WP_006354985.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398878|ref|WP_006354986.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398879|ref|WP_006354987.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398880|ref|WP_006354988.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398881|ref|WP_006354989.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398882|ref|WP_006354990.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398883|ref|WP_006354991.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398884|ref|WP_006354992.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398885|ref|WP_006354993.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398886|ref|WP_006354994.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398887|ref|WP_006354995.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398888|ref|WP_006354996.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398889|ref|WP_006354997.1|	amino acid ABC transporter substrate-binding protein [[Clostridium] methylpentosum] 
gi|493398890|ref|WP_006354998.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398891|ref|WP_006354999.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398892|ref|WP_006355000.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398893|ref|WP_006355001.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398894|ref|WP_006355002.1|	histidine kinase [[Clostridium] methylpentosum] 
gi|493398895|ref|WP_006355003.1|	histidine kinase [[Clostridium] methylpentosum] 
gi|493398896|ref|WP_006355004.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398897|ref|WP_006355005.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398898|ref|WP_006355006.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398899|ref|WP_006355007.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398900|ref|WP_006355008.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398901|ref|WP_006355009.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398902|ref|WP_006355010.1|	glutamine amidotransferase [[Clostridium] methylpentosum] 
gi|493398903|ref|WP_006355011.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398904|ref|WP_006355012.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398905|ref|WP_006355013.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398906|ref|WP_006355014.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398908|ref|WP_006355015.1|	ribonucleoside triphosphate reductase [[Clostridium] methylpentosum] 
gi|493398909|ref|WP_006355016.1|	ribonucleoside-triphosphate reductase activating protein [[Clostridium] methylpentosum] 
gi|493398910|ref|WP_006355017.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398911|ref|WP_006355018.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398912|ref|WP_006355019.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398913|ref|WP_006355020.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398914|ref|WP_006355021.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398915|ref|WP_006355022.1|	NrdR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398916|ref|WP_006355023.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398917|ref|WP_006355024.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398918|ref|WP_006355025.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398919|ref|WP_006355026.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398920|ref|WP_006355027.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398921|ref|WP_006355028.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398922|ref|WP_006355029.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398923|ref|WP_006355030.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398924|ref|WP_006355031.1|	pyridoxal biosynthesis protein [[Clostridium] methylpentosum] 
gi|493398925|ref|WP_006355032.1|	glutamine amidotransferase [[Clostridium] methylpentosum] 
gi|493398926|ref|WP_006355033.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398927|ref|WP_006355034.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398928|ref|WP_006355035.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398929|ref|WP_006355036.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398930|ref|WP_006355037.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398931|ref|WP_006355038.1|	CopG family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398932|ref|WP_006355039.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398933|ref|WP_006355040.1|	antibiotic ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493398934|ref|WP_006355041.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398935|ref|WP_006355042.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398936|ref|WP_006355043.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398937|ref|WP_006355044.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398938|ref|WP_006355045.1|	LuxR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398939|ref|WP_006355046.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398940|ref|WP_006355047.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398941|ref|WP_006355048.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398942|ref|WP_006355049.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398943|ref|WP_006355050.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398944|ref|WP_006355051.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398945|ref|WP_006355052.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398946|ref|WP_006355053.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398947|ref|WP_006355054.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398948|ref|WP_006355055.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398949|ref|WP_006355056.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398950|ref|WP_006355057.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398951|ref|WP_006355058.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398952|ref|WP_006355059.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398953|ref|WP_006355060.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398954|ref|WP_006355061.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398955|ref|WP_006355062.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398956|ref|WP_006355063.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398957|ref|WP_006355064.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398958|ref|WP_006355065.1|	peptidase U32 [[Clostridium] methylpentosum] 
gi|493398959|ref|WP_006355066.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398960|ref|WP_006355067.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398961|ref|WP_006355068.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398962|ref|WP_006355069.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398963|ref|WP_006355070.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398964|ref|WP_006355071.1|	cobalt transporter [[Clostridium] methylpentosum] 
gi|493398965|ref|WP_006355072.1|	cobalt ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493398966|ref|WP_006355073.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398967|ref|WP_006355074.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398968|ref|WP_006355075.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398969|ref|WP_006355076.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398970|ref|WP_006355077.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398971|ref|WP_006355078.1|	glycerol dehydrogenase [[Clostridium] methylpentosum] 
gi|493398972|ref|WP_006355079.1|	MerR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493398973|ref|WP_006355080.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398974|ref|WP_006355081.1|	tyrosyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493398975|ref|WP_006355082.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398976|ref|WP_006355083.1|	RNA polymerase sigma 70 [[Clostridium] methylpentosum] 
gi|493398977|ref|WP_006355084.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398978|ref|WP_006355085.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398979|ref|WP_006355086.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398980|ref|WP_006355087.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398981|ref|WP_006355088.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398982|ref|WP_006355089.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398983|ref|WP_006355090.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398984|ref|WP_006355091.1|	disulfide oxidoreductase [[Clostridium] methylpentosum] 
gi|493398985|ref|WP_006355092.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398986|ref|WP_006355093.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398987|ref|WP_006355094.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398988|ref|WP_006355095.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398989|ref|WP_006355096.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398990|ref|WP_006355097.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398991|ref|WP_006355098.1|	pantothenate kinase [[Clostridium] methylpentosum] 
gi|493398992|ref|WP_006355099.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398993|ref|WP_006355100.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493398994|ref|WP_006355101.1|	DNA repair protein RadA [[Clostridium] methylpentosum] 
gi|493398995|ref|WP_006355102.1|	6-phosphofructokinase [[Clostridium] methylpentosum] 
gi|493398996|ref|WP_006355103.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398997|ref|WP_006355104.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493398998|ref|WP_006355105.1|	sodium:alanine symporter [[Clostridium] methylpentosum] 
gi|493398999|ref|WP_006355106.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399000|ref|WP_006355107.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399001|ref|WP_006355108.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399002|ref|WP_006355109.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399003|ref|WP_006355110.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399004|ref|WP_006355111.1|	Fur family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399005|ref|WP_006355112.1|	rubrerythrin [[Clostridium] methylpentosum] 
gi|493399006|ref|WP_006355113.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399007|ref|WP_006355114.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399008|ref|WP_006355115.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399009|ref|WP_006355116.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399010|ref|WP_006355117.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399011|ref|WP_006355118.1|	isoleucyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493399012|ref|WP_006355119.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399013|ref|WP_006355120.1|	RNA pseudouridine synthase [[Clostridium] methylpentosum] 
gi|493399014|ref|WP_006355121.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399015|ref|WP_006355122.1|	transketolase [[Clostridium] methylpentosum] 
gi|493399016|ref|WP_006355123.1|	transketolase [[Clostridium] methylpentosum] 
gi|493399017|ref|WP_006355124.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399018|ref|WP_006355125.1|	30S ribosomal protein S2 [[Clostridium] methylpentosum] 
gi|493399019|ref|WP_006355126.1|	elongation factor Ts [[Clostridium] methylpentosum] 
gi|493399020|ref|WP_006355127.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399021|ref|WP_006355128.1|	uridylate kinase [[Clostridium] methylpentosum] 
gi|493399022|ref|WP_006355129.1|	ribosome recycling factor [[Clostridium] methylpentosum] 
gi|493399023|ref|WP_006355130.1|	UDP pyrophosphate synthase [[Clostridium] methylpentosum] 
gi|493399024|ref|WP_006355131.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399025|ref|WP_006355132.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [[Clostridium] methylpentosum] 
gi|493399026|ref|WP_006355133.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399027|ref|WP_006355134.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399028|ref|WP_006355135.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [[Clostridium] methylpentosum] 
gi|493399029|ref|WP_006355136.1|	DNA polymerase III subunit alpha [[Clostridium] methylpentosum] 
gi|493399030|ref|WP_006355137.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399031|ref|WP_006355138.1|	ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493399032|ref|WP_006355139.1|	ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493399033|ref|WP_006355140.1|	TetR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399034|ref|WP_006355141.1|	thioredoxin reductase [[Clostridium] methylpentosum] 
gi|493399035|ref|WP_006355142.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399036|ref|WP_006355143.1|	endonuclease III [[Clostridium] methylpentosum] 
gi|493399037|ref|WP_006355144.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399038|ref|WP_006355145.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399039|ref|WP_006355146.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399040|ref|WP_006355147.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399041|ref|WP_006355148.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399042|ref|WP_006355149.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399043|ref|WP_006355150.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399044|ref|WP_006355151.1|	recombinase [[Clostridium] methylpentosum] 
gi|493399045|ref|WP_006355152.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399046|ref|WP_006355153.1|	TetR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399047|ref|WP_006355154.1|	ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493399048|ref|WP_006355155.1|	ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493399049|ref|WP_006355156.1|	RNA polymerase sigma 70 [[Clostridium] methylpentosum] 
gi|493399050|ref|WP_006355157.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493399051|ref|WP_006355158.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399052|ref|WP_006355159.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399053|ref|WP_006355160.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399054|ref|WP_006355161.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399055|ref|WP_006355162.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493399056|ref|WP_006355163.1|	hypothetical protein [[Clostridium] methylpentosum] 
