gi|493770745|ref|WP_006719278.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772458|ref|WP_006720976.1|	50S ribosomal protein L7/L12 [Collinsella stercoris] 
gi|493772459|ref|WP_006720977.1|	hypothetical protein [Collinsella stercoris] 
gi|493772460|ref|WP_006720978.1|	hypothetical protein [Collinsella stercoris] 
gi|493772461|ref|WP_006720979.1|	homoserine dehydrogenase [Collinsella stercoris] 
gi|493772462|ref|WP_006720980.1|	hypothetical protein [Collinsella stercoris] 
gi|493772463|ref|WP_006720981.1|	ABC transporter permease [Collinsella stercoris] 
gi|493772464|ref|WP_006720982.1|	hypothetical protein [Collinsella stercoris] 
gi|493772465|ref|WP_006720983.1|	ABC transporter [Collinsella stercoris] 
gi|493772466|ref|WP_006720984.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772467|ref|WP_006720985.1|	hypothetical protein [Collinsella stercoris] 
gi|493772468|ref|WP_006720986.1|	hypothetical protein [Collinsella stercoris] 
gi|493772469|ref|WP_006720987.1|	hypothetical protein [Collinsella stercoris] 
gi|493772470|ref|WP_006720988.1|	hypothetical protein [Collinsella stercoris] 
gi|493772471|ref|WP_006720989.1|	hypothetical protein [Collinsella stercoris] 
gi|493772472|ref|WP_006720990.1|	hypothetical protein [Collinsella stercoris] 
gi|493772473|ref|WP_006720991.1|	single-stranded DNA exonuclease RecJ [Collinsella stercoris] 
gi|493772474|ref|WP_006720992.1|	GTP pyrophosphokinase [Collinsella stercoris] 
gi|493772475|ref|WP_006720993.1|	beta-lactamase [Collinsella stercoris] 
gi|493772476|ref|WP_006720994.1|	fructose-bisphosphate aldolase [Collinsella stercoris] 
gi|493772477|ref|WP_006720995.1|	hypothetical protein [Collinsella stercoris] 
gi|493772478|ref|WP_006720996.1|	translation initiation factor IF-3 [Collinsella stercoris] 
gi|493772479|ref|WP_006720997.1|	50S ribosomal protein L35 [Collinsella stercoris] 
gi|493772480|ref|WP_006720998.1|	MULTISPECIES: 50S ribosomal protein L20 [Collinsella] 
gi|493772481|ref|WP_006720999.1|	hypothetical protein [Collinsella stercoris] 
gi|493772482|ref|WP_006721000.1|	hypothetical protein [Collinsella stercoris] 
gi|493772483|ref|WP_006721001.1|	hypothetical protein [Collinsella stercoris] 
gi|493772484|ref|WP_006721002.1|	6-phospho-beta-glucosidase [Collinsella stercoris] 
gi|493772485|ref|WP_006721003.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772486|ref|WP_006721004.1|	hypothetical protein [Collinsella stercoris] 
gi|493772487|ref|WP_006721005.1|	hypothetical protein [Collinsella stercoris] 
gi|493772488|ref|WP_006721006.1|	integrase [Collinsella stercoris] 
gi|493772489|ref|WP_006721007.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772490|ref|WP_006721008.1|	O-acetylhomoserine aminocarboxypropyltransferase [Collinsella stercoris] 
gi|493772491|ref|WP_006721009.1|	ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772492|ref|WP_006721010.1|	hypothetical protein [Collinsella stercoris] 
gi|493772493|ref|WP_006721011.1|	hypothetical protein [Collinsella stercoris] 
gi|493772494|ref|WP_006721012.1|	hypothetical protein [Collinsella stercoris] 
gi|493772495|ref|WP_006721013.1|	hypothetical protein [Collinsella stercoris] 
gi|493772496|ref|WP_006721014.1|	hypothetical protein [Collinsella stercoris] 
gi|493772497|ref|WP_006721015.1|	hypothetical protein [Collinsella stercoris] 
gi|493772498|ref|WP_006721016.1|	hypothetical protein [Collinsella stercoris] 
gi|493772499|ref|WP_006721017.1|	aminopeptidase [Collinsella stercoris] 
gi|493772500|ref|WP_006721018.1|	hypothetical protein [Collinsella stercoris] 
gi|493772501|ref|WP_006721019.1|	hypothetical protein [Collinsella stercoris] 
gi|493772502|ref|WP_006721020.1|	sugar translocase [Collinsella stercoris] 
gi|493772503|ref|WP_006721021.1|	hypothetical protein [Collinsella stercoris] 
gi|493772504|ref|WP_006721022.1|	sugar translocase [Collinsella stercoris] 
gi|493772505|ref|WP_006721023.1|	hypothetical protein [Collinsella stercoris] 
gi|493772506|ref|WP_006721024.1|	hypothetical protein [Collinsella stercoris] 
gi|493772507|ref|WP_006721025.1|	hypothetical protein [Collinsella stercoris] 
gi|493772508|ref|WP_006721026.1|	hypothetical protein [Collinsella stercoris] 
gi|493772509|ref|WP_006721027.1|	hypothetical protein [Collinsella stercoris] 
gi|493772510|ref|WP_006721028.1|	hypothetical protein [Collinsella stercoris] 
gi|493772511|ref|WP_006721029.1|	hypothetical protein [Collinsella stercoris] 
gi|493772512|ref|WP_006721030.1|	hypothetical protein [Collinsella stercoris] 
gi|493772513|ref|WP_006721031.1|	hypothetical protein [Collinsella stercoris] 
gi|493772514|ref|WP_006721032.1|	hypothetical protein [Collinsella stercoris] 
gi|493772515|ref|WP_006721033.1|	hypothetical protein [Collinsella stercoris] 
gi|493772516|ref|WP_006721034.1|	hypothetical protein [Collinsella stercoris] 
gi|493772517|ref|WP_006721035.1|	cobalt ABC transporter [Collinsella stercoris] 
gi|493772518|ref|WP_006721036.1|	ABC transporter [Collinsella stercoris] 
gi|493772520|ref|WP_006721037.1|	hypothetical protein [Collinsella stercoris] 
gi|493772521|ref|WP_006721038.1|	hypothetical protein [Collinsella stercoris] 
gi|493772522|ref|WP_006721039.1|	hypothetical protein [Collinsella stercoris] 
gi|493772523|ref|WP_006721040.1|	ribonuclease D [Collinsella stercoris] 
gi|493772524|ref|WP_006721041.1|	hypothetical protein [Collinsella stercoris] 
gi|493772525|ref|WP_006721042.1|	hypothetical protein [Collinsella stercoris] 
gi|493772526|ref|WP_006721043.1|	hypothetical protein [Collinsella stercoris] 
gi|493772527|ref|WP_006721044.1|	oxidoreductase [Collinsella stercoris] 
gi|493772528|ref|WP_006721045.1|	ribonuclease H [Collinsella stercoris] 
gi|493772529|ref|WP_006721046.1|	hypothetical protein [Collinsella stercoris] 
gi|493772530|ref|WP_006721047.1|	hypothetical protein [Collinsella stercoris] 
gi|493772531|ref|WP_006721048.1|	hypothetical protein [Collinsella stercoris] 
gi|493772532|ref|WP_006721049.1|	hypothetical protein [Collinsella stercoris] 
gi|493772533|ref|WP_006721050.1|	hypothetical protein [Collinsella stercoris] 
gi|493772534|ref|WP_006721051.1|	endonuclease IV [Collinsella stercoris] 
gi|493772535|ref|WP_006721052.1|	hypothetical protein [Collinsella stercoris] 
gi|493772536|ref|WP_006721053.1|	hypothetical protein [Collinsella stercoris] 
gi|493772537|ref|WP_006721054.1|	hypothetical protein [Collinsella stercoris] 
gi|493772538|ref|WP_006721055.1|	hypothetical protein [Collinsella stercoris] 
gi|493772539|ref|WP_006721056.1|	hypothetical protein [Collinsella stercoris] 
gi|493772540|ref|WP_006721057.1|	ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772541|ref|WP_006721058.1|	hypothetical protein [Collinsella stercoris] 
gi|493772542|ref|WP_006721059.1|	DNA-damage-inducible protein J [Collinsella stercoris] 
gi|493772543|ref|WP_006721060.1|	addiction module toxin RelE [Collinsella stercoris] 
gi|493772544|ref|WP_006721061.1|	histidine kinase [Collinsella stercoris] 
gi|493772545|ref|WP_006721062.1|	hypothetical protein [Collinsella stercoris] 
gi|493772546|ref|WP_006721063.1|	hypothetical protein [Collinsella stercoris] 
gi|493772547|ref|WP_006721064.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772548|ref|WP_006721065.1|	XRE family transcriptional regulator [Collinsella stercoris] 
gi|493772549|ref|WP_006721066.1|	ABC transporter [Collinsella stercoris] 
gi|493772550|ref|WP_006721067.1|	hypothetical protein [Collinsella stercoris] 
gi|493772551|ref|WP_006721068.1|	hypothetical protein [Collinsella stercoris] 
gi|493772552|ref|WP_006721069.1|	Tat pathway signal sequence [Collinsella stercoris] 
gi|493772553|ref|WP_006721070.1|	hypothetical protein [Collinsella stercoris] 
gi|493772554|ref|WP_006721071.1|	hypothetical protein [Collinsella stercoris] 
gi|493772555|ref|WP_006721072.1|	NADH-dependent butanol dehydrogenase [Collinsella stercoris] 
gi|493772556|ref|WP_006721073.1|	hypothetical protein [Collinsella stercoris] 
gi|493772557|ref|WP_006721074.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772558|ref|WP_006721075.1|	DNA repair protein [Collinsella stercoris] 
gi|493772559|ref|WP_006721076.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772560|ref|WP_006721077.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772561|ref|WP_006721078.1|	NAD synthetase [Collinsella stercoris] 
gi|493772562|ref|WP_006721079.1|	hypothetical protein [Collinsella stercoris] 
gi|493772563|ref|WP_006721080.1|	diaminopimelate aminotransferase [Collinsella stercoris] 
gi|493772564|ref|WP_006721081.1|	lactate dehydrogenase [Collinsella stercoris] 
gi|493772565|ref|WP_006721082.1|	hypothetical protein [Collinsella stercoris] 
gi|493772566|ref|WP_006721083.1|	Crp/Fnr family transcriptional regulator [Collinsella stercoris] 
gi|493772567|ref|WP_006721084.1|	hypothetical protein [Collinsella stercoris] 
gi|493772568|ref|WP_006721085.1|	hypothetical protein [Collinsella stercoris] 
gi|493772569|ref|WP_006721086.1|	hypothetical protein [Collinsella stercoris] 
gi|493772570|ref|WP_006721087.1|	hypothetical protein [Collinsella stercoris] 
gi|493772571|ref|WP_006721088.1|	hypothetical protein [Collinsella stercoris] 
gi|493772572|ref|WP_006721089.1|	hypothetical protein [Collinsella stercoris] 
gi|493772573|ref|WP_006721090.1|	hypothetical protein [Collinsella stercoris] 
gi|493772574|ref|WP_006721091.1|	septum formation protein Maf [Collinsella stercoris] 
gi|493772575|ref|WP_006721092.1|	hypothetical protein [Collinsella stercoris] 
gi|493772576|ref|WP_006721093.1|	RNA methyltransferase [Collinsella stercoris] 
gi|493772577|ref|WP_006721094.1|	radical SAM protein [Collinsella stercoris] 
gi|493772578|ref|WP_006721095.1|	hypothetical protein [Collinsella stercoris] 
gi|493772579|ref|WP_006721096.1|	nicotinate phosphoribosyltransferase [Collinsella stercoris] 
gi|493772580|ref|WP_006721097.1|	glutamate 5-kinase [Collinsella stercoris] 
gi|493772581|ref|WP_006721098.1|	hypothetical protein [Collinsella stercoris] 
gi|493772582|ref|WP_006721099.1|	PTS lactose transporter subunit IIA [Collinsella stercoris] 
gi|493772583|ref|WP_006721100.1|	PTS lactose transporter subunit IIB [Collinsella stercoris] 
gi|493772584|ref|WP_006721101.1|	hypothetical protein [Collinsella stercoris] 
gi|493772585|ref|WP_006721102.1|	6-phospho-beta-glucosidase [Collinsella stercoris] 
gi|493772586|ref|WP_006721103.1|	hypothetical protein [Collinsella stercoris] 
gi|493772587|ref|WP_006721104.1|	hypothetical protein [Collinsella stercoris] 
gi|493772588|ref|WP_006721105.1|	hypothetical protein [Collinsella stercoris] 
gi|493772589|ref|WP_006721106.1|	gamma-glutamyl phosphate reductase [Collinsella stercoris] 
gi|493772590|ref|WP_006721107.1|	HD family phosphohydrolase [Collinsella stercoris] 
gi|493772592|ref|WP_006721108.1|	hypothetical protein [Collinsella stercoris] 
gi|493772593|ref|WP_006721109.1|	arginyl-tRNA synthetase [Collinsella stercoris] 
gi|493772594|ref|WP_006721110.1|	hypothetical protein [Collinsella stercoris] 
gi|493772595|ref|WP_006721111.1|	transcription termination factor Rho [Collinsella stercoris] 
gi|493772596|ref|WP_006721112.1|	short-chain dehydrogenase [Collinsella stercoris] 
gi|493772597|ref|WP_006721113.1|	hypothetical protein [Collinsella stercoris] 
gi|493772598|ref|WP_006721114.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772599|ref|WP_006721115.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772600|ref|WP_006721116.1|	hypothetical protein [Collinsella stercoris] 
gi|493772601|ref|WP_006721117.1|	hypothetical protein [Collinsella stercoris] 
gi|493772602|ref|WP_006721118.1|	hypothetical protein [Collinsella stercoris] 
gi|493772603|ref|WP_006721119.1|	hypothetical protein [Collinsella stercoris] 
gi|493772604|ref|WP_006721120.1|	hypothetical protein [Collinsella stercoris] 
gi|493772605|ref|WP_006721121.1|	D-lactate dehydrogenase [Collinsella stercoris] 
gi|493772606|ref|WP_006721122.1|	hypothetical protein [Collinsella stercoris] 
gi|493772607|ref|WP_006721123.1|	hypothetical protein [Collinsella stercoris] 
gi|493772608|ref|WP_006721124.1|	nitrogen-fixing protein NifU [Collinsella stercoris] 
gi|493772609|ref|WP_006721125.1|	hypothetical protein [Collinsella stercoris] 
gi|493772610|ref|WP_006721126.1|	hypothetical protein [Collinsella stercoris] 
gi|493772611|ref|WP_006721127.1|	glycine/betaine ABC transporter permease [Collinsella stercoris] 
gi|493772612|ref|WP_006721128.1|	glycine/betaine ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772613|ref|WP_006721129.1|	glycine/betaine ABC transporter substrate-binding protein [Collinsella stercoris] 
gi|493772614|ref|WP_006721130.1|	glycine/betaine ABC transporter permease [Collinsella stercoris] 
gi|493772615|ref|WP_006721131.1|	nitrogen-fixing protein NifU [Collinsella stercoris] 
gi|493772616|ref|WP_006721132.1|	cysteine desulfurase [Collinsella stercoris] 
gi|493772617|ref|WP_006721133.1|	hypothetical protein [Collinsella stercoris] 
gi|493772618|ref|WP_006721134.1|	Fe-S cluster assembly protein SufB [Collinsella stercoris] 
gi|493772619|ref|WP_006721135.1|	ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772620|ref|WP_006721136.1|	Rrf2 family transcriptional regulator [Collinsella stercoris] 
gi|493772621|ref|WP_006721137.1|	hypothetical protein [Collinsella stercoris] 
gi|493772622|ref|WP_006721138.1|	30S ribosomal protein S15 [Collinsella stercoris] 
gi|493772623|ref|WP_006721139.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772624|ref|WP_006721140.1|	hypothetical protein [Collinsella stercoris] 
gi|493772625|ref|WP_006721141.1|	3-dehydroquinate dehydratase [Collinsella stercoris] 
gi|493772626|ref|WP_006721142.1|	hypothetical protein [Collinsella stercoris] 
gi|493772627|ref|WP_006721143.1|	hypothetical protein [Collinsella stercoris] 
gi|493772628|ref|WP_006721144.1|	prephenate dehydratase [Collinsella stercoris] 
gi|493772629|ref|WP_006721145.1|	chorismate synthase [Collinsella stercoris] 
gi|493772630|ref|WP_006721146.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772631|ref|WP_006721147.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772632|ref|WP_006721148.1|	3-dehydroquinate synthase [Collinsella stercoris] 
gi|493772633|ref|WP_006721149.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772634|ref|WP_006721150.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772635|ref|WP_006721151.1|	3-deoxy-7-phosphoheptulonate synthase [Collinsella stercoris] 
gi|493772636|ref|WP_006721152.1|	hypothetical protein [Collinsella stercoris] 
gi|493772637|ref|WP_006721153.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772638|ref|WP_006721154.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772639|ref|WP_006721155.1|	hypothetical protein [Collinsella stercoris] 
gi|493772640|ref|WP_006721156.1|	peptidyl-prolyl cis-trans isomerase [Collinsella stercoris] 
gi|493772641|ref|WP_006721157.1|	hypothetical protein [Collinsella stercoris] 
gi|493772642|ref|WP_006721158.1|	rod shape-determining protein Mbl [Collinsella stercoris] 
gi|493772643|ref|WP_006721159.1|	rod shape-determining protein MreC [Collinsella stercoris] 
gi|493772644|ref|WP_006721160.1|	hypothetical protein [Collinsella stercoris] 
gi|493772645|ref|WP_006721161.1|	penicillin-binding protein 2 [Collinsella stercoris] 
gi|493772646|ref|WP_006721162.1|	rod shape-determining protein RodA [Collinsella stercoris] 
gi|493772647|ref|WP_006721163.1|	hypothetical protein [Collinsella stercoris] 
gi|493772648|ref|WP_006721164.1|	radical SAM protein [Collinsella stercoris] 
gi|493772649|ref|WP_006721165.1|	hypothetical protein [Collinsella stercoris] 
gi|493772650|ref|WP_006721166.1|	50S ribosomal protein L21 [Collinsella stercoris] 
gi|493772651|ref|WP_006721167.1|	50S ribosomal protein L27 [Collinsella stercoris] 
gi|493772652|ref|WP_006721168.1|	GTP-binding protein CgtA [Collinsella stercoris] 
gi|493772653|ref|WP_006721169.1|	nicotinic acid mononucleotide adenylyltransferase [Collinsella stercoris] 
gi|493772654|ref|WP_006721170.1|	hypothetical protein [Collinsella stercoris] 
gi|493772655|ref|WP_006721171.1|	hypothetical protein [Collinsella stercoris] 
gi|493772656|ref|WP_006721172.1|	DNA-directed DNA polymerase [Collinsella stercoris] 
gi|493772657|ref|WP_006721173.1|	30S ribosomal protein S16 [Collinsella stercoris] 
gi|493772658|ref|WP_006721174.1|	RNA-binding protein [Collinsella stercoris] 
gi|493772659|ref|WP_006721175.1|	hypothetical protein [Collinsella stercoris] 
gi|493772660|ref|WP_006721176.1|	tRNA (guanine-N1)-methyltransferase [Collinsella stercoris] 
gi|493772661|ref|WP_006721177.1|	signal peptidase I [Collinsella stercoris] 
gi|493772662|ref|WP_006721178.1|	glycyl-tRNA synthetase subunit alpha [Collinsella stercoris] 
gi|493772663|ref|WP_006721179.1|	glycyl-tRNA synthetase subunit beta [Collinsella stercoris] 
gi|493772664|ref|WP_006721180.1|	hypothetical protein [Collinsella stercoris] 
gi|493772665|ref|WP_006721181.1|	beta-lactamase [Collinsella stercoris] 
gi|493772666|ref|WP_006721182.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772667|ref|WP_006721183.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772668|ref|WP_006721184.1|	hypothetical protein [Collinsella stercoris] 
gi|493772669|ref|WP_006721185.1|	hypothetical protein [Collinsella stercoris] 
gi|493772671|ref|WP_006721186.1|	2-methylthioadenine synthetase [Collinsella stercoris] 
gi|493772672|ref|WP_006721187.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Collinsella stercoris] 
gi|493772673|ref|WP_006721188.1|	hypothetical protein [Collinsella stercoris] 
gi|493772674|ref|WP_006721189.1|	hypothetical protein [Collinsella stercoris] 
gi|493772675|ref|WP_006721190.1|	protein RecA [Collinsella stercoris] 
gi|493772676|ref|WP_006721191.1|	hypothetical protein [Collinsella stercoris] 
gi|493772677|ref|WP_006721192.1|	hypothetical protein [Collinsella stercoris] 
gi|493772678|ref|WP_006721193.1|	ribonuclease [Collinsella stercoris] 
gi|493772679|ref|WP_006721194.1|	ATPase [Collinsella stercoris] 
gi|493772680|ref|WP_006721195.1|	stage V sporulation protein S [Collinsella stercoris] 
gi|493772681|ref|WP_006721196.1|	2-methylthioadenine synthetase [Collinsella stercoris] 
gi|493772682|ref|WP_006721197.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Collinsella stercoris] 
gi|493772683|ref|WP_006721198.1|	GTP-binding proten HflX [Collinsella stercoris] 
gi|493772684|ref|WP_006721199.1|	hypothetical protein [Collinsella stercoris] 
gi|493772685|ref|WP_006721200.1|	XRE family transcriptional regulator [Collinsella stercoris] 
gi|493772686|ref|WP_006721201.1|	hypothetical protein [Collinsella stercoris] 
gi|493772687|ref|WP_006721202.1|	NrdR family transcriptional regulator [Collinsella stercoris] 
gi|493772688|ref|WP_006721203.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Collinsella stercoris] 
gi|493772689|ref|WP_006721204.1|	uracil permease [Collinsella stercoris] 
gi|493772690|ref|WP_006721205.1|	glycosyl transferase [Collinsella stercoris] 
gi|493772691|ref|WP_006721206.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Collinsella stercoris] 
gi|493772692|ref|WP_006721207.1|	hypothetical protein [Collinsella stercoris] 
gi|493772693|ref|WP_006721208.1|	hypothetical protein [Collinsella stercoris] 
gi|493772694|ref|WP_006721209.1|	hypothetical protein [Collinsella stercoris] 
gi|493772695|ref|WP_006721210.1|	adenine phosphoribosyltransferase [Collinsella stercoris] 
gi|493772696|ref|WP_006721211.1|	MerR family transcripitonal regulator [Collinsella stercoris] 
gi|493772697|ref|WP_006721212.1|	signal peptide protein [Collinsella stercoris] 
gi|493772698|ref|WP_006721213.1|	CDP-alcohol phosphatidyltransferase [Collinsella stercoris] 
gi|493772699|ref|WP_006721214.1|	phosphopantothenoylcysteine decarboxylase [Collinsella stercoris] 
gi|493772700|ref|WP_006721215.1|	hypothetical protein [Collinsella stercoris] 
gi|493772701|ref|WP_006721216.1|	hypothetical protein [Collinsella stercoris] 
gi|493772702|ref|WP_006721217.1|	aminotransferase [Collinsella stercoris] 
gi|493772703|ref|WP_006721218.1|	ribulose-phosphate 3-epimerase [Collinsella stercoris] 
gi|493772704|ref|WP_006721219.1|	hypothetical protein [Collinsella stercoris] 
gi|493772705|ref|WP_006721220.1|	glycerol-3-phosphate dehydrogenase [Collinsella stercoris] 
gi|493772706|ref|WP_006721221.1|	acyl-phosphate glycerol 3-phosphate acyltransferase [Collinsella stercoris] 
gi|493772707|ref|WP_006721222.1|	GTP-binding protein Der [Collinsella stercoris] 
gi|493772708|ref|WP_006721223.1|	hypothetical protein [Collinsella stercoris] 
gi|493772709|ref|WP_006721224.1|	hypothetical protein [Collinsella stercoris] 
gi|493772710|ref|WP_006721225.1|	hydroxymethylbutenyl pyrophosphate reductase [Collinsella stercoris] 
gi|493772711|ref|WP_006721226.1|	hypothetical protein [Collinsella stercoris] 
gi|493772712|ref|WP_006721227.1|	cytidylate kinase [Collinsella stercoris] 
gi|493772713|ref|WP_006721228.1|	pseudouridine synthase [Collinsella stercoris] 
gi|493772714|ref|WP_006721229.1|	chromosome segregation and condensation protein ScpB [Collinsella stercoris] 
gi|493772715|ref|WP_006721230.1|	chromosome segregation protein ScpA [Collinsella stercoris] 
gi|493772716|ref|WP_006721231.1|	hypothetical protein [Collinsella stercoris] 
gi|493772717|ref|WP_006721232.1|	hypothetical protein [Collinsella stercoris] 
gi|493772718|ref|WP_006721233.1|	ABC transporter [Collinsella stercoris] 
gi|493772719|ref|WP_006721234.1|	hypothetical protein [Collinsella stercoris] 
gi|493772720|ref|WP_006721235.1|	prolyl-tRNA synthetase [Collinsella stercoris] 
gi|493772721|ref|WP_006721236.1|	hypothetical protein [Collinsella stercoris] 
gi|493772722|ref|WP_006721237.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Collinsella stercoris] 
gi|493772723|ref|WP_006721238.1|	hypothetical protein [Collinsella stercoris] 
gi|493772724|ref|WP_006721239.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Collinsella stercoris] 
gi|493772725|ref|WP_006721240.1|	phosphatidate cytidylyltransferase [Collinsella stercoris] 
gi|493772726|ref|WP_006721241.1|	UDP pyrophosphate synthase [Collinsella stercoris] 
gi|493772727|ref|WP_006721242.1|	ribosome recycling factor [Collinsella stercoris] 
gi|493772728|ref|WP_006721243.1|	uridylate kinase [Collinsella stercoris] 
gi|493772729|ref|WP_006721244.1|	elongation factor Ts [Collinsella stercoris] 
gi|493772730|ref|WP_006721245.1|	30S ribosomal protein S2 [Collinsella stercoris] 
gi|493772731|ref|WP_006721246.1|	integrase [Collinsella stercoris] 
gi|493772732|ref|WP_006721247.1|	tRNA methyltransferase [Collinsella stercoris] 
gi|493772733|ref|WP_006721248.1|	hypothetical protein [Collinsella stercoris] 
gi|493772734|ref|WP_006721249.1|	magnesium chelatase subunit ChlI [Collinsella stercoris] 
gi|493772735|ref|WP_006721250.1|	hypothetical protein [Collinsella stercoris] 
gi|493772736|ref|WP_006721251.1|	ribonuclease HII [Collinsella stercoris] 
gi|493772737|ref|WP_006721252.1|	MULTISPECIES: 50S ribosomal protein L19 [Collinsella] 
gi|493772738|ref|WP_006721253.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772739|ref|WP_006721254.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772740|ref|WP_006721255.1|	cell division protein FtsH [Collinsella stercoris] 
gi|493772741|ref|WP_006721256.1|	hypothetical protein [Collinsella stercoris] 
gi|493772742|ref|WP_006721257.1|	rRNA methyltransferase [Collinsella stercoris] 
gi|493772743|ref|WP_006721258.1|	lactoylglutathione lyase [Collinsella stercoris] 
gi|493772744|ref|WP_006721259.1|	dihydrofolate reductase [Collinsella stercoris] 
gi|493772745|ref|WP_006721260.1|	hypothetical protein [Collinsella stercoris] 
gi|493772746|ref|WP_006721261.1|	thymidylate synthase [Collinsella stercoris] 
gi|493772747|ref|WP_006721262.1|	signal recognition particle protein Srp54 [Collinsella stercoris] 
gi|493772748|ref|WP_006721263.1|	hypothetical protein [Collinsella stercoris] 
gi|493772749|ref|WP_006721264.1|	cell division protein FtsY [Collinsella stercoris] 
gi|493772750|ref|WP_006721265.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772751|ref|WP_006721266.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772752|ref|WP_006721267.1|	ribonuclease III [Collinsella stercoris] 
gi|493772753|ref|WP_006721268.1|	hypothetical protein [Collinsella stercoris] 
gi|493772754|ref|WP_006721269.1|	phosphate acyltransferase [Collinsella stercoris] 
gi|493772755|ref|WP_006721270.1|	MULTISPECIES: 50S ribosomal protein L32 [Collinsella] 
gi|493772756|ref|WP_006721271.1|	hypothetical protein [Collinsella stercoris] 
gi|493772757|ref|WP_006721272.1|	hypothetical protein [Collinsella stercoris] 
gi|493772758|ref|WP_006721273.1|	phosphopantetheine adenylyltransferase [Collinsella stercoris] 
gi|493772759|ref|WP_006721274.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772760|ref|WP_006721275.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772761|ref|WP_006721276.1|	Dak phosphatase [Collinsella stercoris] 
gi|493772762|ref|WP_006721277.1|	hypothetical protein [Collinsella stercoris] 
gi|493772763|ref|WP_006721278.1|	ABC transporter [Collinsella stercoris] 
gi|493772764|ref|WP_006721279.1|	ABC transporter [Collinsella stercoris] 
gi|493772765|ref|WP_006721280.1|	MULTISPECIES: 50S ribosomal protein L28 [Collinsella] 
gi|493772766|ref|WP_006721281.1|	hypothetical protein [Collinsella stercoris] 
gi|493772768|ref|WP_006721282.1|	hypothetical protein [Collinsella stercoris] 
gi|493772769|ref|WP_006721283.1|	acetaldehyde dehydrogenase [Collinsella stercoris] 
gi|493772770|ref|WP_006721284.1|	aminoglycoside phosphotransferase [Collinsella stercoris] 
gi|493772771|ref|WP_006721285.1|	hypothetical protein [Collinsella stercoris] 
gi|493772772|ref|WP_006721286.1|	hypothetical protein [Collinsella stercoris] 
gi|493772773|ref|WP_006721287.1|	glycogen branching protein [Collinsella stercoris] 
gi|493772774|ref|WP_006721288.1|	alpha-glucan phosphorylase [Collinsella stercoris] 
gi|493772775|ref|WP_006721289.1|	glucose-1-phosphate adenylyltransferase [Collinsella stercoris] 
gi|493772776|ref|WP_006721290.1|	glucose-1-phosphate adenylyltransferase [Collinsella stercoris] 
gi|493772777|ref|WP_006721291.1|	hypothetical protein [Collinsella stercoris] 
gi|493772778|ref|WP_006721292.1|	4-alpha-glucanotransferase [Collinsella stercoris] 
gi|493772779|ref|WP_006721293.1|	FmdB family transcriptional regulator [Collinsella stercoris] 
gi|493772780|ref|WP_006721294.1|	hypothetical protein [Collinsella stercoris] 
gi|493772781|ref|WP_006721295.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772782|ref|WP_006721296.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772783|ref|WP_006721297.1|	peptide deformylase [Collinsella stercoris] 
gi|493772784|ref|WP_006721298.1|	hypothetical protein [Collinsella stercoris] 
gi|493772785|ref|WP_006721299.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772786|ref|WP_006721300.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772787|ref|WP_006721301.1|	S-adenosylmethionine synthetase [Collinsella stercoris] 
