gi|490978215|ref|WP_004839979.1|	beta-galactosidase [[Ruminococcus] gnavus] 
gi|489113513|ref|WP_003023366.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|488662356|ref|WP_002591263.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|488662357|ref|WP_002591264.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489113510|ref|WP_003023363.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|489113507|ref|WP_003023360.1|	MULTISPECIES: terminase [Blautia] 
gi|489113505|ref|WP_003023358.1|	MULTISPECIES: phage portal protein [Blautia] 
gi|489113502|ref|WP_003023355.1|	MULTISPECIES: phage prohead protease HK97 family [Blautia] 
gi|489113499|ref|WP_003023352.1|	MULTISPECIES: phage capsid protein [Blautia] 
gi|490981260|ref|WP_004843022.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489113492|ref|WP_003023345.1|	MULTISPECIES: DNA-packaging protein [Clostridiales] 
gi|489113491|ref|WP_003023344.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|489113488|ref|WP_003023341.1|	MULTISPECIES: hydroxymethylglutaryl-CoA synthase [Clostridiales] 
gi|489113485|ref|WP_003023338.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|489113482|ref|WP_003023335.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|488662367|ref|WP_002591274.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488662368|ref|WP_002591275.1|	MULTISPECIES: phage tail protein [Clostridiales] 
gi|489113478|ref|WP_003023331.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|490981261|ref|WP_004843023.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981262|ref|WP_004843024.1|	PblA [[Ruminococcus] gnavus] 
gi|489113471|ref|WP_003023324.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489113468|ref|WP_003023321.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|489113467|ref|WP_003023320.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|489113464|ref|WP_003023317.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|490981263|ref|WP_004843025.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489113458|ref|WP_003023311.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|489113453|ref|WP_003023306.1|	MULTISPECIES: reverse transcriptase [Blautia] 
gi|489113449|ref|WP_003023302.1|	MULTISPECIES: reverse transcriptase [Blautia] 
gi|489113445|ref|WP_003023298.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|489113441|ref|WP_003023294.1|	MULTISPECIES: holin [Blautia] 
gi|489113439|ref|WP_003023292.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Blautia] 
gi|490981264|ref|WP_004843026.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981265|ref|WP_004843027.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489113435|ref|WP_003023288.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|490981266|ref|WP_004843028.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489113431|ref|WP_003023284.1|	MULTISPECIES: integrase [Clostridiales] 
gi|489113429|ref|WP_003023282.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|490981267|ref|WP_004843029.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|490981268|ref|WP_004843030.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981269|ref|WP_004843031.1|	MULTISPECIES: co-chaperonin GroES [Clostridiales] 
gi|490981270|ref|WP_004843032.1|	MULTISPECIES: molecular chaperone GroEL [Clostridiales] 
gi|490981271|ref|WP_004843033.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981272|ref|WP_004843034.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Clostridiales] 
gi|490981273|ref|WP_004843035.1|	N-acetylmuramoyl-L-alanine amidase [[Ruminococcus] gnavus] 
gi|490981274|ref|WP_004843036.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981275|ref|WP_004843037.1|	MULTISPECIES: HAD family hydrolase [Lachnospiraceae] 
gi|490981276|ref|WP_004843038.1|	MULTISPECIES: elongation factor P [Clostridiales] 
gi|490981277|ref|WP_004843039.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981278|ref|WP_004843040.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981279|ref|WP_004843041.1|	MULTISPECIES: ABC transporter [Lachnospiraceae] 
gi|490981280|ref|WP_004843042.1|	MULTISPECIES: GntR family transcriptional regulator [Lachnospiraceae] 
gi|490981281|ref|WP_004843043.1|	MULTISPECIES: endonuclease IV [Lachnospiraceae] 
gi|490981282|ref|WP_004843044.1|	MULTISPECIES: arginyl-tRNA synthetase [Lachnospiraceae] 
gi|490981283|ref|WP_004843045.1|	alanyl-tRNA synthetase [[Ruminococcus] gnavus] 
gi|490981284|ref|WP_004843046.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981285|ref|WP_004843047.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981286|ref|WP_004843048.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981287|ref|WP_004843049.1|	MULTISPECIES: type IV pilus protein [Lachnospiraceae] 
gi|490981288|ref|WP_004843050.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981289|ref|WP_004843051.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981290|ref|WP_004843052.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981291|ref|WP_004843053.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981292|ref|WP_004843054.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981293|ref|WP_004843055.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981294|ref|WP_004843056.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981295|ref|WP_004843057.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981296|ref|WP_004843058.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981297|ref|WP_004843059.1|	MULTISPECIES: lactoylglutathione lyase [Lachnospiraceae] 
gi|490981298|ref|WP_004843060.1|	30S ribosomal protein S2 [[Ruminococcus] gnavus] 
gi|490981299|ref|WP_004843061.1|	elongation factor Ts [[Ruminococcus] gnavus] 
gi|490981300|ref|WP_004843062.1|	GNAT family acetyltransferase [[Ruminococcus] gnavus] 
gi|490981301|ref|WP_004843063.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981303|ref|WP_004843065.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981302|ref|WP_004843064.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981304|ref|WP_004843066.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981305|ref|WP_004843067.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981306|ref|WP_004843068.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981307|ref|WP_004843069.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981308|ref|WP_004843070.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981309|ref|WP_004843071.1|	MULTISPECIES: crystallin [Lachnospiraceae] 
gi|490981310|ref|WP_004843072.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981311|ref|WP_004843073.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981312|ref|WP_004843074.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981313|ref|WP_004843075.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981314|ref|WP_004843076.1|	MULTISPECIES: phosphate starvation protein PhoH [Lachnospiraceae] 
gi|490981315|ref|WP_004843077.1|	MULTISPECIES: polyphosphate kinase [Lachnospiraceae] 
gi|490981316|ref|WP_004843078.1|	phosphohydrolase [[Ruminococcus] gnavus] 
gi|490981318|ref|WP_004843080.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981317|ref|WP_004843079.1|	MULTISPECIES: uridine/cytidine kinase [Lachnospiraceae] 
gi|490981319|ref|WP_004843081.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981320|ref|WP_004843082.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981321|ref|WP_004843083.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981322|ref|WP_004843084.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981323|ref|WP_004843085.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981324|ref|WP_004843086.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981325|ref|WP_004843087.1|	PTS sucrose transporter subunit IIABC [[Ruminococcus] gnavus] 
gi|490981326|ref|WP_004843088.1|	glycosyl hydrolase family 32 [[Ruminococcus] gnavus] 
gi|490981327|ref|WP_004843089.1|	MULTISPECIES: uracil permease [Lachnospiraceae] 
gi|490981328|ref|WP_004843090.1|	MULTISPECIES: carbamate kinase [Lachnospiraceae] 
gi|490981329|ref|WP_004843091.1|	endoribonuclease L-PSP [[Ruminococcus] gnavus] 
gi|490981330|ref|WP_004843092.1|	MULTISPECIES: ornithine carbamoyltransferase [Lachnospiraceae] 
gi|490981331|ref|WP_004843093.1|	peptidase M20 [[Ruminococcus] gnavus] 
gi|490981332|ref|WP_004843094.1|	MULTISPECIES: diaminopropionate ammonia-lyase [Lachnospiraceae] 
gi|490981333|ref|WP_004843095.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981334|ref|WP_004843096.1|	chlorohydrolase [[Ruminococcus] gnavus] 
gi|490981335|ref|WP_004843097.1|	MULTISPECIES: selenate reductase subunit K [Lachnospiraceae] 
gi|490981336|ref|WP_004843098.1|	MULTISPECIES: hydroxylase accessory protein YqeC [Lachnospiraceae] 
gi|490981337|ref|WP_004843099.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981338|ref|WP_004843100.1|	aldehyde oxidoreductase [[Ruminococcus] gnavus] 
gi|490981339|ref|WP_004843101.1|	molybdenum ABC transporter substrate-binding protein [[Ruminococcus] gnavus] 
gi|490981340|ref|WP_004843102.1|	MULTISPECIES: molybdate ABC transporter permease [Clostridiales] 
gi|490981341|ref|WP_004843103.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981342|ref|WP_004843104.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981343|ref|WP_004843105.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490981344|ref|WP_004843106.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981345|ref|WP_004843107.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981346|ref|WP_004843108.1|	nitrate ABC transporter substrate-binding protein [[Ruminococcus] gnavus] 
gi|490981347|ref|WP_004843109.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981349|ref|WP_004843111.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981348|ref|WP_004843110.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981350|ref|WP_004843112.1|	XRE family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490981351|ref|WP_004843113.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981353|ref|WP_004843115.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981352|ref|WP_004843114.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981354|ref|WP_004843116.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981355|ref|WP_004843117.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981356|ref|WP_004843118.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981357|ref|WP_004843119.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981359|ref|WP_004843121.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981361|ref|WP_004843123.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981363|ref|WP_004843125.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981365|ref|WP_004843126.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981366|ref|WP_004843127.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981367|ref|WP_004843128.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981368|ref|WP_004843129.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981369|ref|WP_004843130.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981370|ref|WP_004843131.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981371|ref|WP_004843132.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981372|ref|WP_004843133.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981373|ref|WP_004843134.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981374|ref|WP_004843135.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981375|ref|WP_004843136.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981376|ref|WP_004843137.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981377|ref|WP_004843138.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981378|ref|WP_004843139.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981379|ref|WP_004843140.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981380|ref|WP_004843141.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981381|ref|WP_004843142.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981382|ref|WP_004843143.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981383|ref|WP_004843144.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981384|ref|WP_004843145.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981385|ref|WP_004843146.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981386|ref|WP_004843147.1|	phage portal protein [[Ruminococcus] gnavus] 
gi|490981387|ref|WP_004843148.1|	phage capsid protein [[Ruminococcus] gnavus] 
gi|490981388|ref|WP_004843149.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981389|ref|WP_004843150.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981390|ref|WP_004843151.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981391|ref|WP_004843152.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981392|ref|WP_004843153.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981393|ref|WP_004843154.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981394|ref|WP_004843155.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981395|ref|WP_004843156.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981396|ref|WP_004843157.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981397|ref|WP_004843158.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981398|ref|WP_004843159.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981399|ref|WP_004843160.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981400|ref|WP_004843161.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981401|ref|WP_004843162.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981402|ref|WP_004843163.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981403|ref|WP_004843164.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981404|ref|WP_004843165.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981405|ref|WP_004843166.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981406|ref|WP_004843167.1|	hypothetical protein partial [[Ruminococcus] gnavus] 
gi|490981407|ref|WP_004843168.1|	integrase [[Ruminococcus] gnavus] 
gi|490981408|ref|WP_004843169.1|	transposase [[Ruminococcus] gnavus] 
gi|490981409|ref|WP_004843170.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981410|ref|WP_004843171.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981411|ref|WP_004843172.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981412|ref|WP_004843173.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981413|ref|WP_004843174.1|	riboflavin transporter [[Ruminococcus] gnavus] 
gi|490981414|ref|WP_004843175.1|	RNA helicase [[Ruminococcus] gnavus] 
gi|490981415|ref|WP_004843176.1|	MULTISPECIES: hemolysin [Clostridiales] 
gi|490981416|ref|WP_004843177.1|	DNA mismatch repair protein MutT [[Ruminococcus] gnavus] 
gi|490981417|ref|WP_004843178.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981418|ref|WP_004843179.1|	MULTISPECIES: histidine kinase [Lachnospiraceae] 
gi|490981419|ref|WP_004843180.1|	PhoB family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490981420|ref|WP_004843181.1|	MULTISPECIES: aminopeptidase [Lachnospiraceae] 
gi|490981421|ref|WP_004843182.1|	MFS transporter [[Ruminococcus] gnavus] 
gi|490981422|ref|WP_004843183.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981423|ref|WP_004843184.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981424|ref|WP_004843185.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981425|ref|WP_004843186.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981426|ref|WP_004843187.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981427|ref|WP_004843188.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981428|ref|WP_004843189.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981429|ref|WP_004843190.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981430|ref|WP_004843191.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981431|ref|WP_004843192.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981432|ref|WP_004843193.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981433|ref|WP_004843194.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981434|ref|WP_004843195.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981435|ref|WP_004843196.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981436|ref|WP_004843197.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981437|ref|WP_004843198.1|	single-stranded DNA-binding protein [[Ruminococcus] gnavus] 
gi|490981438|ref|WP_004843199.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981439|ref|WP_004843200.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981440|ref|WP_004843201.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981441|ref|WP_004843202.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981442|ref|WP_004843203.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981443|ref|WP_004843204.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981444|ref|WP_004843205.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981445|ref|WP_004843206.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981446|ref|WP_004843207.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981447|ref|WP_004843208.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981448|ref|WP_004843209.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981449|ref|WP_004843210.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981450|ref|WP_004843211.1|	cell wall anchor protein [[Ruminococcus] gnavus] 
gi|490981451|ref|WP_004843212.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981452|ref|WP_004843213.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981453|ref|WP_004843214.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981454|ref|WP_004843215.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981455|ref|WP_004843216.1|	toxin Fic [[Ruminococcus] gnavus] 
gi|490981456|ref|WP_004843217.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981457|ref|WP_004843218.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981458|ref|WP_004843219.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981459|ref|WP_004843220.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981460|ref|WP_004843221.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981461|ref|WP_004843222.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981462|ref|WP_004843223.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981463|ref|WP_004843224.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981464|ref|WP_004843225.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981465|ref|WP_004843226.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981466|ref|WP_004843227.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981467|ref|WP_004843228.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981468|ref|WP_004843229.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981469|ref|WP_004843230.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981470|ref|WP_004843231.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981471|ref|WP_004843232.1|	MULTISPECIES: multidrug transporter MatE [Lachnospiraceae] 
gi|490981472|ref|WP_004843233.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981473|ref|WP_004843234.1|	MULTISPECIES: carbohydrate kinase [Lachnospiraceae] 
gi|490981474|ref|WP_004843235.1|	MULTISPECIES: transketolase [Lachnospiraceae] 
gi|490981475|ref|WP_004843236.1|	transketolase [[Ruminococcus] gnavus] 
gi|490981476|ref|WP_004843237.1|	MULTISPECIES: fucose isomerase [Lachnospiraceae] 
gi|490981477|ref|WP_004843238.1|	LacI family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490981478|ref|WP_004843239.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981479|ref|WP_004843240.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981480|ref|WP_004843241.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981481|ref|WP_004843242.1|	MULTISPECIES: AraC family transcriptional regulator [Lachnospiraceae] 
gi|490981482|ref|WP_004843243.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981483|ref|WP_004843244.1|	MULTISPECIES: thioredoxin [Lachnospiraceae] 
gi|490981484|ref|WP_004843245.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981485|ref|WP_004843246.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981486|ref|WP_004843247.1|	MULTISPECIES: tRNA (guanine-N(7)-)-methyltransferase [Lachnospiraceae] 
gi|490981489|ref|WP_004843249.1|	transposase [[Ruminococcus] gnavus] 
gi|490981490|ref|WP_004843250.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981491|ref|WP_004843251.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981492|ref|WP_004843252.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981493|ref|WP_004843253.1|	tail protein [[Ruminococcus] gnavus] 
gi|490981494|ref|WP_004843254.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981495|ref|WP_004843255.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981496|ref|WP_004843256.1|	phage head-tail adapter protein [[Ruminococcus] gnavus] 
gi|490981497|ref|WP_004843257.1|	AraC family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490981498|ref|WP_004843258.1|	capsid protein [[Ruminococcus] gnavus] 
gi|490981499|ref|WP_004843259.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981500|ref|WP_004843260.1|	portal protein [[Ruminococcus] gnavus] 
gi|490981501|ref|WP_004843261.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981502|ref|WP_004843262.1|	terminase [[Ruminococcus] gnavus] 
gi|490981503|ref|WP_004843263.1|	terminase [[Ruminococcus] gnavus] 
gi|490981504|ref|WP_004843264.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981505|ref|WP_004843265.1|	hydrogenase maturation protein HypF [[Ruminococcus] gnavus] 
gi|490981506|ref|WP_004843266.1|	gamma-glutamyl cyclotransferase [[Ruminococcus] gnavus] 
gi|490981507|ref|WP_004843267.1|	alpha-L-fucosidase [[Ruminococcus] gnavus] 
gi|490981508|ref|WP_004843268.1|	methyltransferase [[Ruminococcus] gnavus] 
gi|490981509|ref|WP_004843269.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981510|ref|WP_004843270.1|	DNA-cytosine methyltransferase [[Ruminococcus] gnavus] 
gi|490981511|ref|WP_004843271.1|	lactate dehydrogenase [[Ruminococcus] gnavus] 
gi|490981512|ref|WP_004843272.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981513|ref|WP_004843273.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981514|ref|WP_004843274.1|	MULTISPECIES: HNH endonuclease [Blautia] 
gi|490981515|ref|WP_004843275.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981516|ref|WP_004843276.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981517|ref|WP_004843277.1|	growth inhibitor PemK [[Ruminococcus] gnavus] 
gi|490981518|ref|WP_004843278.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981519|ref|WP_004843279.1|	DEAD/DEAH box helicase [[Ruminococcus] gnavus] 
gi|490981520|ref|WP_004843280.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981521|ref|WP_004843281.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981522|ref|WP_004843282.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981523|ref|WP_004843283.1|	XRE family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490981524|ref|WP_004843284.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981525|ref|WP_004843285.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981526|ref|WP_004843286.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981527|ref|WP_004843287.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981528|ref|WP_004843288.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981529|ref|WP_004843289.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981530|ref|WP_004843290.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981531|ref|WP_004843291.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981532|ref|WP_004843292.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981533|ref|WP_004843293.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981534|ref|WP_004843294.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981535|ref|WP_004843295.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981536|ref|WP_004843296.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981537|ref|WP_004843297.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981538|ref|WP_004843298.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981539|ref|WP_004843299.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490981540|ref|WP_004843300.1|	modification methylase [[Ruminococcus] gnavus] 
gi|490981541|ref|WP_004843301.1|	transposase [[Ruminococcus] gnavus] 
gi|490981542|ref|WP_004843302.1|	hypothetical protein [[Ruminococcus] gnavus] 
