gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490380484|ref|WP_004260003.1|	ammonium transporter [Providencia rettgeri] 
gi|490380487|ref|WP_004260006.1|	miniconductance mechanosensitive channel [Providencia rettgeri] 
gi|490380491|ref|WP_004260010.1|	membrane protein [Providencia rettgeri] 
gi|490380494|ref|WP_004260013.1|	D-amino acid aminotransferase [Providencia rettgeri] 
gi|490380498|ref|WP_004260017.1|	isochorismatase hydrolase [Providencia rettgeri] 
gi|490380501|ref|WP_004260020.1|	swarming motility regulation sensor protein RssA [Providencia rettgeri] 
gi|490380505|ref|WP_004260024.1|	QseB [Providencia rettgeri] 
gi|490380508|ref|WP_004260027.1|	hypothetical protein [Providencia rettgeri] 
gi|490380513|ref|WP_004260032.1|	DNA-damage-inducible protein I [Providencia rettgeri] 
gi|490380516|ref|WP_004260035.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490380519|ref|WP_004260038.1|	acetyltransferase [Providencia rettgeri] 
gi|490380523|ref|WP_004260042.1|	SAM-dependent methyltransferase [Providencia rettgeri] 
gi|490380527|ref|WP_004260046.1|	membrane protein [Providencia rettgeri] 
gi|490380532|ref|WP_004260051.1|	hypothetical protein [Providencia rettgeri] 
gi|490380537|ref|WP_004260056.1|	nucleoid-associated protein NdpA [Providencia rettgeri] 
gi|490380541|ref|WP_004260060.1|	50S ribosomal protein L25 [Providencia rettgeri] 
gi|490380543|ref|WP_004260062.1|	hypothetical protein [Providencia rettgeri] 
gi|490380545|ref|WP_004260064.1|	16S rRNA pseudouridylate synthase [Providencia rettgeri] 
gi|490380549|ref|WP_004260068.1|	multidrug transporter [Providencia rettgeri] 
gi|490380551|ref|WP_004260070.1|	hypothetical protein [Providencia rettgeri] 
gi|490380561|ref|WP_004260080.1|	hypothetical protein [Providencia rettgeri] 
gi|490380666|ref|WP_004260184.1|	phage-related integrase partial [Providencia rettgeri] 
gi|490380671|ref|WP_004260189.1|	hypothetical protein [Providencia rettgeri] 
gi|490380675|ref|WP_004260193.1|	antirestriction protein KlcA [Providencia rettgeri] 
gi|490380679|ref|WP_004260197.1|	GTP-binding protein [Providencia rettgeri] 
gi|490380682|ref|WP_004260200.1|	hypothetical protein [Providencia rettgeri] 
gi|490380685|ref|WP_004260203.1|	transposase [Providencia rettgeri] 
gi|490380688|ref|WP_004260206.1|	regulatory protein [Providencia rettgeri] 
gi|490380692|ref|WP_004260210.1|	hypothetical protein [Providencia rettgeri] 
gi|490380696|ref|WP_004260214.1|	major facilitator transporter [Providencia rettgeri] 
gi|490380701|ref|WP_004260219.1|	transcriptional regulator [Providencia rettgeri] 
gi|490380704|ref|WP_004260222.1|	nickel transporter [Providencia rettgeri] 
gi|490380707|ref|WP_004260225.1|	Tat pathway signal sequence [Providencia rettgeri] 
gi|490380710|ref|WP_004260228.1|	hypothetical protein [Providencia rettgeri] 
gi|490380713|ref|WP_004260231.1|	hypothetical protein [Providencia rettgeri] 
gi|490380715|ref|WP_004260233.1|	integrase [Providencia rettgeri] 
gi|490380717|ref|WP_004260235.1|	methenyltetrahydrofolate cyclohydrolase [Providencia rettgeri] 
gi|490380721|ref|WP_004260239.1|	ribosome-associated protein [Providencia rettgeri] 
gi|490380724|ref|WP_004260242.1|	PTS fructose transporter subunit IIA [Providencia rettgeri] 
gi|490380727|ref|WP_004260245.1|	1-phosphofructokinase [Providencia rettgeri] 
gi|490380731|ref|WP_004260249.1|	PTS fructose transporter subunit IIBC [Providencia rettgeri] 
gi|490380736|ref|WP_004260254.1|	tyrosine-protein phosphatase YopH [Providencia rettgeri] 
gi|490380739|ref|WP_004260257.1|	cysteinyl-tRNA synthetase [Providencia rettgeri] 
gi|490380742|ref|WP_004260260.1|	peptidyl-prolyl cis-trans isomerase [Providencia rettgeri] 
gi|490380745|ref|WP_004260263.1|	UDP-2,3-diacylglucosamine hydrolase [Providencia rettgeri] 
gi|490380749|ref|WP_004260267.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Providencia rettgeri] 
gi|490380752|ref|WP_004260270.1|	phosphoribosylaminoimidazole carboxylase [Providencia rettgeri] 
gi|490380756|ref|WP_004260274.1|	MFS transporter [Providencia rettgeri] 
gi|490380760|ref|WP_004260278.1|	hypothetical protein [Providencia rettgeri] 
gi|490380766|ref|WP_004260284.1|	sugar ABC transporter permease [Providencia rettgeri] 
gi|490380780|ref|WP_004260298.1|	phosphonate ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490380784|ref|WP_004260302.1|	acyl-CoA thioesterase [Providencia rettgeri] 
gi|490380788|ref|WP_004260306.1|	oxidoreductase [Providencia rettgeri] 
gi|490380792|ref|WP_004260310.1|	hypothetical protein [Providencia rettgeri] 
gi|490380797|ref|WP_004260315.1|	protease [Providencia rettgeri] 
gi|490380801|ref|WP_004260319.1|	membrane protein [Providencia rettgeri] 
gi|490380805|ref|WP_004260323.1|	transcriptional regulator [Providencia rettgeri] 
gi|490380808|ref|WP_004260326.1|	copper exporting ATPase [Providencia rettgeri] 
gi|490380811|ref|WP_004260329.1|	protein HdeD [Providencia rettgeri] 
gi|490380814|ref|WP_004260332.1|	hypothetical protein [Providencia rettgeri] 
gi|490380818|ref|WP_004260336.1|	hypothetical protein [Providencia rettgeri] 
gi|490380823|ref|WP_004260341.1|	hypothetical protein [Providencia rettgeri] 
gi|490380826|ref|WP_004260344.1|	5'-nucleotidase [Providencia rettgeri] 
gi|490380829|ref|WP_004260347.1|	Fosmidomycin resistance protein [Providencia rettgeri] 
gi|490380832|ref|WP_004260350.1|	cation:proton antiport protein [Providencia rettgeri] 
gi|490380836|ref|WP_004260354.1|	hypothetical protein [Providencia rettgeri] 
gi|490380841|ref|WP_004260359.1|	hypothetical protein [Providencia rettgeri] 
gi|490380845|ref|WP_004260363.1|	DeoR family transcripitonal regulator [Providencia rettgeri] 
gi|490380847|ref|WP_004260365.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Providencia rettgeri] 
gi|490380849|ref|WP_004260367.1|	FAD-dependent oxidoreductase [Providencia rettgeri] 
gi|490380851|ref|WP_004260369.1|	glycerol kinase [Providencia rettgeri] 
gi|490380854|ref|WP_004260372.1|	ethanolamine utilization protein EutH [Providencia rettgeri] 
gi|490380858|ref|WP_004260376.1|	inosine/guanosine kinase [Providencia rettgeri] 
gi|490380861|ref|WP_004260379.1|	enterobactin transporter [Providencia rettgeri] 
gi|490380864|ref|WP_004260382.1|	ferrochelatase [Providencia rettgeri] 
gi|490380868|ref|WP_004260386.1|	adenylate kinase [Providencia rettgeri] 
gi|490380872|ref|WP_004260390.1|	heat shock protein 90 [Providencia rettgeri] 
gi|490380876|ref|WP_004260394.1|	hypothetical protein [Providencia rettgeri] 
gi|490380878|ref|WP_004260396.1|	recombinase RecR [Providencia rettgeri] 
gi|490380885|ref|WP_004260403.1|	hypothetical protein [Providencia rettgeri] 
gi|490380888|ref|WP_004260406.1|	DNA polymerase III subunits gamma and tau [Providencia rettgeri] 
gi|490380891|ref|WP_004260409.1|	adenine phosphoribosyltransferase [Providencia rettgeri] 
gi|490380894|ref|WP_004260412.1|	prephenate dehydrogenase [Providencia rettgeri] 
gi|490380897|ref|WP_004260415.1|	membrane protein [Providencia rettgeri] 
gi|490380902|ref|WP_004260420.1|	hypothetical protein [Providencia rettgeri] 
gi|490380906|ref|WP_004260424.1|	hypothetical protein [Providencia rettgeri] 
gi|490380911|ref|WP_004260429.1|	transcriptional regulator [Providencia rettgeri] 
gi|490380914|ref|WP_004260432.1|	multidrug transporter [Providencia rettgeri] 
gi|490380917|ref|WP_004260435.1|	multidrug transporter [Providencia rettgeri] 
gi|490380919|ref|WP_004260437.1|	putative cysteine protease domain YopT-type [Providencia rettgeri] 
gi|490380922|ref|WP_004260440.1|	hemagglutinin/hemolysin-related protein [Providencia rettgeri] 
gi|490380925|ref|WP_004260443.1|	hypothetical protein [Providencia rettgeri] 
gi|490380927|ref|WP_004260445.1|	transporter divalent anion:Na+ symporter family [Providencia rettgeri] 
gi|490380930|ref|WP_004260448.1|	hypothetical protein [Providencia rettgeri] 
gi|490380933|ref|WP_004260451.1|	hypothetical protein [Providencia rettgeri] 
gi|490380936|ref|WP_004260453.1|	enolase [Providencia rettgeri] 
gi|490380938|ref|WP_004260455.1|	CTP synthetase [Providencia rettgeri] 
gi|490380941|ref|WP_004260458.1|	nucleoside triphosphate pyrophosphohydrolase [Providencia rettgeri] 
gi|490380944|ref|WP_004260461.1|	hypothetical protein [Providencia rettgeri] 
gi|490380946|ref|WP_004260463.1|	GTP pyrophosphokinase [Providencia rettgeri] 
gi|490380949|ref|WP_004260466.1|	GTP pyrophosphokinase [Providencia rettgeri] 
gi|490380952|ref|WP_004260469.1|	23S rRNA methyltransferase [Providencia rettgeri] 
gi|490380955|ref|WP_004260472.1|	deoxyguanosinetriphosphate triphosphohydrolase [Providencia rettgeri] 
gi|490380958|ref|WP_004260475.1|	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase [Providencia rettgeri] 
gi|490380960|ref|WP_004260477.1|	vitamin B12 transporter [Providencia rettgeri] 
gi|490380961|ref|WP_004260478.1|	hypothetical protein [Providencia rettgeri] 
gi|490380963|ref|WP_004260480.1|	iron-sulfur cluster insertion protein ErpA [Providencia rettgeri] 
gi|490380970|ref|WP_004260487.1|	glutamate-1-semialdehyde aminotransferase [Providencia rettgeri] 
gi|490380971|ref|WP_004260488.1|	bifunctional glycosyl transferase/transpeptidase [Providencia rettgeri] 
gi|490380973|ref|WP_004260490.1|	RNA helicase [Providencia rettgeri] 
gi|490380976|ref|WP_004260493.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490380977|ref|WP_004260494.1|	transcriptional regulator [Providencia rettgeri] 
gi|490380979|ref|WP_004260496.1|	poly(A) polymerase I [Providencia rettgeri] 
gi|490380981|ref|WP_004260498.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Providencia rettgeri] 
gi|490380984|ref|WP_004260501.1|	3-methyl-2-oxobutanoate hydroxymethyltransferase [Providencia rettgeri] 
gi|490380986|ref|WP_004260503.1|	pantoate--beta-alanine ligase [Providencia rettgeri] 
gi|490380990|ref|WP_004260507.1|	aspartate decarboxylase [Providencia rettgeri] 
gi|490380998|ref|WP_004260515.1|	carbonic anhydrase [Providencia rettgeri] 
gi|490381001|ref|WP_004260518.1|	multidrug ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490381005|ref|WP_004260522.1|	membrane protein [Providencia rettgeri] 
gi|490381009|ref|WP_004260526.1|	hypothetical protein [Providencia rettgeri] 
gi|490381012|ref|WP_004260529.1|	fimbrial assembly chaperone [Providencia rettgeri] 
gi|490381016|ref|WP_004260533.1|	fimbrial usher protein [Providencia rettgeri] 
gi|490381020|ref|WP_004260537.1|	fimbrial protein [Providencia rettgeri] 
gi|490381024|ref|WP_004260541.1|	hypothetical protein [Providencia rettgeri] 
gi|490381028|ref|WP_004260545.1|	hypothetical protein [Providencia rettgeri] 
gi|490381031|ref|WP_004260548.1|	hypoxanthine phosphoribosyltransferase [Providencia rettgeri] 
gi|490381034|ref|WP_004260551.1|	multicopper oxidase [Providencia rettgeri] 
gi|490381038|ref|WP_004260555.1|	hypothetical protein [Providencia rettgeri] 
gi|490381041|ref|WP_004260558.1|	putative ammonia monooxygenase [Providencia rettgeri] 
gi|490381046|ref|WP_004260563.1|	TetR family transcriptional regulator [Providencia rettgeri] 
gi|490381049|ref|WP_004260566.1|	hypothetical protein [Providencia rettgeri] 
gi|490381052|ref|WP_004260569.1|	hypothetical protein [Providencia rettgeri] 
gi|490381053|ref|WP_004260570.1|	hypothetical protein [Providencia rettgeri] 
gi|490381055|ref|WP_004260572.1|	oxidoreductase [Providencia rettgeri] 
gi|490381057|ref|WP_004260574.1|	multidrug transporter MatE [Providencia rettgeri] 
gi|490381060|ref|WP_004260577.1|	putative 4-carboxymuconolactone decarboxylase [Providencia rettgeri] 
gi|490381064|ref|WP_004260581.1|	membrane protein [Providencia rettgeri] 
gi|490381067|ref|WP_004260584.1|	GTP-binding protein YjiA [Providencia rettgeri] 
gi|490381069|ref|WP_004260586.1|	hypothetical protein [Providencia rettgeri] 
gi|490381071|ref|WP_004260588.1|	carbon starvation protein CstA [Providencia rettgeri] 
gi|490381074|ref|WP_004260591.1|	hypothetical protein [Providencia rettgeri] 
gi|490381076|ref|WP_004260593.1|	phosphoribosylglycinamide formyltransferase [Providencia rettgeri] 
gi|490381080|ref|WP_004260597.1|	permease [Providencia rettgeri] 
gi|490381084|ref|WP_004260601.1|	fructokinase [Providencia rettgeri] 
gi|490381088|ref|WP_004260605.1|	glycosyl hydrolase family 32 [Providencia rettgeri] 
gi|490381091|ref|WP_004260608.1|	sucrose operon repressor [Providencia rettgeri] 
gi|490381094|ref|WP_004260611.1|	DNA-binding protein [Providencia rettgeri] 
gi|490381099|ref|WP_004260616.1|	PTS-dependent dihydroxyacetone kinase operon regulatory protein DhaR [Providencia rettgeri] 
gi|490381101|ref|WP_004260618.1|	30S ribosomal protein S12 methylthiotransferase [Providencia rettgeri] 
gi|490381102|ref|WP_004260619.1|	PEP phosphonomutase [Providencia rettgeri] 
gi|490381103|ref|WP_004260620.1|	membrane protein [Providencia rettgeri] 
gi|490381105|ref|WP_004260622.1|	hypothetical protein [Providencia rettgeri] 
gi|490381107|ref|WP_004260624.1|	membrane protein [Providencia rettgeri] 
gi|490381110|ref|WP_004260627.1|	hypothetical protein [Providencia rettgeri] 
gi|490381112|ref|WP_004260629.1|	Tat-translocated enzyme [Providencia rettgeri] 
gi|490381118|ref|WP_004260635.1|	hypothetical protein [Providencia rettgeri] 
gi|490381122|ref|WP_004260639.1|	immunodominant surface protein [Providencia rettgeri] 
gi|490381125|ref|WP_004260642.1|	hypothetical protein [Providencia rettgeri] 
gi|490381127|ref|WP_004260644.1|	LysR family transcriptional regulator [Providencia rettgeri] 
gi|490381131|ref|WP_004260648.1|	adenine deaminase [Providencia rettgeri] 
gi|490381134|ref|WP_004260651.1|	permease [Providencia rettgeri] 
gi|490381150|ref|WP_004260667.1|	endoribonuclease L-PSP [Providencia rettgeri] 
gi|490381153|ref|WP_004260670.1|	streptomycin 3-adenylyltransferase [Providencia rettgeri] 
gi|490381156|ref|WP_004260673.1|	sodium:glutamate symporter [Providencia rettgeri] 
gi|490381159|ref|WP_004260676.1|	LysR family transcriptional regulator [Providencia rettgeri] 
gi|490381162|ref|WP_004260679.1|	D-amino acid dehydrogenase [Providencia rettgeri] 
gi|490381164|ref|WP_004260681.1|	cytochrome C2 [Providencia rettgeri] 
gi|490381167|ref|WP_004260684.1|	indole-3-pyruvate decarboxylase [Providencia rettgeri] 
gi|490381170|ref|WP_004260687.1|	hypothetical protein [Providencia rettgeri] 
gi|490381173|ref|WP_004260690.1|	hypothetical protein [Providencia rettgeri] 
gi|490381176|ref|WP_004260693.1|	aldehyde oxidase [Providencia rettgeri] 
gi|490381180|ref|WP_004260697.1|	(2Fe-2S)-binding protein [Providencia rettgeri] 
gi|490381184|ref|WP_004260701.1|	cytochrome CBB3 [Providencia rettgeri] 
gi|490381187|ref|WP_004260704.1|	xanthine dehydrogenase [Providencia rettgeri] 
gi|490381190|ref|WP_004260707.1|	(2Fe-2S)-binding protein [Providencia rettgeri] 
gi|490381194|ref|WP_004260711.1|	dehydrogenase [Providencia rettgeri] 
gi|490381196|ref|WP_004260713.1|	(2Fe-2S)-binding protein [Providencia rettgeri] 
gi|490381197|ref|WP_004260714.1|	aldehyde dehydrogenase [Providencia rettgeri] 
gi|490381199|ref|WP_004260716.1|	cytochrome C [Providencia rettgeri] 
gi|490381202|ref|WP_004260719.1|	DNA mismatch repair protein MutS [Providencia rettgeri] 
gi|490381204|ref|WP_004260721.1|	tRNA-(ms[2]io[6]A)-hydroxylase [Providencia rettgeri] 
gi|490381206|ref|WP_004260723.1|	RNA polymerase sigma factor [Providencia rettgeri] 
gi|490381208|ref|WP_004260725.1|	peptidase M23 [Providencia rettgeri] 
gi|490381210|ref|WP_004260727.1|	protein-L-isoaspartate O-methyltransferase [Providencia rettgeri] 
gi|490381212|ref|WP_004260729.1|	stationary phase survival protein SurE [Providencia rettgeri] 
gi|490381213|ref|WP_004260730.1|	tRNA pseudouridine synthase D [Providencia rettgeri] 
gi|490381215|ref|WP_004260732.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Providencia rettgeri] 
gi|490381216|ref|WP_004260733.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Providencia rettgeri] 
gi|490381219|ref|WP_004260736.1|	cell division protein FtsB [Providencia rettgeri] 
gi|490381222|ref|WP_004260739.1|	adenylylsulfate kinase [Providencia rettgeri] 
gi|490381224|ref|WP_004260741.1|	sulfate adenylyltransferase subunit 1 [Providencia rettgeri] 
gi|490381226|ref|WP_004260743.1|	sulfate adenylyltransferase subunit 2 [Providencia rettgeri] 
gi|490381229|ref|WP_004260746.1|	sirohydrochlorin ferrochelatase [Providencia rettgeri] 
gi|490381231|ref|WP_004260748.1|	phosphoadenosine phosphosulfate reductase [Providencia rettgeri] 
gi|490381234|ref|WP_004260751.1|	sulfite reductase subunit beta [Providencia rettgeri] 
gi|490381237|ref|WP_004260754.1|	sulfite reductase subunit alpha [Providencia rettgeri] 
gi|490381239|ref|WP_004260756.1|	hypothetical protein [Providencia rettgeri] 
gi|490381242|ref|WP_004260759.1|	6-carboxy-5,6,7,8-tetrahydropterin synthase [Providencia rettgeri] 
gi|490381244|ref|WP_004260761.1|	membrane protein [Providencia rettgeri] 
gi|490381248|ref|WP_004260765.1|	coenzyme PQQ biosynthesis protein [Providencia rettgeri] 
gi|490381251|ref|WP_004260768.1|	permease [Providencia rettgeri] 
gi|490381253|ref|WP_004260770.1|	methionine gamma-lyase [Providencia rettgeri] 
gi|490381256|ref|WP_004260773.1|	hypothetical protein [Providencia rettgeri] 
gi|490381258|ref|WP_004260775.1|	pyridine nucleotide-disulfide oxidoreductase [Providencia rettgeri] 
gi|490381261|ref|WP_004260778.1|	hypothetical protein [Providencia rettgeri] 
gi|490381264|ref|WP_004260781.1|	hypothetical protein [Providencia rettgeri] 
gi|490381266|ref|WP_004260783.1|	hypothetical protein [Providencia rettgeri] 
gi|490381268|ref|WP_004260784.1|	hypothetical protein [Providencia rettgeri] 
gi|490381269|ref|WP_004260785.1|	hypothetical protein [Providencia rettgeri] 
gi|490381270|ref|WP_004260786.1|	protoporphyrinogen oxidase [Providencia rettgeri] 
gi|490381271|ref|WP_004260787.1|	potassium transporter [Providencia rettgeri] 
gi|490381272|ref|WP_004260788.1|	hypothetical protein [Providencia rettgeri] 
gi|490381273|ref|WP_004260789.1|	proline dipeptidase [Providencia rettgeri] 
gi|490381274|ref|WP_004260790.1|	hypothetical protein [Providencia rettgeri] 
gi|490381275|ref|WP_004260791.1|	multifunctional fatty acid oxidation complex subunit alpha [Providencia rettgeri] 
gi|490381277|ref|WP_004260793.1|	3-ketoacyl-CoA thiolase [Providencia rettgeri] 
gi|490381279|ref|WP_004260795.1|	hypothetical protein [Providencia rettgeri] 
gi|490381281|ref|WP_004260797.1|	hypothetical protein [Providencia rettgeri] 
gi|490381283|ref|WP_004260799.1|	FMN reductase [Providencia rettgeri] 
gi|490381285|ref|WP_004260801.1|	3-polyprenyl-4-hydroxybenzoate decarboxylase [Providencia rettgeri] 
gi|490381287|ref|WP_004260803.1|	alpha-aspartyl dipeptidase [Providencia rettgeri] 
gi|490381289|ref|WP_004260805.1|	transcriptional regulator [Providencia rettgeri] 
gi|490381290|ref|WP_004260806.1|	twin-arginine protein translocation system subunit TatC [Providencia rettgeri] 
gi|490381292|ref|WP_004260808.1|	twin arginine-targeting protein translocase TatB [Providencia rettgeri] 
gi|490381296|ref|WP_004260812.1|	preprotein translocase subunit TatA [Providencia rettgeri] 
gi|490381298|ref|WP_004260814.1|	ubiquinone biosynthesis protein UbiB [Providencia rettgeri] 
gi|490381299|ref|WP_004260815.1|	sterol-binding protein [Providencia rettgeri] 
gi|490381302|ref|WP_004260818.1|	ubiquinone/menaquinone biosynthesis methyltransferase [Providencia rettgeri] 
gi|490381303|ref|WP_004260819.1|	DNA recombination protein RmuC [Providencia rettgeri] 
gi|490381305|ref|WP_004260821.1|	cytochrome O ubiquinol oxidase [Providencia rettgeri] 
gi|490381308|ref|WP_004260824.1|	C4-dicarboxylate ABC transporter [Providencia rettgeri] 
gi|490381310|ref|WP_004260826.1|	uridine phosphorylase [Providencia rettgeri] 
gi|490381312|ref|WP_004260828.1|	hypothetical protein [Providencia rettgeri] 
gi|490381315|ref|WP_004260831.1|	gluconate permease [Providencia rettgeri] 
gi|490381318|ref|WP_004260834.1|	hypothetical protein [Providencia rettgeri] 
gi|490381320|ref|WP_004260836.1|	alkaline phosphatase [Providencia rettgeri] 
gi|490381323|ref|WP_004260839.1|	hydroxypyruvate isomerase [Providencia rettgeri] 
gi|490381326|ref|WP_004260842.1|	aldolase [Providencia rettgeri] 
gi|490381330|ref|WP_004260846.1|	membrane protein [Providencia rettgeri] 
gi|490381333|ref|WP_004260849.1|	oxidoreductase [Providencia rettgeri] 
gi|490381335|ref|WP_004260851.1|	hypothetical protein [Providencia rettgeri] 
gi|490381338|ref|WP_004260854.1|	hypothetical protein [Providencia rettgeri] 
gi|490381341|ref|WP_004260857.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Providencia rettgeri] 
gi|490381343|ref|WP_004260859.1|	transcriptional regulator [Providencia rettgeri] 
gi|490381344|ref|WP_004260860.1|	membrane protein [Providencia rettgeri] 
gi|490381346|ref|WP_004260862.1|	sodium:proton antiporter [Providencia rettgeri] 
gi|490381347|ref|WP_004260863.1|	permase [Providencia rettgeri] 
gi|490381349|ref|WP_004260865.1|	membrane protein [Providencia rettgeri] 
gi|490381352|ref|WP_004260868.1|	MFS transporter [Providencia rettgeri] 
gi|490381354|ref|WP_004260870.1|	permease [Providencia rettgeri] 
gi|490381356|ref|WP_004260872.1|	transcriptional regulator [Providencia rettgeri] 
gi|490381358|ref|WP_004260874.1|	alanyl-tRNA synthetase [Providencia rettgeri] 
gi|490381361|ref|WP_004260877.1|	acetolactate synthase [Providencia rettgeri] 
gi|490381363|ref|WP_004260879.1|	acetolactate synthase [Providencia rettgeri] 
gi|490381365|ref|WP_004260881.1|	NEDD4 family-interacting protein 2 [Providencia rettgeri] 
gi|490381368|ref|WP_004260884.1|	hypothetical protein [Providencia rettgeri] 
gi|490381371|ref|WP_004260887.1|	MFS transporter [Providencia rettgeri] 
gi|490381374|ref|WP_004260890.1|	transcriptional regulator [Providencia rettgeri] 
gi|490381378|ref|WP_004260894.1|	single-stranded DNA-binding protein [Providencia rettgeri] 
gi|490381381|ref|WP_004260897.1|	excinuclease ABC subunit A [Providencia rettgeri] 
gi|490381383|ref|WP_004260899.1|	aromatic amino acid aminotransferase [Providencia rettgeri] 
gi|490381385|ref|WP_004260901.1|	alanine racemase [Providencia rettgeri] 
gi|490381388|ref|WP_004260904.1|	DNA helicase [Providencia rettgeri] 
gi|490381391|ref|WP_004260907.1|	quinone oxidoreductase [Providencia rettgeri] 
gi|490381394|ref|WP_004260910.1|	MFS transporter [Providencia rettgeri] 
gi|490381396|ref|WP_004260912.1|	dTDP-6-deoxy-D-glucose-3,5-epimerase [Providencia rettgeri] 
gi|490381399|ref|WP_004260915.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490381401|ref|WP_004260917.1|	tRNA-dihydrouridine synthase A [Providencia rettgeri] 
gi|490381403|ref|WP_004260919.1|	hypothetical protein [Providencia rettgeri] 
gi|490381405|ref|WP_004260921.1|	hypothetical protein [Providencia rettgeri] 
gi|490381407|ref|WP_004260923.1|	hypothetical protein [Providencia rettgeri] 
gi|490381410|ref|WP_004260926.1|	histidinol-phosphate aminotransferase [Providencia rettgeri] 
gi|490381412|ref|WP_004260928.1|	hypothetical protein [Providencia rettgeri] 
gi|490381415|ref|WP_004260931.1|	ribonucleoside hydrolase [Providencia rettgeri] 
gi|490381418|ref|WP_004260934.1|	ornithine decarboxylase [Providencia rettgeri] 
gi|490381421|ref|WP_004260937.1|	MscS family inner membrane protein YnaI [Providencia rettgeri] 
gi|490381425|ref|WP_004260941.1|	hypothetical protein [Providencia rettgeri] 
gi|490381428|ref|WP_004260944.1|	deoxyribose mutarotase [Providencia rettgeri] 
gi|490381433|ref|WP_004260949.1|	sugar:proton symporter [Providencia rettgeri] 
gi|490381435|ref|WP_004260951.1|	ribokinase [Providencia rettgeri] 
gi|490381438|ref|WP_004260954.1|	deoxyribose-phosphate aldolase [Providencia rettgeri] 
gi|490381441|ref|WP_004260957.1|	deoxyribose operon repressor [Providencia rettgeri] 
gi|490381446|ref|WP_004260962.1|	ribonuclease Z [Providencia rettgeri] 
gi|490381449|ref|WP_004260965.1|	putative invasin [Providencia rettgeri] 
gi|490381453|ref|WP_004260969.1|	Fis family transcriptional regulator [Providencia rettgeri] 
gi|490381456|ref|WP_004260972.1|	hypothetical protein [Providencia rettgeri] 
gi|490381460|ref|WP_004260976.1|	protein RtcB [Providencia rettgeri] 
gi|490381464|ref|WP_004260980.1|	nucleotidyltransferase [Providencia rettgeri] 
gi|490381467|ref|WP_004260983.1|	GntR family transcriptional regulator [Providencia rettgeri] 
gi|490381470|ref|WP_004260986.1|	twin-arginine leader-binding protein DmsD [Providencia rettgeri] 
gi|490381488|ref|WP_004261004.1|	putative anaerobic DMSO reductase chain C anchor subunit [Providencia rettgeri] 
gi|490381492|ref|WP_004261008.1|	4Fe-4S ferredoxin [Providencia rettgeri] 
gi|490381497|ref|WP_004261013.1|	DMSO reductase subunit A [Providencia rettgeri] 
gi|490381501|ref|WP_004261017.1|	AraC family transcriptional regulator [Providencia rettgeri] 
gi|490381504|ref|WP_004261020.1|	hypothetical protein [Providencia rettgeri] 
gi|490381508|ref|WP_004261024.1|	fimbrial protein [Providencia rettgeri] 
gi|490381512|ref|WP_004261028.1|	fimbrial protein [Providencia rettgeri] 
gi|490381539|ref|WP_004261055.1|	hypothetical protein [Providencia rettgeri] 
gi|490381542|ref|WP_004261058.1|	fimbrial protein StfD [Providencia rettgeri] 
gi|490381545|ref|WP_004261061.1|	outer membrane usher protein PapC [Providencia rettgeri] 
gi|490381549|ref|WP_004261065.1|	fimbrial protein [Providencia rettgeri] 
gi|490381554|ref|WP_004261070.1|	fimbrial protein [Providencia rettgeri] 
gi|490381558|ref|WP_004261074.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490381560|ref|WP_004261076.1|	Asp/Glu/hydantoin racemase [Providencia rettgeri] 
gi|490381563|ref|WP_004261079.1|	cell division protein ZipA [Providencia rettgeri] 
gi|490381565|ref|WP_004261081.1|	sodium:proton antiporter [Providencia rettgeri] 
gi|490381567|ref|WP_004261083.1|	transcription regulator protein [Providencia rettgeri] 
gi|490381571|ref|WP_004261087.1|	Asp/Glu racemase [Providencia rettgeri] 
gi|490381574|ref|WP_004261090.1|	aliphatic nitrilase [Providencia rettgeri] 
gi|490381576|ref|WP_004261092.1|	gentisate 1,2-dioxygenase [Providencia rettgeri] 
gi|490381579|ref|WP_004261095.1|	NADPH dehydrogenase [Providencia rettgeri] 
gi|490381583|ref|WP_004261099.1|	anthraniloyl-CoA monooxygenase [Providencia rettgeri] 
gi|490381587|ref|WP_004261103.1|	phosphonate ABC transporter permease [Providencia rettgeri] 
gi|490381590|ref|WP_004261106.1|	indolepyruvate oxidoreductase [Providencia rettgeri] 
gi|490381592|ref|WP_004261108.1|	indolepyruvate ferredoxin subunit alpha [Providencia rettgeri] 
gi|490381594|ref|WP_004261110.1|	AraC family transcriptional regulator [Providencia rettgeri] 
