gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490458277|ref|WP_004328982.1|	hypothetical protein [Alistipes putredinis] 
gi|490458278|ref|WP_004328983.1|	MULTISPECIES: biopolymer transporter ExbB [Alistipes] 
gi|490458279|ref|WP_004328984.1|	MULTISPECIES: biopolymer transporter ExbD [Alistipes] 
gi|490458280|ref|WP_004328985.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458281|ref|WP_004328986.1|	hypothetical protein [Alistipes putredinis] 
gi|490458282|ref|WP_004328987.1|	N-ethylammeline chlorohydrolase [Alistipes putredinis] 
gi|490458283|ref|WP_004328988.1|	5'-nucleotidase [Alistipes putredinis] 
gi|490458284|ref|WP_004328989.1|	1,4-alpha-glucan branching protein [Alistipes putredinis] 
gi|490458285|ref|WP_004328990.1|	symporter [Alistipes putredinis] 
gi|490458286|ref|WP_004328991.1|	hypothetical protein [Alistipes putredinis] 
gi|490458287|ref|WP_004328992.1|	hypothetical protein [Alistipes putredinis] 
gi|490458288|ref|WP_004328993.1|	hypothetical protein [Alistipes putredinis] 
gi|490458292|ref|WP_004328996.1|	beta-lactamase [Alistipes putredinis] 
gi|490458293|ref|WP_004328997.1|	short-chain dehydrogenase [Alistipes putredinis] 
gi|490458294|ref|WP_004328998.1|	hypothetical protein [Alistipes putredinis] 
gi|490458296|ref|WP_004328999.1|	MULTISPECIES: ribose-phosphate pyrophosphokinase [Alistipes] 
gi|490458297|ref|WP_004329000.1|	GTP-binding protein YsxC [Alistipes putredinis] 
gi|490458298|ref|WP_004329001.1|	hypothetical protein [Alistipes putredinis] 
gi|490458299|ref|WP_004329002.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458300|ref|WP_004329003.1|	hypothetical protein [Alistipes putredinis] 
gi|490458301|ref|WP_004329004.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458302|ref|WP_004329005.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458303|ref|WP_004329006.1|	hypothetical protein [Alistipes putredinis] 
gi|490458304|ref|WP_004329007.1|	hypothetical protein [Alistipes putredinis] 
gi|490458305|ref|WP_004329008.1|	hypothetical protein [Alistipes putredinis] 
gi|490458306|ref|WP_004329009.1|	hypothetical protein [Alistipes putredinis] 
gi|490458307|ref|WP_004329010.1|	decarboxylase [Alistipes putredinis] 
gi|490458308|ref|WP_004329011.1|	hypothetical protein [Alistipes putredinis] 
gi|490458309|ref|WP_004329012.1|	ATPase AAA [Alistipes putredinis] 
gi|490458310|ref|WP_004329013.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458311|ref|WP_004329014.1|	hypothetical protein [Alistipes putredinis] 
gi|490458312|ref|WP_004329015.1|	MULTISPECIES: preprotein translocase subunit SecG [Alistipes] 
gi|490458313|ref|WP_004329016.1|	GNAT family acetyltransferase [Alistipes putredinis] 
gi|490458314|ref|WP_004329017.1|	hypothetical protein [Alistipes putredinis] 
gi|490458315|ref|WP_004329018.1|	hypothetical protein [Alistipes putredinis] 
gi|490458316|ref|WP_004329019.1|	hypothetical protein [Alistipes putredinis] 
gi|490458321|ref|WP_004329022.1|	hypothetical protein [Alistipes putredinis] 
gi|490458322|ref|WP_004329023.1|	MULTISPECIES: choloylglycine hydrolase [Alistipes] 
gi|490458323|ref|WP_004329024.1|	chromosome partitioning protein ParB [Alistipes putredinis] 
gi|490458324|ref|WP_004329025.1|	phosphoadenosine phosphosulfate reductase [Alistipes putredinis] 
gi|490458325|ref|WP_004329026.1|	hypothetical protein [Alistipes putredinis] 
gi|490458326|ref|WP_004329027.1|	hypothetical protein [Alistipes putredinis] 
gi|490458327|ref|WP_004329028.1|	iron ABC transporter ATP-binding protein [Alistipes putredinis] 
gi|490458328|ref|WP_004329029.1|	iron ABC transporter [Alistipes putredinis] 
gi|490458329|ref|WP_004329030.1|	iron ABC transporter substrate-binding protein [Alistipes putredinis] 
gi|490458330|ref|WP_004329031.1|	TonB-denpendent receptor [Alistipes putredinis] 
gi|490458331|ref|WP_004329032.1|	hypothetical protein [Alistipes putredinis] 
gi|490458332|ref|WP_004329033.1|	hypothetical protein [Alistipes putredinis] 
gi|490458333|ref|WP_004329034.1|	hypothetical protein [Alistipes putredinis] 
gi|490458334|ref|WP_004329035.1|	hypothetical protein [Alistipes putredinis] 
gi|490458335|ref|WP_004329036.1|	hypothetical protein [Alistipes putredinis] 
gi|490458336|ref|WP_004329037.1|	hypothetical protein [Alistipes putredinis] 
gi|490458337|ref|WP_004329038.1|	hypothetical protein [Alistipes putredinis] 
gi|490458338|ref|WP_004329039.1|	hypothetical protein [Alistipes putredinis] 
gi|490458339|ref|WP_004329040.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458340|ref|WP_004329041.1|	haloacid dehalogenase [Alistipes putredinis] 
gi|490458341|ref|WP_004329042.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458343|ref|WP_004329043.1|	hypothetical protein [Alistipes putredinis] 
gi|490458346|ref|WP_004329045.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458347|ref|WP_004329046.1|	hypothetical protein [Alistipes putredinis] 
gi|490458348|ref|WP_004329047.1|	MULTISPECIES: transaldolase [Alistipes] 
gi|490458349|ref|WP_004329048.1|	GNAT family acetyltransferase [Alistipes putredinis] 
gi|490458350|ref|WP_004329049.1|	hypothetical protein [Alistipes putredinis] 
gi|490458351|ref|WP_004329050.1|	hypothetical protein [Alistipes putredinis] 
gi|490458352|ref|WP_004329051.1|	hypothetical protein [Alistipes putredinis] 
gi|490458353|ref|WP_004329052.1|	hypothetical protein [Alistipes putredinis] 
gi|490458354|ref|WP_004329053.1|	hypothetical protein [Alistipes putredinis] 
gi|490458355|ref|WP_004329054.1|	hypothetical protein [Alistipes putredinis] 
gi|490458356|ref|WP_004329055.1|	hypothetical protein [Alistipes putredinis] 
gi|490458357|ref|WP_004329056.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458358|ref|WP_004329057.1|	MULTISPECIES: Holliday junction DNA helicase RuvA [Alistipes] 
gi|490458363|ref|WP_004329061.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458365|ref|WP_004329062.1|	hypothetical protein [Alistipes putredinis] 
gi|490458366|ref|WP_004329063.1|	hypothetical protein [Alistipes putredinis] 
gi|490458367|ref|WP_004329064.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458368|ref|WP_004329065.1|	hypothetical protein [Alistipes putredinis] 
gi|490458369|ref|WP_004329066.1|	hypothetical protein [Alistipes putredinis] 
gi|490458370|ref|WP_004329067.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458371|ref|WP_004329068.1|	hypothetical protein [Alistipes putredinis] 
gi|490458372|ref|WP_004329069.1|	molecular chaperone DnaK [Alistipes putredinis] 
gi|490458373|ref|WP_004329070.1|	hypothetical protein [Alistipes putredinis] 
gi|490458374|ref|WP_004329071.1|	preprotein translocase subunit SecD [Alistipes putredinis] 
gi|490458375|ref|WP_004329072.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458376|ref|WP_004329073.1|	dephospho-CoA kinase [Alistipes putredinis] 
gi|490458377|ref|WP_004329074.1|	dihydropteroate synthase [Alistipes putredinis] 
gi|490458378|ref|WP_004329075.1|	MULTISPECIES: ABC transporter ATP-binding protein [Alistipes] 
gi|490458379|ref|WP_004329076.1|	hypothetical protein [Alistipes putredinis] 
gi|490458380|ref|WP_004329077.1|	methyltransferase [Alistipes putredinis] 
gi|490458381|ref|WP_004329078.1|	hypothetical protein [Alistipes putredinis] 
gi|490458382|ref|WP_004329079.1|	hypothetical protein [Alistipes putredinis] 
gi|490458383|ref|WP_004329080.1|	hypothetical protein [Alistipes putredinis] 
gi|490458384|ref|WP_004329081.1|	hypothetical protein [Alistipes putredinis] 
gi|490458385|ref|WP_004329082.1|	MULTISPECIES: DNA repair protein RadA [Alistipes] 
gi|490458386|ref|WP_004329083.1|	hypothetical protein [Alistipes putredinis] 
gi|490458387|ref|WP_004329084.1|	hypothetical protein [Alistipes putredinis] 
gi|490458388|ref|WP_004329085.1|	zinc metalloprotease [Alistipes putredinis] 
gi|490458389|ref|WP_004329086.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Alistipes putredinis] 
gi|490458390|ref|WP_004329087.1|	peptidase [Alistipes putredinis] 
gi|490458391|ref|WP_004329088.1|	hypothetical protein [Alistipes putredinis] 
gi|490458392|ref|WP_004329089.1|	nucleotidyltransferase [Alistipes putredinis] 
gi|490458393|ref|WP_004329090.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458394|ref|WP_004329091.1|	hypothetical protein [Alistipes putredinis] 
gi|490458395|ref|WP_004329092.1|	hypothetical protein [Alistipes putredinis] 
gi|490458396|ref|WP_004329093.1|	hypothetical protein [Alistipes putredinis] 
gi|490458397|ref|WP_004329094.1|	hypothetical protein [Alistipes putredinis] 
gi|490458398|ref|WP_004329095.1|	hypothetical protein [Alistipes putredinis] 
gi|490458399|ref|WP_004329096.1|	hypothetical protein [Alistipes putredinis] 
gi|490458400|ref|WP_004329097.1|	MULTISPECIES: DNA topoisomerase IV subunit B [Alistipes] 
gi|490458401|ref|WP_004329098.1|	DNA topoisomerase IV subunit A [Alistipes putredinis] 
gi|490458402|ref|WP_004329099.1|	hypothetical protein [Alistipes putredinis] 
gi|490458403|ref|WP_004329100.1|	hypothetical protein [Alistipes putredinis] 
gi|490458404|ref|WP_004329101.1|	cell division protein FtsK [Alistipes putredinis] 
gi|490458405|ref|WP_004329102.1|	cation transporter [Alistipes putredinis] 
gi|490458406|ref|WP_004329103.1|	hypothetical protein [Alistipes putredinis] 
gi|490458407|ref|WP_004329104.1|	hypothetical protein [Alistipes putredinis] 
gi|490458408|ref|WP_004329105.1|	hypothetical protein [Alistipes putredinis] 
gi|490458409|ref|WP_004329106.1|	DNA gyrase subunit A [Alistipes putredinis] 
gi|490458410|ref|WP_004329107.1|	hypothetical protein [Alistipes putredinis] 
gi|490458411|ref|WP_004329108.1|	GntR family transcriptional regulator [Alistipes putredinis] 
gi|490458412|ref|WP_004329109.1|	hypothetical protein [Alistipes putredinis] 
gi|490458413|ref|WP_004329110.1|	pseudouridine synthase [Alistipes putredinis] 
gi|490458414|ref|WP_004329111.1|	hypothetical protein [Alistipes putredinis] 
gi|490456711|ref|WP_004327478.1|	hypothetical protein [Alistipes putredinis] 
gi|490458415|ref|WP_004329112.1|	dihydrodipicolinate synthase [Alistipes putredinis] 
gi|490458416|ref|WP_004329113.1|	hypothetical protein [Alistipes putredinis] 
gi|490458417|ref|WP_004329114.1|	DNA ligase [Alistipes putredinis] 
gi|490458419|ref|WP_004329115.1|	hypothetical protein [Alistipes putredinis] 
gi|490458420|ref|WP_004329116.1|	hypothetical protein [Alistipes putredinis] 
gi|490458421|ref|WP_004329117.1|	hypothetical protein [Alistipes putredinis] 
gi|490458422|ref|WP_004329118.1|	hypothetical protein [Alistipes putredinis] 
gi|490458423|ref|WP_004329119.1|	adenylosuccinate synthetase [Alistipes putredinis] 
gi|490458424|ref|WP_004329120.1|	MULTISPECIES: electron transfer flavoprotein subunit beta [Alistipes] 
gi|490458425|ref|WP_004329121.1|	electron transfer flavoprotein subunit alpha [Alistipes putredinis] 
gi|490458426|ref|WP_004329122.1|	acyl-CoA dehydrogenase [Alistipes putredinis] 
gi|490458427|ref|WP_004329123.1|	hypothetical protein [Alistipes putredinis] 
gi|490458428|ref|WP_004329124.1|	hypothetical protein [Alistipes putredinis] 
gi|490458429|ref|WP_004329125.1|	hypothetical protein [Alistipes putredinis] 
gi|490458431|ref|WP_004329126.1|	MULTISPECIES: cobinamide adenolsyltransferase [Alistipes] 
gi|490458432|ref|WP_004329127.1|	hypothetical protein [Alistipes putredinis] 
gi|490458433|ref|WP_004329128.1|	hypothetical protein [Alistipes putredinis] 
gi|490458434|ref|WP_004329129.1|	hypothetical protein [Alistipes putredinis] 
gi|490458435|ref|WP_004329130.1|	membrane protein [Alistipes putredinis] 
gi|490458436|ref|WP_004329131.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458437|ref|WP_004329132.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458438|ref|WP_004329133.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458439|ref|WP_004329134.1|	glutaminase [Alistipes putredinis] 
gi|490458440|ref|WP_004329135.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458441|ref|WP_004329136.1|	hypothetical protein [Alistipes putredinis] 
gi|490458442|ref|WP_004329137.1|	hypothetical protein [Alistipes putredinis] 
gi|490458443|ref|WP_004329138.1|	rubrerythrin [Alistipes putredinis] 
gi|490458444|ref|WP_004329139.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458445|ref|WP_004329140.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458446|ref|WP_004329141.1|	hypothetical protein [Alistipes putredinis] 
gi|490458447|ref|WP_004329142.1|	excinuclease ABC subunit A [Alistipes putredinis] 
gi|490458448|ref|WP_004329143.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458449|ref|WP_004329144.1|	hypothetical protein [Alistipes putredinis] 
gi|490458450|ref|WP_004329145.1|	DNA-3-methyladenine glycosylase [Alistipes putredinis] 
gi|490458451|ref|WP_004329146.1|	MULTISPECIES: peptidylprolyl isomerase [Alistipes] 
gi|490458452|ref|WP_004329147.1|	hypothetical protein [Alistipes putredinis] 
gi|490458453|ref|WP_004329148.1|	MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Alistipes] 
gi|490458454|ref|WP_004329149.1|	hypothetical protein [Alistipes putredinis] 
gi|490458455|ref|WP_004329150.1|	DNA polymerase III subunit epsilon [Alistipes putredinis] 
gi|490458456|ref|WP_004329151.1|	hypothetical protein [Alistipes putredinis] 
gi|490458457|ref|WP_004329152.1|	aminoacyl-histidine dipeptidase [Alistipes putredinis] 
gi|490458458|ref|WP_004329153.1|	hypothetical protein [Alistipes putredinis] 
gi|490458459|ref|WP_004329154.1|	hypothetical protein [Alistipes putredinis] 
gi|490458460|ref|WP_004329155.1|	hypothetical protein [Alistipes putredinis] 
gi|490458461|ref|WP_004329156.1|	hypothetical protein [Alistipes putredinis] 
gi|490458462|ref|WP_004329157.1|	zinc ABC transporter ATP-binding protein [Alistipes putredinis] 
gi|490458463|ref|WP_004329158.1|	hypothetical protein [Alistipes putredinis] 
gi|490458464|ref|WP_004329159.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458465|ref|WP_004329160.1|	hypothetical protein [Alistipes putredinis] 
gi|490458466|ref|WP_004329161.1|	arginyl-tRNA synthetase [Alistipes putredinis] 
gi|490458467|ref|WP_004329162.1|	hypothetical protein [Alistipes putredinis] 
gi|490458468|ref|WP_004329163.1|	hypothetical protein [Alistipes putredinis] 
gi|490458469|ref|WP_004329164.1|	hypothetical protein [Alistipes putredinis] 
gi|490458470|ref|WP_004329165.1|	methylglyoxal synthase [Alistipes putredinis] 
gi|490458471|ref|WP_004329166.1|	pyrroline-5-carboxylate reductase [Alistipes putredinis] 
gi|490458472|ref|WP_004329167.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458473|ref|WP_004329168.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458474|ref|WP_004329169.1|	mechanosensitive ion channel protein [Alistipes putredinis] 
gi|490458475|ref|WP_004329170.1|	MULTISPECIES: phosphoserine phosphatase [Alistipes] 
gi|490458476|ref|WP_004329171.1|	hypothetical protein [Alistipes putredinis] 
gi|490458477|ref|WP_004329172.1|	hypothetical protein [Alistipes putredinis] 
gi|490458478|ref|WP_004329173.1|	hypothetical protein [Alistipes putredinis] 
gi|490458479|ref|WP_004329174.1|	ABC transporter ATPase [Alistipes putredinis] 
gi|490458480|ref|WP_004329175.1|	hypothetical protein [Alistipes putredinis] 
gi|490458481|ref|WP_004329176.1|	GTPase CgtA [Alistipes putredinis] 
gi|490458482|ref|WP_004329177.1|	alanine dehydrogenase [Alistipes putredinis] 
gi|490458483|ref|WP_004329178.1|	hypothetical protein [Alistipes putredinis] 
gi|490458485|ref|WP_004329180.1|	hypothetical protein [Alistipes putredinis] 
gi|490458488|ref|WP_004329181.1|	hypothetical protein [Alistipes putredinis] 
gi|490458489|ref|WP_004329182.1|	HIT family hydrolase [Alistipes putredinis] 
gi|490458490|ref|WP_004329183.1|	hypothetical protein [Alistipes putredinis] 
gi|490458491|ref|WP_004329184.1|	GTP pyrophosphokinase [Alistipes putredinis] 
gi|490458492|ref|WP_004329185.1|	MULTISPECIES: recombinase RecA [Alistipes] 
gi|490458493|ref|WP_004329186.1|	hypothetical protein [Alistipes putredinis] 
gi|490458494|ref|WP_004329187.1|	chromosomal replication initiation protein [Alistipes putredinis] 
gi|490458495|ref|WP_004329188.1|	phosphoglucomutase [Alistipes putredinis] 
gi|490458496|ref|WP_004329189.1|	hypothetical protein [Alistipes putredinis] 
gi|490458497|ref|WP_004329190.1|	hypothetical protein [Alistipes putredinis] 
gi|490458498|ref|WP_004329191.1|	hypothetical protein [Alistipes putredinis] 
gi|490458499|ref|WP_004329192.1|	pyrophosphatase [Alistipes putredinis] 
gi|490458500|ref|WP_004329193.1|	O-methyltransferase [Alistipes putredinis] 
gi|490458501|ref|WP_004329194.1|	hypothetical protein [Alistipes putredinis] 
gi|490458502|ref|WP_004329195.1|	excinuclease ABC subunit A [Alistipes putredinis] 
gi|490458503|ref|WP_004329196.1|	hypothetical protein [Alistipes putredinis] 
gi|490458504|ref|WP_004329197.1|	hypothetical protein [Alistipes putredinis] 
gi|490458505|ref|WP_004329198.1|	MULTISPECIES: dihydrodipicolinate reductase [Alistipes] 
gi|490458506|ref|WP_004329199.1|	aspartate ammonia-lyase [Alistipes putredinis] 
gi|490458507|ref|WP_004329200.1|	hypothetical protein [Alistipes putredinis] 
gi|490458508|ref|WP_004329201.1|	dihydrolipoyl dehydrogenase [Alistipes putredinis] 
gi|490458509|ref|WP_004329202.1|	peptidase C69 [Alistipes putredinis] 
gi|490458510|ref|WP_004329203.1|	hypothetical protein [Alistipes putredinis] 
gi|490458511|ref|WP_004329204.1|	RND transporter [Alistipes putredinis] 
gi|490458512|ref|WP_004329205.1|	acriflavin resistance protein [Alistipes putredinis] 
gi|490458513|ref|WP_004329206.1|	transporter [Alistipes putredinis] 
gi|490458514|ref|WP_004329207.1|	MULTISPECIES: L-cysteine desulfhydrase [Alistipes] 
gi|490458515|ref|WP_004329208.1|	MULTISPECIES: alanine racemase [Alistipes] 
gi|490458516|ref|WP_004329209.1|	hypothetical protein [Alistipes putredinis] 
gi|490458517|ref|WP_004329210.1|	metalloendopeptidase [Alistipes putredinis] 
gi|490458518|ref|WP_004329211.1|	hypothetical protein [Alistipes putredinis] 
gi|490458519|ref|WP_004329212.1|	D-alanine-D-alanine ligase [Alistipes putredinis] 
gi|490458520|ref|WP_004329213.1|	hypothetical protein [Alistipes putredinis] 
gi|490458521|ref|WP_004329214.1|	guanylate kinase [Alistipes putredinis] 
gi|490458522|ref|WP_004329215.1|	hypothetical protein [Alistipes putredinis] 
gi|490458523|ref|WP_004329216.1|	MULTISPECIES: MFS transporter [Alistipes] 
gi|490458524|ref|WP_004329217.1|	MULTISPECIES: 3-phosphoglycerate dehydrogenase [Alistipes] 
gi|490458525|ref|WP_004329218.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458526|ref|WP_004329219.1|	hypothetical protein [Alistipes putredinis] 
gi|490458527|ref|WP_004329220.1|	ferredoxin [Alistipes putredinis] 
gi|490458528|ref|WP_004329221.1|	2-ketoisovalerate ferredoxin reductase [Alistipes putredinis] 
gi|490458529|ref|WP_004329222.1|	MULTISPECIES: 2-oxoglutarate oxidoreductase [Alistipes] 
gi|490458530|ref|WP_004329223.1|	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [Alistipes putredinis] 
gi|490458531|ref|WP_004329224.1|	thioredoxin [Alistipes putredinis] 
gi|490458532|ref|WP_004329225.1|	hypothetical protein [Alistipes putredinis] 
gi|490458533|ref|WP_004329226.1|	hypothetical protein [Alistipes putredinis] 
gi|490458534|ref|WP_004329227.1|	hypothetical protein [Alistipes putredinis] 
gi|490458535|ref|WP_004329228.1|	methionyl-tRNA formyltransferase [Alistipes putredinis] 
gi|490458536|ref|WP_004329229.1|	3,4-dihydroxy-2-butanone 4-phosphate synthase [Alistipes putredinis] 
gi|490458537|ref|WP_004329230.1|	permease [Alistipes putredinis] 
gi|490458538|ref|WP_004329231.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458539|ref|WP_004329232.1|	hypothetical protein [Alistipes putredinis] 
gi|490458540|ref|WP_004329233.1|	hypothetical protein [Alistipes putredinis] 
gi|490458541|ref|WP_004329234.1|	hypothetical protein [Alistipes putredinis] 
gi|490458542|ref|WP_004329235.1|	Fe-S oxidoreductase [Alistipes putredinis] 
gi|490458543|ref|WP_004329236.1|	hypothetical protein [Alistipes putredinis] 
gi|490458544|ref|WP_004329237.1|	hypothetical protein [Alistipes putredinis] 
gi|490458545|ref|WP_004329238.1|	cation transporter [Alistipes putredinis] 
gi|490458546|ref|WP_004329239.1|	hypothetical protein [Alistipes putredinis] 
gi|490458547|ref|WP_004329240.1|	serine protease [Alistipes putredinis] 
gi|490458548|ref|WP_004329241.1|	hypothetical protein [Alistipes putredinis] 
gi|490458549|ref|WP_004329242.1|	hypothetical protein [Alistipes putredinis] 
gi|490458550|ref|WP_004329243.1|	hypothetical protein [Alistipes putredinis] 
gi|490458551|ref|WP_004329244.1|	hypothetical protein [Alistipes putredinis] 
gi|490458552|ref|WP_004329245.1|	MFS transporter [Alistipes putredinis] 
gi|490458554|ref|WP_004329246.1|	hypothetical protein [Alistipes putredinis] 
gi|490458555|ref|WP_004329247.1|	hypothetical protein [Alistipes putredinis] 
gi|490458556|ref|WP_004329248.1|	TonB-dependent receptor [Alistipes putredinis] 
gi|490458557|ref|WP_004329249.1|	hypothetical protein [Alistipes putredinis] 
gi|490458558|ref|WP_004329250.1|	hypothetical protein [Alistipes putredinis] 
gi|490458559|ref|WP_004329251.1|	multidrug transporter [Alistipes putredinis] 
gi|490458560|ref|WP_004329252.1|	multidrug transporter AcrB [Alistipes putredinis] 
gi|490458561|ref|WP_004329253.1|	hemolysin D [Alistipes putredinis] 
gi|490458563|ref|WP_004329254.1|	DNA-binding protein [Alistipes putredinis] 
gi|490458564|ref|WP_004329255.1|	hypothetical protein [Alistipes putredinis] 
gi|490458565|ref|WP_004329256.1|	transcriptional regulator [Alistipes putredinis] 
gi|490458566|ref|WP_004329257.1|	sensor histidine kinase [Alistipes putredinis] 
gi|490458567|ref|WP_004329258.1|	hypothetical protein [Alistipes putredinis] 
gi|490458568|ref|WP_004329259.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458569|ref|WP_004329260.1|	hypothetical protein [Alistipes putredinis] 
gi|490458570|ref|WP_004329261.1|	hypothetical protein [Alistipes putredinis] 
gi|490458571|ref|WP_004329262.1|	hypothetical protein [Alistipes putredinis] 
gi|490458572|ref|WP_004329263.1|	hypothetical protein [Alistipes putredinis] 
gi|490458573|ref|WP_004329264.1|	ABC transporter [Alistipes putredinis] 
gi|490458574|ref|WP_004329265.1|	2-nitropropane dioxygenase [Alistipes putredinis] 
gi|490458575|ref|WP_004329266.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit N [Alistipes] 
gi|490458576|ref|WP_004329267.1|	MULTISPECIES: NADH dehydrogenase subunit M [Alistipes] 
gi|490458577|ref|WP_004329268.1|	NADH dehydrogenase subunit L [Alistipes putredinis] 
gi|490458578|ref|WP_004329269.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit K [Alistipes] 
gi|490458579|ref|WP_004329270.1|	MULTISPECIES: NADH dehydrogenase subunit J [Alistipes] 
gi|490458580|ref|WP_004329271.1|	MULTISPECIES: NADH dehydrogenase subunit I [Alistipes] 
gi|490458581|ref|WP_004329272.1|	NADH:ubiquinone oxidoreductase subunit H [Alistipes putredinis] 
gi|490458582|ref|WP_004329273.1|	NADH-quinone oxidoreductase subunit C [Alistipes putredinis] 
gi|490458583|ref|WP_004329274.1|	NADH dehydrogenase subunit B [Alistipes putredinis] 
gi|490458584|ref|WP_004329275.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit A [Alistipes] 
gi|490458585|ref|WP_004329276.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458586|ref|WP_004329277.1|	transcriptional regulator [Alistipes putredinis] 
gi|490458587|ref|WP_004329278.1|	hypothetical protein [Alistipes putredinis] 
gi|490458588|ref|WP_004329279.1|	NADPH-dependent FMN reductase [Alistipes putredinis] 
gi|490458589|ref|WP_004329280.1|	hypothetical protein [Alistipes putredinis] 
gi|490458590|ref|WP_004329281.1|	hypothetical protein [Alistipes putredinis] 
gi|490458591|ref|WP_004329282.1|	hypothetical protein [Alistipes putredinis] 
gi|490458592|ref|WP_004329283.1|	hypothetical protein [Alistipes putredinis] 
gi|490458593|ref|WP_004329284.1|	ArsR family transcriptional regulator [Alistipes putredinis] 
gi|490458594|ref|WP_004329285.1|	GntR family transcriptional regulator [Alistipes putredinis] 
gi|490458595|ref|WP_004329286.1|	major facilitator transporter [Alistipes putredinis] 
gi|490458596|ref|WP_004329287.1|	hypothetical protein [Alistipes putredinis] 
gi|490458597|ref|WP_004329288.1|	hypothetical protein [Alistipes putredinis] 
gi|490458598|ref|WP_004329289.1|	hypothetical protein [Alistipes putredinis] 
gi|490458599|ref|WP_004329290.1|	hypothetical protein [Alistipes putredinis] 
gi|490458600|ref|WP_004329291.1|	hypothetical protein [Alistipes putredinis] 
gi|490458602|ref|WP_004329292.1|	hypothetical protein [Alistipes putredinis] 
gi|490458609|ref|WP_004329294.1|	hypothetical protein [Alistipes putredinis] 
gi|490458611|ref|WP_004329296.1|	hypothetical protein [Alistipes putredinis] 
gi|490458613|ref|WP_004329297.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458614|ref|WP_004329298.1|	MULTISPECIES: radical SAM protein [Bacteroidales] 
gi|490458615|ref|WP_004329299.1|	MULTISPECIES: radical SAM protein [Bacteroidales] 
gi|490458616|ref|WP_004329300.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458617|ref|WP_004329301.1|	hypothetical protein [Alistipes putredinis] 
gi|490458618|ref|WP_004329302.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|490458619|ref|WP_004329303.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458620|ref|WP_004329304.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|490458621|ref|WP_004329305.1|	MULTISPECIES: mobilization protein [Bacteroidales] 
gi|490458622|ref|WP_004329306.1|	MULTISPECIES: mobilization protein [Bacteroidales] 
gi|490458623|ref|WP_004329307.1|	MULTISPECIES: DNA primase [Bacteroidales] 
gi|490437056|ref|WP_004308094.1|	MULTISPECIES: maturase [Bacteroidales] 
gi|490458624|ref|WP_004329308.1|	hypothetical protein [Alistipes putredinis] 
gi|490458625|ref|WP_004329309.1|	hypothetical protein [Alistipes putredinis] 
gi|490458627|ref|WP_004329310.1|	hypothetical protein [Alistipes putredinis] 
gi|490458628|ref|WP_004329311.1|	transcriptional regulator [Alistipes putredinis] 
gi|490458629|ref|WP_004329312.1|	integrase [Alistipes putredinis] 
gi|490458630|ref|WP_004329313.1|	hypothetical protein [Alistipes putredinis] 
gi|490458631|ref|WP_004329314.1|	hypothetical protein [Alistipes putredinis] 
gi|490458632|ref|WP_004329315.1|	hypothetical protein [Alistipes putredinis] 
