gi|491500698|ref|WP_005358390.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491503687|ref|WP_005361360.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503688|ref|WP_005361361.1|	glucose-6-phosphate isomerase [Eubacterium ventriosum] 
gi|491503690|ref|WP_005361363.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503696|ref|WP_005361369.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503698|ref|WP_005361371.1|	S-adenosylhomocysteine nucleosidase [Eubacterium ventriosum] 
gi|491503700|ref|WP_005361373.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503702|ref|WP_005361375.1|	teichoic acid ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491503704|ref|WP_005361377.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503706|ref|WP_005361379.1|	glycosyl transferase [Eubacterium ventriosum] 
gi|491503707|ref|WP_005361380.1|	glycosyl transferase [Eubacterium ventriosum] 
gi|491503708|ref|WP_005361381.1|	glycerol-3-phosphate cytidylyltransferase [Eubacterium ventriosum] 
gi|491503709|ref|WP_005361382.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503710|ref|WP_005361383.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503711|ref|WP_005361384.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503712|ref|WP_005361385.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503713|ref|WP_005361386.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503714|ref|WP_005361387.1|	UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase [Eubacterium ventriosum] 
gi|491503716|ref|WP_005361389.1|	histidine triad (HIT) protein [Eubacterium ventriosum] 
gi|491503718|ref|WP_005361391.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503720|ref|WP_005361393.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503722|ref|WP_005361395.1|	ribonuclease III [Eubacterium ventriosum] 
gi|491503724|ref|WP_005361397.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503726|ref|WP_005361399.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503728|ref|WP_005361401.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503730|ref|WP_005361403.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503732|ref|WP_005361405.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503733|ref|WP_005361406.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503735|ref|WP_005361408.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503737|ref|WP_005361410.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503738|ref|WP_005361411.1|	glycosyl transferase [Eubacterium ventriosum] 
gi|491503740|ref|WP_005361413.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503741|ref|WP_005361414.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503743|ref|WP_005361416.1|	ribitol-5-phosphate dehydrogenase [Eubacterium ventriosum] 
gi|491503744|ref|WP_005361417.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Eubacterium ventriosum] 
gi|491503747|ref|WP_005361420.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503749|ref|WP_005361422.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503751|ref|WP_005361424.1|	cytochrome C552 [Eubacterium ventriosum] 
gi|491503753|ref|WP_005361426.1|	alanyl transferase [Eubacterium ventriosum] 
gi|491503755|ref|WP_005361428.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503757|ref|WP_005361430.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503762|ref|WP_005361435.1|	fructokinase [Eubacterium ventriosum] 
gi|491503765|ref|WP_005361438.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503767|ref|WP_005361440.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503770|ref|WP_005361443.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503772|ref|WP_005361445.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503774|ref|WP_005361447.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503777|ref|WP_005361450.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503780|ref|WP_005361453.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503782|ref|WP_005361455.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503785|ref|WP_005361458.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503788|ref|WP_005361461.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503791|ref|WP_005361464.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503793|ref|WP_005361465.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503795|ref|WP_005361467.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503798|ref|WP_005361470.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503799|ref|WP_005361471.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503800|ref|WP_005361472.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503806|ref|WP_005361478.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503807|ref|WP_005361479.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503809|ref|WP_005361481.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503811|ref|WP_005361483.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503813|ref|WP_005361485.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503815|ref|WP_005361487.1|	MULTISPECIES: hypothetical protein [Eubacterium] 
gi|491503817|ref|WP_005361489.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503818|ref|WP_005361490.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503820|ref|WP_005361492.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503822|ref|WP_005361494.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503823|ref|WP_005361495.1|	tRNA (guanine-N(7)-)-methyltransferase [Eubacterium ventriosum] 
gi|491503825|ref|WP_005361497.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503826|ref|WP_005361498.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503827|ref|WP_005361499.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503829|ref|WP_005361501.1|	ATPase [Eubacterium ventriosum] 
gi|491503831|ref|WP_005361503.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503833|ref|WP_005361505.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503834|ref|WP_005361506.1|	ATP synthase subunit A [Eubacterium ventriosum] 
gi|491503836|ref|WP_005361508.1|	V-type ATP synthase subunit B [Eubacterium ventriosum] 
gi|491503837|ref|WP_005361509.1|	ATPase [Eubacterium ventriosum] 
gi|491503838|ref|WP_005361510.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503839|ref|WP_005361511.1|	integrase [Eubacterium ventriosum] 
gi|491503841|ref|WP_005361513.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503843|ref|WP_005361515.1|	seryl-tRNA synthase [Eubacterium ventriosum] 
gi|491503845|ref|WP_005361517.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503847|ref|WP_005361519.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503848|ref|WP_005361520.1|	plasmid stablization protein ParB [Eubacterium ventriosum] 
gi|491503850|ref|WP_005361522.1|	sporulation initiation inhibitor Soj [Eubacterium ventriosum] 
gi|491503851|ref|WP_005361523.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503852|ref|WP_005361524.1|	16S rRNA methyltransferase [Eubacterium ventriosum] 
gi|491503853|ref|WP_005361525.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Eubacterium ventriosum] 
gi|491503854|ref|WP_005361526.1|	tRNA modification GTPase [Eubacterium ventriosum] 
gi|491503855|ref|WP_005361527.1|	DNA-binding protein [Eubacterium ventriosum] 
gi|491503856|ref|WP_005361528.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503862|ref|WP_005361534.1|	membrane protein insertion efficiency factor [Eubacterium ventriosum] 
gi|491503863|ref|WP_005361535.1|	ribonuclease P [Eubacterium ventriosum] 
gi|491503865|ref|WP_005361537.1|	50S ribosomal protein L34 [Eubacterium ventriosum] 
gi|491503866|ref|WP_005361538.1|	chromosomal replication initiator protein DnaA [Eubacterium ventriosum] 
gi|491503867|ref|WP_005361539.1|	DNA polymerase III subunit beta [Eubacterium ventriosum] 
gi|491503868|ref|WP_005361540.1|	RNA-binding protein [Eubacterium ventriosum] 
gi|491503869|ref|WP_005361541.1|	DNA replication protein RecF [Eubacterium ventriosum] 
gi|491503870|ref|WP_005361542.1|	DNA gyrase subunit B [Eubacterium ventriosum] 
gi|491503871|ref|WP_005361543.1|	DNA gyrase subunit A [Eubacterium ventriosum] 
gi|491503872|ref|WP_005361544.1|	fumarate hydratase [Eubacterium ventriosum] 
gi|491503873|ref|WP_005361545.1|	fumarate hydratase [Eubacterium ventriosum] 
gi|491503904|ref|WP_005361575.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491503910|ref|WP_005361581.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503915|ref|WP_005361586.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491503920|ref|WP_005361591.1|	integrase [Eubacterium ventriosum] 
gi|491503922|ref|WP_005361593.1|	transposase [Eubacterium ventriosum] 
gi|491503924|ref|WP_005361595.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503925|ref|WP_005361596.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503927|ref|WP_005361598.1|	DNA-binding protein [Eubacterium ventriosum] 
gi|491503930|ref|WP_005361601.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503932|ref|WP_005361603.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503934|ref|WP_005361605.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503936|ref|WP_005361607.1|	Fur family transcriptional regulator [Eubacterium ventriosum] 
gi|491503937|ref|WP_005361608.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503938|ref|WP_005361609.1|	dihydropyrimidine dehydrogenase subunit A [Eubacterium ventriosum] 
gi|491503940|ref|WP_005361611.1|	ferredoxin-NADP(+) reductase subunit alpha [Eubacterium ventriosum] 
gi|491503942|ref|WP_005361613.1|	adenylosuccinate synthetase [Eubacterium ventriosum] 
gi|491503947|ref|WP_005361618.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503948|ref|WP_005361619.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503950|ref|WP_005361621.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503951|ref|WP_005361622.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501814|ref|WP_005359497.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503954|ref|WP_005361625.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491503956|ref|WP_005361627.1|	DNA-binding protein [Eubacterium ventriosum] 
gi|491503957|ref|WP_005361628.1|	multidrug transporter MatE [Eubacterium ventriosum] 
gi|491503959|ref|WP_005361630.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491503960|ref|WP_005361631.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503962|ref|WP_005361633.1|	membrane protein [Eubacterium ventriosum] 
gi|491503964|ref|WP_005361635.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503966|ref|WP_005361637.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503969|ref|WP_005361640.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503971|ref|WP_005361642.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503973|ref|WP_005361644.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503975|ref|WP_005361646.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503976|ref|WP_005361647.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503978|ref|WP_005361649.1|	sortase [Eubacterium ventriosum] 
gi|491503981|ref|WP_005361652.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503982|ref|WP_005361653.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503984|ref|WP_005361655.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503985|ref|WP_005361656.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491503987|ref|WP_005361658.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504001|ref|WP_005361672.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491504003|ref|WP_005361674.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504006|ref|WP_005361677.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504008|ref|WP_005361679.1|	heme ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491504010|ref|WP_005361681.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504013|ref|WP_005361684.1|	prephenate dehydratase [Eubacterium ventriosum] 
gi|491504015|ref|WP_005361686.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Eubacterium ventriosum] 
gi|491504017|ref|WP_005361688.1|	dihydropteroate synthase [Eubacterium ventriosum] 
gi|491504020|ref|WP_005361690.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504022|ref|WP_005361692.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504024|ref|WP_005361694.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504025|ref|WP_005361695.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504031|ref|WP_005361701.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504033|ref|WP_005361703.1|	glutamyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491504034|ref|WP_005361704.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504035|ref|WP_005361705.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504036|ref|WP_005361706.1|	CRISPR-associated protein Cas2 [Eubacterium ventriosum] 
gi|491504037|ref|WP_005361707.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504038|ref|WP_005361708.1|	CRISPR-associated protein [Eubacterium ventriosum] 
gi|491504039|ref|WP_005361709.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504052|ref|WP_005361722.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504047|ref|WP_005361717.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504050|ref|WP_005361720.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502924|ref|WP_005360601.1|	transposase [Eubacterium ventriosum] 
gi|491504053|ref|WP_005361723.1|	membrane protein [Eubacterium ventriosum] 
gi|491504063|ref|WP_005361733.1|	histidinol-phosphate aminotransferase [Eubacterium ventriosum] 
gi|491504065|ref|WP_005361735.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504071|ref|WP_005361741.1|	phosphoglucosamine mutase [Eubacterium ventriosum] 
gi|491504073|ref|WP_005361743.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504075|ref|WP_005361745.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504076|ref|WP_005361746.1|	rRNA methyltransferase [Eubacterium ventriosum] 
gi|491504078|ref|WP_005361748.1|	hydroxylamine reductase [Eubacterium ventriosum] 
gi|491504079|ref|WP_005361749.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504089|ref|WP_005361759.1|	peptide chain release factor 1 [Eubacterium ventriosum] 
gi|491504091|ref|WP_005361761.1|	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase [Eubacterium ventriosum] 
gi|491504092|ref|WP_005361762.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504093|ref|WP_005361763.1|	50S ribosomal protein L31 [Eubacterium ventriosum] 
gi|491504098|ref|WP_005361768.1|	transcription termination factor Rho [Eubacterium ventriosum] 
gi|491504099|ref|WP_005361769.1|	malate dehydrogenase [Eubacterium ventriosum] 
gi|491504105|ref|WP_005361775.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504108|ref|WP_005361778.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504115|ref|WP_005361784.1|	glyoxalase [Eubacterium ventriosum] 
gi|491504116|ref|WP_005361785.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504117|ref|WP_005361786.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504118|ref|WP_005361787.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504120|ref|WP_005361789.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504121|ref|WP_005361790.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504123|ref|WP_005361792.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504124|ref|WP_005361793.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491504125|ref|WP_005361794.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504126|ref|WP_005361795.1|	imidazole glycerol phosphate synthase [Eubacterium ventriosum] 
gi|491504127|ref|WP_005361796.1|	imidazole glycerol phosphate synthase [Eubacterium ventriosum] 
gi|491504130|ref|WP_005361799.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504133|ref|WP_005361802.1|	uracil-DNA glycosylase [Eubacterium ventriosum] 
gi|491504135|ref|WP_005361804.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504138|ref|WP_005361807.1|	2-hydroxyglutaryl-CoA dehydratase [Eubacterium ventriosum] 
gi|491504141|ref|WP_005361810.1|	membrane protein [Eubacterium ventriosum] 
gi|491504142|ref|WP_005361811.1|	diaminopimelate decarboxylase [Eubacterium ventriosum] 
gi|491504146|ref|WP_005361815.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504149|ref|WP_005361818.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504152|ref|WP_005361821.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504155|ref|WP_005361824.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504158|ref|WP_005361827.1|	5,10-methylenetetrahydrofolate reductase [Eubacterium ventriosum] 
gi|491504160|ref|WP_005361829.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504162|ref|WP_005361830.1|	homocysteine methyltransferase [Eubacterium ventriosum] 
gi|491504163|ref|WP_005361831.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504168|ref|WP_005361836.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504169|ref|WP_005361837.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504170|ref|WP_005361838.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504171|ref|WP_005361839.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504172|ref|WP_005361840.1|	50S ribosomal protein L28 [Eubacterium ventriosum] 
gi|491504174|ref|WP_005361842.1|	NAD-dependent deacetylase [Eubacterium ventriosum] 
gi|491504176|ref|WP_005361844.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504178|ref|WP_005361846.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504180|ref|WP_005361848.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504182|ref|WP_005361850.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504186|ref|WP_005361854.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504191|ref|WP_005361859.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504189|ref|WP_005361857.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504192|ref|WP_005361860.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504193|ref|WP_005361861.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504195|ref|WP_005361863.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504197|ref|WP_005361865.1|	pilus biosynthesis protein [Eubacterium ventriosum] 
gi|491504199|ref|WP_005361867.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504201|ref|WP_005361869.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504204|ref|WP_005361872.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504205|ref|WP_005361873.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504206|ref|WP_005361874.1|	cytidine deaminase [Eubacterium ventriosum] 
gi|491504207|ref|WP_005361875.1|	uracil phosphoribosyltransferase [Eubacterium ventriosum] 
gi|491504208|ref|WP_005361876.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504210|ref|WP_005361878.1|	translation factor Sua5 [Eubacterium ventriosum] 
gi|491504212|ref|WP_005361880.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504215|ref|WP_005361883.1|	16S rRNA methyltransferase [Eubacterium ventriosum] 
gi|491504217|ref|WP_005361885.1|	hydrolase TatD [Eubacterium ventriosum] 
gi|491504219|ref|WP_005361887.1|	methionyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491504222|ref|WP_005361890.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504225|ref|WP_005361893.1|	DeoR family transcriptional regulator [Eubacterium ventriosum] 
gi|491504232|ref|WP_005361900.1|	phosphoenolpyruvate-protein phosphotransferase [Eubacterium ventriosum] 
gi|491504234|ref|WP_005361902.1|	PTS glucose transporter subunit IIABC [Eubacterium ventriosum] 
gi|491504236|ref|WP_005361904.1|	PTS sugar transporter [Eubacterium ventriosum] 
gi|491504240|ref|WP_005361907.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504242|ref|WP_005361909.1|	mannose-6-phosphate isomerase [Eubacterium ventriosum] 
gi|491504244|ref|WP_005361911.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504246|ref|WP_005361913.1|	spore maturation protein [Eubacterium ventriosum] 
gi|491504248|ref|WP_005361915.1|	sodium:proton antiporter [Eubacterium ventriosum] 
gi|491504249|ref|WP_005361916.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504251|ref|WP_005361918.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504253|ref|WP_005361920.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504255|ref|WP_005361922.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504257|ref|WP_005361924.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504259|ref|WP_005361926.1|	nucleoside recognition protein [Eubacterium ventriosum] 
gi|491504261|ref|WP_005361928.1|	PTS sugar transporter [Eubacterium ventriosum] 
gi|491504263|ref|WP_005361930.1|	methyltransferase [Eubacterium ventriosum] 
gi|491504265|ref|WP_005361932.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504267|ref|WP_005361934.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504270|ref|WP_005361937.1|	DNA polymerase III subunit delta [Eubacterium ventriosum] 
gi|491504271|ref|WP_005361938.1|	guanylate kinase [Eubacterium ventriosum] 
gi|491504272|ref|WP_005361939.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504273|ref|WP_005361940.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504274|ref|WP_005361941.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504275|ref|WP_005361942.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504276|ref|WP_005361943.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504277|ref|WP_005361944.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504281|ref|WP_005361948.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491504282|ref|WP_005361949.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504283|ref|WP_005361950.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504284|ref|WP_005361951.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504286|ref|WP_005361953.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504287|ref|WP_005361954.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504288|ref|WP_005361955.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504289|ref|WP_005361956.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504290|ref|WP_005361957.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504291|ref|WP_005361958.1|	30S ribosomal protein S6 [Eubacterium ventriosum] 
gi|491504292|ref|WP_005361959.1|	single-stranded DNA-binding protein [Eubacterium ventriosum] 
gi|491504293|ref|WP_005361960.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504295|ref|WP_005361962.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504297|ref|WP_005361964.1|	phenylacetate-CoA ligase [Eubacterium ventriosum] 
gi|491504299|ref|WP_005361966.1|	beta-glucosidase [Eubacterium ventriosum] 
gi|491504301|ref|WP_005361968.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504303|ref|WP_005361970.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504306|ref|WP_005361973.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504307|ref|WP_005361974.1|	hydratase [Eubacterium ventriosum] 
gi|491504309|ref|WP_005361976.1|	glycogen branching protein [Eubacterium ventriosum] 
gi|491504311|ref|WP_005361978.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504313|ref|WP_005361980.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504315|ref|WP_005361982.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504317|ref|WP_005361984.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504319|ref|WP_005361986.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504322|ref|WP_005361989.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504324|ref|WP_005361991.1|	DNA mismatch repair protein MutS [Eubacterium ventriosum] 
gi|491504326|ref|WP_005361993.1|	hydrolase [Eubacterium ventriosum] 
gi|491504328|ref|WP_005361995.1|	RNA methyltransferase [Eubacterium ventriosum] 
gi|491504330|ref|WP_005361997.1|	plasmid stablization protein ParB [Eubacterium ventriosum] 
gi|491504332|ref|WP_005361999.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504334|ref|WP_005362001.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504336|ref|WP_005362003.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504339|ref|WP_005362006.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504341|ref|WP_005362008.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504342|ref|WP_005362009.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504345|ref|WP_005362012.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504346|ref|WP_005362013.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504348|ref|WP_005362015.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504350|ref|WP_005362017.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504352|ref|WP_005362019.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504353|ref|WP_005362020.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504355|ref|WP_005362022.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504356|ref|WP_005362023.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504358|ref|WP_005362025.1|	topoisomerase [Eubacterium ventriosum] 
gi|491504360|ref|WP_005362027.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504362|ref|WP_005362029.1|	relaxase [Eubacterium ventriosum] 
gi|491504364|ref|WP_005362031.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504368|ref|WP_005362035.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504366|ref|WP_005362033.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504370|ref|WP_005362037.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504371|ref|WP_005362038.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491504372|ref|WP_005362039.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501608|ref|WP_005359293.1|	hypothetical protein [Eubacterium ventriosum] 
