gi|489924441|ref|WP_003827784.1|	peptide YY [Bifidobacterium breve] 
gi|489925970|ref|WP_003829309.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925971|ref|WP_003829310.1|	5,10-methylenetetrahydrofolate reductase [Bifidobacterium breve] 
gi|489925972|ref|WP_003829311.1|	choloylglycine hydrolase [Bifidobacterium breve] 
gi|489925973|ref|WP_003829312.1|	glutamine-synthetase adenylyltransferase [Bifidobacterium breve] 
gi|489925974|ref|WP_003829313.1|	aspartate carbamoyltransferase [Bifidobacterium breve] 
gi|489925975|ref|WP_003829314.1|	aspartate carbamoyltransferase [Bifidobacterium breve] 
gi|489925976|ref|WP_003829315.1|	dihydroorotase [Bifidobacterium breve] 
gi|489925977|ref|WP_003829316.1|	orotidine 5'-phosphate decarboxylase [Bifidobacterium breve] 
gi|489925978|ref|WP_003829317.1|	2-polyprenylphenol hydroxylase [Bifidobacterium breve] 
gi|489925979|ref|WP_003829318.1|	diguanylate cyclase [Bifidobacterium breve] 
gi|489925980|ref|WP_003829319.1|	orotate phosphoribosyltransferase [Bifidobacterium breve] 
gi|489925981|ref|WP_003829320.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925982|ref|WP_003829321.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925983|ref|WP_003829322.1|	LysR family transcriptional regulator [Bifidobacterium breve] 
gi|489925984|ref|WP_003829323.1|	HAD family hydrolase [Bifidobacterium breve] 
gi|489925985|ref|WP_003829324.1|	carbohydrate kinase [Bifidobacterium breve] 
gi|489925986|ref|WP_003829325.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925987|ref|WP_003829326.1|	ABC transporter [Bifidobacterium breve] 
gi|489925988|ref|WP_003829327.1|	short-chain dehydrogenase [Bifidobacterium breve] 
gi|489925989|ref|WP_003829328.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925990|ref|WP_003829329.1|	ATP binding protein of ABC transporter [Bifidobacterium breve] 
gi|489925991|ref|WP_003829330.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925992|ref|WP_003829331.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925993|ref|WP_003829332.1|	aspartate aminotransferase [Bifidobacterium breve] 
gi|489925994|ref|WP_003829333.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925995|ref|WP_003829334.1|	excinuclease ABC subunit A [Bifidobacterium breve] 
gi|489925996|ref|WP_003829335.1|	excinuclease ABC subunit C [Bifidobacterium breve] 
gi|489925997|ref|WP_003829336.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925998|ref|WP_003829337.1|	shikimate 5-dehydrogenase [Bifidobacterium breve] 
gi|489925999|ref|WP_003829338.1|	glmZ(sRNA)-inactivating NTPase [Bifidobacterium breve] 
gi|489926000|ref|WP_003829339.1|	sporulation protein [Bifidobacterium breve] 
gi|489926001|ref|WP_003829340.1|	phosphoglycerate kinase [Bifidobacterium breve] 
gi|489926002|ref|WP_003829341.1|	triosephosphate isomerase [Bifidobacterium breve] 
gi|489926003|ref|WP_003829342.1|	MULTISPECIES: preprotein translocase subunit SecG [Bifidobacterium] 
gi|489926004|ref|WP_003829343.1|	L-lactate dehydrogenase [Bifidobacterium breve] 
gi|489926005|ref|WP_003829344.1|	HAD family hydrolase [Bifidobacterium breve] 
gi|489926006|ref|WP_003829345.1|	aspartate aminotransferase [Bifidobacterium breve] 
gi|489926007|ref|WP_003829346.1|	membrane protein [Bifidobacterium breve] 
gi|489926008|ref|WP_003829347.1|	branched-chain amino acid transporter [Bifidobacterium breve] 
gi|489926009|ref|WP_003829348.1|	MULTISPECIES: transaldolase [Bifidobacterium] 
gi|489926010|ref|WP_003829349.1|	transketolase [Bifidobacterium breve] 
gi|489926011|ref|WP_003829350.1|	HrcA family transcriptional regulator [Bifidobacterium breve] 
gi|489926012|ref|WP_003829351.1|	molecular chaperone DnaJ [Bifidobacterium breve] 
gi|489926013|ref|WP_003829352.1|	fructosamine kinase [Bifidobacterium breve] 
gi|489926014|ref|WP_003829353.1|	UDP pyrophosphate phosphatase [Bifidobacterium breve] 
gi|489926015|ref|WP_003829354.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926016|ref|WP_003829355.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926017|ref|WP_003829356.1|	threonyl-tRNA synthetase [Bifidobacterium breve] 
gi|489926018|ref|WP_003829357.1|	HIT family hydrolase [Bifidobacterium breve] 
gi|489926019|ref|WP_003829358.1|	MULTISPECIES: transcriptional regulator [Bifidobacterium] 
gi|489926020|ref|WP_003829359.1|	Holliday junction resolvase [Bifidobacterium breve] 
gi|489926021|ref|WP_003829360.1|	Holliday junction DNA helicase RuvA [Bifidobacterium breve] 
gi|489926022|ref|WP_003829361.1|	Holliday junction DNA helicase RuvB [Bifidobacterium breve] 
gi|489926023|ref|WP_003829362.1|	preprotein translocase subunit YajC [Bifidobacterium breve] 
gi|489926024|ref|WP_003829363.1|	adenine phosphoribosyltransferase [Bifidobacterium breve] 
gi|489926025|ref|WP_003829364.1|	succinate--CoA ligase [Bifidobacterium breve] 
gi|489926026|ref|WP_003829365.1|	succinyl-CoA synthetase subunit alpha [Bifidobacterium breve] 
gi|489926027|ref|WP_003829366.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926028|ref|WP_003829367.1|	purine biosynthesis protein purH [Bifidobacterium breve] 
gi|489926029|ref|WP_003829368.1|	putative membrane channel protein [Bifidobacterium breve] 
gi|489926030|ref|WP_003829369.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926031|ref|WP_003829370.1|	ribosomal large subunit pseudouridine synthase B [Bifidobacterium breve] 
gi|489926032|ref|WP_003829371.1|	cytidylate kinase [Bifidobacterium breve] 
gi|489926033|ref|WP_003829372.1|	COF family hydrolase [Bifidobacterium breve] 
gi|489926034|ref|WP_003829373.1|	UTP--glucose-1-phosphate uridylyltransferase [Bifidobacterium breve] 
gi|489926035|ref|WP_003829374.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926036|ref|WP_003829375.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926037|ref|WP_003829376.1|	DEAD/DEAH box helicase [Bifidobacterium breve] 
gi|489926038|ref|WP_003829377.1|	membrane protein [Bifidobacterium breve] 
gi|489926039|ref|WP_003829378.1|	haloacid dehalogenase [Bifidobacterium breve] 
gi|489926040|ref|WP_003829379.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926041|ref|WP_003829380.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926042|ref|WP_003829381.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489926043|ref|WP_003829382.1|	signal peptide protein [Bifidobacterium breve] 
gi|489926044|ref|WP_003829383.1|	membrane protein [Bifidobacterium breve] 
gi|489926045|ref|WP_003829384.1|	membrane protein [Bifidobacterium breve] 
gi|489926046|ref|WP_003829385.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926047|ref|WP_003829386.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926048|ref|WP_003829387.1|	phosphatidylglycerophosphate synthase [Bifidobacterium breve] 
gi|489926049|ref|WP_003829388.1|	ATP phosphoribosyltransferase [Bifidobacterium breve] 
gi|489926050|ref|WP_003829389.1|	phosphoribosyl-ATP pyrophosphatase [Bifidobacterium breve] 
gi|489926051|ref|WP_003829390.1|	ribulose-phosphate 3-epimerase [Bifidobacterium breve] 
gi|489926052|ref|WP_003829391.1|	prolipoprotein diacylglyceryl transferase [Bifidobacterium breve] 
gi|489926053|ref|WP_003829392.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926054|ref|WP_003829393.1|	tryptophan synthase subunit alpha [Bifidobacterium breve] 
gi|489926055|ref|WP_003829394.1|	tryptophan synthase beta subunit [Bifidobacterium breve] 
gi|489926056|ref|WP_003829395.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926057|ref|WP_003829396.1|	endonuclease IV [Bifidobacterium breve] 
gi|489926058|ref|WP_003829397.1|	amino acid transporter [Bifidobacterium breve] 
gi|489926059|ref|WP_003829398.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926060|ref|WP_003829399.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926061|ref|WP_003829400.1|	teicoplanin resistance protein VanZ [Bifidobacterium breve] 
gi|489926062|ref|WP_003829401.1|	aminotransferase class V [Bifidobacterium breve] 
gi|489926063|ref|WP_003829402.1|	MULTISPECIES: GNAT family acetyltransferase [Bifidobacterium] 
gi|489926064|ref|WP_003829403.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489926065|ref|WP_003829404.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926066|ref|WP_003829405.1|	MULTISPECIES: DNA-binding protein [Bifidobacterium] 
gi|489926067|ref|WP_003829406.1|	MULTISPECIES: lipoprotein B [Bifidobacterium] 
gi|489926068|ref|WP_003829407.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926069|ref|WP_003829408.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926070|ref|WP_003829409.1|	histidine kinase [Bifidobacterium breve] 
gi|489926071|ref|WP_003829410.1|	MULTISPECIES: LuxR family transcriptional regulator [Bifidobacterium] 
gi|489926072|ref|WP_003829411.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926073|ref|WP_003829412.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926074|ref|WP_003829413.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bifidobacterium] 
gi|489926075|ref|WP_003829414.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926076|ref|WP_003829415.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926077|ref|WP_003829416.1|	DNA-damage-inducible protein J [Bifidobacterium breve] 
gi|489926078|ref|WP_003829417.1|	translation repressor RelE [Bifidobacterium breve] 
gi|489926079|ref|WP_003829418.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926080|ref|WP_003829419.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926081|ref|WP_003829420.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926082|ref|WP_003829421.1|	RNA polymerase sigma24 factor [Bifidobacterium breve] 
gi|489926083|ref|WP_003829422.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926084|ref|WP_003829423.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926085|ref|WP_003829424.1|	murein hydrolase transporter LrgB [Bifidobacterium breve] 
gi|489926086|ref|WP_003829425.1|	MULTISPECIES: ABC transporter [Bifidobacterium] 
gi|489926087|ref|WP_003829426.1|	MULTISPECIES: superoxide dismutase [Bifidobacterium] 
gi|489926088|ref|WP_003829427.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489926089|ref|WP_003829428.1|	permease [Bifidobacterium breve] 
gi|489926090|ref|WP_003829429.1|	cytochrome C oxidase subunit IV [Bifidobacterium breve] 
gi|489926091|ref|WP_003829430.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926092|ref|WP_003829431.1|	MULTISPECIES: ABC transporter [Bifidobacterium] 
gi|489926093|ref|WP_003829432.1|	IS1603 transposase [Bifidobacterium breve] 
gi|489926094|ref|WP_003829433.1|	integrase [Bifidobacterium breve] 
gi|489926095|ref|WP_003829434.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926096|ref|WP_003829435.1|	LuxR family transcriptional regulator [Bifidobacterium breve] 
gi|489926097|ref|WP_003829436.1|	histidine kinase [Bifidobacterium breve] 
gi|489926098|ref|WP_003829437.1|	cytochrome C oxidase subunit IV [Bifidobacterium breve] 
gi|489926099|ref|WP_003829438.1|	ABC transporter [Bifidobacterium breve] 
gi|489926100|ref|WP_003829439.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926101|ref|WP_003829440.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489926102|ref|WP_003829441.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926103|ref|WP_003829442.1|	MULTISPECIES: MerR family transcriptional regulator [Bifidobacterium] 
gi|489926104|ref|WP_003829443.1|	putative MerR-type transcriptional regulator [Bifidobacterium breve] 
gi|489926105|ref|WP_003829444.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926106|ref|WP_003829445.1|	XRE family transcriptional regulator [Bifidobacterium breve] 
gi|489926107|ref|WP_003829446.1|	MULTISPECIES: toxin HipA [Bifidobacterium] 
gi|489926108|ref|WP_003829447.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926109|ref|WP_003829448.1|	hypothetical membrane protein with putative transport function [Bifidobacterium breve] 
gi|489926110|ref|WP_003829449.1|	hypothetical membrane protein with putative transport function [Bifidobacterium breve] 
gi|489926111|ref|WP_003829450.1|	amino acid transporter [Bifidobacterium breve] 
gi|489926112|ref|WP_003829451.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926115|ref|WP_003829454.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926117|ref|WP_003829456.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926121|ref|WP_003829459.1|	uroporphyrin-III C-methyltransferase [Bifidobacterium breve] 
gi|489926124|ref|WP_003829462.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926127|ref|WP_003829465.1|	membrane protein [Bifidobacterium breve] 
gi|489926128|ref|WP_003829466.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926130|ref|WP_003829468.1|	anthranilate synthase subunit I [Bifidobacterium breve] 
gi|489926132|ref|WP_003829470.1|	phosphoribosyl-AMP cyclohydrolase [Bifidobacterium breve] 
gi|489926134|ref|WP_003829472.1|	imidazole glycerol phosphate synthase [Bifidobacterium breve] 
gi|489926135|ref|WP_003829473.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926137|ref|WP_003829475.1|	4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein [Bifidobacterium breve] 
gi|489926139|ref|WP_003829477.1|	50S rRNA methyltransferase [Bifidobacterium breve] 
gi|489926140|ref|WP_003829478.1|	CDP-diglyceride synthetase [Bifidobacterium breve] 
gi|489926141|ref|WP_003829479.1|	ribosome recycling factor [Bifidobacterium breve] 
gi|489926143|ref|WP_003829481.1|	uridylate kinase [Bifidobacterium breve] 
gi|489926144|ref|WP_003829482.1|	elongation factor Ts [Bifidobacterium breve] 
gi|489926151|ref|WP_003829489.1|	30S ribosomal protein S2 [Bifidobacterium breve] 
gi|489926152|ref|WP_003829490.1|	peptide deformylase [Bifidobacterium breve] 
gi|489926153|ref|WP_003829491.1|	AMP-binding protein [Bifidobacterium breve] 
gi|489926154|ref|WP_003829492.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926157|ref|WP_003829495.1|	inosine 5'-monophosphate dehydrogenase [Bifidobacterium breve] 
gi|489926159|ref|WP_003829497.1|	isocitrate dehydrogenase [Bifidobacterium breve] 
gi|489926161|ref|WP_003829499.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926163|ref|WP_003829501.1|	peptidase M23 [Bifidobacterium breve] 
gi|489926164|ref|WP_003829502.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926166|ref|WP_003829504.1|	toxin HipA [Bifidobacterium breve] 
gi|489926167|ref|WP_003829505.1|	cell division protein Fic [Bifidobacterium breve] 
gi|489926170|ref|WP_003829508.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926174|ref|WP_003829512.1|	MULTISPECIES: bacitracin ABC transporter ATP-binding protein [Bifidobacterium] 
gi|489926176|ref|WP_003829514.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489926178|ref|WP_003829516.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489926180|ref|WP_003829518.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926181|ref|WP_003829519.1|	taste receptor type 2 member 4 [Bifidobacterium breve] 
gi|489926183|ref|WP_003829521.1|	histidine kinase [Bifidobacterium breve] 
gi|489926184|ref|WP_003829522.1|	LuxR family transcriptional regulator [Bifidobacterium breve] 
gi|489926186|ref|WP_003829524.1|	O-sialoglycoprotein endopeptidase [Bifidobacterium breve] 
gi|489926187|ref|WP_003829525.1|	alanine acetyltransferase [Bifidobacterium breve] 
gi|489926189|ref|WP_003829527.1|	peptidase M22 [Bifidobacterium breve] 
gi|489926192|ref|WP_003829530.1|	ATPase [Bifidobacterium breve] 
gi|489926193|ref|WP_003829531.1|	DNA polymerase III subunit delta [Bifidobacterium breve] 
gi|489926195|ref|WP_003829533.1|	competence protein [Bifidobacterium breve] 
gi|489926197|ref|WP_003829535.1|	competence protein ComEA [Bifidobacterium breve] 
gi|489926199|ref|WP_003829537.1|	leucyl-tRNA synthetase [Bifidobacterium breve] 
gi|489926201|ref|WP_003829539.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926202|ref|WP_003829540.1|	magnesium transporter [Bifidobacterium breve] 
gi|489926203|ref|WP_003829541.1|	phosphoglycerate mutase [Bifidobacterium breve] 
gi|489926204|ref|WP_003829542.1|	DNA methyltransferase [Bifidobacterium breve] 
gi|489926205|ref|WP_003829543.1|	flavin-nucleotide-binding protein [Bifidobacterium breve] 
gi|489926206|ref|WP_003829544.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926207|ref|WP_003829545.1|	transporter [Bifidobacterium breve] 
gi|489926208|ref|WP_003829546.1|	nitroreductase [Bifidobacterium breve] 
gi|489926209|ref|WP_003829547.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926210|ref|WP_003829548.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926211|ref|WP_003829549.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926212|ref|WP_003829550.1|	MULTISPECIES: glycosyl hydrolase [Bifidobacterium] 
gi|489926213|ref|WP_003829551.1|	N-acyl-D-glucosamine 2-epimerase [Bifidobacterium breve] 
gi|489926214|ref|WP_003829552.1|	transposase [Bifidobacterium breve] 
gi|489926215|ref|WP_003829553.1|	transposase [Bifidobacterium breve] 
gi|489926216|ref|WP_003829554.1|	LacI family transcriptional regulator [Bifidobacterium breve] 
gi|489926217|ref|WP_003829555.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926218|ref|WP_003829556.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926219|ref|WP_003829557.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926220|ref|WP_003829558.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926221|ref|WP_003829559.1|	alpha-mannosidase [Bifidobacterium breve] 
gi|489926222|ref|WP_003829560.1|	alpha-mannosidase [Bifidobacterium breve] 
gi|489926223|ref|WP_003829561.1|	D-tyrosyl-tRNA(Tyr) deacylase [Bifidobacterium breve] 
gi|489926224|ref|WP_003829562.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926225|ref|WP_003829563.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926226|ref|WP_003829564.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489926242|ref|WP_003829580.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926244|ref|WP_003829582.1|	membrane protein [Bifidobacterium breve] 
gi|489926247|ref|WP_003829585.1|	ABC transporter [Bifidobacterium breve] 
gi|489926249|ref|WP_003829587.1|	NADPH-flavin oxidoreductase [Bifidobacterium breve] 
gi|489926251|ref|WP_003829589.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926253|ref|WP_003829591.1|	histidine phosphatase [Bifidobacterium breve] 
gi|489926254|ref|WP_003829592.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926256|ref|WP_003829594.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926259|ref|WP_003829597.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489926261|ref|WP_003829599.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926264|ref|WP_003829602.1|	sugar ABC transporter permease [Bifidobacterium breve] 
gi|489926266|ref|WP_003829604.1|	beta-carotene 15,15-monooxygenase [Bifidobacterium breve] 
gi|489926268|ref|WP_003829606.1|	amino acid permease [Bifidobacterium breve] 
gi|489926269|ref|WP_003829607.1|	macrolide ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926270|ref|WP_003829608.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926272|ref|WP_003829610.1|	amino acid transporter [Bifidobacterium breve] 
gi|489926273|ref|WP_003829611.1|	putative secreted protein [Bifidobacterium breve] 
gi|489926275|ref|WP_003829613.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926276|ref|WP_003829614.1|	MarR family transcriptional regulator [Bifidobacterium breve] 
gi|489926277|ref|WP_003829615.1|	multidrug ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926279|ref|WP_003829617.1|	ABC transporter [Bifidobacterium breve] 
gi|489926281|ref|WP_003829619.1|	thiamine biosynthesis lipoprotein ApbE [Bifidobacterium breve] 
gi|489926282|ref|WP_003829620.1|	sodium:solute symporter [Bifidobacterium breve] 
gi|489926284|ref|WP_003829622.1|	S-adenosylmethionine-dependent methyltransferase [Bifidobacterium breve] 
gi|489926285|ref|WP_003829623.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926286|ref|WP_003829624.1|	ABC-type transport system permease protein 2 [Bifidobacterium breve] 
gi|489926287|ref|WP_003829625.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926288|ref|WP_003829626.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926289|ref|WP_003829627.1|	methionyl-tRNA synthetase [Bifidobacterium breve] 
gi|489926290|ref|WP_003829628.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926291|ref|WP_003829629.1|	aminopeptidase [Bifidobacterium breve] 
gi|489926292|ref|WP_003829630.1|	putative ABC-type dipeptide/oligopeptide transport system [Bifidobacterium breve] 
gi|489926293|ref|WP_003829631.1|	putative extracellular solute-binding dependent transport lipoprotein [Bifidobacterium breve] 
gi|489926294|ref|WP_003829632.1|	ubiquinone biosynthesis protein UbiE [Bifidobacterium breve] 
gi|489926295|ref|WP_003829633.1|	endo-1,4-beta-xylanase [Bifidobacterium breve] 
gi|489926296|ref|WP_003829634.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926297|ref|WP_003829635.1|	ATPase [Bifidobacterium breve] 
gi|489926298|ref|WP_003829636.1|	acetyltransferase [Bifidobacterium breve] 
gi|489926299|ref|WP_003829637.1|	multidrug ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926300|ref|WP_003829638.1|	multidrug ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926301|ref|WP_003829639.1|	TatD family hydrolase [Bifidobacterium breve] 
gi|489926302|ref|WP_003829640.1|	potassium transporter Kup [Bifidobacterium breve] 
gi|489926303|ref|WP_003829641.1|	glutamine amidotransferase [Bifidobacterium breve] 
gi|489926304|ref|WP_003829642.1|	phosphohydrolase [Bifidobacterium breve] 
gi|489926305|ref|WP_003829643.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926306|ref|WP_003829644.1|	peptide ABC transporter permease [Bifidobacterium breve] 
gi|489926307|ref|WP_003829645.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489926308|ref|WP_003829646.1|	glycosyl hydrolase family 25 [Bifidobacterium breve] 
gi|489926309|ref|WP_003829647.1|	peptidase [Bifidobacterium breve] 
gi|489926310|ref|WP_003829648.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926311|ref|WP_003829649.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489926312|ref|WP_003829650.1|	membrane protein [Bifidobacterium breve] 
gi|489926313|ref|WP_003829651.1|	dTDP-glucose 4,6-dehydratase [Bifidobacterium breve] 
gi|489926314|ref|WP_003829652.1|	dTDP-4-keto-L-rhamnose reductase and dTDP-4-keto-6-deoxyglucose-3,5-epimerase [Bifidobacterium breve] 
gi|489926315|ref|WP_003829653.1|	glucose-1-phosphate thymidylyltransferase [Bifidobacterium breve] 
gi|489926318|ref|WP_003829655.1|	MULTISPECIES: glycosyl transferase family 9 [Bifidobacterium] 
gi|489926319|ref|WP_003829656.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926320|ref|WP_003829657.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489926321|ref|WP_003829658.1|	arylsulfatase [Bifidobacterium breve] 
gi|489926322|ref|WP_003829659.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926323|ref|WP_003829660.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489926324|ref|WP_003829661.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926325|ref|WP_003829662.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926326|ref|WP_003829663.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926327|ref|WP_003829664.1|	ROK family transcriptional regulator [Bifidobacterium breve] 
gi|489926328|ref|WP_003829665.1|	xylulokinase [Bifidobacterium breve] 
gi|489926329|ref|WP_003829666.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926330|ref|WP_003829667.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489926331|ref|WP_003829668.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926332|ref|WP_003829669.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926333|ref|WP_003829670.1|	silent information regulator protein Sir2 [Bifidobacterium breve] 
gi|489926334|ref|WP_003829671.1|	transposase [Bifidobacterium breve] 
gi|489926335|ref|WP_003829672.1|	hypothetical protein partial [Bifidobacterium breve] 
gi|489926336|ref|WP_003829673.1|	integrase catalytic domain protein partial [Bifidobacterium breve] 
gi|489926337|ref|WP_003829674.1|	hypothetical protein partial [Bifidobacterium breve] 
gi|489926338|ref|WP_003829675.1|	hypothetical protein partial [Bifidobacterium breve] 
gi|489926339|ref|WP_003829676.1|	aminotransferase DegT/DnrJ/EryC1/StrS family [Bifidobacterium breve] 
gi|489926340|ref|WP_003829677.1|	toxin-antitoxin system antitoxin component MerR family [Bifidobacterium breve] 
gi|489926341|ref|WP_003829678.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926342|ref|WP_003829679.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926343|ref|WP_003829680.1|	UDP-galactopyranose mutase [Bifidobacterium breve] 
gi|489926344|ref|WP_003829681.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926345|ref|WP_003829682.1|	membrane protein [Bifidobacterium breve] 
gi|489926346|ref|WP_003829683.1|	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [Bifidobacterium breve] 
gi|489926347|ref|WP_003829684.1|	transporter [Bifidobacterium breve] 
gi|489926348|ref|WP_003829685.1|	protein disaggregation chaperone [Bifidobacterium breve] 
gi|489926349|ref|WP_003829686.1|	glutamyl-Q tRNA(Asp) ligase [Bifidobacterium breve] 
gi|489926350|ref|WP_003829687.1|	glycerophosphodiester phosphodiesterase [Bifidobacterium breve] 
gi|489926351|ref|WP_003829688.1|	50S rRNA methyltransferase [Bifidobacterium breve] 
gi|489926352|ref|WP_003829689.1|	uracil phosphoribosyltransferase [Bifidobacterium breve] 
gi|489926353|ref|WP_003829690.1|	LacI family transcriptional regulator [Bifidobacterium breve] 
gi|489926355|ref|WP_003829692.1|	sugar ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489926357|ref|WP_003829694.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926359|ref|WP_003829696.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489926360|ref|WP_003829697.1|	amylo-alpha-1,6-glucosidase [Bifidobacterium breve] 
gi|489926362|ref|WP_003829699.1|	tyrosine kinase [Bifidobacterium breve] 
gi|489926365|ref|WP_003829702.1|	hypothetical protein [Bifidobacterium breve] 
gi|489926367|ref|WP_003829704.1|	NTP pyrophosphohydrolase [Bifidobacterium breve] 
gi|489926369|ref|WP_003829706.1|	polyphosphate kinase [Bifidobacterium breve] 
