gi|489622579|ref|WP_003527019.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489626175|ref|WP_003530615.1|	polyphosphate kinase [[Clostridium] leptum] 
gi|489626176|ref|WP_003530616.1|	MULTISPECIES: 6-phosphofructokinase [Clostridiales] 
gi|489626177|ref|WP_003530617.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|489626178|ref|WP_003530618.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|489626179|ref|WP_003530619.1|	sugar ABC transporter substrate-binding protein [[Clostridium] leptum] 
gi|489626180|ref|WP_003530620.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626181|ref|WP_003530621.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626182|ref|WP_003530622.1|	MULTISPECIES: tRNA (guanine-N(7)-)-methyltransferase [Clostridiales] 
gi|489626184|ref|WP_003530624.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626186|ref|WP_003530626.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626188|ref|WP_003530628.1|	PhoP family transcriptional regulator [[Clostridium] leptum] 
gi|489626190|ref|WP_003530630.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626192|ref|WP_003530632.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626194|ref|WP_003530634.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626196|ref|WP_003530636.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626198|ref|WP_003530638.1|	protein RecA [[Clostridium] leptum] 
gi|489626199|ref|WP_003530639.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626200|ref|WP_003530640.1|	ribosomal protein S12 methylthiotransferase [[Clostridium] leptum] 
gi|489626201|ref|WP_003530641.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [[Clostridium] leptum] 
gi|489626202|ref|WP_003530642.1|	serine O-acetyltransferase [[Clostridium] leptum] 
gi|489626203|ref|WP_003530643.1|	cysteinyl-tRNA synthetase [[Clostridium] leptum] 
gi|489626204|ref|WP_003530644.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626205|ref|WP_003530645.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626206|ref|WP_003530646.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626207|ref|WP_003530647.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626208|ref|WP_003530648.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626210|ref|WP_003530650.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626212|ref|WP_003530652.1|	histidine kinase [[Clostridium] leptum] 
gi|489626215|ref|WP_003530655.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|489626217|ref|WP_003530657.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626218|ref|WP_003530658.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626220|ref|WP_003530660.1|	potassium-transporting ATPase subunit A [[Clostridium] leptum] 
gi|489626228|ref|WP_003530668.1|	potassium-transporting ATPase subunit B [[Clostridium] leptum] 
gi|489626231|ref|WP_003530671.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626232|ref|WP_003530672.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626233|ref|WP_003530673.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626237|ref|WP_003530677.1|	dihydrodipicolinate synthase [[Clostridium] leptum] 
gi|489626239|ref|WP_003530679.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626241|ref|WP_003530681.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626243|ref|WP_003530683.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626245|ref|WP_003530685.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626247|ref|WP_003530687.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626249|ref|WP_003530689.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626251|ref|WP_003530691.1|	nicotinate phosphoribosyltransferase [[Clostridium] leptum] 
gi|489626253|ref|WP_003530693.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626255|ref|WP_003530695.1|	dinitrogenase iron-molybdenum cofactor biosynthesis protein [[Clostridium] leptum] 
gi|489626257|ref|WP_003530697.1|	thiol-disulfide isomerase [[Clostridium] leptum] 
gi|489626259|ref|WP_003530699.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626261|ref|WP_003530701.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626263|ref|WP_003530703.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626264|ref|WP_003530704.1|	Crp/Fnr family transcriptional regulator [[Clostridium] leptum] 
gi|489626266|ref|WP_003530706.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626268|ref|WP_003530708.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626271|ref|WP_003530711.1|	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase [[Clostridium] leptum] 
gi|489626273|ref|WP_003530713.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626275|ref|WP_003530715.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626277|ref|WP_003530717.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626279|ref|WP_003530719.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626281|ref|WP_003530721.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626283|ref|WP_003530723.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626285|ref|WP_003530725.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626287|ref|WP_003530727.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626289|ref|WP_003530729.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626290|ref|WP_003530730.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626292|ref|WP_003530732.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626295|ref|WP_003530735.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626296|ref|WP_003530736.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626298|ref|WP_003530738.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626300|ref|WP_003530740.1|	MULTISPECIES: orotate phosphoribosyltransferase [Clostridiales] 
gi|489626302|ref|WP_003530742.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626304|ref|WP_003530744.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626306|ref|WP_003530746.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626308|ref|WP_003530748.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626310|ref|WP_003530750.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626312|ref|WP_003530752.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626314|ref|WP_003530754.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626316|ref|WP_003530756.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626318|ref|WP_003530758.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626320|ref|WP_003530760.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626322|ref|WP_003530762.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626323|ref|WP_003530763.1|	alginate regulatory protein [[Clostridium] leptum] 
gi|489626324|ref|WP_003530764.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626325|ref|WP_003530765.1|	proline:sodium symporter [[Clostridium] leptum] 
gi|489626327|ref|WP_003530767.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626330|ref|WP_003530770.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626332|ref|WP_003530772.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626334|ref|WP_003530774.1|	MULTISPECIES: ferredoxin [Clostridiales] 
gi|489626336|ref|WP_003530776.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626338|ref|WP_003530778.1|	MULTISPECIES: anaerobic ribonucleoside-triphosphate reductase [Clostridiales] 
gi|489626340|ref|WP_003530780.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626341|ref|WP_003530781.1|	glycosyl transferase [[Clostridium] leptum] 
gi|489626342|ref|WP_003530782.1|	transporter [[Clostridium] leptum] 
gi|489626343|ref|WP_003530783.1|	NUDIX hydrolase [[Clostridium] leptum] 
gi|489626344|ref|WP_003530784.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626345|ref|WP_003530785.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626346|ref|WP_003530786.1|	MULTISPECIES: cupin [Clostridiales] 
gi|489626347|ref|WP_003530787.1|	potassium transporter Trk [[Clostridium] leptum] 
gi|489626348|ref|WP_003530788.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626349|ref|WP_003530789.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626350|ref|WP_003530790.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626351|ref|WP_003530791.1|	MULTISPECIES: co-chaperonin GroES [Clostridiales] 
gi|489626353|ref|WP_003530793.1|	MULTISPECIES: molecular chaperone GroEL [Clostridiales] 
gi|489626355|ref|WP_003530795.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626357|ref|WP_003530797.1|	MULTISPECIES: peptidase [Clostridiales] 
gi|489626359|ref|WP_003530799.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626361|ref|WP_003530801.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626363|ref|WP_003530803.1|	N5-carboxyaminoimidazole ribonucleotide mutase [[Clostridium] leptum] 
gi|489626365|ref|WP_003530805.1|	amidophosphoribosyltransferase [[Clostridium] leptum] 
gi|489626367|ref|WP_003530807.1|	phosphoribosylaminoimidazole synthetase [[Clostridium] leptum] 
gi|489626368|ref|WP_003530808.1|	MULTISPECIES: phosphoribosylglycinamide formyltransferase [Clostridiales] 
gi|489626370|ref|WP_003530810.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626372|ref|WP_003530812.1|	inosine monophosphate cyclohydrolase [[Clostridium] leptum] 
gi|489626374|ref|WP_003530814.1|	MULTISPECIES: 5-aminoimidazole-4-carboxamide ribonucleotide transformylase [Clostridiales] 
gi|489626375|ref|WP_003530815.1|	phosphoribosylamine--glycine ligase [[Clostridium] leptum] 
gi|489626377|ref|WP_003530817.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626379|ref|WP_003530819.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626381|ref|WP_003530821.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626382|ref|WP_003530822.1|	phenylalanyl-tRNA synthetase [[Clostridium] leptum] 
gi|489626384|ref|WP_003530824.1|	phenylalanyl-tRNA synthetase subunit alpha [[Clostridium] leptum] 
gi|489626387|ref|WP_003530827.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626389|ref|WP_003530829.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626391|ref|WP_003530831.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626408|ref|WP_003530848.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626410|ref|WP_003530850.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626412|ref|WP_003530852.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626413|ref|WP_003530853.1|	growth inhibitor PemK [[Clostridium] leptum] 
gi|489626415|ref|WP_003530855.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626416|ref|WP_003530856.1|	RNA polymerase sigma 70 [[Clostridium] leptum] 
gi|489626418|ref|WP_003530858.1|	phenylacetate--CoA ligase [[Clostridium] leptum] 
gi|489626420|ref|WP_003530860.1|	MULTISPECIES: pyruvate ferredoxin oxidoreductase [Clostridiales] 
gi|489626422|ref|WP_003530862.1|	indolepyruvate oxidoreductase [[Clostridium] leptum] 
gi|489626424|ref|WP_003530864.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626427|ref|WP_003530867.1|	MULTISPECIES: sporulation protein [Clostridiales] 
gi|489626428|ref|WP_003530868.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626430|ref|WP_003530870.1|	MULTISPECIES: 30S ribosomal protein S2 [Clostridiales] 
gi|489626432|ref|WP_003530872.1|	elongation factor Ts [[Clostridium] leptum] 
gi|489626434|ref|WP_003530874.1|	3-oxoacyl-ACP reductase [[Clostridium] leptum] 
gi|489626454|ref|WP_003530894.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626455|ref|WP_003530895.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626457|ref|WP_003530897.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626459|ref|WP_003530899.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626461|ref|WP_003530901.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626463|ref|WP_003530903.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626471|ref|WP_003530911.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626472|ref|WP_003530912.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626473|ref|WP_003530913.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489626474|ref|WP_003530914.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626475|ref|WP_003530915.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626477|ref|WP_003530917.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626478|ref|WP_003530918.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626480|ref|WP_003530920.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626481|ref|WP_003530921.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626484|ref|WP_003530924.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626486|ref|WP_003530926.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626488|ref|WP_003530928.1|	transposase [[Clostridium] leptum] 
gi|489623614|ref|WP_003528054.1|	transposase [[Clostridium] leptum] 
gi|489626490|ref|WP_003530930.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626492|ref|WP_003530932.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626493|ref|WP_003530933.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626495|ref|WP_003530935.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626497|ref|WP_003530937.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626499|ref|WP_003530939.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626501|ref|WP_003530941.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626503|ref|WP_003530943.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626505|ref|WP_003530945.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626507|ref|WP_003530947.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626509|ref|WP_003530949.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626510|ref|WP_003530950.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626512|ref|WP_003530952.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|489626514|ref|WP_003530954.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|489626516|ref|WP_003530956.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626518|ref|WP_003530958.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626520|ref|WP_003530960.1|	sorbitol dehydrogenase [[Clostridium] leptum] 
gi|489626521|ref|WP_003530961.1|	MULTISPECIES: manganese catalase [Clostridiales] 
gi|489626523|ref|WP_003530963.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626525|ref|WP_003530965.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626528|ref|WP_003530968.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626530|ref|WP_003530970.1|	aspartyl-tRNA synthase [[Clostridium] leptum] 
gi|489626531|ref|WP_003530971.1|	glutamyl-tRNA(Gln) amidotransferase [[Clostridium] leptum] 
gi|489626533|ref|WP_003530973.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [[Clostridium] leptum] 
gi|489626534|ref|WP_003530974.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626536|ref|WP_003530976.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626538|ref|WP_003530978.1|	iron transporter FeoB [[Clostridium] leptum] 
gi|489626540|ref|WP_003530980.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626542|ref|WP_003530982.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626544|ref|WP_003530984.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626550|ref|WP_003530990.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626558|ref|WP_003530998.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626559|ref|WP_003530999.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626561|ref|WP_003531001.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626563|ref|WP_003531003.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626564|ref|WP_003531004.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626567|ref|WP_003531007.1|	MULTISPECIES: phosphate starvation protein PhoH [Clostridiales] 
gi|489626569|ref|WP_003531009.1|	MULTISPECIES: metalloprotease [Clostridiales] 
gi|489626572|ref|WP_003531012.1|	diacylglycerol kinase [[Clostridium] leptum] 
gi|489626574|ref|WP_003531014.1|	MULTISPECIES: GTPase Era [Clostridiales] 
gi|489626576|ref|WP_003531016.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626578|ref|WP_003531018.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626580|ref|WP_003531020.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626582|ref|WP_003531022.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626584|ref|WP_003531024.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626585|ref|WP_003531025.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626587|ref|WP_003531027.1|	MULTISPECIES: DNA-binding protein [Clostridiales] 
gi|489626589|ref|WP_003531029.1|	MULTISPECIES: signal recognition particle protein Srp54 [Clostridiales] 
gi|489626591|ref|WP_003531031.1|	MULTISPECIES: 30S ribosomal protein S16 [Clostridiales] 
gi|489626592|ref|WP_003531032.1|	MULTISPECIES: RNA-binding protein [Clostridiales] 
gi|489626593|ref|WP_003531033.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626594|ref|WP_003531034.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626595|ref|WP_003531035.1|	MULTISPECIES: tRNA (guanine-N1)-methyltransferase [Clostridiales] 
gi|489626596|ref|WP_003531036.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626597|ref|WP_003531037.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626598|ref|WP_003531038.1|	PTS sugar transporter subunit IIA [[Clostridium] leptum] 
gi|489626599|ref|WP_003531039.1|	excinuclease ABC subunit C [[Clostridium] leptum] 
gi|489626600|ref|WP_003531040.1|	MULTISPECIES: RNA methyltransferase [Clostridiales] 
gi|489626603|ref|WP_003531043.1|	MULTISPECIES: phosphopantetheine adenylyltransferase [Clostridiales] 
gi|489626605|ref|WP_003531045.1|	MULTISPECIES: ATPase [Clostridiales] 
gi|489626607|ref|WP_003531047.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626609|ref|WP_003531049.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626611|ref|WP_003531051.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|489626612|ref|WP_003531052.1|	XRE family transcriptional regulator [[Clostridium] leptum] 
gi|489626614|ref|WP_003531054.1|	XRE family transcriptional regulator [[Clostridium] leptum] 
gi|489626616|ref|WP_003531056.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626618|ref|WP_003531058.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626619|ref|WP_003531059.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626620|ref|WP_003531060.1|	16S rRNA methyltransferase [[Clostridium] leptum] 
gi|489626621|ref|WP_003531061.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626623|ref|WP_003531063.1|	stage V sporulation protein D [[Clostridium] leptum] 
gi|489626625|ref|WP_003531065.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626626|ref|WP_003531066.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626627|ref|WP_003531067.1|	cell division protein FtsW [[Clostridium] leptum] 
gi|489626628|ref|WP_003531068.1|	UDP-diphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [[Clostridium] leptum] 
gi|489626629|ref|WP_003531069.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626630|ref|WP_003531070.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [[Clostridium] leptum] 
gi|489626631|ref|WP_003531071.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626632|ref|WP_003531072.1|	MULTISPECIES: cell division protein FtsZ [Clostridiales] 
gi|489626633|ref|WP_003531073.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626635|ref|WP_003531075.1|	MULTISPECIES: magnesium transporter [Clostridiales] 
gi|489626637|ref|WP_003531077.1|	glycosyltransferase [[Clostridium] leptum] 
gi|489626638|ref|WP_003531078.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626640|ref|WP_003531080.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626642|ref|WP_003531082.1|	XRE family transcriptional regulator [[Clostridium] leptum] 
gi|489626644|ref|WP_003531084.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626645|ref|WP_003531085.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626646|ref|WP_003531086.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626647|ref|WP_003531087.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626648|ref|WP_003531088.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626649|ref|WP_003531089.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626650|ref|WP_003531090.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626651|ref|WP_003531091.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626652|ref|WP_003531092.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626653|ref|WP_003531093.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626654|ref|WP_003531094.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626656|ref|WP_003531096.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626658|ref|WP_003531098.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626660|ref|WP_003531100.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626661|ref|WP_003531101.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626663|ref|WP_003531103.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626665|ref|WP_003531105.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626667|ref|WP_003531107.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626669|ref|WP_003531109.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626672|ref|WP_003531112.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626674|ref|WP_003531114.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626676|ref|WP_003531116.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626679|ref|WP_003531119.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626681|ref|WP_003531121.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626683|ref|WP_003531123.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626685|ref|WP_003531125.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626687|ref|WP_003531127.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626689|ref|WP_003531129.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626691|ref|WP_003531131.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626692|ref|WP_003531132.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626693|ref|WP_003531133.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626694|ref|WP_003531134.1|	DNA polymerase III subunit gamma/tau [[Clostridium] leptum] 
gi|489626695|ref|WP_003531135.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489626696|ref|WP_003531136.1|	recombinase RecR [[Clostridium] leptum] 
gi|489626697|ref|WP_003531137.1|	MULTISPECIES: single-stranded DNA-binding protein [Clostridiales] 
gi|489626698|ref|WP_003531138.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626699|ref|WP_003531139.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626705|ref|WP_003531145.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626706|ref|WP_003531146.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626707|ref|WP_003531147.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626709|ref|WP_003531149.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626711|ref|WP_003531151.1|	DNA-cytosine methyltransferase [[Clostridium] leptum] 
gi|489626712|ref|WP_003531152.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626714|ref|WP_003531154.1|	gamma-glutamyl cyclotransferase [[Clostridium] leptum] 
gi|489626716|ref|WP_003531156.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626717|ref|WP_003531157.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626718|ref|WP_003531158.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626719|ref|WP_003531159.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626720|ref|WP_003531160.1|	S-adenosylmethionine synthetase [[Clostridium] leptum] 
gi|489626721|ref|WP_003531161.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626723|ref|WP_003531163.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626724|ref|WP_003531164.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626726|ref|WP_003531166.1|	DNA methyltransferase [[Clostridium] leptum] 
gi|489626727|ref|WP_003531167.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626754|ref|WP_003531194.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626756|ref|WP_003531196.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626758|ref|WP_003531198.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626760|ref|WP_003531200.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626761|ref|WP_003531201.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626763|ref|WP_003531203.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626765|ref|WP_003531205.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626767|ref|WP_003531207.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626768|ref|WP_003531208.1|	conjugal transfer protein TraG [[Clostridium] leptum] 
gi|489626769|ref|WP_003531209.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626770|ref|WP_003531210.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626771|ref|WP_003531211.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626772|ref|WP_003531212.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626773|ref|WP_003531213.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626774|ref|WP_003531214.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626775|ref|WP_003531215.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626776|ref|WP_003531216.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626777|ref|WP_003531217.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626778|ref|WP_003531218.1|	hypothetical protein [[Clostridium] leptum] 
gi|489626779|ref|WP_003531219.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] leptum] 
gi|489626780|ref|WP_003531220.1|	ABC transporter permease [[Clostridium] leptum] 
gi|489626781|ref|WP_003531221.1|	ABC transporter permease [[Clostridium] leptum] 
gi|489626783|ref|WP_003531223.1|	ABC transporter permease [[Clostridium] leptum] 
