gi|494396218|ref|WP_007209403.1|	MULTISPECIES: LuxR family transcriptional regulator [Bacteroides] 
gi|494401945|ref|WP_007212543.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|494401947|ref|WP_007212544.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494401949|ref|WP_007212545.1|	TonB-dependent receptor [Bacteroides cellulosilyticus] 
gi|494401951|ref|WP_007212546.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494401953|ref|WP_007212547.1|	MULTISPECIES: TonB-dependent receptor [Bacteroides] 
gi|494401955|ref|WP_007212548.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494401957|ref|WP_007212549.1|	MULTISPECIES: tRNA delta(2)-isopentenylpyrophosphate transferase [Bacteroides] 
gi|494401959|ref|WP_007212550.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494401961|ref|WP_007212551.1|	MULTISPECIES: UDP-N-acetylglucosamine acyltransferase [Bacteroides] 
gi|494401963|ref|WP_007212552.1|	MULTISPECIES: hydroxymyristoyl-ACP dehydratase [Bacteroides] 
gi|494401965|ref|WP_007212553.1|	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase [Bacteroides cellulosilyticus] 
gi|494401967|ref|WP_007212554.1|	MULTISPECIES: phosphohydrolase [Bacteroides] 
gi|494401969|ref|WP_007212555.1|	orotidine 5'-phosphate decarboxylase [Bacteroides cellulosilyticus] 
gi|494401972|ref|WP_007212556.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494401975|ref|WP_007212557.1|	peptide chain release factor 1 [Bacteroides cellulosilyticus] 
gi|494401977|ref|WP_007212558.1|	phosphoribosylformylglycinamidine cyclo-ligase [Bacteroides cellulosilyticus] 
gi|494401979|ref|WP_007212559.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494401981|ref|WP_007212560.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494401983|ref|WP_007212561.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494401985|ref|WP_007212562.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494401987|ref|WP_007212563.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494401989|ref|WP_007212564.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494401991|ref|WP_007212565.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494401993|ref|WP_007212566.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494401996|ref|WP_007212567.1|	MULTISPECIES: shikimate 5-dehydrogenase [Bacteroides] 
gi|494401998|ref|WP_007212568.1|	ubiquinone/menaquinone biosynthesis methyltransferase [Bacteroides cellulosilyticus] 
gi|494402000|ref|WP_007212569.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Bacteroides cellulosilyticus] 
gi|494402002|ref|WP_007212570.1|	phosphate starvation protein PhoH [Bacteroides cellulosilyticus] 
gi|494402004|ref|WP_007212571.1|	peptidase M23 [Bacteroides cellulosilyticus] 
gi|494402006|ref|WP_007212572.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402008|ref|WP_007212573.1|	permease [Bacteroides cellulosilyticus] 
gi|494402010|ref|WP_007212574.1|	thymidine kinase [Bacteroides cellulosilyticus] 
gi|494402012|ref|WP_007212575.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402014|ref|WP_007212576.1|	16S rRNA methyltransferase [Bacteroides cellulosilyticus] 
gi|494402016|ref|WP_007212577.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402018|ref|WP_007212578.1|	MULTISPECIES: haloacid dehalogenase [Bacteroides] 
gi|494402020|ref|WP_007212579.1|	MULTISPECIES: antibiotic resistance protein MarC [Bacteroides] 
gi|494402022|ref|WP_007212580.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402024|ref|WP_007212581.1|	MULTISPECIES: glycan metabolism protein RagB [Bacteroides] 
gi|494402026|ref|WP_007212582.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402028|ref|WP_007212583.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402030|ref|WP_007212584.1|	polyphenol oxidase [Bacteroides cellulosilyticus] 
gi|494402032|ref|WP_007212585.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402035|ref|WP_007212586.1|	GTPase CgtA [Bacteroides cellulosilyticus] 
gi|494402037|ref|WP_007212587.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402039|ref|WP_007212588.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402041|ref|WP_007212589.1|	MULTISPECIES: adenylate kinase [Bacteroides] 
gi|494402043|ref|WP_007212590.1|	hypoxanthine phosphoribosyltransferase [Bacteroides cellulosilyticus] 
gi|494402045|ref|WP_007212591.1|	peptide ABC transporter [Bacteroides cellulosilyticus] 
gi|494402047|ref|WP_007212592.1|	RNA-directed DNA polymerase [Bacteroides cellulosilyticus] 
gi|494402049|ref|WP_007212593.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402051|ref|WP_007212594.1|	beta-lactamase [Bacteroides cellulosilyticus] 
gi|494402053|ref|WP_007212595.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402055|ref|WP_007212596.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402057|ref|WP_007212597.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402059|ref|WP_007212598.1|	multidrug transporter [Bacteroides cellulosilyticus] 
gi|494402062|ref|WP_007212599.1|	multidrug transporter AcrB [Bacteroides cellulosilyticus] 
gi|494402064|ref|WP_007212600.1|	hemolysin D [Bacteroides cellulosilyticus] 
gi|494402066|ref|WP_007212601.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402068|ref|WP_007212602.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402070|ref|WP_007212603.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Bacteroides cellulosilyticus] 
gi|494402072|ref|WP_007212604.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402074|ref|WP_007212605.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402077|ref|WP_007212606.1|	DNA-binding protein [Bacteroides cellulosilyticus] 
gi|494402079|ref|WP_007212607.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402082|ref|WP_007212608.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402084|ref|WP_007212609.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402086|ref|WP_007212610.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402088|ref|WP_007212611.1|	tRNA pseudouridine synthase A [Bacteroides cellulosilyticus] 
gi|494402090|ref|WP_007212612.1|	permease [Bacteroides cellulosilyticus] 
gi|494402093|ref|WP_007212613.1|	diguanylate cyclase [Bacteroides cellulosilyticus] 
gi|494402095|ref|WP_007212614.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402098|ref|WP_007212615.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494402100|ref|WP_007212616.1|	LytTR family transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494402103|ref|WP_007212617.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402105|ref|WP_007212618.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402107|ref|WP_007212619.1|	nucleotidyltransferase [Bacteroides cellulosilyticus] 
gi|494402109|ref|WP_007212620.1|	antitoxin [Bacteroides cellulosilyticus] 
gi|494402111|ref|WP_007212621.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402113|ref|WP_007212622.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402115|ref|WP_007212623.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402117|ref|WP_007212624.1|	2'-5' RNA ligase [Bacteroides cellulosilyticus] 
gi|494402119|ref|WP_007212625.1|	peptide chain release factor H [Bacteroides cellulosilyticus] 
gi|494402121|ref|WP_007212626.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402123|ref|WP_007212627.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402125|ref|WP_007212628.1|	glycosyl hydrolase family 109 [Bacteroides cellulosilyticus] 
gi|494402127|ref|WP_007212629.1|	MULTISPECIES: dioxygenase [Bacteroides] 
gi|494402130|ref|WP_007212630.1|	mannonate dehydratase [Bacteroides cellulosilyticus] 
gi|494402132|ref|WP_007212631.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494402134|ref|WP_007212632.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402136|ref|WP_007212633.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402138|ref|WP_007212634.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402140|ref|WP_007212635.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402142|ref|WP_007212636.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402148|ref|WP_007212637.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402151|ref|WP_007212638.1|	MULTISPECIES: penicillin-binding protein 2B [Bacteroides] 
gi|494402153|ref|WP_007212639.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402155|ref|WP_007212640.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402158|ref|WP_007212641.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402160|ref|WP_007212642.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402162|ref|WP_007212643.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402164|ref|WP_007212644.1|	MULTISPECIES: tyrosine recombinase [Bacteroides] 
gi|494402166|ref|WP_007212645.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402168|ref|WP_007212646.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402173|ref|WP_007212647.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402175|ref|WP_007212648.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402177|ref|WP_007212649.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402179|ref|WP_007212650.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402182|ref|WP_007212651.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402186|ref|WP_007212652.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402188|ref|WP_007212653.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402193|ref|WP_007212654.1|	MULTISPECIES: 6,7-dimethyl-8-ribityllumazine synthase [Bacteroides] 
gi|494402196|ref|WP_007212655.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402198|ref|WP_007212656.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402200|ref|WP_007212657.1|	DNA repair protein RecF [Bacteroides cellulosilyticus] 
gi|494402203|ref|WP_007212658.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402205|ref|WP_007212659.1|	histidinol-phosphatase [Bacteroides cellulosilyticus] 
gi|494402207|ref|WP_007212660.1|	MULTISPECIES: 5-formyltetrahydrofolate cyclo-ligase [Bacteroides] 
gi|494402209|ref|WP_007212661.1|	peptidase S41 [Bacteroides cellulosilyticus] 
gi|494402212|ref|WP_007212662.1|	MULTISPECIES: CMP deaminase [Bacteroides] 
gi|494402214|ref|WP_007212663.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402216|ref|WP_007212664.1|	peptidase M3 [Bacteroides cellulosilyticus] 
gi|494402218|ref|WP_007212665.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402220|ref|WP_007212666.1|	glyceraldehyde-3-phosphate dehydrogenase [Bacteroides cellulosilyticus] 
gi|494402223|ref|WP_007212667.1|	large conductance mechanosensitive channel protein MscL [Bacteroides cellulosilyticus] 
gi|494402225|ref|WP_007212668.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402227|ref|WP_007212669.1|	MULTISPECIES: GMP synthase [Bacteroides] 
gi|494402232|ref|WP_007212670.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494402234|ref|WP_007212671.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402236|ref|WP_007212672.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402238|ref|WP_007212673.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402240|ref|WP_007212674.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494402243|ref|WP_007212675.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494402245|ref|WP_007212676.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402247|ref|WP_007212677.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402249|ref|WP_007212678.1|	histidine kinase [Bacteroides cellulosilyticus] 
gi|494402251|ref|WP_007212679.1|	glycoside hydrolase [Bacteroides cellulosilyticus] 
gi|494402254|ref|WP_007212680.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402256|ref|WP_007212681.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402258|ref|WP_007212682.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402260|ref|WP_007212683.1|	chemotaxis protein CheY [Bacteroides cellulosilyticus] 
gi|494402262|ref|WP_007212684.1|	L-rhamnose mutarotase [Bacteroides cellulosilyticus] 
gi|494402264|ref|WP_007212685.1|	MULTISPECIES: glycosyl hydrolase family 88 [Bacteroides] 
gi|494402266|ref|WP_007212686.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402268|ref|WP_007212687.1|	beta-galactosidase [Bacteroides cellulosilyticus] 
gi|494402270|ref|WP_007212688.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402272|ref|WP_007212689.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494402274|ref|WP_007212690.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402276|ref|WP_007212691.1|	TonB-dependent receptor [Bacteroides cellulosilyticus] 
gi|494402278|ref|WP_007212692.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402279|ref|WP_007212693.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402280|ref|WP_007212694.1|	beta-galactosidase [Bacteroides cellulosilyticus] 
gi|494402282|ref|WP_007212695.1|	glycosyl hydrolase family 88 [Bacteroides cellulosilyticus] 
gi|494402286|ref|WP_007212696.1|	rhamnogalacturonan acetylesterase [Bacteroides cellulosilyticus] 
gi|494402288|ref|WP_007212697.1|	Crp/Fnr family transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494402290|ref|WP_007212698.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494402293|ref|WP_007212699.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402295|ref|WP_007212700.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494402297|ref|WP_007212701.1|	peptidase S54 [Bacteroides cellulosilyticus] 
gi|494402299|ref|WP_007212702.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402300|ref|WP_007212703.1|	MULTISPECIES: 4-alpha-glucanotransferase [Bacteroides] 
gi|494402302|ref|WP_007212704.1|	MULTISPECIES: 4-alpha-glucanotransferase [Bacteroides] 
gi|494402304|ref|WP_007212705.1|	MULTISPECIES: alpha-amylase [Bacteroides] 
gi|494402306|ref|WP_007212706.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402308|ref|WP_007212707.1|	glycogen synthase [Bacteroides cellulosilyticus] 
gi|494402310|ref|WP_007212708.1|	pantoate--beta-alanine ligase [Bacteroides cellulosilyticus] 
gi|494402313|ref|WP_007212709.1|	MULTISPECIES: aspartate decarboxylase [Bacteroides] 
gi|494402316|ref|WP_007212710.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402318|ref|WP_007212711.1|	2-polyprenylphenol hydroxylase [Bacteroides cellulosilyticus] 
gi|494402320|ref|WP_007212712.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402322|ref|WP_007212713.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402324|ref|WP_007212714.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402326|ref|WP_007212715.1|	MULTISPECIES: 50S ribosomal protein L27 [Bacteroides] 
gi|494402328|ref|WP_007212716.1|	MULTISPECIES: 50S ribosomal protein L21 [Bacteroides] 
gi|494402333|ref|WP_007212717.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402335|ref|WP_007212718.1|	hydrolase [Bacteroides cellulosilyticus] 
gi|494402337|ref|WP_007212719.1|	alpha-1 2-mannosidase [Bacteroides cellulosilyticus] 
gi|494402339|ref|WP_007212720.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|494402341|ref|WP_007212721.1|	anti-sigma factor [Bacteroides cellulosilyticus] 
gi|494402343|ref|WP_007212722.1|	alpha-1 2-mannosidase [Bacteroides cellulosilyticus] 
gi|494402345|ref|WP_007212723.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402348|ref|WP_007212724.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402350|ref|WP_007212725.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402352|ref|WP_007212726.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402354|ref|WP_007212727.1|	laminin [Bacteroides cellulosilyticus] 
gi|494402356|ref|WP_007212728.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402359|ref|WP_007212729.1|	alpha-glucosidase [Bacteroides cellulosilyticus] 
gi|494402362|ref|WP_007212730.1|	alpha-1 2-mannosidase [Bacteroides cellulosilyticus] 
gi|494402364|ref|WP_007212731.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402366|ref|WP_007212732.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402368|ref|WP_007212733.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402370|ref|WP_007212734.1|	TonB-dependent receptor [Bacteroides cellulosilyticus] 
gi|494402371|ref|WP_007212735.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402373|ref|WP_007212736.1|	glycan metabolism protein RagB [Bacteroides cellulosilyticus] 
gi|494402375|ref|WP_007212737.1|	TonB-dependent receptor [Bacteroides cellulosilyticus] 
gi|494402377|ref|WP_007212738.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402379|ref|WP_007212739.1|	glycan metabolism protein RagB [Bacteroides cellulosilyticus] 
gi|494402381|ref|WP_007212740.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402383|ref|WP_007212741.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402385|ref|WP_007212742.1|	glycosidase [Bacteroides cellulosilyticus] 
gi|494402387|ref|WP_007212743.1|	alpha-1 2-mannosidase [Bacteroides cellulosilyticus] 
gi|494402389|ref|WP_007212744.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402391|ref|WP_007212745.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402393|ref|WP_007212746.1|	ATP-binding protein [Bacteroides cellulosilyticus] 
gi|494402395|ref|WP_007212747.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494402397|ref|WP_007212748.1|	peptidase M16 [Bacteroides cellulosilyticus] 
gi|494402399|ref|WP_007212749.1|	MULTISPECIES: 2-dehydro-3-deoxyphosphogluconate aldolase [Bacteroides] 
gi|494402401|ref|WP_007212750.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402403|ref|WP_007212751.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Bacteroides cellulosilyticus] 
gi|494402405|ref|WP_007212752.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402407|ref|WP_007212753.1|	AraC family transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494402409|ref|WP_007212754.1|	xylosidase [Bacteroides cellulosilyticus] 
gi|494402411|ref|WP_007212755.1|	glycosyhydrolase [Bacteroides cellulosilyticus] 
gi|494402413|ref|WP_007212756.1|	9-O-acetylesterase [Bacteroides cellulosilyticus] 
gi|494402415|ref|WP_007212757.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402418|ref|WP_007212758.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402420|ref|WP_007212759.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494402422|ref|WP_007212760.1|	glycan metabolism protein RagB [Bacteroides cellulosilyticus] 
gi|494402424|ref|WP_007212761.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494402426|ref|WP_007212762.1|	glycan metabolism protein RagB [Bacteroides cellulosilyticus] 
gi|494402428|ref|WP_007212763.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402430|ref|WP_007212764.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402432|ref|WP_007212765.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402434|ref|WP_007212766.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402436|ref|WP_007212767.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402438|ref|WP_007212768.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402440|ref|WP_007212769.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402443|ref|WP_007212770.1|	esterase [Bacteroides cellulosilyticus] 
gi|494402445|ref|WP_007212771.1|	glycoside hydrolase [Bacteroides cellulosilyticus] 
gi|494402447|ref|WP_007212772.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402449|ref|WP_007212773.1|	chemotaxis protein CheY [Bacteroides cellulosilyticus] 
gi|494402452|ref|WP_007212774.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402454|ref|WP_007212775.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402456|ref|WP_007212776.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402458|ref|WP_007212777.1|	beta-xylosidase [Bacteroides cellulosilyticus] 
gi|494402460|ref|WP_007212778.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402462|ref|WP_007212779.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402464|ref|WP_007212780.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402467|ref|WP_007212781.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402469|ref|WP_007212782.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494402471|ref|WP_007212783.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402473|ref|WP_007212784.1|	alpha-glucuronidase [Bacteroides cellulosilyticus] 
gi|494402475|ref|WP_007212785.1|	MULTISPECIES: oxidoreductase [Bacteroides] 
gi|494402478|ref|WP_007212786.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402480|ref|WP_007212787.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402482|ref|WP_007212788.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402484|ref|WP_007212789.1|	sugar transporter [Bacteroides cellulosilyticus] 
gi|494402486|ref|WP_007212790.1|	glycosyl hydrolase family 2 [Bacteroides cellulosilyticus] 
gi|494402488|ref|WP_007212791.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402490|ref|WP_007212792.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402493|ref|WP_007212793.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402495|ref|WP_007212794.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402498|ref|WP_007212795.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402500|ref|WP_007212796.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402503|ref|WP_007212797.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402505|ref|WP_007212798.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402507|ref|WP_007212799.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402509|ref|WP_007212800.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402511|ref|WP_007212801.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402513|ref|WP_007212802.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402515|ref|WP_007212803.1|	hisitidine kinase [Bacteroides cellulosilyticus] 
gi|494402517|ref|WP_007212804.1|	penicillin-binding protein [Bacteroides cellulosilyticus] 
gi|494402519|ref|WP_007212805.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494402521|ref|WP_007212806.1|	ABC transporter ATP-binding protein [Bacteroides cellulosilyticus] 
gi|494402523|ref|WP_007212807.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402525|ref|WP_007212808.1|	16S rRNA methyltransferase [Bacteroides cellulosilyticus] 
gi|494402527|ref|WP_007212809.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402529|ref|WP_007212810.1|	MULTISPECIES: nucleoside permease [Bacteroides] 
gi|494402531|ref|WP_007212811.1|	glycoside hydrolase [Bacteroides cellulosilyticus] 
gi|494402533|ref|WP_007212812.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402535|ref|WP_007212813.1|	XRE family transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494402537|ref|WP_007212814.1|	SAM-dependent methyltransferase [Bacteroides cellulosilyticus] 
gi|494402539|ref|WP_007212815.1|	MULTISPECIES: 3'-5' exonuclease [Bacteroides] 
gi|494402541|ref|WP_007212816.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494402543|ref|WP_007212817.1|	helicase [Bacteroides cellulosilyticus] 
gi|494402545|ref|WP_007212818.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402547|ref|WP_007212819.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402550|ref|WP_007212820.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|494402552|ref|WP_007212821.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402554|ref|WP_007212822.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402556|ref|WP_007212823.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402558|ref|WP_007212824.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494402560|ref|WP_007212825.1|	thioredoxin reductase [Bacteroides cellulosilyticus] 
gi|494402562|ref|WP_007212826.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494402564|ref|WP_007212827.1|	MULTISPECIES: tyrosine recombinase [Bacteroides] 
gi|494402566|ref|WP_007212828.1|	beta-hexosaminidase [Bacteroides cellulosilyticus] 
gi|494402568|ref|WP_007212829.1|	MULTISPECIES: Crp/Fnr family transcriptional regulator [Bacteroides] 
gi|494402570|ref|WP_007212830.1|	MULTISPECIES: glutamine synthetase [Bacteroides] 
gi|494402572|ref|WP_007212831.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402574|ref|WP_007212832.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402577|ref|WP_007212833.1|	collagen-binding protein [Bacteroides cellulosilyticus] 
gi|494402579|ref|WP_007212834.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402581|ref|WP_007212835.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494402583|ref|WP_007212836.1|	hypothetical protein [Bacteroides cellulosilyticus] 
