gi|495106006|ref|WP_007830829.1|	hypothetical protein [Bacteroides dorei] 
gi|495109773|ref|WP_007834595.1|	TonB-dependent receptor [Bacteroides dorei] 
gi|492422124|ref|WP_005838797.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|492422127|ref|WP_005838800.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|495109780|ref|WP_007834602.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109782|ref|WP_007834604.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109783|ref|WP_007834605.1|	MULTISPECIES: DNA mismatch repair protein MutT [Bacteroides] 
gi|495109784|ref|WP_007834606.1|	hypothetical protein [Bacteroides dorei] 
gi|495109785|ref|WP_007834607.1|	TonB-denpendent receptor [Bacteroides dorei] 
gi|495109786|ref|WP_007834608.1|	DNA topoisomerase I [Bacteroides dorei] 
gi|495109787|ref|WP_007834609.1|	shikimate kinase [Bacteroides dorei] 
gi|492422142|ref|WP_005838815.1|	MULTISPECIES: arginine decarboxylase [Bacteroides] 
gi|495109789|ref|WP_007834611.1|	MULTISPECIES: acetylglutamate kinase [Bacteroides] 
gi|495109796|ref|WP_007834617.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|495109797|ref|WP_007834618.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109798|ref|WP_007834619.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109799|ref|WP_007834620.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109800|ref|WP_007834621.1|	hypothetical protein [Bacteroides dorei] 
gi|495109802|ref|WP_007834623.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495109803|ref|WP_007834624.1|	hypothetical protein [Bacteroides dorei] 
gi|495109806|ref|WP_007834627.1|	AraC family transcriptional regulator [Bacteroides dorei] 
gi|495109808|ref|WP_007834629.1|	hypothetical protein [Bacteroides dorei] 
gi|492454260|ref|WP_005849674.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109812|ref|WP_007834633.1|	hypothetical protein [Bacteroides dorei] 
gi|495109814|ref|WP_007834635.1|	radical SAM protein [Bacteroides dorei] 
gi|495109815|ref|WP_007834636.1|	hypothetical protein [Bacteroides dorei] 
gi|495109816|ref|WP_007834637.1|	MFS transporter [Bacteroides dorei] 
gi|492422175|ref|WP_005838848.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|492422177|ref|WP_005838850.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492422179|ref|WP_005838852.1|	MULTISPECIES: transcription elongation factor NusA [Bacteroides] 
gi|495109817|ref|WP_007834638.1|	MULTISPECIES: translation initiation factor IF-2 [Bacteroides] 
gi|495109818|ref|WP_007834639.1|	hypothetical protein [Bacteroides dorei] 
gi|492422185|ref|WP_005838858.1|	MULTISPECIES: cysteine desulfurase activator complex subunit SufB [Bacteroidales] 
gi|495109819|ref|WP_007834640.1|	MULTISPECIES: transporter [Bacteroides] 
gi|495109820|ref|WP_007834641.1|	ABC transporter permease [Bacteroides dorei] 
gi|495109821|ref|WP_007834642.1|	cysteine desulfurase [Bacteroides dorei] 
gi|495109822|ref|WP_007834643.1|	hypothetical protein [Bacteroides dorei] 
gi|495109823|ref|WP_007834644.1|	hypothetical protein [Bacteroides dorei] 
gi|495109824|ref|WP_007834645.1|	hypothetical protein [Bacteroides dorei] 
gi|495109826|ref|WP_007834647.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495109830|ref|WP_007834651.1|	glycoside hydrolase [Bacteroides dorei] 
gi|492422203|ref|WP_005838876.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|492422205|ref|WP_005838878.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495109831|ref|WP_007834652.1|	starch-binding protein [Bacteroides dorei] 
gi|495109832|ref|WP_007834653.1|	collagen-binding protein [Bacteroides dorei] 
gi|495109834|ref|WP_007834655.1|	LuxR family transcriptional regulator [Bacteroides dorei] 
gi|495109836|ref|WP_007834657.1|	MULTISPECIES: ribonuclease HII [Bacteroides] 
gi|495109838|ref|WP_007834659.1|	MULTISPECIES: major facilitator transporter [Bacteroides] 
gi|492422216|ref|WP_005838889.1|	MULTISPECIES: fucose isomerase [Bacteroides] 
gi|495109839|ref|WP_007834660.1|	MULTISPECIES: GntR family transcriptional regulator [Bacteroides] 
gi|495109840|ref|WP_007834661.1|	hypothetical protein [Bacteroides dorei] 
gi|495109841|ref|WP_007834662.1|	phosphoglyceromutase [Bacteroides dorei] 
gi|495109842|ref|WP_007834663.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109847|ref|WP_007834668.1|	hypothetical protein [Bacteroides dorei] 
gi|495109849|ref|WP_007834670.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109852|ref|WP_007834673.1|	peptidase [Bacteroides dorei] 
gi|495109854|ref|WP_007834675.1|	hisitdine kinase [Bacteroides dorei] 
gi|495109855|ref|WP_007834676.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492422235|ref|WP_005838908.1|	MULTISPECIES: alpha-amylase [Bacteroides] 
gi|495109858|ref|WP_007834679.1|	hypothetical protein [Bacteroides dorei] 
gi|495109860|ref|WP_007834681.1|	membrane protein [Bacteroides dorei] 
gi|492422242|ref|WP_005838915.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495109863|ref|WP_007834684.1|	hypothetical protein [Bacteroides dorei] 
gi|495109864|ref|WP_007834685.1|	membrane protein [Bacteroides dorei] 
gi|495109866|ref|WP_007834687.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109868|ref|WP_007834689.1|	hypothetical protein [Bacteroides dorei] 
gi|495109875|ref|WP_007834696.1|	starch-binding protein [Bacteroides dorei] 
gi|495109876|ref|WP_007834697.1|	hypothetical protein [Bacteroides dorei] 
gi|495109877|ref|WP_007834698.1|	collagen-binding protein [Bacteroides dorei] 
gi|495109878|ref|WP_007834699.1|	MULTISPECIES: alpha-glucosidase [Bacteroides] 
gi|495109879|ref|WP_007834700.1|	MULTISPECIES: alpha-amylase [Bacteroides] 
gi|495109881|ref|WP_007834702.1|	MULTISPECIES: regulatory protein [Bacteroides] 
gi|495109884|ref|WP_007834705.1|	hypothetical protein [Bacteroides dorei] 
gi|495109886|ref|WP_007834707.1|	hypothetical protein [Bacteroides dorei] 
gi|495109887|ref|WP_007834708.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495109891|ref|WP_007834712.1|	transcriptional regulator [Bacteroides dorei] 
gi|495109902|ref|WP_007834723.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109904|ref|WP_007834725.1|	MULTISPECIES: major facilitator transporter [Bacteroides] 
gi|495109906|ref|WP_007834727.1|	4-alpha-glucanotransferase [Bacteroides dorei] 
gi|495109908|ref|WP_007834729.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109910|ref|WP_007834731.1|	MULTISPECIES: DNA-cytosine methyltransferase [Bacteroides] 
gi|492422267|ref|WP_005838940.1|	MULTISPECIES: 30S ribosomal protein S20 [Bacteroides] 
gi|495109913|ref|WP_007834734.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109915|ref|WP_007834736.1|	MULTISPECIES: DNA repair protein RecO [Bacteroides] 
gi|495109916|ref|WP_007834737.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109917|ref|WP_007834738.1|	MULTISPECIES: aspartyl-tRNA amidotransferase subunit B [Bacteroides] 
gi|495109918|ref|WP_007834739.1|	MULTISPECIES: cell division protein FtsZ [Bacteroides] 
gi|495109919|ref|WP_007834740.1|	MULTISPECIES: cell division protein FtsA [Bacteroides] 
gi|495109920|ref|WP_007834741.1|	MULTISPECIES: cell division protein FtsQ [Bacteroides] 
gi|495109921|ref|WP_007834742.1|	UDP-N-acetylmuramate--alanine ligase [Bacteroides dorei] 
gi|495109922|ref|WP_007834743.1|	MULTISPECIES: UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase [Bacteroides] 
gi|495109923|ref|WP_007834744.1|	MULTISPECIES: rod shape-determining protein RodA [Bacteroides] 
gi|495109925|ref|WP_007834746.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Bacteroides dorei] 
gi|495109927|ref|WP_007834748.1|	MULTISPECIES: phospho-N-acetylmuramoyl-pentapeptide-transferase [Bacteroides] 
gi|495109929|ref|WP_007834750.1|	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase [Bacteroides dorei] 
gi|495109931|ref|WP_007834752.1|	MULTISPECIES: penicillin-binding protein [Bacteroides] 
gi|495109933|ref|WP_007834754.1|	hypothetical protein [Bacteroides dorei] 
gi|495109935|ref|WP_007834756.1|	16S rRNA methyltransferase [Bacteroides dorei] 
gi|495109937|ref|WP_007834758.1|	MULTISPECIES: cell division protein MraZ [Bacteroides] 
gi|495109939|ref|WP_007834760.1|	MULTISPECIES: glycerol acyltransferase [Bacteroides] 
gi|495109941|ref|WP_007834762.1|	MULTISPECIES: hemolysin [Bacteroides] 
gi|495109946|ref|WP_007834767.1|	MULTISPECIES: dehydrogenase [Bacteroides] 
gi|492440883|ref|WP_005845350.1|	MULTISPECIES: deoxyuridine 5'-triphosphate nucleotidohydrolase [Bacteroides] 
gi|495109947|ref|WP_007834768.1|	hypothetical protein [Bacteroides dorei] 
gi|495109948|ref|WP_007834769.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109949|ref|WP_007834770.1|	MULTISPECIES: peptidase M23 [Bacteroides] 
gi|495109950|ref|WP_007834771.1|	hypothetical protein [Bacteroides dorei] 
gi|495109951|ref|WP_007834772.1|	MULTISPECIES: RNA-binding protein [Bacteroides] 
gi|495109952|ref|WP_007834773.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109953|ref|WP_007834774.1|	glutaminase [Bacteroides dorei] 
gi|495109954|ref|WP_007834775.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Bacteroides dorei] 
gi|495109955|ref|WP_007834776.1|	MULTISPECIES: phosphoribosylaminoimidazole carboxylase [Bacteroides] 
gi|495109956|ref|WP_007834777.1|	MULTISPECIES: glycine cleavage system protein H [Bacteroides] 
gi|495109957|ref|WP_007834778.1|	membrane protein [Bacteroides dorei] 
gi|495109958|ref|WP_007834779.1|	MULTISPECIES: RNA polymerase sigma54 factor [Bacteroides] 
gi|495109959|ref|WP_007834780.1|	Xaa-Pro aminopeptidase [Bacteroides dorei] 
gi|495109960|ref|WP_007834781.1|	MULTISPECIES: ferredoxin [Bacteroides] 
gi|495109961|ref|WP_007834782.1|	formate acetyltransferase [Bacteroides dorei] 
gi|495109962|ref|WP_007834783.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109963|ref|WP_007834784.1|	ATPase AAA [Bacteroides dorei] 
gi|495109964|ref|WP_007834785.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109965|ref|WP_007834786.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495109966|ref|WP_007834787.1|	hypothetical protein [Bacteroides dorei] 
gi|495109967|ref|WP_007834788.1|	hypothetical protein [Bacteroides dorei] 
gi|495109968|ref|WP_007834789.1|	transposase [Bacteroides dorei] 
gi|495109970|ref|WP_007834791.1|	MULTISPECIES: peptidylprolyl isomerase [Bacteroides] 
gi|492442931|ref|WP_005845388.1|	MULTISPECIES: peptidylprolyl isomerase [Bacteroides] 
gi|495109972|ref|WP_007834793.1|	NAD-dependent protein deacylase [Bacteroides dorei] 
gi|492442938|ref|WP_005845392.1|	MULTISPECIES: rubredoxin [Bacteroides] 
gi|495109973|ref|WP_007834794.1|	polynucleotide phosphorylase [Bacteroides dorei] 
gi|495109974|ref|WP_007834795.1|	hypothetical protein [Bacteroides dorei] 
gi|495109975|ref|WP_007834796.1|	MULTISPECIES: transcription elongation factor GreA [Bacteroides] 
gi|495109976|ref|WP_007834797.1|	MULTISPECIES: HIT family hydrolase [Bacteroides] 
gi|495109981|ref|WP_007834802.1|	mannose-1-phosphate guanylyltransferase [Bacteroides dorei] 
gi|492228368|ref|WP_005782044.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491851265|ref|WP_005633171.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|495109984|ref|WP_007834805.1|	mobilization protein [Bacteroides dorei] 
gi|495109986|ref|WP_007834807.1|	DNA primase [Bacteroides dorei] 
gi|490439821|ref|WP_004310825.1|	MULTISPECIES: mobilization protein [Bacteroidales] 
gi|495109990|ref|WP_007834811.1|	mobilization protein [Bacteroides dorei] 
gi|495109992|ref|WP_007834813.1|	hypothetical protein [Bacteroides dorei] 
gi|495109994|ref|WP_007834815.1|	hypothetical protein [Bacteroides dorei] 
gi|495109996|ref|WP_007834817.1|	hypothetical protein [Bacteroides dorei] 
gi|495109998|ref|WP_007834819.1|	hypothetical protein [Bacteroides dorei] 
gi|495110001|ref|WP_007834822.1|	hypothetical protein [Bacteroides dorei] 
gi|495110003|ref|WP_007834824.1|	hypothetical protein [Bacteroides dorei] 
gi|492742186|ref|WP_005944350.1|	MULTISPECIES: integrase [Bacteroides] 
gi|495110004|ref|WP_007834825.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495110005|ref|WP_007834826.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495110007|ref|WP_007834828.1|	hypothetical protein [Bacteroides dorei] 
gi|495110008|ref|WP_007834829.1|	hypothetical protein [Bacteroides dorei] 
gi|495110010|ref|WP_007834831.1|	ATP-binding protein [Bacteroides dorei] 
gi|495110017|ref|WP_007834838.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110019|ref|WP_007834840.1|	transposase [Bacteroides dorei] 
gi|495110026|ref|WP_007834847.1|	hypothetical protein [Bacteroides dorei] 
gi|495110027|ref|WP_007834848.1|	hypothetical protein [Bacteroides dorei] 
gi|495110028|ref|WP_007834849.1|	hypothetical protein [Bacteroides dorei] 
gi|495110029|ref|WP_007834850.1|	MULTISPECIES: ArsR family transcriptional regulator [Bacteroides] 
gi|495110030|ref|WP_007834851.1|	thioredoxin [Bacteroides dorei] 
gi|495110031|ref|WP_007834852.1|	hypothetical protein [Bacteroides dorei] 
gi|495110032|ref|WP_007834853.1|	hypothetical protein [Bacteroides dorei] 
gi|495110033|ref|WP_007834854.1|	hypothetical protein [Bacteroides dorei] 
gi|495110034|ref|WP_007834855.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110035|ref|WP_007834856.1|	permease [Bacteroides dorei] 
gi|495110038|ref|WP_007834859.1|	permease [Bacteroides dorei] 
gi|495110040|ref|WP_007834861.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110042|ref|WP_007834863.1|	hypothetical protein [Bacteroides dorei] 
gi|495110044|ref|WP_007834865.1|	MULTISPECIES: TonB-dependent receptor [Bacteroides] 
gi|495110045|ref|WP_007834866.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110047|ref|WP_007834868.1|	MULTISPECIES: peptidase [Bacteroides] 
gi|495110050|ref|WP_007834871.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110052|ref|WP_007834873.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110054|ref|WP_007834875.1|	hypothetical protein [Bacteroides dorei] 
gi|495110055|ref|WP_007834876.1|	hypothetical protein [Bacteroides dorei] 
gi|495110058|ref|WP_007834879.1|	hypothetical protein [Bacteroides dorei] 
gi|495110059|ref|WP_007834880.1|	hypothetical protein [Bacteroides dorei] 
gi|495110062|ref|WP_007834883.1|	hypothetical protein [Bacteroides dorei] 
gi|495110064|ref|WP_007834885.1|	Fe-S osidoreductase [Bacteroides dorei] 
gi|495110065|ref|WP_007834886.1|	MULTISPECIES: acetyltransferase [Bacteroides] 
gi|495110066|ref|WP_007834887.1|	streptothricin acetyltransferase [Bacteroides dorei] 
gi|495110067|ref|WP_007834888.1|	MULTISPECIES: sortase [Bacteroides] 
gi|495110068|ref|WP_007834889.1|	MULTISPECIES: MarR family transcriptional regulator [Bacteroides] 
gi|495110069|ref|WP_007834890.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495110070|ref|WP_007834891.1|	tripeptidyl aminopeptidase [Bacteroides dorei] 
gi|495110071|ref|WP_007834892.1|	hypothetical protein [Bacteroides dorei] 
gi|495110072|ref|WP_007834893.1|	MULTISPECIES: cobalamin adenosyltransferase [Bacteroides] 
gi|495110073|ref|WP_007834894.1|	hypothetical protein [Bacteroides dorei] 
gi|495110074|ref|WP_007834895.1|	hypothetical protein [Bacteroides dorei] 
gi|495110078|ref|WP_007834899.1|	hypothetical protein [Bacteroides dorei] 
gi|495110080|ref|WP_007834901.1|	hypothetical protein [Bacteroides dorei] 
gi|495110082|ref|WP_007834903.1|	hypothetical protein [Bacteroides dorei] 
gi|495110084|ref|WP_007834905.1|	hypothetical protein [Bacteroides dorei] 
gi|495110086|ref|WP_007834907.1|	hypothetical protein [Bacteroides dorei] 
gi|495110088|ref|WP_007834909.1|	serine recombinase [Bacteroides dorei] 
gi|495110090|ref|WP_007834911.1|	hypothetical protein [Bacteroides dorei] 
gi|495110092|ref|WP_007834913.1|	hypothetical protein [Bacteroides dorei] 
gi|495110094|ref|WP_007834915.1|	hypothetical protein [Bacteroides dorei] 
gi|495110096|ref|WP_007834917.1|	hypothetical protein [Bacteroides dorei] 
gi|495110098|ref|WP_007834919.1|	hypothetical protein [Bacteroides dorei] 
gi|495110100|ref|WP_007834921.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495110101|ref|WP_007834922.1|	MULTISPECIES: primosomal protein N' [Bacteroides] 
gi|495110103|ref|WP_007834924.1|	MULTISPECIES: hydrolase [Bacteroides] 
gi|495110105|ref|WP_007834926.1|	MULTISPECIES: phosphotyrosine protein phosphatase [Bacteroides] 
gi|495110107|ref|WP_007834928.1|	MULTISPECIES: hydrolase [Bacteroides] 
gi|495110109|ref|WP_007834930.1|	MULTISPECIES: glutamyl-tRNA synthetase [Bacteroides] 
gi|495110111|ref|WP_007834932.1|	3-deoxy-D-manno-octulosonic acid transferase [Bacteroides dorei] 
gi|495110112|ref|WP_007834933.1|	hypothetical protein [Bacteroides dorei] 
gi|495110113|ref|WP_007834934.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495110114|ref|WP_007834935.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495110115|ref|WP_007834936.1|	hypothetical protein [Bacteroides dorei] 
gi|495110116|ref|WP_007834937.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110118|ref|WP_007834939.1|	MULTISPECIES: DNA mistmatch repair protein MutT [Bacteroides] 
gi|495110119|ref|WP_007834940.1|	MULTISPECIES: capsular polysaccharide biosynthesis protein CapD [Bacteroides] 
gi|495110120|ref|WP_007834941.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110121|ref|WP_007834942.1|	MULTISPECIES: acetylornithine deacetylase [Bacteroides] 
gi|495110123|ref|WP_007834944.1|	MULTISPECIES: long-chain fatty acid--CoA ligase [Bacteroides] 
gi|495110125|ref|WP_007834946.1|	MULTISPECIES: peptide chain release factor 2 [Bacteroides] 
gi|495110127|ref|WP_007834948.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492443094|ref|WP_005845492.1|	MULTISPECIES: adenylate cyclase [Bacteroides] 
gi|495110129|ref|WP_007834950.1|	TonB-denpendent receptor [Bacteroides dorei] 
gi|495110131|ref|WP_007834952.1|	MULTISPECIES: RNA polymerase sigma factor [Bacteroides] 
gi|495110134|ref|WP_007834955.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110136|ref|WP_007834957.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110138|ref|WP_007834959.1|	MULTISPECIES: competence protein ComEA [Bacteroides] 
gi|495110140|ref|WP_007834961.1|	alkaline phosphatase [Bacteroides dorei] 
gi|495110141|ref|WP_007834962.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110142|ref|WP_007834963.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110143|ref|WP_007834964.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110144|ref|WP_007834965.1|	MULTISPECIES: thiamine-monophosphate kinase [Bacteroides] 
gi|495110145|ref|WP_007834966.1|	MULTISPECIES: purine nucleoside phosphorylase [Bacteroides] 
gi|495110146|ref|WP_007834967.1|	tetraacyldisaccharide 4'-kinase [Bacteroides dorei] 
gi|495110148|ref|WP_007834969.1|	endopeptidase IV [Bacteroides dorei] 
gi|495110151|ref|WP_007834972.1|	MULTISPECIES: nitroreductase [Bacteroides] 
gi|495110153|ref|WP_007834974.1|	kinase [Bacteroides dorei] 
gi|495110155|ref|WP_007834976.1|	hypothetical protein [Bacteroides dorei] 
gi|495110157|ref|WP_007834978.1|	hypothetical protein [Bacteroides dorei] 
gi|495110168|ref|WP_007834989.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495110169|ref|WP_007834990.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110170|ref|WP_007834991.1|	MULTISPECIES: ATP synthase subunit A [Bacteroides] 
gi|495110171|ref|WP_007834992.1|	ATP synthase subunit B [Bacteroides dorei] 
gi|495110172|ref|WP_007834993.1|	ATP synthase subunit D [Bacteroides dorei] 
gi|495110173|ref|WP_007834994.1|	V-type ATP synthase subunit I [Bacteroides dorei] 
gi|492423001|ref|WP_005839531.1|	MULTISPECIES: ATP synthase subunit C [Bacteroides] 
gi|495110174|ref|WP_007834995.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495110175|ref|WP_007834996.1|	MULTISPECIES: alpha-glucan phosphorylase [Bacteroides] 
gi|495110176|ref|WP_007834997.1|	thiol:disulfide interchange protein [Bacteroides dorei] 
gi|495110178|ref|WP_007834999.1|	hypothetical protein [Bacteroides dorei] 
gi|495110179|ref|WP_007835000.1|	histidine kinase [Bacteroides dorei] 
gi|495110181|ref|WP_007835002.1|	MULTISPECIES: histidine kinase [Bacteroides] 
gi|495110183|ref|WP_007835004.1|	hypothetical protein [Bacteroides dorei] 
gi|495110185|ref|WP_007835006.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Bacteroides] 
gi|495110187|ref|WP_007835008.1|	spermidine/putrescine ABC transporter permease [Bacteroides dorei] 
gi|495110188|ref|WP_007835009.1|	MULTISPECIES: spermidine/putrescine ABC transporter permease [Bacteroides] 
gi|495110196|ref|WP_007835017.1|	MULTISPECIES: spermidine/putrescine ABC transporter [Bacteroides] 
gi|495110198|ref|WP_007835019.1|	MULTISPECIES: ribose-phosphate pyrophosphokinase [Bacteroides] 
gi|495110199|ref|WP_007835020.1|	MULTISPECIES: thiamine phosphate pyrophosphorylase [Bacteroides] 
gi|495110200|ref|WP_007835021.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110201|ref|WP_007835022.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110202|ref|WP_007835023.1|	MULTISPECIES: glutathionylspermidine synthase [Bacteroides] 
gi|495110203|ref|WP_007835024.1|	molybdopterin biosynthesis protein [Bacteroides dorei] 
gi|495110204|ref|WP_007835025.1|	MULTISPECIES: thiamine biosynthesis protein ThiH [Bacteroides] 
gi|495110209|ref|WP_007835030.1|	MULTISPECIES: iron-sulfur protein [Bacteroides] 
gi|495110211|ref|WP_007835032.1|	hypothetical protein [Bacteroides dorei] 
gi|495110213|ref|WP_007835034.1|	phosphomethylpyrimidine synthase [Bacteroides dorei] 
gi|495110215|ref|WP_007835036.1|	MULTISPECIES: thiazole synthase [Bacteroides] 
gi|495110217|ref|WP_007835038.1|	thiamine-phosphate pyrophosphorylase [Bacteroides dorei] 
gi|495110226|ref|WP_007835047.1|	MULTISPECIES: thiamine biosynthesis protein ThiS [Bacteroides] 
gi|495110229|ref|WP_007835050.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110231|ref|WP_007835052.1|	superoxide dismutase [Bacteroides dorei] 
gi|495110233|ref|WP_007835054.1|	ATP-dependent DNA helicase [Bacteroides dorei] 
gi|495110235|ref|WP_007835056.1|	carboxynorspermidine decarboxylase [Bacteroides dorei] 
gi|495110237|ref|WP_007835058.1|	glutamine synthetase [Bacteroides dorei] 
gi|495110239|ref|WP_007835060.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110240|ref|WP_007835061.1|	MULTISPECIES: carbon-nitrogen hydrolase [Bacteroides] 
gi|495110241|ref|WP_007835062.1|	sensor histidine kinase [Bacteroides dorei] 
gi|495110242|ref|WP_007835063.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|495110243|ref|WP_007835064.1|	transporter [Bacteroides dorei] 
gi|495110244|ref|WP_007835065.1|	ABC transporter permease [Bacteroides dorei] 
gi|495110245|ref|WP_007835066.1|	phosphonate ABC transporter ATP-binding protein [Bacteroides dorei] 
gi|495110247|ref|WP_007835068.1|	ABC transporter permease [Bacteroides dorei] 
gi|495110248|ref|WP_007835069.1|	transcriptional regulator [Bacteroides dorei] 
gi|495110251|ref|WP_007835072.1|	hypothetical protein [Bacteroides dorei] 
gi|495110253|ref|WP_007835074.1|	multidrug transporter [Bacteroides dorei] 
gi|495110254|ref|WP_007835075.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110255|ref|WP_007835076.1|	oxidoreductase [Bacteroides dorei] 
gi|495110257|ref|WP_007835078.1|	thiamine pyrophosphate-binding protein [Bacteroides dorei] 
gi|495110260|ref|WP_007835081.1|	hypothetical protein [Bacteroides dorei] 
gi|495110263|ref|WP_007835084.1|	hypothetical protein [Bacteroides dorei] 
gi|495110265|ref|WP_007835086.1|	hypothetical protein [Bacteroides dorei] 
gi|495110267|ref|WP_007835088.1|	hypothetical protein [Bacteroides dorei] 
gi|495110269|ref|WP_007835090.1|	hypothetical protein [Bacteroides dorei] 
gi|495110270|ref|WP_007835091.1|	hypothetical protein [Bacteroides dorei] 
gi|495110271|ref|WP_007835092.1|	N-acetylmuramoyl-L-alanine amidase [Bacteroides dorei] 
gi|492460162|ref|WP_005852691.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|495110275|ref|WP_007835096.1|	hypothetical protein [Bacteroides dorei] 
gi|495110277|ref|WP_007835098.1|	hypothetical protein [Bacteroides dorei] 
gi|492460152|ref|WP_005852686.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110278|ref|WP_007835099.1|	hypothetical protein [Bacteroides dorei] 
gi|495110280|ref|WP_007835101.1|	FeS-binding protein [Bacteroides dorei] 
gi|495110282|ref|WP_007835103.1|	hypothetical protein [Bacteroides dorei] 
gi|495110284|ref|WP_007835105.1|	glycosyltransferase family 1 [Bacteroides dorei] 
gi|495110285|ref|WP_007835106.1|	radical SAM protein [Bacteroides dorei] 
gi|495110286|ref|WP_007835107.1|	hypothetical protein [Bacteroides dorei] 
gi|492460130|ref|WP_005852674.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495110290|ref|WP_007835111.1|	glycosyltransferase family 1 [Bacteroides dorei] 
gi|495110296|ref|WP_007835117.1|	hypothetical protein [Bacteroides dorei] 
gi|495110299|ref|WP_007835120.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495110302|ref|WP_007835123.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|492425722|ref|WP_005839937.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495110304|ref|WP_007835125.1|	phenylalanyl-tRNA synthetase subunit beta [Bacteroides dorei] 
gi|495110305|ref|WP_007835126.1|	replicative DNA helicase [Bacteroides dorei] 
