gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494987961|ref|WP_007713982.1|	sporulation protein [[Clostridium] asparagiforme] 
gi|494987963|ref|WP_007713984.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494987964|ref|WP_007713985.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494987966|ref|WP_007713987.1|	dihydroxyacetone kinase [[Clostridium] asparagiforme] 
gi|494987968|ref|WP_007713989.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494987970|ref|WP_007713991.1|	dihydroxyacetone kinase subunit K [[Clostridium] asparagiforme] 
gi|494987972|ref|WP_007713993.1|	glycerol kinase [[Clostridium] asparagiforme] 
gi|494987974|ref|WP_007713995.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494987976|ref|WP_007713997.1|	DNA-binding protein [[Clostridium] asparagiforme] 
gi|494987978|ref|WP_007713999.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494987979|ref|WP_007714000.1|	iron transporter FeoB [[Clostridium] asparagiforme] 
gi|494987982|ref|WP_007714003.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494987985|ref|WP_007714006.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494987987|ref|WP_007714008.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494987989|ref|WP_007714010.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494987992|ref|WP_007714013.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494987993|ref|WP_007714014.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494987995|ref|WP_007714016.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494987998|ref|WP_007714019.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988000|ref|WP_007714021.1|	short-chain dehydrogenase [[Clostridium] asparagiforme] 
gi|494988002|ref|WP_007714023.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988003|ref|WP_007714024.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988004|ref|WP_007714025.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988006|ref|WP_007714027.1|	cytochrome C2 [[Clostridium] asparagiforme] 
gi|494988009|ref|WP_007714030.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494988011|ref|WP_007714032.1|	DNA-binding protein [[Clostridium] asparagiforme] 
gi|494988013|ref|WP_007714034.1|	amino acid transporter LysE [[Clostridium] asparagiforme] 
gi|494988015|ref|WP_007714036.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494988017|ref|WP_007714038.1|	TRAP transporter [[Clostridium] asparagiforme] 
gi|494988019|ref|WP_007714040.1|	TRAP transporter [[Clostridium] asparagiforme] 
gi|494988021|ref|WP_007714042.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988023|ref|WP_007714044.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988025|ref|WP_007714046.1|	haloacid dehalogenase [[Clostridium] asparagiforme] 
gi|494988027|ref|WP_007714048.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988029|ref|WP_007714050.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988031|ref|WP_007714052.1|	cation diffusion facilitator family transporter [[Clostridium] asparagiforme] 
gi|494988033|ref|WP_007714054.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988034|ref|WP_007714055.1|	6-phospho-beta-glucosidase [[Clostridium] asparagiforme] 
gi|494988036|ref|WP_007714057.1|	PTS sugar transporter subunit IIC [[Clostridium] asparagiforme] 
gi|494988037|ref|WP_007714058.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988039|ref|WP_007714060.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988040|ref|WP_007714061.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494988042|ref|WP_007714063.1|	MULTISPECIES: RelA/SpoT protein [Clostridiales] 
gi|494988044|ref|WP_007714065.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988051|ref|WP_007714072.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988052|ref|WP_007714073.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988054|ref|WP_007714075.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988056|ref|WP_007714077.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988058|ref|WP_007714079.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988060|ref|WP_007714081.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988061|ref|WP_007714082.1|	sodium:proton antiporter [[Clostridium] asparagiforme] 
gi|494988063|ref|WP_007714084.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988065|ref|WP_007714086.1|	MFS transporter [[Clostridium] asparagiforme] 
gi|494988067|ref|WP_007714088.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988069|ref|WP_007714090.1|	acetate kinase [[Clostridium] asparagiforme] 
gi|494988073|ref|WP_007714094.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988074|ref|WP_007714095.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988077|ref|WP_007714098.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988079|ref|WP_007714100.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988082|ref|WP_007714103.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988084|ref|WP_007714105.1|	mannose-6-phosphate isomerase [[Clostridium] asparagiforme] 
gi|494988087|ref|WP_007714108.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988088|ref|WP_007714109.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988091|ref|WP_007714112.1|	MULTISPECIES: PTS sorbose transporter subunit IIC [Clostridiales] 
gi|494988094|ref|WP_007714115.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988098|ref|WP_007714119.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988100|ref|WP_007714121.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988101|ref|WP_007714122.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988102|ref|WP_007714123.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988106|ref|WP_007714127.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988108|ref|WP_007714129.1|	5-nitroimidazole antibiotic resistance protein [[Clostridium] asparagiforme] 
gi|494988111|ref|WP_007714132.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988113|ref|WP_007714134.1|	multidrug transporter MatE [[Clostridium] asparagiforme] 
gi|494988115|ref|WP_007714136.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988117|ref|WP_007714138.1|	metallophosphoesterase [[Clostridium] asparagiforme] 
gi|494988119|ref|WP_007714140.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988122|ref|WP_007714143.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988124|ref|WP_007714145.1|	DNA mismatch repair protein MutT [[Clostridium] asparagiforme] 
gi|494988127|ref|WP_007714148.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988129|ref|WP_007714150.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988132|ref|WP_007714153.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988135|ref|WP_007714156.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988138|ref|WP_007714159.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988140|ref|WP_007714161.1|	spermine/spermidine acetyltransferase [[Clostridium] asparagiforme] 
gi|494988143|ref|WP_007714164.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988146|ref|WP_007714167.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988149|ref|WP_007714170.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988152|ref|WP_007714173.1|	Zn-dependent hydrolase [[Clostridium] asparagiforme] 
gi|494988154|ref|WP_007714175.1|	multidrug transporter MatE [[Clostridium] asparagiforme] 
gi|494988156|ref|WP_007714177.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988158|ref|WP_007714179.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988160|ref|WP_007714181.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988163|ref|WP_007714184.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988165|ref|WP_007714186.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988167|ref|WP_007714188.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988170|ref|WP_007714191.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988173|ref|WP_007714194.1|	triacylglycerol lipase [[Clostridium] asparagiforme] 
gi|494988176|ref|WP_007714197.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988179|ref|WP_007714200.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988182|ref|WP_007714203.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988185|ref|WP_007714206.1|	beta-methylgalactoside transporter [[Clostridium] asparagiforme] 
gi|494988188|ref|WP_007714209.1|	D-ribose transporter ATP binding protein [[Clostridium] asparagiforme] 
gi|494988191|ref|WP_007714212.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988194|ref|WP_007714215.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988198|ref|WP_007714219.1|	phosphoribosylamine--glycine ligase [[Clostridium] asparagiforme] 
gi|494988201|ref|WP_007714222.1|	phosphoribosylglycinamide formyltransferase [[Clostridium] asparagiforme] 
gi|494988204|ref|WP_007714225.1|	MULTISPECIES: phosphoribosylaminoimidazole synthetase [Clostridiales] 
gi|494988206|ref|WP_007714227.1|	MULTISPECIES: N5-carboxyaminoimidazole ribonucleotide mutase [Clostridiales] 
gi|494988209|ref|WP_007714230.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988211|ref|WP_007714232.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988213|ref|WP_007714234.1|	MULTISPECIES: addiction module antitoxin [Clostridiales] 
gi|494988215|ref|WP_007714236.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988232|ref|WP_007714253.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988235|ref|WP_007714256.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988238|ref|WP_007714259.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988241|ref|WP_007714262.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988244|ref|WP_007714265.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988247|ref|WP_007714268.1|	MULTISPECIES: teicoplanin resistance protein VanZ [Clostridiales] 
gi|494988250|ref|WP_007714271.1|	MULTISPECIES: cytochrome C biosynthesis protein [Clostridiales] 
gi|494988254|ref|WP_007714275.1|	MULTISPECIES: orotate phosphoribosyltransferase [Clostridiales] 
gi|494988256|ref|WP_007714277.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494988259|ref|WP_007714280.1|	dihydroorotate dehydrogenase [[Clostridium] asparagiforme] 
gi|494988262|ref|WP_007714283.1|	orotidine 5'-phosphate decarboxylase [[Clostridium] asparagiforme] 
gi|494988264|ref|WP_007714285.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988272|ref|WP_007714293.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988274|ref|WP_007714295.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988276|ref|WP_007714297.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988279|ref|WP_007714300.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988281|ref|WP_007714302.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988282|ref|WP_007714303.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988284|ref|WP_007714305.1|	MULTISPECIES: ribokinase [Clostridiales] 
gi|494988285|ref|WP_007714306.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988287|ref|WP_007714308.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988290|ref|WP_007714311.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988291|ref|WP_007714312.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988293|ref|WP_007714314.1|	MULTISPECIES: heat shock protein Hsp20 [Clostridiales] 
gi|494988294|ref|WP_007714315.1|	MULTISPECIES: sugar isomerase [Clostridiales] 
gi|494988297|ref|WP_007714318.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988299|ref|WP_007714320.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988301|ref|WP_007714322.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988303|ref|WP_007714324.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494988304|ref|WP_007714325.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988306|ref|WP_007714327.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988308|ref|WP_007714329.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988310|ref|WP_007714331.1|	hydrolase [[Clostridium] asparagiforme] 
gi|494988312|ref|WP_007714333.1|	ribokinase [[Clostridium] asparagiforme] 
gi|494988313|ref|WP_007714334.1|	histidine kinase [[Clostridium] asparagiforme] 
gi|494988315|ref|WP_007714336.1|	LytTR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494988316|ref|WP_007714337.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988319|ref|WP_007714340.1|	sodium:solute symporter [[Clostridium] asparagiforme] 
gi|494988322|ref|WP_007714343.1|	6-phospho-beta-glucosidase [[Clostridium] asparagiforme] 
gi|494988324|ref|WP_007714345.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988326|ref|WP_007714347.1|	dehydrogenase [[Clostridium] asparagiforme] 
gi|494988329|ref|WP_007714349.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988331|ref|WP_007714351.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988333|ref|WP_007714353.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988335|ref|WP_007714355.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988337|ref|WP_007714357.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988338|ref|WP_007714358.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988341|ref|WP_007714361.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988343|ref|WP_007714363.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988345|ref|WP_007714365.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988346|ref|WP_007714366.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988347|ref|WP_007714367.1|	L-threonine 3-dehydrogenase [[Clostridium] asparagiforme] 
gi|494988348|ref|WP_007714368.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988349|ref|WP_007714369.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988350|ref|WP_007714370.1|	carboxyvinyl-carboxyphosphonate phosphorylmutase [[Clostridium] asparagiforme] 
gi|494988351|ref|WP_007714371.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988352|ref|WP_007714372.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988353|ref|WP_007714373.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988354|ref|WP_007714374.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988355|ref|WP_007714375.1|	maltose ABC transporter permease [[Clostridium] asparagiforme] 
gi|494988356|ref|WP_007714376.1|	MULTISPECIES: glycerol-3-phosphate ABC transporter permease [Clostridiales] 
gi|494988357|ref|WP_007714377.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988358|ref|WP_007714378.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988360|ref|WP_007714380.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988362|ref|WP_007714382.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988364|ref|WP_007714384.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988366|ref|WP_007714386.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988367|ref|WP_007714387.1|	AraC family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494988369|ref|WP_007714389.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988371|ref|WP_007714391.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988372|ref|WP_007714392.1|	MULTISPECIES: nucleotidyltransferase [Clostridiales] 
gi|494988373|ref|WP_007714393.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988374|ref|WP_007714394.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988375|ref|WP_007714395.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988376|ref|WP_007714396.1|	iron ABC transporter permease [[Clostridium] asparagiforme] 
gi|494988377|ref|WP_007714397.1|	iron ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494988378|ref|WP_007714398.1|	peptidase [[Clostridium] asparagiforme] 
gi|494988379|ref|WP_007714399.1|	6-phospho-beta-glucosidase [[Clostridium] asparagiforme] 
gi|494988380|ref|WP_007714400.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988381|ref|WP_007714401.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988382|ref|WP_007714402.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988383|ref|WP_007714403.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988384|ref|WP_007714404.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988385|ref|WP_007714405.1|	toxin-antitoxin system protein [[Clostridium] asparagiforme] 
gi|494988386|ref|WP_007714406.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988387|ref|WP_007714407.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988388|ref|WP_007714408.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988390|ref|WP_007714410.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988392|ref|WP_007714412.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988393|ref|WP_007714413.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988395|ref|WP_007714415.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988397|ref|WP_007714417.1|	amidohydrolase [[Clostridium] asparagiforme] 
gi|494988399|ref|WP_007714419.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988401|ref|WP_007714421.1|	chromate transporter [[Clostridium] asparagiforme] 
gi|494988402|ref|WP_007714422.1|	chromate transporter [[Clostridium] asparagiforme] 
gi|494988403|ref|WP_007714423.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988404|ref|WP_007714424.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988405|ref|WP_007714425.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988406|ref|WP_007714426.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988407|ref|WP_007714427.1|	multidrug transporter MatE [[Clostridium] asparagiforme] 
gi|494988408|ref|WP_007714428.1|	oligopeptidase PepB [[Clostridium] asparagiforme] 
gi|494988409|ref|WP_007714429.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988410|ref|WP_007714430.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988411|ref|WP_007714431.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988412|ref|WP_007714432.1|	MULTISPECIES: (p)ppGpp synthetase [Clostridiales] 
gi|494988414|ref|WP_007714434.1|	MULTISPECIES: ATP-binding protein [Clostridiales] 
gi|494988416|ref|WP_007714436.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988418|ref|WP_007714438.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988420|ref|WP_007714440.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988422|ref|WP_007714442.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988424|ref|WP_007714444.1|	MULTISPECIES: thiol peroxidase [Clostridiales] 
gi|494988426|ref|WP_007714446.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988428|ref|WP_007714448.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988430|ref|WP_007714450.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988432|ref|WP_007714452.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988434|ref|WP_007714454.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988435|ref|WP_007714455.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988438|ref|WP_007714458.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988442|ref|WP_007714462.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988444|ref|WP_007714464.1|	gluconate permease [[Clostridium] asparagiforme] 
gi|494988446|ref|WP_007714466.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988449|ref|WP_007714469.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988453|ref|WP_007714473.1|	MULTISPECIES: hydroxyacid dehydrogenase [Clostridiales] 
gi|494988456|ref|WP_007714476.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988458|ref|WP_007714478.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988462|ref|WP_007714482.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988464|ref|WP_007714484.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988467|ref|WP_007714487.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988469|ref|WP_007714489.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988473|ref|WP_007714493.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988476|ref|WP_007714496.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988479|ref|WP_007714499.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988482|ref|WP_007714502.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988485|ref|WP_007714505.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988487|ref|WP_007714507.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988488|ref|WP_007714508.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988498|ref|WP_007714518.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988499|ref|WP_007714519.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988502|ref|WP_007714522.1|	haloacid dehalogenase [[Clostridium] asparagiforme] 
gi|494988505|ref|WP_007714525.1|	MULTISPECIES: uracil permease [Clostridiales] 
gi|494988508|ref|WP_007714528.1|	MULTISPECIES: xanthine dehydrogenase [Clostridiales] 
gi|494988510|ref|WP_007714530.1|	molybdopterin dehydrogenase [[Clostridium] asparagiforme] 
gi|494988512|ref|WP_007714532.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988515|ref|WP_007714535.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988517|ref|WP_007714537.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988518|ref|WP_007714538.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988519|ref|WP_007714539.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988521|ref|WP_007714541.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988524|ref|WP_007714544.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988528|ref|WP_007714548.1|	MULTISPECIES: single-stranded DNA-binding protein [Clostridiales] 
gi|494988531|ref|WP_007714551.1|	ribonuclease R [[Clostridium] asparagiforme] 
gi|494988533|ref|WP_007714553.1|	MULTISPECIES: preprotein translocase subunit SecG [Clostridiales] 
gi|494988534|ref|WP_007714554.1|	mannose-6-phosphate isomerase [[Clostridium] asparagiforme] 
gi|494988536|ref|WP_007714556.1|	enolase [[Clostridium] asparagiforme] 
gi|494988539|ref|WP_007714559.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988541|ref|WP_007714561.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988543|ref|WP_007714563.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988545|ref|WP_007714565.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988555|ref|WP_007714575.1|	MULTISPECIES: phenylalanyl-tRNA synthetase subunit beta [Clostridiales] 
gi|494988556|ref|WP_007714576.1|	MULTISPECIES: phenylalanyl-tRNA synthase subunit alpha [Clostridiales] 
gi|494988557|ref|WP_007714577.1|	3-methyladenine DNA glycosylase [[Clostridium] asparagiforme] 
gi|494988558|ref|WP_007714578.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988559|ref|WP_007714579.1|	transglutaminase [[Clostridium] asparagiforme] 
gi|494988560|ref|WP_007714580.1|	acetyltransferase [[Clostridium] asparagiforme] 
gi|494988561|ref|WP_007714581.1|	acyltransferase [[Clostridium] asparagiforme] 
gi|494988565|ref|WP_007714585.1|	molecular chaperone DnaJ [[Clostridium] asparagiforme] 
gi|494988566|ref|WP_007714586.1|	MULTISPECIES: molecular chaperone DnaK [Clostridiales] 
gi|494988570|ref|WP_007714590.1|	molecular chaperone GrpE [[Clostridium] asparagiforme] 
gi|494988572|ref|WP_007714592.1|	MULTISPECIES: HrcA family transcriptional regulator [Clostridiales] 
gi|494988576|ref|WP_007714596.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988578|ref|WP_007714598.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988587|ref|WP_007714607.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988589|ref|WP_007714609.1|	phosphatase [[Clostridium] asparagiforme] 
gi|494988590|ref|WP_007714610.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988591|ref|WP_007714611.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988592|ref|WP_007714612.1|	ArsR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494988593|ref|WP_007714613.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988594|ref|WP_007714614.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988596|ref|WP_007714616.1|	integrase [[Clostridium] asparagiforme] 
gi|494988597|ref|WP_007714617.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988599|ref|WP_007714619.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988600|ref|WP_007714620.1|	glycerate kinase [[Clostridium] asparagiforme] 
gi|494988601|ref|WP_007714621.1|	stage II sporulation protein SpoIID [[Clostridium] asparagiforme] 
gi|494988603|ref|WP_007714623.1|	deoxyribose-phosphate aldolase [[Clostridium] asparagiforme] 
gi|494988605|ref|WP_007714625.1|	MULTISPECIES: adenylate kinase [Clostridiales] 
gi|494988607|ref|WP_007714627.1|	cysteinyl-tRNA(Pro) deacylase [[Clostridium] asparagiforme] 
gi|494988611|ref|WP_007714631.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988612|ref|WP_007714632.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988613|ref|WP_007714633.1|	RNA helicase [[Clostridium] asparagiforme] 
gi|494988614|ref|WP_007714634.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988615|ref|WP_007714635.1|	hypothetical protein [[Clostridium] asparagiforme] 
