gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493902166|ref|WP_006847925.1|	hypothetical protein [Prevotella copri] 
gi|493902167|ref|WP_006847926.1|	hypothetical protein [Prevotella copri] 
gi|493902168|ref|WP_006847927.1|	cell surface protein [Prevotella copri] 
gi|493902169|ref|WP_006847928.1|	hypothetical protein [Prevotella copri] 
gi|493902170|ref|WP_006847929.1|	isochorismatase [Prevotella copri] 
gi|493902171|ref|WP_006847930.1|	porin [Prevotella copri] 
gi|493902172|ref|WP_006847931.1|	hypothetical protein [Prevotella copri] 
gi|493902173|ref|WP_006847932.1|	hypothetical protein [Prevotella copri] 
gi|493902174|ref|WP_006847933.1|	hypothetical protein [Prevotella copri] 
gi|493902175|ref|WP_006847934.1|	transposase [Prevotella copri] 
gi|493902176|ref|WP_006847935.1|	putative transposase OrfB [Prevotella copri] 
gi|493902177|ref|WP_006847936.1|	hypothetical protein [Prevotella copri] 
gi|493902178|ref|WP_006847937.1|	hypothetical Cytosolic Protein [Prevotella copri] 
gi|493902179|ref|WP_006847938.1|	ATPase [Prevotella copri] 
gi|493902180|ref|WP_006847939.1|	hypothetical protein [Prevotella copri] 
gi|493902181|ref|WP_006847940.1|	hypothetical protein [Prevotella copri] 
gi|493901380|ref|WP_006847166.1|	transposase [Prevotella copri] 
gi|493902182|ref|WP_006847941.1|	hypothetical protein [Prevotella copri] 
gi|493902183|ref|WP_006847942.1|	hypothetical protein [Prevotella copri] 
gi|493902184|ref|WP_006847943.1|	hypothetical protein [Prevotella copri] 
gi|493902186|ref|WP_006847944.1|	ATPase [Prevotella copri] 
gi|493902187|ref|WP_006847945.1|	hypothetical protein [Prevotella copri] 
gi|493902188|ref|WP_006847946.1|	putative cytochrome C4 [Prevotella copri] 
gi|493902189|ref|WP_006847947.1|	transcriptional regulator [Prevotella copri] 
gi|493902190|ref|WP_006847948.1|	hypothetical protein [Prevotella copri] 
gi|493902191|ref|WP_006847949.1|	hypothetical protein [Prevotella copri] 
gi|493902192|ref|WP_006847950.1|	hypothetical protein [Prevotella copri] 
gi|493902193|ref|WP_006847951.1|	hypothetical protein [Prevotella copri] 
gi|493902194|ref|WP_006847952.1|	ATPase AAA [Prevotella copri] 
gi|493902195|ref|WP_006847953.1|	putative transducer protein [Prevotella copri] 
gi|493902196|ref|WP_006847954.1|	transposase [Prevotella copri] 
gi|493902197|ref|WP_006847955.1|	ATPase AAA [Prevotella copri] 
gi|493902198|ref|WP_006847956.1|	transposase [Prevotella copri] 
gi|493902199|ref|WP_006847957.1|	hypothetical protein [Prevotella copri] 
gi|493902200|ref|WP_006847958.1|	alpha-amylase [Prevotella copri] 
gi|493902202|ref|WP_006847959.1|	ATP-NAD kinase [Prevotella copri] 
gi|493902203|ref|WP_006847960.1|	thiazole biosynthesis protein ThiJ [Prevotella copri] 
gi|493902204|ref|WP_006847961.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Prevotella copri] 
gi|493902205|ref|WP_006847962.1|	putative glycosyslhydrolase [Prevotella copri] 
gi|493902206|ref|WP_006847963.1|	ATP-dependent DNA helicase RecG [Prevotella copri] 
gi|493902207|ref|WP_006847964.1|	putative molybdopterin biosynthesis enzyme MoaB [Prevotella copri] 
gi|493902208|ref|WP_006847965.1|	sugar tyrosine-protein kinase [Prevotella copri] 
gi|493902209|ref|WP_006847966.1|	zinc metalloprotease [Prevotella copri] 
gi|493902210|ref|WP_006847967.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Prevotella copri] 
gi|493902211|ref|WP_006847968.1|	16S rRNA-processing protein RimM [Prevotella copri] 
gi|493902212|ref|WP_006847969.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Prevotella copri] 
gi|493902213|ref|WP_006847970.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493902214|ref|WP_006847971.1|	glycoprotease [Prevotella copri] 
gi|493902215|ref|WP_006847972.1|	hypothetical protein [Prevotella copri] 
gi|493902216|ref|WP_006847973.1|	guanylate kinase [Prevotella copri] 
gi|493902217|ref|WP_006847974.1|	nicotinate-nucleotide adenylyltransferase [Prevotella copri] 
gi|493902218|ref|WP_006847975.1|	membrane protein [Prevotella copri] 
gi|493902219|ref|WP_006847976.1|	acyltransferase [Prevotella copri] 
gi|493902220|ref|WP_006847977.1|	hypothetical protein [Prevotella copri] 
gi|493902221|ref|WP_006847978.1|	prenyltransferase UbiA [Prevotella copri] 
gi|493902222|ref|WP_006847979.1|	haloacid dehalogenase [Prevotella copri] 
gi|493902223|ref|WP_006847980.1|	hypothetical protein [Prevotella copri] 
gi|493902224|ref|WP_006847981.1|	polysaccharide biosynthesis protein GtrA [Prevotella copri] 
gi|493902225|ref|WP_006847982.1|	membrane protein [Prevotella copri] 
gi|493902226|ref|WP_006847983.1|	putative glycosyltransferase [Prevotella copri] 
gi|493902227|ref|WP_006847984.1|	hypothetical protein [Prevotella copri] 
gi|493902228|ref|WP_006847985.1|	membrane protein [Prevotella copri] 
gi|493902229|ref|WP_006847986.1|	putative glycosyltransferase [Prevotella copri] 
gi|493902230|ref|WP_006847987.1|	lipopolysaccharide biosynthesis protein [Prevotella copri] 
gi|493902231|ref|WP_006847988.1|	lipopolysaccharide cholinephosphotransferase [Prevotella copri] 
gi|493902232|ref|WP_006847989.1|	putative epimerase/dehydratase [Prevotella copri] 
gi|493902233|ref|WP_006847990.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Prevotella copri] 
gi|493902234|ref|WP_006847991.1|	serine acetyltransferase [Prevotella copri] 
gi|493902235|ref|WP_006847992.1|	hypothetical protein [Prevotella copri] 
gi|493902236|ref|WP_006847993.1|	chemotaxis protein CheY [Prevotella copri] 
gi|493902237|ref|WP_006847994.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493902238|ref|WP_006847995.1|	putative two-component system sensor histidine kinase [Prevotella copri] 
gi|493902239|ref|WP_006847996.1|	transposase [Prevotella copri] 
gi|493902240|ref|WP_006847997.1|	glycosyl transferase family 2 [Prevotella copri] 
gi|493902241|ref|WP_006847998.1|	glycosyl transferase [Prevotella copri] 
gi|493902242|ref|WP_006847999.1|	hypothetical protein [Prevotella copri] 
gi|493902243|ref|WP_006848000.1|	MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Prevotella] 
gi|493902244|ref|WP_006848001.1|	membrane protein [Prevotella copri] 
gi|493902245|ref|WP_006848002.1|	hypothetical protein [Prevotella copri] 
gi|493902246|ref|WP_006848003.1|	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [Prevotella copri] 
gi|493902247|ref|WP_006848004.1|	MULTISPECIES: elongation factor Ts [Prevotella] 
gi|493902248|ref|WP_006848005.1|	30S ribosomal protein S2 [Prevotella copri] 
gi|493902250|ref|WP_006848006.1|	MULTISPECIES: 30S ribosomal protein S9 [Prevotella] 
gi|493902251|ref|WP_006848007.1|	MULTISPECIES: 50S ribosomal protein L13 [Prevotella] 
gi|493902252|ref|WP_006848008.1|	hypothetical protein [Prevotella copri] 
gi|493902253|ref|WP_006848009.1|	hypothetical protein [Prevotella copri] 
gi|493902254|ref|WP_006848010.1|	rubredoxin [Prevotella copri] 
gi|493902255|ref|WP_006848011.1|	Fur family transcriptional regulator [Prevotella copri] 
gi|493902256|ref|WP_006848012.1|	hypothetical protein [Prevotella copri] 
gi|493902257|ref|WP_006848013.1|	hypothetical protein [Prevotella copri] 
gi|493902258|ref|WP_006848014.1|	putative ATPase [Prevotella copri] 
gi|493902259|ref|WP_006848015.1|	ATPase [Prevotella copri] 
gi|493902260|ref|WP_006848016.1|	hypothetical protein [Prevotella copri] 
gi|493902261|ref|WP_006848017.1|	glutamine synthetase [Prevotella copri] 
gi|493902262|ref|WP_006848018.1|	alpha-L-arabinofuranosidase [Prevotella copri] 
gi|493902263|ref|WP_006848019.1|	beta-galactosidase [Prevotella copri] 
gi|493902264|ref|WP_006848020.1|	hypothetical protein [Prevotella copri] 
gi|493902265|ref|WP_006848021.1|	hypothetical protein [Prevotella copri] 
gi|493902266|ref|WP_006848022.1|	hypothetical protein [Prevotella copri] 
gi|493902267|ref|WP_006848023.1|	arginyl-tRNA synthetase [Prevotella copri] 
gi|493902268|ref|WP_006848024.1|	ribonuclease H [Prevotella copri] 
gi|493902269|ref|WP_006848025.1|	hypothetical protein [Prevotella copri] 
gi|493902270|ref|WP_006848026.1|	hypothetical protein [Prevotella copri] 
gi|493902271|ref|WP_006848027.1|	hypothetical protein [Prevotella copri] 
gi|493902272|ref|WP_006848028.1|	HAD family hydrolase [Prevotella copri] 
gi|493902273|ref|WP_006848029.1|	hypothetical protein [Prevotella copri] 
gi|493902274|ref|WP_006848030.1|	alpha-glucosidase [Prevotella copri] 
gi|493902275|ref|WP_006848031.1|	threonine dehydratase [Prevotella copri] 
gi|493902276|ref|WP_006848032.1|	MULTISPECIES: endoribonuclease L-PSP [Prevotella] 
gi|493902277|ref|WP_006848033.1|	iron ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902279|ref|WP_006848034.1|	hypothetical protein [Prevotella copri] 
gi|493902280|ref|WP_006848035.1|	hypothetical protein [Prevotella copri] 
gi|493902281|ref|WP_006848036.1|	two-component system response regulator [Prevotella copri] 
gi|493902282|ref|WP_006848037.1|	putative two-component system sensor histidine kinase [Prevotella copri] 
gi|493902283|ref|WP_006848038.1|	ribosomal large subunit pseudouridine synthase A [Prevotella copri] 
gi|493902284|ref|WP_006848039.1|	transporter [Prevotella copri] 
gi|493902285|ref|WP_006848040.1|	ribokinase [Prevotella copri] 
gi|493902286|ref|WP_006848041.1|	helicase [Prevotella copri] 
gi|493902287|ref|WP_006848042.1|	hypothetical protein [Prevotella copri] 
gi|493902288|ref|WP_006848043.1|	hypothetical protein [Prevotella copri] 
gi|493902289|ref|WP_006848044.1|	ATP-binding protein [Prevotella copri] 
gi|493902290|ref|WP_006848045.1|	protein PmbA-like protein [Prevotella copri] 
gi|493902291|ref|WP_006848046.1|	hypothetical protein [Prevotella copri] 
gi|493902292|ref|WP_006848047.1|	ATP/GTP-binding protein [Prevotella copri] 
gi|493902293|ref|WP_006848048.1|	hypothetical protein [Prevotella copri] 
gi|493902294|ref|WP_006848049.1|	TonB-denpendent receptor [Prevotella copri] 
gi|493902295|ref|WP_006848050.1|	ATPase AAA [Prevotella copri] 
gi|493902296|ref|WP_006848051.1|	histidine kinase [Prevotella copri] 
gi|493902297|ref|WP_006848052.1|	toxin [Prevotella copri] 
gi|493902298|ref|WP_006848053.1|	antitoxin [Prevotella copri] 
gi|493902299|ref|WP_006848054.1|	phosphonate ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902300|ref|WP_006848055.1|	putative ABC transporter permease protein [Prevotella copri] 
gi|493902301|ref|WP_006848056.1|	transposase [Prevotella copri] 
gi|493902302|ref|WP_006848057.1|	hypothetical protein [Prevotella copri] 
gi|493902303|ref|WP_006848058.1|	ABC transporter permease [Prevotella copri] 
gi|493902304|ref|WP_006848059.1|	transporter [Prevotella copri] 
gi|493902305|ref|WP_006848060.1|	hypothetical protein [Prevotella copri] 
gi|493902306|ref|WP_006848061.1|	riboflavin biosynthesis protein RibD [Prevotella copri] 
gi|493902307|ref|WP_006848062.1|	protein-(glutamine-N5) methyltransferase [Prevotella copri] 
gi|493902308|ref|WP_006848063.1|	RecX family transcriptional regulator [Prevotella copri] 
gi|493902309|ref|WP_006848064.1|	hypothetical protein [Prevotella copri] 
gi|493902310|ref|WP_006848065.1|	ComF family protein [Prevotella copri] 
gi|493902311|ref|WP_006848066.1|	MULTISPECIES: orotate phosphoribosyltransferase [Prevotella] 
gi|493902312|ref|WP_006848067.1|	polyketide cyclase [Prevotella copri] 
gi|493902313|ref|WP_006848068.1|	argininosuccinate lyase [Prevotella copri] 
gi|493902314|ref|WP_006848069.1|	hypothetical protein [Prevotella copri] 
gi|493902315|ref|WP_006848070.1|	hypothetical protein [Prevotella copri] 
gi|493902316|ref|WP_006848071.1|	MULTISPECIES: magnesium chelatase [Prevotella] 
gi|493902317|ref|WP_006848072.1|	hypothetical protein [Prevotella copri] 
gi|493902318|ref|WP_006848073.1|	MULTISPECIES: methionyl-tRNA synthetase [Prevotella] 
gi|493902319|ref|WP_006848074.1|	hypothetical protein [Prevotella copri] 
gi|493902320|ref|WP_006848075.1|	hypothetical protein [Prevotella copri] 
gi|493902321|ref|WP_006848076.1|	ATPase AAA [Prevotella copri] 
gi|493902322|ref|WP_006848077.1|	putative outer membrane protein [Prevotella copri] 
gi|493902323|ref|WP_006848078.1|	collagen-binding protein [Prevotella copri] 
gi|493902324|ref|WP_006848079.1|	hypothetical protein [Prevotella copri] 
gi|493902325|ref|WP_006848080.1|	enoyl-ACP reductase [Prevotella copri] 
gi|493902326|ref|WP_006848081.1|	endonuclease [Prevotella copri] 
gi|493902327|ref|WP_006848082.1|	preprotein translocase subunit SecD [Prevotella copri] 
gi|493902328|ref|WP_006848083.1|	AP endonuclease [Prevotella copri] 
gi|493902329|ref|WP_006848084.1|	protease [Prevotella copri] 
gi|493902330|ref|WP_006848085.1|	MULTISPECIES: DNA-binding protein [Prevotella] 
gi|493902331|ref|WP_006848086.1|	gluconate 5-dehydrogenase [Prevotella copri] 
gi|493902332|ref|WP_006848087.1|	tyrosyl-tRNA synthetase [Prevotella copri] 
gi|493902333|ref|WP_006848088.1|	MULTISPECIES: membrane protein [Prevotella] 
gi|493902334|ref|WP_006848089.1|	ribonuclease P protein component [Prevotella copri] 
gi|493902335|ref|WP_006848090.1|	uroporphyrinogen-III synthase [Prevotella copri] 
gi|493902337|ref|WP_006848091.1|	membrane protein [Prevotella copri] 
gi|493902338|ref|WP_006848092.1|	S-adenosylmethionine synthetase [Prevotella copri] 
gi|493902339|ref|WP_006848093.1|	integrase [Prevotella copri] 
gi|493902340|ref|WP_006848094.1|	MULTISPECIES: 3-dehydroquinate dehydratase [Prevotella] 
gi|493902341|ref|WP_006848095.1|	O-methyltransferase [Prevotella copri] 
gi|493902342|ref|WP_006848096.1|	MULTISPECIES: membrane protein [Prevotella] 
gi|493902343|ref|WP_006848097.1|	MULTISPECIES: ribosome-binding factor A [Prevotella] 
gi|493902344|ref|WP_006848098.1|	glutamate racemase [Prevotella copri] 
gi|493902345|ref|WP_006848099.1|	MULTISPECIES: cationic outer membrane protein OmpH [Prevotella] 
gi|493902346|ref|WP_006848100.1|	MULTISPECIES: membrane protein [Prevotella] 
gi|493902347|ref|WP_006848101.1|	membrane protein [Prevotella copri] 
gi|493902348|ref|WP_006848102.1|	membrane protein [Prevotella copri] 
gi|493902349|ref|WP_006848103.1|	UDP pyrophosphate synthase [Prevotella copri] 
gi|493902350|ref|WP_006848104.1|	membrane protein [Prevotella copri] 
gi|493902351|ref|WP_006848105.1|	hypothetical protein [Prevotella copri] 
gi|493902352|ref|WP_006848106.1|	phosphoenolpyruvate carboxykinase [Prevotella copri] 
gi|493902353|ref|WP_006848107.1|	uracil phosphoribosyltransferase [Prevotella copri] 
gi|493902354|ref|WP_006848108.1|	hypothetical protein [Prevotella copri] 
gi|493902355|ref|WP_006848109.1|	ATPase AAA [Prevotella copri] 
gi|493902356|ref|WP_006848110.1|	putative Na+-dependent phosphate transporter [Prevotella copri] 
gi|493902357|ref|WP_006848111.1|	hypothetical protein [Prevotella copri] 
gi|493902358|ref|WP_006848112.1|	ATP-binding protein [Prevotella copri] 
gi|493902359|ref|WP_006848113.1|	hypothetical protein [Prevotella copri] 
gi|493902360|ref|WP_006848114.1|	hypothetical protein [Prevotella copri] 
gi|493902361|ref|WP_006848115.1|	serine/threonine protein kinase Stk1 [Prevotella copri] 
gi|493902362|ref|WP_006848116.1|	NAD-dependent dehydratase [Prevotella copri] 
gi|493902363|ref|WP_006848117.1|	hypothetical protein [Prevotella copri] 
gi|493902364|ref|WP_006848118.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [Prevotella copri] 
gi|493902365|ref|WP_006848119.1|	antibiotic ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902366|ref|WP_006848120.1|	acetyltransferase [Prevotella copri] 
gi|493902367|ref|WP_006848121.1|	ATPase AAA [Prevotella copri] 
gi|493902368|ref|WP_006848122.1|	hypothetical protein [Prevotella copri] 
gi|493902369|ref|WP_006848123.1|	putative galactofuranosyltransferase [Prevotella copri] 
gi|493902370|ref|WP_006848124.1|	lipopolysaccharide biosynthesis protein [Prevotella copri] 
gi|493902371|ref|WP_006848125.1|	glycosyl transferase family 1 [Prevotella copri] 
gi|493902372|ref|WP_006848126.1|	glycosyltransferase [Prevotella copri] 
gi|493902373|ref|WP_006848127.1|	hypothetical protein [Prevotella copri] 
gi|493902374|ref|WP_006848128.1|	hypothetical protein [Prevotella copri] 
gi|493902375|ref|WP_006848129.1|	hypothetical protein [Prevotella copri] 
gi|493902376|ref|WP_006848130.1|	hypothetical protein [Prevotella copri] 
gi|493902377|ref|WP_006848131.1|	ATPase AAA [Prevotella copri] 
gi|493902378|ref|WP_006848132.1|	hypothetical protein [Prevotella copri] 
gi|493902379|ref|WP_006848133.1|	hypothetical protein [Prevotella copri] 
gi|493902380|ref|WP_006848134.1|	hypothetical protein [Prevotella copri] 
gi|493902381|ref|WP_006848135.1|	arylsulfatase [Prevotella copri] 
gi|493902382|ref|WP_006848136.1|	transposase IS4 family protein [Prevotella copri] 
gi|493902383|ref|WP_006848137.1|	putative outer membrane protein [Prevotella copri] 
gi|493902384|ref|WP_006848138.1|	hypothetical protein [Prevotella copri] 
gi|493902385|ref|WP_006848139.1|	GBSi1 group II intron maturase [Prevotella copri] 
gi|493902386|ref|WP_006848140.1|	reverse transcriptase [Prevotella copri] 
gi|493902387|ref|WP_006848141.1|	magnesium chelatase [Prevotella copri] 
gi|493902388|ref|WP_006848142.1|	putative excisionase [Prevotella copri] 
gi|493902389|ref|WP_006848143.1|	hypothetical protein [Prevotella copri] 
gi|493902390|ref|WP_006848144.1|	hypothetical protein [Prevotella copri] 
gi|493902391|ref|WP_006848145.1|	glycosyltransferase [Prevotella copri] 
gi|493902392|ref|WP_006848146.1|	hypothetical protein [Prevotella copri] 
gi|493902393|ref|WP_006848147.1|	DNA-binding protein [Prevotella copri] 
gi|493902394|ref|WP_006848148.1|	hypothetical protein [Prevotella copri] 
gi|493902395|ref|WP_006848149.1|	glutamine cyclotransferase [Prevotella copri] 
gi|493902396|ref|WP_006848150.1|	glutamine amidotransferase [Prevotella copri] 
gi|493902397|ref|WP_006848151.1|	MULTISPECIES: transcriptional regulator [Prevotella] 
gi|493902398|ref|WP_006848152.1|	putative xylosidase [Prevotella copri] 
gi|493902399|ref|WP_006848153.1|	hypothetical protein [Prevotella copri] 
gi|493902400|ref|WP_006848154.1|	peptidylprolyl isomerase [Prevotella copri] 
gi|493902401|ref|WP_006848155.1|	peptidylprolyl isomerase [Prevotella copri] 
gi|493902402|ref|WP_006848156.1|	peptidylprolyl isomerase [Prevotella copri] 
gi|493902403|ref|WP_006848157.1|	NAD-dependent protein deacylase [Prevotella copri] 
gi|493902404|ref|WP_006848158.1|	putative transmembrane Na+/Pi-cotransporter [Prevotella copri] 
gi|493902405|ref|WP_006848159.1|	ribonuclease R [Prevotella copri] 
gi|493902406|ref|WP_006848160.1|	hypothetical protein [Prevotella copri] 
gi|493902407|ref|WP_006848161.1|	hypothetical protein [Prevotella copri] 
gi|493902408|ref|WP_006848162.1|	hypothetical protein [Prevotella copri] 
gi|493902409|ref|WP_006848163.1|	amino acid carrier protein AlsT [Prevotella copri] 
gi|493902410|ref|WP_006848164.1|	amino acid carrier protein [Prevotella copri] 
gi|493902411|ref|WP_006848165.1|	alanine dehydrogenase [Prevotella copri] 
gi|493902412|ref|WP_006848166.1|	MULTISPECIES: sporulation initiation inhibitor protein Soj [Prevotella] 
gi|493902413|ref|WP_006848167.1|	MULTISPECIES: putative ribosomal protein S20 [Prevotella] 
gi|493902414|ref|WP_006848168.1|	putative initiator RepB protein [Prevotella copri] 
gi|493902415|ref|WP_006848169.1|	hypothetical protein [Prevotella copri] 
gi|493902416|ref|WP_006848170.1|	hypothetical protein [Prevotella copri] 
gi|493902418|ref|WP_006848171.1|	hypothetical protein [Prevotella copri] 
gi|493902419|ref|WP_006848172.1|	hypothetical protein [Prevotella copri] 
gi|493902420|ref|WP_006848173.1|	alcohol dehydrogenase [Prevotella copri] 
gi|493902421|ref|WP_006848174.1|	putative arginase [Prevotella copri] 
gi|493902422|ref|WP_006848175.1|	threonine aldolase [Prevotella copri] 
gi|493902423|ref|WP_006848176.1|	hypothetical protein partial [Prevotella copri] 
gi|493902424|ref|WP_006848177.1|	hypothetical protein [Prevotella copri] 
gi|493902425|ref|WP_006848178.1|	methylated-DNA--protein-cysteine methyltransferase [Prevotella copri] 
gi|493902426|ref|WP_006848179.1|	fosmidomycin resistance protein [Prevotella copri] 
gi|493902427|ref|WP_006848180.1|	sodium:proton antiporter [Prevotella copri] 
gi|493902428|ref|WP_006848181.1|	putative cytoplasmic protein [Prevotella copri] 
gi|493902429|ref|WP_006848182.1|	nitroreductase [Prevotella copri] 
gi|493902430|ref|WP_006848183.1|	XRE family transcriptional regulator [Prevotella copri] 
gi|493902431|ref|WP_006848184.1|	toxin-antitoxin system toxin component HipA family [Prevotella copri] 
gi|493902432|ref|WP_006848185.1|	hypothetical protein [Prevotella copri] 
gi|493902433|ref|WP_006848186.1|	toxin-antitoxin system toxin component HipA family [Prevotella copri] 
gi|493902434|ref|WP_006848187.1|	nitroreductase family protein partial [Prevotella copri] 
gi|493902435|ref|WP_006848188.1|	XRE family transcriptional regulator [Prevotella copri] 
gi|493902436|ref|WP_006848189.1|	hypothetical protein [Prevotella copri] 
gi|493902437|ref|WP_006848190.1|	hypothetical protein [Prevotella copri] 
gi|493902438|ref|WP_006848191.1|	toxin-antitoxin system toxin component HipA family [Prevotella copri] 
gi|493902439|ref|WP_006848192.1|	transcriptional regulator [Prevotella copri] 
gi|493902440|ref|WP_006848193.1|	hypothetical protein [Prevotella copri] 
gi|493902441|ref|WP_006848194.1|	DNA helicase [Prevotella copri] 
gi|493902442|ref|WP_006848195.1|	acetyltransferase [Prevotella copri] 
gi|493902443|ref|WP_006848196.1|	ATP synthase epsilon chain [Prevotella copri] 
gi|493902444|ref|WP_006848197.1|	hypothetical protein [Prevotella copri] 
gi|493902445|ref|WP_006848198.1|	glycosyltransferase family 1 [Prevotella copri] 
gi|493902446|ref|WP_006848199.1|	radical SAM protein [Prevotella copri] 
gi|493902447|ref|WP_006848200.1|	glycosyltransferase family 1 [Prevotella copri] 
gi|493902448|ref|WP_006848201.1|	putative KID repeat protein [Prevotella copri] 
gi|493902450|ref|WP_006848202.1|	hemolysin III [Prevotella copri] 
gi|493902451|ref|WP_006848203.1|	ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902452|ref|WP_006848204.1|	hypothetical protein [Prevotella copri] 
gi|493902453|ref|WP_006848205.1|	GntR family transcriptional regulator [Prevotella copri] 
gi|493902454|ref|WP_006848206.1|	MULTISPECIES: ABC transporter ATP-binding protein [Prevotella] 
gi|493902455|ref|WP_006848207.1|	ABC transporter permease [Prevotella copri] 
gi|493902456|ref|WP_006848208.1|	ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902457|ref|WP_006848209.1|	RND transporter MFP subunit [Prevotella copri] 
gi|493902458|ref|WP_006848210.1|	glucosamine-6-phosphate deaminase [Prevotella copri] 
gi|493902459|ref|WP_006848211.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493902460|ref|WP_006848212.1|	helicase [Prevotella copri] 
gi|493902461|ref|WP_006848213.1|	hypothetical protein [Prevotella copri] 
gi|493902462|ref|WP_006848214.1|	hypothetical protein [Prevotella copri] 
gi|493902463|ref|WP_006848215.1|	ATPase AAA [Prevotella copri] 
gi|493902464|ref|WP_006848216.1|	putative outer membrane insertion C- signal [Prevotella copri] 
gi|493902465|ref|WP_006848217.1|	putative leucine Rich repeat-containing domain protein [Prevotella copri] 
gi|493902466|ref|WP_006848218.1|	hypothetical protein [Prevotella copri] 
gi|493902467|ref|WP_006848219.1|	hypothetical protein [Prevotella copri] 
gi|493902468|ref|WP_006848220.1|	ATPase [Prevotella copri] 
gi|493902469|ref|WP_006848221.1|	hypothetical protein [Prevotella copri] 
gi|493902470|ref|WP_006848222.1|	hypothetical protein [Prevotella copri] 
gi|493902471|ref|WP_006848223.1|	leucyl-tRNA synthetase [Prevotella copri] 
gi|493902472|ref|WP_006848224.1|	membrane protein [Prevotella copri] 
gi|493902473|ref|WP_006848225.1|	deoxyribonucleoside-triphosphatase [Prevotella copri] 
gi|493902474|ref|WP_006848226.1|	glycosyl transferase group 2 family [Prevotella copri] 
gi|493902475|ref|WP_006848227.1|	hypothetical protein [Prevotella copri] 
gi|493902476|ref|WP_006848228.1|	hypothetical protein [Prevotella copri] 
gi|493902477|ref|WP_006848229.1|	hypothetical protein [Prevotella copri] 
gi|493902478|ref|WP_006848230.1|	hypothetical protein [Prevotella copri] 
gi|493902479|ref|WP_006848231.1|	CotH protein [Prevotella copri] 
gi|493902480|ref|WP_006848232.1|	hypothetical protein [Prevotella copri] 
gi|493902481|ref|WP_006848233.1|	glycosyl transferase CpsJ [Prevotella copri] 
gi|493902482|ref|WP_006848234.1|	glycosyl transferase family 2 [Prevotella copri] 
gi|493902483|ref|WP_006848235.1|	glycosyltransferase [Prevotella copri] 
gi|493902484|ref|WP_006848236.1|	quinolinate synthetase [Prevotella copri] 
gi|493902485|ref|WP_006848237.1|	hypothetical protein [Prevotella copri] 
gi|493902486|ref|WP_006848238.1|	glycosyl transferase family 1 [Prevotella copri] 
gi|493902487|ref|WP_006848239.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493902488|ref|WP_006848240.1|	MULTISPECIES: acyl carrier protein [Prevotella] 
gi|493902489|ref|WP_006848241.1|	3-oxoacyl-ACP synthase [Prevotella copri] 
gi|493902490|ref|WP_006848242.1|	ribonuclease III [Prevotella copri] 
gi|493902491|ref|WP_006848243.1|	GH3 auxin-responsive promoter family protein [Prevotella copri] 
gi|493902492|ref|WP_006848244.1|	hypothetical protein [Prevotella copri] 
gi|493902493|ref|WP_006848245.1|	hypothetical protein [Prevotella copri] 
gi|493902494|ref|WP_006848246.1|	putative sensor histidine kinase [Prevotella copri] 
gi|493902495|ref|WP_006848247.1|	hypothetical protein [Prevotella copri] 
gi|493902496|ref|WP_006848248.1|	chemotaxis protein CheY [Prevotella copri] 
gi|493902497|ref|WP_006848249.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Prevotella copri] 
gi|493902498|ref|WP_006848250.1|	MULTISPECIES: phosphoribosylaminoimidazole carboxylase [Prevotella] 
gi|493902499|ref|WP_006848251.1|	MULTISPECIES: membrane protein [Prevotella] 
gi|493902500|ref|WP_006848252.1|	RNA polymerase sigma54 factor [Prevotella copri] 
gi|493902501|ref|WP_006848253.1|	hypothetical protein [Prevotella copri] 
gi|493902502|ref|WP_006848254.1|	cysteine peptidase [Prevotella copri] 
gi|493902503|ref|WP_006848255.1|	hypothetical protein [Prevotella copri] 
gi|493902504|ref|WP_006848256.1|	collagenase [Prevotella copri] 
gi|493902505|ref|WP_006848257.1|	MULTISPECIES: Fe-S metabolism protein SufE [Prevotella] 
gi|493902506|ref|WP_006848258.1|	RNA methyltransferase [Prevotella copri] 
gi|493902507|ref|WP_006848259.1|	putative ATPase [Prevotella copri] 
gi|493902508|ref|WP_006848260.1|	transcriptional antiterminator of glycerol uptake operon [Prevotella copri] 
gi|493902509|ref|WP_006848261.1|	DNA-binding protein [Prevotella copri] 
gi|493902510|ref|WP_006848262.1|	ABC transporter permease [Prevotella copri] 
