gi|491884269|ref|WP_005651557.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491890044|ref|WP_005654794.1|	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase [Bacteroides stercoris] 
gi|491890046|ref|WP_005654796.1|	histidinol-phosphate aminotransferase [Bacteroides stercoris] 
gi|491890047|ref|WP_005654797.1|	imidazoleglycerol-phosphate dehydratase [Bacteroides stercoris] 
gi|491890048|ref|WP_005654798.1|	membrane protein [Bacteroides stercoris] 
gi|491890049|ref|WP_005654799.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491890050|ref|WP_005654800.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|491890051|ref|WP_005654801.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890052|ref|WP_005654802.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890053|ref|WP_005654803.1|	transporter [Bacteroides stercoris] 
gi|491890054|ref|WP_005654804.1|	collagen-binding protein [Bacteroides stercoris] 
gi|491890055|ref|WP_005654805.1|	inositol-3-phosphate synthase [Bacteroides stercoris] 
gi|491890056|ref|WP_005654806.1|	phosphatidylglycerophosphatase [Bacteroides stercoris] 
gi|491890057|ref|WP_005654807.1|	CDP-alcohol phosphatidyltransferase [Bacteroides stercoris] 
gi|491890058|ref|WP_005654808.1|	MULTISPECIES: CDP-diacylglycerol-inositol 3-phosphatidyltransferase [Bacteroides] 
gi|491890059|ref|WP_005654809.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890060|ref|WP_005654810.1|	NADH-dependent butanol dehydrogenase [Bacteroides stercoris] 
gi|491890061|ref|WP_005654811.1|	ribonuclease G [Bacteroides stercoris] 
gi|491890062|ref|WP_005654812.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890063|ref|WP_005654813.1|	DNA-binding protein [Bacteroides stercoris] 
gi|491890064|ref|WP_005654814.1|	adenine glycosylase [Bacteroides stercoris] 
gi|491890065|ref|WP_005654815.1|	MULTISPECIES: single-stranded DNA-binding protein [Bacteroides] 
gi|491890066|ref|WP_005654816.1|	hemolysin [Bacteroides stercoris] 
gi|491890067|ref|WP_005654817.1|	siderophore biosynthesis protein [Bacteroides stercoris] 
gi|491890068|ref|WP_005654818.1|	L-cysteine desulfhydrase [Bacteroides stercoris] 
gi|491890069|ref|WP_005654819.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890070|ref|WP_005654820.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|491885726|ref|WP_005652157.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491890071|ref|WP_005654821.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890072|ref|WP_005654822.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890075|ref|WP_005654825.1|	TonB-linked outer membrane protein [Bacteroides stercoris] 
gi|491890078|ref|WP_005654828.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890080|ref|WP_005654830.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890082|ref|WP_005654832.1|	MULTISPECIES: ABC transporter [Bacteroides] 
gi|491890084|ref|WP_005654834.1|	histidinol phosphatase [Bacteroides stercoris] 
gi|491890086|ref|WP_005654836.1|	thioredoxin [Bacteroides stercoris] 
gi|491890088|ref|WP_005654838.1|	thioredoxin [Bacteroides stercoris] 
gi|491890089|ref|WP_005654839.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890091|ref|WP_005654841.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890094|ref|WP_005654844.1|	sulfatase-maturase [Bacteroides stercoris] 
gi|491890096|ref|WP_005654846.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890098|ref|WP_005654848.1|	MULTISPECIES: thiol:disulfide interchange protein [Bacteroides] 
gi|491890100|ref|WP_005654850.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Bacteroides stercoris] 
gi|491890102|ref|WP_005654852.1|	phosphoesterase [Bacteroides stercoris] 
gi|491890103|ref|WP_005654853.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890105|ref|WP_005654855.1|	RNA polymerase sigma70 factor [Bacteroides stercoris] 
gi|491890107|ref|WP_005654857.1|	5-methyltetrahydrofolate--homocysteine methyltransferase [Bacteroides stercoris] 
gi|491890109|ref|WP_005654859.1|	dihydroorotase [Bacteroides stercoris] 
gi|491890110|ref|WP_005654860.1|	dolichyl-phosphate beta-D-mannosyltransferase [Bacteroides stercoris] 
gi|491890112|ref|WP_005654862.1|	transcription-repair coupling factor [Bacteroides stercoris] 
gi|491890114|ref|WP_005654864.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890116|ref|WP_005654866.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890118|ref|WP_005654868.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890119|ref|WP_005654869.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890120|ref|WP_005654870.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890122|ref|WP_005654872.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890124|ref|WP_005654874.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890126|ref|WP_005654876.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890129|ref|WP_005654879.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890131|ref|WP_005654881.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890132|ref|WP_005654882.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890133|ref|WP_005654883.1|	xanthan lyase [Bacteroides stercoris] 
gi|491890134|ref|WP_005654884.1|	glucosamine-6-phosphate deaminase [Bacteroides stercoris] 
gi|491890135|ref|WP_005654885.1|	MULTISPECIES: N-acetylglucosamine-6-phosphate deacetylase [Bacteroides] 
gi|491890136|ref|WP_005654886.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890137|ref|WP_005654887.1|	carbon-nitrogen hydrolase [Bacteroides stercoris] 
gi|491890138|ref|WP_005654888.1|	MULTISPECIES: acyltransferase [Bacteroides] 
gi|491890139|ref|WP_005654889.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890140|ref|WP_005654890.1|	acriflavin resistance protein [Bacteroides stercoris] 
gi|491890141|ref|WP_005654891.1|	MULTISPECIES: aminoglycoside transporter [Bacteroides] 
gi|491890142|ref|WP_005654892.1|	membrane protein [Bacteroides stercoris] 
gi|491890143|ref|WP_005654893.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890144|ref|WP_005654894.1|	diphosphate--fructose-6-phosphate 1-phosphotransferase [Bacteroides stercoris] 
gi|491890146|ref|WP_005654896.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890148|ref|WP_005654898.1|	50S ribosomal protein L11 methyltransferase [Bacteroides stercoris] 
gi|491890150|ref|WP_005654900.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890152|ref|WP_005654902.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890153|ref|WP_005654903.1|	hemin receptor [Bacteroides stercoris] 
gi|491890154|ref|WP_005654904.1|	MULTISPECIES: rubrerythrin [Bacteroides] 
gi|491890156|ref|WP_005654906.1|	Fur family transcriptional regulator [Bacteroides stercoris] 
gi|491890158|ref|WP_005654908.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890160|ref|WP_005654910.1|	NAD synthetase [Bacteroides stercoris] 
gi|491890162|ref|WP_005654912.1|	glutamine ABC transporter substrate-binding protein [Bacteroides stercoris] 
gi|491890164|ref|WP_005654914.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890166|ref|WP_005654916.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890168|ref|WP_005654918.1|	MULTISPECIES: hisitidine kinase [Bacteroides] 
gi|491890170|ref|WP_005654920.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890172|ref|WP_005654922.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890174|ref|WP_005654924.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890175|ref|WP_005654925.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890177|ref|WP_005654927.1|	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [Bacteroides stercoris] 
gi|491890179|ref|WP_005654929.1|	MULTISPECIES: 2-oxoglutarate oxidoreductase [Bacteroides] 
gi|491890181|ref|WP_005654931.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890183|ref|WP_005654933.1|	MULTISPECIES: 2-ketoisovalerate ferredoxin reductase [Bacteroides] 
gi|490417476|ref|WP_004289820.1|	MULTISPECIES: ferredoxin [Bacteroides] 
gi|491890185|ref|WP_005654935.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890187|ref|WP_005654937.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890188|ref|WP_005654938.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890190|ref|WP_005654940.1|	glycoside hydrolase [Bacteroides stercoris] 
gi|491890192|ref|WP_005654942.1|	MULTISPECIES: ribose 5-phosphate isomerase [Bacteroides] 
gi|491890194|ref|WP_005654944.1|	transketolase [Bacteroides stercoris] 
gi|491890195|ref|WP_005654945.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890196|ref|WP_005654946.1|	galactokinase [Bacteroides stercoris] 
gi|491890197|ref|WP_005654947.1|	major facilitator transporter [Bacteroides stercoris] 
gi|491890198|ref|WP_005654948.1|	aldose 1-epimerase [Bacteroides stercoris] 
gi|491890199|ref|WP_005654949.1|	mannose-6-phosphate isomerase [Bacteroides stercoris] 
gi|491890200|ref|WP_005654950.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890201|ref|WP_005654951.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890202|ref|WP_005654952.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491890203|ref|WP_005654953.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491890204|ref|WP_005654954.1|	sugar transferase [Bacteroides stercoris] 
gi|491890205|ref|WP_005654955.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890206|ref|WP_005654956.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890208|ref|WP_005654958.1|	glycosyltransferase family 8 [Bacteroides stercoris] 
gi|491890210|ref|WP_005654960.1|	transferase [Bacteroides stercoris] 
gi|491890212|ref|WP_005654962.1|	glycosyltransferase family 1 [Bacteroides stercoris] 
gi|491890214|ref|WP_005654964.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890216|ref|WP_005654966.1|	glycosyltransferase family 2 [Bacteroides stercoris] 
gi|491890218|ref|WP_005654968.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890220|ref|WP_005654970.1|	UDP-glucose 6-dehydrogenase [Bacteroides stercoris] 
gi|491890221|ref|WP_005654971.1|	amylovoran biosynthesis protein AmsE [Bacteroides stercoris] 
gi|491890223|ref|WP_005654973.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890225|ref|WP_005654975.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491890226|ref|WP_005654976.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890228|ref|WP_005654978.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890229|ref|WP_005654979.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890231|ref|WP_005654981.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890232|ref|WP_005654982.1|	MULTISPECIES: cell division protein [Bacteroides] 
gi|491890234|ref|WP_005654984.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890236|ref|WP_005654986.1|	3'-5'-bisphosphate nucleotidase [Bacteroides stercoris] 
gi|491890237|ref|WP_005654987.1|	sodium:solute symporter [Bacteroides stercoris] 
gi|491890239|ref|WP_005654989.1|	adenylylsulfate kinase [Bacteroides stercoris] 
gi|491890240|ref|WP_005654990.1|	sulfate adenylyltransferase subunit 2 [Bacteroides stercoris] 
gi|491890241|ref|WP_005654991.1|	MULTISPECIES: sulfate adenylyltransferase [Bacteroides] 
gi|491890243|ref|WP_005654993.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890244|ref|WP_005654994.1|	glycoside hydrolase xylanase [Bacteroides stercoris] 
gi|491890246|ref|WP_005654996.1|	MULTISPECIES: Holliday junction resolvase [Bacteroides] 
gi|491890247|ref|WP_005654997.1|	MULTISPECIES: peptide deformylase [Bacteroides] 
gi|491890249|ref|WP_005654999.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890250|ref|WP_005655000.1|	MULTISPECIES: threonyl-tRNA synthetase [Bacteroides] 
gi|491890251|ref|WP_005655001.1|	translation initiation factor IF-3 [Bacteroides stercoris] 
gi|491890252|ref|WP_005655002.1|	MULTISPECIES: 50S ribosomal protein L35 [Bacteroides] 
gi|490417554|ref|WP_004289896.1|	MULTISPECIES: 50S ribosomal protein L20 [Bacteroides] 
gi|491890253|ref|WP_005655003.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890254|ref|WP_005655004.1|	phenylacetate-CoA ligase [Bacteroides stercoris] 
gi|491890255|ref|WP_005655005.1|	indolepyruvate oxidoreductase [Bacteroides stercoris] 
gi|491890256|ref|WP_005655006.1|	indolepyruvate ferredoxin oxidoreductase [Bacteroides stercoris] 
gi|491890257|ref|WP_005655007.1|	aminodeoxychorismate lyase [Bacteroides stercoris] 
gi|491890258|ref|WP_005655008.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890259|ref|WP_005655009.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890260|ref|WP_005655010.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890261|ref|WP_005655011.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890262|ref|WP_005655012.1|	capsule polysaccharide transporter [Bacteroides stercoris] 
gi|491890263|ref|WP_005655013.1|	chain-length determining protein [Bacteroides stercoris] 
gi|491890264|ref|WP_005655014.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890266|ref|WP_005655016.1|	transcriptional regulator [Bacteroides stercoris] 
gi|491890268|ref|WP_005655018.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890270|ref|WP_005655020.1|	MFS transporter [Bacteroides stercoris] 
gi|491890271|ref|WP_005655021.1|	N-acetylneuraminate lyase [Bacteroides stercoris] 
gi|491890274|ref|WP_005655024.1|	N-acylglucosamine 2-epimerase [Bacteroides stercoris] 
gi|491890276|ref|WP_005655026.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890277|ref|WP_005655027.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890280|ref|WP_005655030.1|	tyrosine recombinase [Bacteroides stercoris] 
gi|488625493|ref|WP_002562202.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491890283|ref|WP_005655033.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491890285|ref|WP_005655035.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890288|ref|WP_005655038.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890290|ref|WP_005655040.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890291|ref|WP_005655041.1|	hypothetical protein [Bacteroides stercoris] 
gi|488625488|ref|WP_002562197.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890293|ref|WP_005655043.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890294|ref|WP_005655044.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890295|ref|WP_005655045.1|	rteB response regulator [Bacteroides stercoris] 
gi|491890296|ref|WP_005655046.1|	histidine kinase [Bacteroides stercoris] 
gi|490442176|ref|WP_004313141.1|	MULTISPECIES: alpha-glucosidase [Bacteroides] 
gi|491890297|ref|WP_005655047.1|	glycosyl hydrolase family 31 [Bacteroides stercoris] 
gi|491890298|ref|WP_005655048.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890299|ref|WP_005655049.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490442172|ref|WP_004313137.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|490442171|ref|WP_004313136.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|491890301|ref|WP_005655051.1|	MULTISPECIES: regulatory protein [Bacteroides] 
gi|491890303|ref|WP_005655053.1|	membrane protein [Bacteroides stercoris] 
gi|491890304|ref|WP_005655054.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890306|ref|WP_005655056.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890308|ref|WP_005655058.1|	chromosome partitioning protein ParB [Bacteroides stercoris] 
gi|491890310|ref|WP_005655060.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890312|ref|WP_005655062.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890314|ref|WP_005655064.1|	peptidase M48 [Bacteroides stercoris] 
gi|491890316|ref|WP_005655066.1|	conjugal transfer protein TraQ [Bacteroides stercoris] 
gi|491890319|ref|WP_005655069.1|	conjugal transfer protein TraO [Bacteroides stercoris] 
gi|491890320|ref|WP_005655070.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890322|ref|WP_005655072.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890323|ref|WP_005655073.1|	conjugal transfer protein [Bacteroides stercoris] 
gi|491890326|ref|WP_005655076.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890330|ref|WP_005655080.1|	MULTISPECIES: conjugal transfer protein [Bacteroides] 
gi|491890332|ref|WP_005655082.1|	conjugal transfer protein [Bacteroides stercoris] 
gi|491890334|ref|WP_005655084.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890336|ref|WP_005655086.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890340|ref|WP_005655090.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890342|ref|WP_005655092.1|	conjugal transfer protein [Bacteroides stercoris] 
gi|491890344|ref|WP_005655094.1|	RNA-directed DNA polymerase [Bacteroides stercoris] 
gi|491890346|ref|WP_005655096.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890348|ref|WP_005655098.1|	conjugal transfer protein TraG [Bacteroides stercoris] 
gi|491890349|ref|WP_005655099.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890351|ref|WP_005655101.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890353|ref|WP_005655103.1|	MULTISPECIES: conjugal transfer protein [Bacteroides] 
gi|491890354|ref|WP_005655104.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890356|ref|WP_005655106.1|	conjugal transfer protein [Bacteroides stercoris] 
gi|491890358|ref|WP_005655108.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890360|ref|WP_005655110.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890361|ref|WP_005655111.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890362|ref|WP_005655112.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890363|ref|WP_005655113.1|	conjugal transfer protein [Bacteroides stercoris] 
gi|491890364|ref|WP_005655114.1|	conjugal transfer protein TraA [Bacteroides stercoris] 
gi|491890365|ref|WP_005655115.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890366|ref|WP_005655116.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890370|ref|WP_005655120.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491890372|ref|WP_005655122.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890374|ref|WP_005655124.1|	mobilization protein [Bacteroides stercoris] 
gi|491890376|ref|WP_005655126.1|	conjugal transfer protein TraG [Bacteroides stercoris] 
gi|491890377|ref|WP_005655127.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890379|ref|WP_005655129.1|	mobilization protein [Bacteroides stercoris] 
gi|491890381|ref|WP_005655131.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890383|ref|WP_005655133.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890385|ref|WP_005655135.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890387|ref|WP_005655137.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491890389|ref|WP_005655139.1|	DNA methylase [Bacteroides stercoris] 
gi|491890391|ref|WP_005655141.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890393|ref|WP_005655143.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890395|ref|WP_005655145.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890396|ref|WP_005655146.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890397|ref|WP_005655147.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890398|ref|WP_005655148.1|	TonB-dependent receptor [Bacteroides stercoris] 
gi|491890399|ref|WP_005655149.1|	membrane protein [Bacteroides stercoris] 
gi|491890400|ref|WP_005655150.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890401|ref|WP_005655151.1|	sialidase [Bacteroides stercoris] 
gi|491890402|ref|WP_005655152.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890403|ref|WP_005655153.1|	mutarotase [Bacteroides stercoris] 
gi|491890404|ref|WP_005655154.1|	molecular chaperone DnaJ [Bacteroides stercoris] 
gi|491890405|ref|WP_005655155.1|	molecular chaperone GrpE [Bacteroides stercoris] 
gi|491890406|ref|WP_005655156.1|	MULTISPECIES: ABC transporter [Bacteroides] 
gi|491890407|ref|WP_005655157.1|	CAAX amino terminal protease [Bacteroides stercoris] 
gi|491890408|ref|WP_005655158.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890409|ref|WP_005655159.1|	RNA-binding protein [Bacteroides stercoris] 
gi|491890410|ref|WP_005655160.1|	2' 3'-cyclic nucleotide 2'-phosphodiesterase [Bacteroides stercoris] 
gi|491890411|ref|WP_005655161.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890412|ref|WP_005655162.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890413|ref|WP_005655163.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890414|ref|WP_005655164.1|	TonB-denpendent receptor [Bacteroides stercoris] 
gi|491890415|ref|WP_005655165.1|	AraC family transcriptional regulator [Bacteroides stercoris] 
gi|491890416|ref|WP_005655166.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890417|ref|WP_005655167.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890418|ref|WP_005655168.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890419|ref|WP_005655169.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890420|ref|WP_005655170.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890421|ref|WP_005655171.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890422|ref|WP_005655172.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890423|ref|WP_005655173.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890424|ref|WP_005655174.1|	hypothetical protein [Bacteroides stercoris] 
gi|491888112|ref|WP_005653833.1|	transposase [Bacteroides stercoris] 
gi|491890426|ref|WP_005655176.1|	glycosyltransferase family 1 [Bacteroides stercoris] 
gi|491890427|ref|WP_005655177.1|	glycosyl transferase [Bacteroides stercoris] 
gi|491890429|ref|WP_005655179.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890430|ref|WP_005655180.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890432|ref|WP_005655182.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890435|ref|WP_005655185.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890436|ref|WP_005655186.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890439|ref|WP_005655189.1|	XRE family transcriptional regulator [Bacteroides stercoris] 
gi|491890441|ref|WP_005655191.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890443|ref|WP_005655193.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890444|ref|WP_005655194.1|	topoisomerase [Bacteroides stercoris] 
gi|491890445|ref|WP_005655195.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890447|ref|WP_005655197.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491890450|ref|WP_005655200.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491890452|ref|WP_005655202.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Bacteroides] 
gi|491890454|ref|WP_005655204.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491890456|ref|WP_005655206.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890457|ref|WP_005655207.1|	tyrosine protein kinase [Bacteroides stercoris] 
gi|491890460|ref|WP_005655210.1|	sugar transporter [Bacteroides stercoris] 
gi|491890461|ref|WP_005655211.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890462|ref|WP_005655212.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890463|ref|WP_005655213.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890464|ref|WP_005655214.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890465|ref|WP_005655215.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890466|ref|WP_005655216.1|	cyclic nucleotide-binding protein [Bacteroides stercoris] 
gi|491890467|ref|WP_005655217.1|	multidrug transporter MatE [Bacteroides stercoris] 
gi|491890468|ref|WP_005655218.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890469|ref|WP_005655219.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890470|ref|WP_005655220.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890471|ref|WP_005655221.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890472|ref|WP_005655222.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890473|ref|WP_005655223.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890479|ref|WP_005655229.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890481|ref|WP_005655231.1|	membrane protein [Bacteroides stercoris] 
gi|491890483|ref|WP_005655233.1|	aquaporin [Bacteroides stercoris] 
gi|491890484|ref|WP_005655234.1|	MULTISPECIES: mechanosensitive ion channel protein [Bacteroides] 
gi|491890485|ref|WP_005655235.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890486|ref|WP_005655236.1|	MULTISPECIES: autotransporter [Bacteroides] 
gi|491890487|ref|WP_005655237.1|	cell surface protein [Bacteroides stercoris] 
gi|491890488|ref|WP_005655238.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890489|ref|WP_005655239.1|	transporter [Bacteroides stercoris] 
gi|491890490|ref|WP_005655240.1|	fructose-1,6-bisphosphatase [Bacteroides stercoris] 
gi|491890491|ref|WP_005655241.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890492|ref|WP_005655242.1|	sulfatase [Bacteroides stercoris] 
gi|491890493|ref|WP_005655243.1|	MULTISPECIES: long-chain fatty acid--CoA ligase [Bacteroides] 
gi|491890494|ref|WP_005655244.1|	GDP-4-keto-6-deoxy-D-mannose-3 5-epimerase-4-reductase [Bacteroides stercoris] 
gi|491890496|ref|WP_005655246.1|	GDP-mannose 4,6-dehydratase [Bacteroides stercoris] 
gi|491890498|ref|WP_005655248.1|	6-phosphogluconate dehydrogenase [Bacteroides stercoris] 
gi|491890500|ref|WP_005655250.1|	glucose-6-phosphate 1-dehydrogenase [Bacteroides stercoris] 
gi|491890502|ref|WP_005655252.1|	6-phosphogluconolactonase [Bacteroides stercoris] 
gi|491890504|ref|WP_005655254.1|	membrane protein [Bacteroides stercoris] 
gi|491890506|ref|WP_005655256.1|	pyridoxamine 5'-phosphate oxidase [Bacteroides stercoris] 
gi|491890508|ref|WP_005655258.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890509|ref|WP_005655259.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890511|ref|WP_005655261.1|	hypothetical protein [Bacteroides stercoris] 
gi|491890513|ref|WP_005655263.1|	regulatory protein [Bacteroides stercoris] 
