gi|490935456|ref|WP_004797295.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937488|ref|WP_004799325.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937490|ref|WP_004799327.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937492|ref|WP_004799329.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937494|ref|WP_004799331.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937495|ref|WP_004799332.1|	MULTISPECIES: elongation factor P [Firmicutes] 
gi|490937497|ref|WP_004799334.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937498|ref|WP_004799335.1|	cytidylate kinase [[Eubacterium] dolichum] 
gi|490937499|ref|WP_004799336.1|	GTP-binding protein Der [[Eubacterium] dolichum] 
gi|490937501|ref|WP_004799338.1|	peptide chain release factor 3 [[Eubacterium] dolichum] 
gi|490937503|ref|WP_004799340.1|	stage IV sporulation protein A [[Eubacterium] dolichum] 
gi|490937504|ref|WP_004799341.1|	MULTISPECIES: diphthine synthase [Firmicutes] 
gi|490937505|ref|WP_004799342.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937508|ref|WP_004799345.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937509|ref|WP_004799346.1|	glutamine amidotransferase [[Eubacterium] dolichum] 
gi|490937511|ref|WP_004799348.1|	ligase [[Eubacterium] dolichum] 
gi|490937512|ref|WP_004799349.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937514|ref|WP_004799351.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [[Eubacterium] dolichum] 
gi|490937515|ref|WP_004799352.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937517|ref|WP_004799354.1|	MULTISPECIES: sodium:proton antiporter [Firmicutes] 
gi|490937519|ref|WP_004799356.1|	integrase [[Eubacterium] dolichum] 
gi|490937522|ref|WP_004799359.1|	methyltransferase [[Eubacterium] dolichum] 
gi|490937523|ref|WP_004799360.1|	stage II sporulation protein M [[Eubacterium] dolichum] 
gi|490937525|ref|WP_004799362.1|	DNA polymerase IV [[Eubacterium] dolichum] 
gi|490937527|ref|WP_004799364.1|	chemotaxis protein CheY [[Eubacterium] dolichum] 
gi|490937529|ref|WP_004799366.1|	stage IV sporulation protein B [[Eubacterium] dolichum] 
gi|490937532|ref|WP_004799369.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937535|ref|WP_004799372.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937536|ref|WP_004799373.1|	1-deoxy-D-xylulose-5-phosphate synthase [[Eubacterium] dolichum] 
gi|490937538|ref|WP_004799375.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937540|ref|WP_004799377.1|	MULTISPECIES: exodeoxyribonuclease VII [Firmicutes] 
gi|490937542|ref|WP_004799379.1|	exodeoxyribonuclease VII [[Eubacterium] dolichum] 
gi|490937543|ref|WP_004799380.1|	transcription antitermination protein NusB [[Eubacterium] dolichum] 
gi|490937545|ref|WP_004799382.1|	MULTISPECIES: 5'-nucleotidase [Firmicutes] 
gi|490937547|ref|WP_004799384.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937549|ref|WP_004799386.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937551|ref|WP_004799388.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937554|ref|WP_004799391.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937555|ref|WP_004799392.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937557|ref|WP_004799394.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937559|ref|WP_004799396.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937560|ref|WP_004799397.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937562|ref|WP_004799399.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937564|ref|WP_004799401.1|	histidine kinase [[Eubacterium] dolichum] 
gi|490937566|ref|WP_004799403.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937567|ref|WP_004799404.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937569|ref|WP_004799406.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937570|ref|WP_004799407.1|	lantibiotic ABC transporter permease [[Eubacterium] dolichum] 
gi|490937572|ref|WP_004799409.1|	multidrug ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490937574|ref|WP_004799411.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937576|ref|WP_004799413.1|	hydrolase [[Eubacterium] dolichum] 
gi|490937578|ref|WP_004799415.1|	aspartyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490937580|ref|WP_004799417.1|	histidyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490937582|ref|WP_004799419.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937584|ref|WP_004799421.1|	leucyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490937586|ref|WP_004799423.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937588|ref|WP_004799425.1|	dihydropyrimidine dehydrogenase subunit A [[Eubacterium] dolichum] 
gi|490937589|ref|WP_004799426.1|	MULTISPECIES: ferredoxin-NADP(+) reductase subunit alpha [Firmicutes] 
gi|490937591|ref|WP_004799428.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937593|ref|WP_004799430.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937594|ref|WP_004799431.1|	3-deoxy-7-phosphoheptulonate synthase [[Eubacterium] dolichum] 
gi|490937597|ref|WP_004799434.1|	multidrug transporter MatE [[Eubacterium] dolichum] 
gi|490937600|ref|WP_004799437.1|	peptidase [[Eubacterium] dolichum] 
gi|490937601|ref|WP_004799438.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937603|ref|WP_004799440.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937605|ref|WP_004799442.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937607|ref|WP_004799444.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937609|ref|WP_004799446.1|	coproporphyrinogen III oxidase [[Eubacterium] dolichum] 
gi|490937611|ref|WP_004799448.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937613|ref|WP_004799450.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937615|ref|WP_004799452.1|	GTP-binding protein LepA [[Eubacterium] dolichum] 
gi|490937617|ref|WP_004799454.1|	methionyl-tRNA formyltransferase [[Eubacterium] dolichum] 
gi|490937619|ref|WP_004799456.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937620|ref|WP_004799457.1|	MULTISPECIES: stage II sporulation protein P [Firmicutes] 
gi|490937622|ref|WP_004799459.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937623|ref|WP_004799460.1|	MULTISPECIES: 30S ribosomal protein S20 [Firmicutes] 
gi|490937625|ref|WP_004799462.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937626|ref|WP_004799463.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937628|ref|WP_004799465.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937630|ref|WP_004799467.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [[Eubacterium] dolichum] 
gi|490937632|ref|WP_004799469.1|	phosphatidate cytidylyltransferase [[Eubacterium] dolichum] 
gi|490937633|ref|WP_004799470.1|	UDP pyrophosphate synthase [[Eubacterium] dolichum] 
gi|490937636|ref|WP_004799473.1|	MULTISPECIES: ribosome recycling factor [Firmicutes] 
gi|490937637|ref|WP_004799474.1|	uridylate kinase [[Eubacterium] dolichum] 
gi|490937640|ref|WP_004799477.1|	MULTISPECIES: elongation factor Ts [Firmicutes] 
gi|490937642|ref|WP_004799479.1|	MULTISPECIES: 30S ribosomal protein S2 [Firmicutes] 
gi|490937644|ref|WP_004799481.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937645|ref|WP_004799482.1|	tyrosine recombinase XerC [[Eubacterium] dolichum] 
gi|490937646|ref|WP_004799483.1|	tRNA (uracil-5-)-methyltransferase [[Eubacterium] dolichum] 
gi|490937648|ref|WP_004799485.1|	DNA topoisomerase I [[Eubacterium] dolichum] 
gi|490937650|ref|WP_004799487.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937651|ref|WP_004799488.1|	ribonuclease HII [[Eubacterium] dolichum] 
gi|490937653|ref|WP_004799490.1|	GTPase YlqF [[Eubacterium] dolichum] 
gi|490937655|ref|WP_004799492.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937657|ref|WP_004799494.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937659|ref|WP_004799496.1|	MULTISPECIES: 50S ribosomal protein L19 [Firmicutes] 
gi|490937661|ref|WP_004799498.1|	MULTISPECIES: tRNA (guanine-N1)-methyltransferase [Firmicutes] 
gi|490937664|ref|WP_004799501.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937666|ref|WP_004799503.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937668|ref|WP_004799505.1|	MULTISPECIES: 30S ribosomal protein S16 [Firmicutes] 
gi|490937670|ref|WP_004799507.1|	signal recognition particle protein Srp54 [[Eubacterium] dolichum] 
gi|490937672|ref|WP_004799509.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937673|ref|WP_004799510.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937674|ref|WP_004799511.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937676|ref|WP_004799513.1|	cysteine desulfurase [[Eubacterium] dolichum] 
gi|490937677|ref|WP_004799514.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937678|ref|WP_004799515.1|	MULTISPECIES: 30S ribosomal protein S4 [Firmicutes] 
gi|490937679|ref|WP_004799516.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937680|ref|WP_004799517.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937682|ref|WP_004799519.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937684|ref|WP_004799521.1|	holin [[Eubacterium] dolichum] 
gi|490937685|ref|WP_004799522.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937687|ref|WP_004799524.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937690|ref|WP_004799527.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937692|ref|WP_004799529.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937695|ref|WP_004799532.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937696|ref|WP_004799533.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937698|ref|WP_004799535.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937699|ref|WP_004799536.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937702|ref|WP_004799539.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937704|ref|WP_004799541.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937705|ref|WP_004799542.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937707|ref|WP_004799544.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937709|ref|WP_004799546.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937711|ref|WP_004799548.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937713|ref|WP_004799550.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937715|ref|WP_004799552.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937717|ref|WP_004799554.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937720|ref|WP_004799557.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937722|ref|WP_004799559.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937724|ref|WP_004799561.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937726|ref|WP_004799563.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937728|ref|WP_004799565.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937729|ref|WP_004799566.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937731|ref|WP_004799568.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937733|ref|WP_004799570.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937735|ref|WP_004799572.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937737|ref|WP_004799574.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937740|ref|WP_004799577.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937742|ref|WP_004799579.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937743|ref|WP_004799580.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937745|ref|WP_004799582.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937747|ref|WP_004799584.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937749|ref|WP_004799586.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937750|ref|WP_004799587.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937752|ref|WP_004799589.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937755|ref|WP_004799592.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937756|ref|WP_004799593.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937758|ref|WP_004799595.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937760|ref|WP_004799597.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937762|ref|WP_004799599.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937765|ref|WP_004799602.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937766|ref|WP_004799603.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937768|ref|WP_004799605.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937770|ref|WP_004799607.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937771|ref|WP_004799608.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937772|ref|WP_004799609.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937776|ref|WP_004799613.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937779|ref|WP_004799616.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937781|ref|WP_004799618.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937783|ref|WP_004799620.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937785|ref|WP_004799622.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937786|ref|WP_004799623.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937787|ref|WP_004799624.1|	toxin HicA [[Eubacterium] dolichum] 
gi|490937788|ref|WP_004799625.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937790|ref|WP_004799627.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937791|ref|WP_004799628.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937793|ref|WP_004799630.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937796|ref|WP_004799633.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937798|ref|WP_004799635.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937799|ref|WP_004799636.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937801|ref|WP_004799638.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937803|ref|WP_004799640.1|	peptidase M16 [[Eubacterium] dolichum] 
gi|490937804|ref|WP_004799641.1|	peptidase M16 [[Eubacterium] dolichum] 
gi|490937805|ref|WP_004799642.1|	stage III sporulation protein E [[Eubacterium] dolichum] 
gi|490937807|ref|WP_004799644.1|	metallo-beta-lactamase [[Eubacterium] dolichum] 
gi|490937809|ref|WP_004799646.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [[Eubacterium] dolichum] 
gi|490937810|ref|WP_004799647.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937814|ref|WP_004799651.1|	metallophosphoesterase [[Eubacterium] dolichum] 
gi|490937816|ref|WP_004799653.1|	ribonuclease [[Eubacterium] dolichum] 
gi|490937818|ref|WP_004799655.1|	MULTISPECIES: protein RecA [Firmicutes] 
gi|490937820|ref|WP_004799657.1|	damage-inducible protein CinA [[Eubacterium] dolichum] 
gi|490937821|ref|WP_004799658.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [[Eubacterium] dolichum] 
gi|490937823|ref|WP_004799660.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937824|ref|WP_004799661.1|	MULTISPECIES: cell division protein DivIVA [Firmicutes] 
gi|490937826|ref|WP_004799663.1|	penicillin-binding protein [[Eubacterium] dolichum] 
gi|490937828|ref|WP_004799665.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937830|ref|WP_004799667.1|	MULTISPECIES: recombinase RecU [Firmicutes] 
gi|490937831|ref|WP_004799668.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937833|ref|WP_004799670.1|	endonuclease III [[Eubacterium] dolichum] 
gi|490937835|ref|WP_004799672.1|	MULTISPECIES: replication protein DnaD [Firmicutes] 
gi|490937836|ref|WP_004799673.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937837|ref|WP_004799674.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937839|ref|WP_004799676.1|	methyltransferase [[Eubacterium] dolichum] 
gi|490937841|ref|WP_004799678.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937842|ref|WP_004799679.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937844|ref|WP_004799681.1|	MULTISPECIES: RNA-binding protein [Firmicutes] 
gi|490937845|ref|WP_004799682.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937848|ref|WP_004799685.1|	hydrolase [[Eubacterium] dolichum] 
gi|490937849|ref|WP_004799686.1|	peptidase M42 [[Eubacterium] dolichum] 
gi|490937850|ref|WP_004799687.1|	RNA polymerase sigma 70 [[Eubacterium] dolichum] 
gi|490937851|ref|WP_004799688.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937853|ref|WP_004799690.1|	MULTISPECIES: RNA polymerase sigma70 [Firmicutes] 
gi|490937855|ref|WP_004799692.1|	MULTISPECIES: ATPase [Firmicutes] 
gi|490937856|ref|WP_004799693.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937858|ref|WP_004799695.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937860|ref|WP_004799697.1|	D-alanyl-D-alanine carboxypeptidase [[Eubacterium] dolichum] 
gi|490937862|ref|WP_004799699.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937863|ref|WP_004799700.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937864|ref|WP_004799701.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937866|ref|WP_004799703.1|	stage V sporulation protein B [[Eubacterium] dolichum] 
gi|490937868|ref|WP_004799705.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937869|ref|WP_004799706.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937872|ref|WP_004799709.1|	Holliday junction DNA helicase RuvB [[Eubacterium] dolichum] 
gi|490937874|ref|WP_004799711.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937877|ref|WP_004799714.1|	exodeoxyribonuclease III [[Eubacterium] dolichum] 
gi|490937879|ref|WP_004799716.1|	GTPase CgtA [[Eubacterium] dolichum] 
gi|490937880|ref|WP_004799717.1|	MULTISPECIES: 50S ribosomal protein L27 [Firmicutes] 
gi|490937882|ref|WP_004799719.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937885|ref|WP_004799722.1|	50S ribosomal protein L21 [[Eubacterium] dolichum] 
gi|490937887|ref|WP_004799724.1|	DNA polymerase III subunit alpha [[Eubacterium] dolichum] 
gi|490937888|ref|WP_004799725.1|	phosphoesterase [[Eubacterium] dolichum] 
gi|490937890|ref|WP_004799727.1|	acetate kinase [[Eubacterium] dolichum] 
gi|490937892|ref|WP_004799729.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937893|ref|WP_004799730.1|	MULTISPECIES: cell division protein FtsY [Firmicutes] 
gi|490937896|ref|WP_004799733.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937897|ref|WP_004799734.1|	MULTISPECIES: hemolysin III [Firmicutes] 
gi|490937899|ref|WP_004799736.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937901|ref|WP_004799738.1|	DNA polymerase III subunit delta [[Eubacterium] dolichum] 
gi|490937903|ref|WP_004799740.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937904|ref|WP_004799741.1|	competence protein ComEA [[Eubacterium] dolichum] 
gi|490937906|ref|WP_004799743.1|	transcription elongation factor GreA [[Eubacterium] dolichum] 
gi|490937908|ref|WP_004799745.1|	MULTISPECIES: aminodeoxychorismate lyase [Firmicutes] 
gi|490937910|ref|WP_004799747.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937913|ref|WP_004799750.1|	Holliday junction resolvase [[Eubacterium] dolichum] 
gi|490937914|ref|WP_004799751.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937917|ref|WP_004799754.1|	alanyl-tRNA synthase [[Eubacterium] dolichum] 
gi|490937918|ref|WP_004799755.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490937920|ref|WP_004799757.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937922|ref|WP_004799759.1|	conjugal transfer protein TraA [[Eubacterium] dolichum] 
gi|490937925|ref|WP_004799762.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937926|ref|WP_004799763.1|	thiouridylase [[Eubacterium] dolichum] 
gi|490937949|ref|WP_004799786.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937952|ref|WP_004799789.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937954|ref|WP_004799791.1|	transposase [[Eubacterium] dolichum] 
gi|490937957|ref|WP_004799794.1|	4-alpha-glucanotransferase [[Eubacterium] dolichum] 
gi|490937959|ref|WP_004799796.1|	serine protease HtrA [[Eubacterium] dolichum] 
gi|490937961|ref|WP_004799798.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937963|ref|WP_004799800.1|	PadR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490937965|ref|WP_004799802.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490937967|ref|WP_004799804.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937968|ref|WP_004799805.1|	MULTISPECIES: thioredoxin [Firmicutes] 
gi|490937969|ref|WP_004799806.1|	alpha-amylase [[Eubacterium] dolichum] 
gi|490937970|ref|WP_004799807.1|	radical SAM protein [[Eubacterium] dolichum] 
gi|490937971|ref|WP_004799808.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490937972|ref|WP_004799809.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937973|ref|WP_004799810.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937974|ref|WP_004799811.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937976|ref|WP_004799813.1|	ABC transporter [[Eubacterium] dolichum] 
gi|490937978|ref|WP_004799815.1|	MULTISPECIES: ABC transporter [Firmicutes] 
gi|490937980|ref|WP_004799817.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937982|ref|WP_004799819.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937983|ref|WP_004799820.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937984|ref|WP_004799821.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937986|ref|WP_004799823.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937988|ref|WP_004799825.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490937991|ref|WP_004799828.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937992|ref|WP_004799829.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937994|ref|WP_004799831.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937996|ref|WP_004799833.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490937998|ref|WP_004799835.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938000|ref|WP_004799837.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938006|ref|WP_004799843.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938008|ref|WP_004799845.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938009|ref|WP_004799846.1|	ABC transporter [[Eubacterium] dolichum] 
gi|490938010|ref|WP_004799847.1|	prolyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490938012|ref|WP_004799849.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938013|ref|WP_004799850.1|	threonine dehydratase [[Eubacterium] dolichum] 
gi|490938014|ref|WP_004799851.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938015|ref|WP_004799852.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938016|ref|WP_004799853.1|	23S rRNA methyltransferase [[Eubacterium] dolichum] 
gi|490938017|ref|WP_004799854.1|	MULTISPECIES: serine/threonine protein phosphatase [Firmicutes] 
gi|490938018|ref|WP_004799855.1|	serine/threonine protein kinase [[Eubacterium] dolichum] 
gi|490938019|ref|WP_004799856.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938020|ref|WP_004799857.1|	ribulose-phosphate 3-epimerase [[Eubacterium] dolichum] 
gi|490938027|ref|WP_004799864.1|	thiamine pyrophosphokinase [[Eubacterium] dolichum] 
gi|490938029|ref|WP_004799866.1|	phosphoribulokinase [[Eubacterium] dolichum] 
gi|490938031|ref|WP_004799868.1|	MULTISPECIES: 50S ribosomal protein L28 [Firmicutes] 
gi|490938033|ref|WP_004799870.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938034|ref|WP_004799871.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938036|ref|WP_004799873.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938038|ref|WP_004799875.1|	cell division protein FtsA [[Eubacterium] dolichum] 
gi|490938039|ref|WP_004799876.1|	cell division protein FtsZ [[Eubacterium] dolichum] 
gi|490938040|ref|WP_004799877.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938041|ref|WP_004799878.1|	ATPase [[Eubacterium] dolichum] 
gi|490938042|ref|WP_004799879.1|	uracil transporter [[Eubacterium] dolichum] 
gi|490938044|ref|WP_004799881.1|	radical SAM protein [[Eubacterium] dolichum] 
gi|490938047|ref|WP_004799884.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938048|ref|WP_004799885.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938052|ref|WP_004799889.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938056|ref|WP_004799893.1|	cystathionine beta-lyase [[Eubacterium] dolichum] 
gi|490938058|ref|WP_004799895.1|	sodium:calcium antiporter [[Eubacterium] dolichum] 
gi|490938060|ref|WP_004799897.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938063|ref|WP_004799900.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938065|ref|WP_004799902.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938067|ref|WP_004799904.1|	PhoB family transcriptional regulator [[Eubacterium] dolichum] 
gi|490938069|ref|WP_004799906.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938070|ref|WP_004799907.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938072|ref|WP_004799909.1|	primosomal protein [[Eubacterium] dolichum] 
gi|490938074|ref|WP_004799911.1|	hypothetical protein [[Eubacterium] dolichum] 
