gi|494094725|ref|WP_007035549.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494096152|ref|WP_007036972.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633050|ref|WP_002569733.1|	MULTISPECIES: AraC family transcriptional regulator [Clostridiales] 
gi|494096153|ref|WP_007036973.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096154|ref|WP_007036974.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096155|ref|WP_007036975.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096156|ref|WP_007036976.1|	sugar kinase [[Clostridium] bolteae] 
gi|488633053|ref|WP_002569736.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633054|ref|WP_002569737.1|	acyltransferase [[Clostridium] bolteae] 
gi|488633055|ref|WP_002569738.1|	multidrug transporter MatE [[Clostridium] bolteae] 
gi|494096157|ref|WP_007036977.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633056|ref|WP_002569739.1|	membrane protein [[Clostridium] bolteae] 
gi|494096158|ref|WP_007036978.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633058|ref|WP_002569741.1|	tyrosyl-tRNA synthetase [[Clostridium] bolteae] 
gi|494096159|ref|WP_007036979.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096160|ref|WP_007036980.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633059|ref|WP_002569742.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096161|ref|WP_007036981.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633060|ref|WP_002569743.1|	phospho-2-dehydro-3-deoxyheptonate aldolase [[Clostridium] bolteae] 
gi|488633061|ref|WP_002569744.1|	UDP-diphosphatase [[Clostridium] bolteae] 
gi|494096162|ref|WP_007036982.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633062|ref|WP_002569745.1|	uracil-DNA glycosylase [[Clostridium] bolteae] 
gi|488633063|ref|WP_002569746.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Clostridiales] 
gi|488633064|ref|WP_002569747.1|	imidazole glycerol phosphate synthase [[Clostridium] bolteae] 
gi|488633065|ref|WP_002569748.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096163|ref|WP_007036983.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633066|ref|WP_002569749.1|	isopentenyl-diphosphate delta-isomerase [[Clostridium] bolteae] 
gi|488633067|ref|WP_002569750.1|	aldo/keto reductase [[Clostridium] bolteae] 
gi|494096164|ref|WP_007036984.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096165|ref|WP_007036985.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633068|ref|WP_002569751.1|	phosphoglycerate transporter [[Clostridium] bolteae] 
gi|488633069|ref|WP_002569752.1|	metallo-beta-lactamase [[Clostridium] bolteae] 
gi|488633070|ref|WP_002569753.1|	MULTISPECIES: nuclease [Clostridiales] 
gi|494096166|ref|WP_007036986.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096167|ref|WP_007036987.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096168|ref|WP_007036988.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633072|ref|WP_002569755.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633073|ref|WP_002569756.1|	acyl-CoA thioester hydrolase [[Clostridium] bolteae] 
gi|494096169|ref|WP_007036989.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096170|ref|WP_007036990.1|	beta-lactamase [[Clostridium] bolteae] 
gi|494096171|ref|WP_007036991.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096172|ref|WP_007036992.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096173|ref|WP_007036993.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096174|ref|WP_007036994.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096175|ref|WP_007036995.1|	asparagine synthase [[Clostridium] bolteae] 
gi|488633078|ref|WP_002569761.1|	membrane protein [[Clostridium] bolteae] 
gi|488633079|ref|WP_002569762.1|	ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488633080|ref|WP_002569763.1|	LuxR family transcriptional regulator [[Clostridium] bolteae] 
gi|488633081|ref|WP_002569764.1|	histidine kinase [[Clostridium] bolteae] 
gi|488633082|ref|WP_002569765.1|	LacI family transcriptional regulator [[Clostridium] bolteae] 
gi|488633083|ref|WP_002569766.1|	MULTISPECIES: ribose ABC transporter permease [Clostridiales] 
gi|488633084|ref|WP_002569767.1|	D-ribose transporter ATP binding protein [[Clostridium] bolteae] 
gi|488633085|ref|WP_002569768.1|	MULTISPECIES: LacI family transcriptional regulator [Clostridiales] 
gi|488641632|ref|WP_002578288.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096176|ref|WP_007036996.1|	ketose-bisphosphate aldolase [[Clostridium] bolteae] 
gi|494096177|ref|WP_007036997.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633096|ref|WP_002569779.1|	sugar kinase [[Clostridium] bolteae] 
gi|494096178|ref|WP_007036998.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633097|ref|WP_002569780.1|	phosphate:Na+ symporter [[Clostridium] bolteae] 
gi|488633098|ref|WP_002569781.1|	fucose permease [[Clostridium] bolteae] 
gi|488633099|ref|WP_002569782.1|	carbohydrate-binding protein [[Clostridium] bolteae] 
gi|494096179|ref|WP_007036999.1|	lysine 2,3-aminomutase [[Clostridium] bolteae] 
gi|494096180|ref|WP_007037000.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633101|ref|WP_002569784.1|	lactaldehyde reductase [[Clostridium] bolteae] 
gi|494096181|ref|WP_007037001.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096182|ref|WP_007037002.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633102|ref|WP_002569785.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096184|ref|WP_007037003.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096185|ref|WP_007037004.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096186|ref|WP_007037005.1|	multidrug transporter [[Clostridium] bolteae] 
gi|488633106|ref|WP_002569789.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096187|ref|WP_007037006.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633107|ref|WP_002569790.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|494096188|ref|WP_007037007.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633108|ref|WP_002569791.1|	MULTISPECIES: SAM-dependent methyltransferase [Clostridiales] 
gi|494096189|ref|WP_007037008.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096190|ref|WP_007037009.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096191|ref|WP_007037010.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096192|ref|WP_007037011.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096193|ref|WP_007037012.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096194|ref|WP_007037013.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096195|ref|WP_007037014.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633113|ref|WP_002569796.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633114|ref|WP_002569797.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096196|ref|WP_007037015.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096197|ref|WP_007037016.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096198|ref|WP_007037017.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096199|ref|WP_007037018.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633118|ref|WP_002569801.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096200|ref|WP_007037019.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633120|ref|WP_002569803.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633121|ref|WP_002569804.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096201|ref|WP_007037020.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096202|ref|WP_007037021.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488641626|ref|WP_002578282.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096203|ref|WP_007037022.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633126|ref|WP_002569809.1|	glycosyl transferase [[Clostridium] bolteae] 
gi|494096204|ref|WP_007037023.1|	beta-1,4-galactosyltransferase enhancer [[Clostridium] bolteae] 
gi|488633128|ref|WP_002569811.1|	UDP-glucose dehydrogenase [[Clostridium] bolteae] 
gi|488633129|ref|WP_002569812.1|	UDP-glucuronate 5'-epimerase [[Clostridium] bolteae] 
gi|494096205|ref|WP_007037024.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633130|ref|WP_002569813.1|	polyprenyl glycosylphosphotransferase [[Clostridium] bolteae] 
gi|488633131|ref|WP_002569814.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633132|ref|WP_002569815.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633133|ref|WP_002569816.1|	tyrosine-protein kinase [[Clostridium] bolteae] 
gi|488633134|ref|WP_002569817.1|	capsular polysaccharide biosynthesis protein CpsC [[Clostridium] bolteae] 
gi|488633135|ref|WP_002569818.1|	MULTISPECIES: protein-tyrosine phosphatase [Lachnoclostridium] 
gi|494096206|ref|WP_007037025.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096207|ref|WP_007037026.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096208|ref|WP_007037027.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488635421|ref|WP_002572086.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488633139|ref|WP_002569822.1|	MULTISPECIES: xanthine dehydrogenase [Clostridiales] 
gi|488633140|ref|WP_002569823.1|	MULTISPECIES: molybdopterin dehydrogenase [Clostridiales] 
gi|494096209|ref|WP_007037028.1|	xanthine dehydrogenase subunit A [[Clostridium] bolteae] 
gi|488633142|ref|WP_002569825.1|	MULTISPECIES: adenine permease [Clostridiales] 
gi|488633143|ref|WP_002569826.1|	MULTISPECIES: amidohydrolase [Clostridiales] 
gi|494096210|ref|WP_007037029.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096211|ref|WP_007037030.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096212|ref|WP_007037031.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633144|ref|WP_002569827.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096213|ref|WP_007037032.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096214|ref|WP_007037033.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633147|ref|WP_002569830.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|488633148|ref|WP_002569831.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633149|ref|WP_002569832.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488633150|ref|WP_002569833.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|488633151|ref|WP_002569834.1|	ABC transporter [[Clostridium] bolteae] 
gi|488633152|ref|WP_002569835.1|	MULTISPECIES: RND transporter [Clostridiales] 
gi|494096215|ref|WP_007037034.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490751361|ref|WP_004613669.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|494096216|ref|WP_007037035.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096217|ref|WP_007037036.1|	MULTISPECIES: conjugal transfer protein TraG [Clostridiales] 
gi|488632482|ref|WP_002569167.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|494096218|ref|WP_007037037.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488632483|ref|WP_002569168.1|	MULTISPECIES: conjugative transfer protein [Firmicutes] 
gi|494096219|ref|WP_007037038.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096220|ref|WP_007037039.1|	RNA-directed DNA polymerase [[Clostridium] bolteae] 
gi|494096221|ref|WP_007037040.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096222|ref|WP_007037041.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096223|ref|WP_007037042.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096224|ref|WP_007037043.1|	conjugal transfer protein TraE [[Clostridium] bolteae] 
gi|488632528|ref|WP_002569213.1|	MULTISPECIES: reverse transcriptase [Bacteria] 
gi|494096225|ref|WP_007037044.1|	hypothetical protein [[Clostridium] bolteae] 
gi|493931438|ref|WP_006876012.1|	MULTISPECIES: DNA methylase N-4 [Clostridiales] 
gi|494096226|ref|WP_007037045.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|490745649|ref|WP_004607957.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490745650|ref|WP_004607958.1|	MULTISPECIES: cell surface protein [Clostridiales] 
gi|490745651|ref|WP_004607959.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490745652|ref|WP_004607960.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096227|ref|WP_007037046.1|	MULTISPECIES: DNA topoisomerase III [Clostridiales] 
gi|493913966|ref|WP_006859298.1|	MULTISPECIES: antirestriction protein [Clostridiales] 
gi|488648469|ref|WP_002585090.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490745657|ref|WP_004607965.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488648468|ref|WP_002585089.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490745658|ref|WP_004607966.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|488648466|ref|WP_002585087.1|	MULTISPECIES: endonuclease [Lachnospiraceae] 
gi|488648465|ref|WP_002585086.1|	MULTISPECIES: mobilization protein [Clostridiales] 
gi|490745661|ref|WP_004607969.1|	MULTISPECIES: DNA-binding protein [Clostridiales] 
gi|494096228|ref|WP_007037047.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490745662|ref|WP_004607970.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490745663|ref|WP_004607971.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096229|ref|WP_007037048.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490745664|ref|WP_004607972.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|488661675|ref|WP_002590583.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|490745665|ref|WP_004607973.1|	MULTISPECIES: transposase [Clostridiales] 
gi|493931446|ref|WP_006876020.1|	MULTISPECIES: recombinase [Firmicutes] 
gi|494096230|ref|WP_007037049.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096231|ref|WP_007037050.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096232|ref|WP_007037051.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096233|ref|WP_007037052.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634172|ref|WP_002570848.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634171|ref|WP_002570847.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634170|ref|WP_002570846.1|	DNA methylase [[Clostridium] bolteae] 
gi|494096234|ref|WP_007037053.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096235|ref|WP_007037054.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631086|ref|WP_002567773.1|	MULTISPECIES: divalent anion:Na+ symporter (DASS) family transporter [Clostridiales] 
gi|488631085|ref|WP_002567772.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488631084|ref|WP_002567771.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|494096236|ref|WP_007037055.1|	2-deoxy-D-gluconate 3-dehydrogenase [[Clostridium] bolteae] 
gi|488631082|ref|WP_002567769.1|	cupin [[Clostridium] bolteae] 
gi|494096237|ref|WP_007037056.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631081|ref|WP_002567768.1|	MFS transporter [[Clostridium] bolteae] 
gi|494096238|ref|WP_007037057.1|	histidinol phosphatase [[Clostridium] bolteae] 
gi|494096239|ref|WP_007037058.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096240|ref|WP_007037059.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096241|ref|WP_007037060.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631078|ref|WP_002567765.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631077|ref|WP_002567764.1|	LuxR family transcriptional regulator [[Clostridium] bolteae] 
gi|488631076|ref|WP_002567763.1|	GntR family transcriptional regulator [[Clostridium] bolteae] 
gi|494096242|ref|WP_007037061.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631075|ref|WP_002567762.1|	MULTISPECIES: uridine phosphorylase [Clostridiales] 
gi|488631074|ref|WP_002567761.1|	MULTISPECIES: NupC family nucleoside transporter [Clostridiales] 
gi|488631073|ref|WP_002567760.1|	phosphopentomutase [[Clostridium] bolteae] 
gi|488631072|ref|WP_002567759.1|	deoxyribose-phosphate aldolase [[Clostridium] bolteae] 
gi|488631071|ref|WP_002567758.1|	membrane protein [[Clostridium] bolteae] 
gi|488631070|ref|WP_002567757.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631069|ref|WP_002567756.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096243|ref|WP_007037062.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631068|ref|WP_002567755.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096244|ref|WP_007037063.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096245|ref|WP_007037064.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096246|ref|WP_007037065.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634174|ref|WP_002570850.1|	integrase [[Clostridium] bolteae] 
gi|494096247|ref|WP_007037066.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096248|ref|WP_007037067.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096249|ref|WP_007037068.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634176|ref|WP_002570852.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634177|ref|WP_002570853.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634178|ref|WP_002570854.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488634179|ref|WP_002570855.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634180|ref|WP_002570856.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634181|ref|WP_002570857.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634182|ref|WP_002570858.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096250|ref|WP_007037069.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634183|ref|WP_002570859.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634184|ref|WP_002570860.1|	terminase [[Clostridium] bolteae] 
gi|488634185|ref|WP_002570861.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634186|ref|WP_002570862.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634187|ref|WP_002570863.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634188|ref|WP_002570864.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634189|ref|WP_002570865.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634190|ref|WP_002570866.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096251|ref|WP_007037070.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|488628296|ref|WP_002564996.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628297|ref|WP_002564997.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|494096252|ref|WP_007037071.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096253|ref|WP_007037072.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628298|ref|WP_002564998.1|	MULTISPECIES: cold-shock protein [Clostridiales] 
gi|494096254|ref|WP_007037073.1|	serine dehydratase [[Clostridium] bolteae] 
gi|488628300|ref|WP_002565000.1|	alanine glycine permease [[Clostridium] bolteae] 
gi|488628301|ref|WP_002565001.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628302|ref|WP_002565002.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628303|ref|WP_002565003.1|	membrane protein [[Clostridium] bolteae] 
gi|488628304|ref|WP_002565004.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628305|ref|WP_002565005.1|	RNA polymerase subunit sigma-24 [[Clostridium] bolteae] 
gi|488628306|ref|WP_002565006.1|	sodium transporter [[Clostridium] bolteae] 
gi|494096255|ref|WP_007037074.1|	transcriptional regulator [[Clostridium] bolteae] 
gi|488628308|ref|WP_002565008.1|	diguanylate phosphodiesterase [[Clostridium] bolteae] 
gi|494096256|ref|WP_007037075.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628309|ref|WP_002565009.1|	LysR family transcriptional regulator [[Clostridium] bolteae] 
gi|488628310|ref|WP_002565010.1|	MULTISPECIES: divalent anion:Na+ symporter (DASS) family transporter [Clostridiales] 
gi|488628311|ref|WP_002565011.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628312|ref|WP_002565012.1|	MULTISPECIES: hydroxyacid dehydrogenase [Clostridiales] 
gi|488628313|ref|WP_002565013.1|	anion transporter [[Clostridium] bolteae] 
gi|494096257|ref|WP_007037076.1|	dimethylmenaquinone methyltransferase [[Clostridium] bolteae] 
gi|488628315|ref|WP_002565015.1|	phosphohydrolase [[Clostridium] bolteae] 
gi|494096258|ref|WP_007037077.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628316|ref|WP_002565016.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096259|ref|WP_007037078.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628317|ref|WP_002565017.1|	sensory transducer protein [[Clostridium] bolteae] 
gi|488628318|ref|WP_002565018.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096260|ref|WP_007037079.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628319|ref|WP_002565019.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628320|ref|WP_002565020.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628321|ref|WP_002565021.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096261|ref|WP_007037080.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628323|ref|WP_002565023.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096262|ref|WP_007037081.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628325|ref|WP_002565025.1|	transglutaminase [[Clostridium] bolteae] 
gi|494096263|ref|WP_007037082.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628326|ref|WP_002565026.1|	integrase [[Clostridium] bolteae] 
gi|494096264|ref|WP_007037083.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096265|ref|WP_007037084.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096266|ref|WP_007037085.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096267|ref|WP_007037086.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628328|ref|WP_002565028.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096269|ref|WP_007037087.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096270|ref|WP_007037088.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096271|ref|WP_007037089.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628330|ref|WP_002565030.1|	thioredoxin [[Clostridium] bolteae] 
gi|488641638|ref|WP_002578294.1|	thioredoxin-disulfide reductase [[Clostridium] bolteae] 
gi|488641637|ref|WP_002578293.1|	membrane protein [[Clostridium] bolteae] 
gi|494096272|ref|WP_007037090.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628333|ref|WP_002565033.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096273|ref|WP_007037091.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628334|ref|WP_002565034.1|	phosphoribosylamine--glycine ligase [[Clostridium] bolteae] 
gi|488628335|ref|WP_002565035.1|	phosphoribosylglycinamide formyltransferase [[Clostridium] bolteae] 
gi|488628336|ref|WP_002565036.1|	phosphoribosylaminoimidazole synthetase [[Clostridium] bolteae] 
gi|488628337|ref|WP_002565037.1|	N5-carboxyaminoimidazole ribonucleotide mutase [[Clostridium] bolteae] 
gi|494096274|ref|WP_007037092.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096275|ref|WP_007037093.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628338|ref|WP_002565038.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096276|ref|WP_007037094.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096277|ref|WP_007037095.1|	ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|494096278|ref|WP_007037096.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628340|ref|WP_002565040.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096279|ref|WP_007037097.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096280|ref|WP_007037098.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096281|ref|WP_007037099.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096282|ref|WP_007037100.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628344|ref|WP_002565044.1|	MULTISPECIES: teicoplanin resistance protein VanZ [Clostridiales] 
gi|488628345|ref|WP_002565045.1|	MULTISPECIES: cytochrome C biosynthesis protein [Clostridiales] 
gi|488628346|ref|WP_002565046.1|	MULTISPECIES: orotate phosphoribosyltransferase [Clostridiales] 
gi|488628347|ref|WP_002565047.1|	diguanylate cyclase [[Clostridium] bolteae] 
gi|488628348|ref|WP_002565048.1|	dihydroorotate dehydrogenase [[Clostridium] bolteae] 
gi|488636119|ref|WP_002572783.1|	orotidine 5'-phosphate decarboxylase [[Clostridium] bolteae] 
gi|494096283|ref|WP_007037101.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095330|ref|WP_007036154.1|	transposase [[Clostridium] bolteae] 
gi|494096284|ref|WP_007037102.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628350|ref|WP_002565050.1|	mandelate racemase [[Clostridium] bolteae] 
gi|488628351|ref|WP_002565051.1|	glucuronate isomerase [[Clostridium] bolteae] 
gi|488628352|ref|WP_002565052.1|	MULTISPECIES: 3-oxoacyl-ACP reductase [Clostridiales] 
gi|494096285|ref|WP_007037103.1|	D-galactarate dehydratase [[Clostridium] bolteae] 
gi|488628354|ref|WP_002565054.1|	hydrolase [[Clostridium] bolteae] 
gi|488628355|ref|WP_002565055.1|	demethylmenaquinone methyltransferase [[Clostridium] bolteae] 
gi|488628356|ref|WP_002565056.1|	MULTISPECIES: short-chain dehydrogenase [Clostridiales] 
gi|488628357|ref|WP_002565057.1|	mandelate racemase [[Clostridium] bolteae] 
gi|488628358|ref|WP_002565058.1|	ABC transporter permease [[Clostridium] bolteae] 
gi|494096286|ref|WP_007037104.1|	permease [[Clostridium] bolteae] 
gi|488628360|ref|WP_002565060.1|	ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|494096287|ref|WP_007037105.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096288|ref|WP_007037106.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096289|ref|WP_007037107.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096290|ref|WP_007037108.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096291|ref|WP_007037109.1|	hypothetical protein [[Clostridium] bolteae] 
