gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489888746|ref|WP_003792196.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888747|ref|WP_003792197.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888748|ref|WP_003792198.1|	ubiquinone/menaquinone biosynthesis methyltransferase [Actinomyces odontolyticus] 
gi|489888749|ref|WP_003792199.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888751|ref|WP_003792201.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888754|ref|WP_003792204.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888756|ref|WP_003792206.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888759|ref|WP_003792209.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888761|ref|WP_003792211.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888762|ref|WP_003792212.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888764|ref|WP_003792214.1|	oxidoreductase [Actinomyces odontolyticus] 
gi|489888765|ref|WP_003792215.1|	sugar isomerase [Actinomyces odontolyticus] 
gi|489888766|ref|WP_003792216.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888767|ref|WP_003792217.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888768|ref|WP_003792218.1|	fructose-bisphosphate aldolase [Actinomyces odontolyticus] 
gi|489888769|ref|WP_003792219.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489888770|ref|WP_003792220.1|	cell wall anchor protein [Actinomyces odontolyticus] 
gi|489888776|ref|WP_003792226.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489888778|ref|WP_003792228.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489888779|ref|WP_003792229.1|	sugar-binding protein [Actinomyces odontolyticus] 
gi|489888780|ref|WP_003792230.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888781|ref|WP_003792231.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888782|ref|WP_003792232.1|	drug:proton antiporter [Actinomyces odontolyticus] 
gi|489888784|ref|WP_003792234.1|	NADH dehydrogenase subunit A [Actinomyces odontolyticus] 
gi|489888786|ref|WP_003792236.1|	NADH dehydrogenase subunit B [Actinomyces odontolyticus] 
gi|489888787|ref|WP_003792237.1|	NADH dehydrogenase subunit C [Actinomyces odontolyticus] 
gi|489888788|ref|WP_003792238.1|	NADH dehydrogenase subunit D [Actinomyces odontolyticus] 
gi|489888789|ref|WP_003792239.1|	NADH dehydrogenase subunit E [Actinomyces odontolyticus] 
gi|489888790|ref|WP_003792240.1|	NADH dehydrogenase subunit F [Actinomyces odontolyticus] 
gi|489888791|ref|WP_003792241.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888793|ref|WP_003792243.1|	NADH:ubiquinone oxidoreductase subunit H [Actinomyces odontolyticus] 
gi|489888794|ref|WP_003792244.1|	NADH-quinone oxidoreductase subunit I [Actinomyces odontolyticus] 
gi|489888795|ref|WP_003792245.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888796|ref|WP_003792246.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888797|ref|WP_003792247.1|	NADH:ubiquinone oxidoreductase subunit K [Actinomyces odontolyticus] 
gi|489888798|ref|WP_003792248.1|	NADH:ubiquinone oxidoreductase subunit L [Actinomyces odontolyticus] 
gi|489888799|ref|WP_003792249.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888800|ref|WP_003792250.1|	NADH:ubiquinone oxidoreductase subunit N [Actinomyces odontolyticus] 
gi|489888801|ref|WP_003792251.1|	geranylgeranyl pyrophosphate synthase [Actinomyces odontolyticus] 
gi|489888802|ref|WP_003792252.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Actinomyces odontolyticus] 
gi|489888803|ref|WP_003792253.1|	protease [Actinomyces odontolyticus] 
gi|489888804|ref|WP_003792254.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888806|ref|WP_003792256.1|	MULTISPECIES: 50S ribosomal protein L33 [Actinobacteria] 
gi|489888807|ref|WP_003792257.1|	sialidase [Actinomyces odontolyticus] 
gi|489888808|ref|WP_003792258.1|	GntR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888809|ref|WP_003792259.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489888810|ref|WP_003792260.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888811|ref|WP_003792261.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888812|ref|WP_003792262.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888814|ref|WP_003792264.1|	glucose dehydrogenase [Actinomyces odontolyticus] 
gi|489888815|ref|WP_003792265.1|	ROK family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888816|ref|WP_003792266.1|	N-acetylmannosamine-6-phosphate 2-epimerase [Actinomyces odontolyticus] 
gi|489888817|ref|WP_003792267.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489888818|ref|WP_003792268.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888819|ref|WP_003792269.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Actinomyces odontolyticus] 
gi|489888820|ref|WP_003792270.1|	antitoxin [Actinomyces odontolyticus] 
gi|489888821|ref|WP_003792271.1|	XRE family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888823|ref|WP_003792273.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888825|ref|WP_003792275.1|	adenosine deaminase [Actinomyces odontolyticus] 
gi|489888827|ref|WP_003792277.1|	lysophospholipase [Actinomyces odontolyticus] 
gi|489888828|ref|WP_003792278.1|	aspartate aminotransferase [Actinomyces odontolyticus] 
gi|489888829|ref|WP_003792279.1|	preprotein translocase subunit SecE [Actinomyces odontolyticus] 
gi|489888830|ref|WP_003792280.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888831|ref|WP_003792281.1|	MULTISPECIES: 50S ribosomal protein L11 [Actinomyces] 
gi|489888832|ref|WP_003792282.1|	MULTISPECIES: 50S ribosomal protein L1 [Actinomyces] 
gi|489888833|ref|WP_003792283.1|	permease [Actinomyces odontolyticus] 
gi|489888835|ref|WP_003792285.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888837|ref|WP_003792287.1|	cobalt ABC transporter [Actinomyces odontolyticus] 
gi|489888838|ref|WP_003792288.1|	iron ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888839|ref|WP_003792289.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888840|ref|WP_003792290.1|	50S ribosomal protein L10 [Actinomyces odontolyticus] 
gi|489888841|ref|WP_003792291.1|	MULTISPECIES: 50S ribosomal protein L7/L12 [Actinomyces] 
gi|489888842|ref|WP_003792292.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888843|ref|WP_003792293.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888844|ref|WP_003792294.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489888846|ref|WP_003792296.1|	D-ribose transporter ATP binding protein [Actinomyces odontolyticus] 
gi|489888848|ref|WP_003792298.1|	ribose ABC transporter permease [Actinomyces odontolyticus] 
gi|489888849|ref|WP_003792299.1|	LacI family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888850|ref|WP_003792300.1|	fucose isomerase [Actinomyces odontolyticus] 
gi|489888851|ref|WP_003792301.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888852|ref|WP_003792302.1|	LacI family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888853|ref|WP_003792303.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489888854|ref|WP_003792304.1|	DeoR faimly transcriptional regulator [Actinomyces odontolyticus] 
gi|489888855|ref|WP_003792305.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888856|ref|WP_003792306.1|	pyridine nucleotide-disulfide oxidoreductase [Actinomyces odontolyticus] 
gi|489888858|ref|WP_003792308.1|	dehydrogenase [Actinomyces odontolyticus] 
gi|489888859|ref|WP_003792309.1|	histidinol phosphatase [Actinomyces odontolyticus] 
gi|489888860|ref|WP_003792310.1|	short-chain dehydrogenase [Actinomyces odontolyticus] 
gi|489888861|ref|WP_003792311.1|	alcohol dehydrogenase [Actinomyces odontolyticus] 
gi|489888862|ref|WP_003792312.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888863|ref|WP_003792313.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489888864|ref|WP_003792314.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888865|ref|WP_003792315.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888866|ref|WP_003792316.1|	hydrolase [Actinomyces odontolyticus] 
gi|489888868|ref|WP_003792318.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888869|ref|WP_003792319.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888871|ref|WP_003792321.1|	cytochrome C peroxidase [Actinomyces odontolyticus] 
gi|489888872|ref|WP_003792322.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888873|ref|WP_003792323.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888874|ref|WP_003792324.1|	thiamine pyrophosphokinase [Actinomyces odontolyticus] 
gi|489888875|ref|WP_003792325.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888877|ref|WP_003792327.1|	ADP-ribose diphosphatase [Actinomyces odontolyticus] 
gi|489888878|ref|WP_003792328.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489888879|ref|WP_003792329.1|	Fe-S cluster assembly protein SufB [Actinomyces odontolyticus] 
gi|489888880|ref|WP_003792330.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888881|ref|WP_003792331.1|	MULTISPECIES: iron ABC transporter ATP-binding protein [Actinomyces] 
gi|489888882|ref|WP_003792332.1|	cysteine desulfurase [Actinomyces odontolyticus] 
gi|489888883|ref|WP_003792333.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888885|ref|WP_003792335.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888886|ref|WP_003792336.1|	long-chain fatty acid--CoA ligase [Actinomyces odontolyticus] 
gi|489888887|ref|WP_003792337.1|	neutral zinc metallopeptidase [Actinomyces odontolyticus] 
gi|489888888|ref|WP_003792338.1|	queuine tRNA-ribosyltransferase [Actinomyces odontolyticus] 
gi|489888889|ref|WP_003792339.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888890|ref|WP_003792340.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888891|ref|WP_003792341.1|	arginine ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888892|ref|WP_003792342.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888893|ref|WP_003792343.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489888894|ref|WP_003792344.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489888896|ref|WP_003792346.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888897|ref|WP_003792347.1|	lipopolysaccharide kinase [Actinomyces odontolyticus] 
gi|489888898|ref|WP_003792348.1|	dihydrolipoamide acyltransferase [Actinomyces odontolyticus] 
gi|489888899|ref|WP_003792349.1|	dihydrolipoamide dehydrogenase [Actinomyces odontolyticus] 
gi|489888900|ref|WP_003792350.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888901|ref|WP_003792351.1|	RNA methyltransferase [Actinomyces odontolyticus] 
gi|489888903|ref|WP_003792353.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888904|ref|WP_003792354.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888905|ref|WP_003792355.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888906|ref|WP_003792356.1|	helicase [Actinomyces odontolyticus] 
gi|489888907|ref|WP_003792357.1|	zinc-binding dehydrogenase [Actinomyces odontolyticus] 
gi|489888908|ref|WP_003792358.1|	DNA polymerase III subunit alpha [Actinomyces odontolyticus] 
gi|489888909|ref|WP_003792359.1|	haloacid dehalogenase [Actinomyces odontolyticus] 
gi|489888910|ref|WP_003792360.1|	MarR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888911|ref|WP_003792361.1|	thioredoxin [Actinomyces odontolyticus] 
gi|489888912|ref|WP_003792362.1|	phosphoribosyl-ATP diphosphatase [Actinomyces odontolyticus] 
gi|489888913|ref|WP_003792363.1|	pyridine nucleotide-disulfide oxidoreductase [Actinomyces odontolyticus] 
gi|489888915|ref|WP_003792365.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888916|ref|WP_003792366.1|	aldo/keto reductase [Actinomyces odontolyticus] 
gi|489888917|ref|WP_003792367.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888918|ref|WP_003792368.1|	tRNA methyltransferase [Actinomyces odontolyticus] 
gi|489888919|ref|WP_003792369.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489888920|ref|WP_003792370.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888921|ref|WP_003792371.1|	ubiquitin [Actinomyces odontolyticus] 
gi|489888922|ref|WP_003792372.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888923|ref|WP_003792373.1|	peptidyl-prolyl cis-trans isomerase [Actinomyces odontolyticus] 
gi|489888925|ref|WP_003792375.1|	chorismate synthase [Actinomyces odontolyticus] 
gi|489888926|ref|WP_003792376.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888927|ref|WP_003792377.1|	3-dehydroquinate synthase [Actinomyces odontolyticus] 
gi|489888928|ref|WP_003792378.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888929|ref|WP_003792379.1|	elongation factor P [Actinomyces odontolyticus] 
gi|489888930|ref|WP_003792380.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888931|ref|WP_003792381.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888932|ref|WP_003792382.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888933|ref|WP_003792383.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888934|ref|WP_003792384.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888935|ref|WP_003792385.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888936|ref|WP_003792386.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888937|ref|WP_003792387.1|	antiporter [Actinomyces odontolyticus] 
gi|489888938|ref|WP_003792388.1|	inositol monophosphatase [Actinomyces odontolyticus] 
gi|489888940|ref|WP_003792390.1|	LacI family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888941|ref|WP_003792391.1|	uracil phosphoribosyltransferase [Actinomyces odontolyticus] 
gi|489888942|ref|WP_003792392.1|	aspartate carbamoyltransferase [Actinomyces odontolyticus] 
gi|489888943|ref|WP_003792393.1|	dihydroorotase [Actinomyces odontolyticus] 
gi|489888944|ref|WP_003792394.1|	carbamoyl phosphate synthase small subunit [Actinomyces odontolyticus] 
gi|489888945|ref|WP_003792395.1|	carbamoyl phosphate synthase large subunit [Actinomyces odontolyticus] 
gi|489888946|ref|WP_003792396.1|	orotidine 5'-phosphate decarboxylase [Actinomyces odontolyticus] 
gi|489888948|ref|WP_003792398.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489888949|ref|WP_003792399.1|	guanylate kinase [Actinomyces odontolyticus] 
gi|489888950|ref|WP_003792400.1|	MULTISPECIES: DNA-directed RNA polymerase subunit omega [Actinobacteria] 
gi|489888951|ref|WP_003792401.1|	phosphopantothenoylcysteine decarboxylase [Actinomyces odontolyticus] 
gi|489888952|ref|WP_003792402.1|	S-adenosylmethionine synthase [Actinomyces odontolyticus] 
gi|489888953|ref|WP_003792403.1|	vitamin K epoxide reductase [Actinomyces odontolyticus] 
gi|489888954|ref|WP_003792404.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888956|ref|WP_003792406.1|	methionyl-tRNA formyltransferase [Actinomyces odontolyticus] 
gi|489888957|ref|WP_003792407.1|	16S rRNA methyltransferase [Actinomyces odontolyticus] 
gi|489888958|ref|WP_003792408.1|	ribulose-phosphate 3-epimerase [Actinomyces odontolyticus] 
gi|489888959|ref|WP_003792409.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888960|ref|WP_003792410.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888961|ref|WP_003792411.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888962|ref|WP_003792412.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888963|ref|WP_003792413.1|	DEAD/DEAH box helicase [Actinomyces odontolyticus] 
gi|489888964|ref|WP_003792414.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888965|ref|WP_003792415.1|	dolichol-phosphate mannosyltransferase [Actinomyces odontolyticus] 
gi|489888966|ref|WP_003792416.1|	electron transporter [Actinomyces odontolyticus] 
gi|489888967|ref|WP_003792417.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888968|ref|WP_003792418.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888970|ref|WP_003792420.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489888971|ref|WP_003792421.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888972|ref|WP_003792422.1|	MerR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888973|ref|WP_003792423.1|	signal peptide protein [Actinomyces odontolyticus] 
gi|489888974|ref|WP_003792424.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888975|ref|WP_003792425.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888976|ref|WP_003792426.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888977|ref|WP_003792427.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888978|ref|WP_003792428.1|	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase [Actinomyces odontolyticus] 
gi|489888979|ref|WP_003792429.1|	GTP-binding protein Der [Actinomyces odontolyticus] 
gi|489888980|ref|WP_003792430.1|	3-methyladenine DNA glycosylase [Actinomyces odontolyticus] 
gi|489888981|ref|WP_003792431.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888982|ref|WP_003792432.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888983|ref|WP_003792433.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888984|ref|WP_003792434.1|	cytidylate kinase [Actinomyces odontolyticus] 
gi|489888985|ref|WP_003792435.1|	prephenate dehydrogenase [Actinomyces odontolyticus] 
gi|489888986|ref|WP_003792436.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489888987|ref|WP_003792437.1|	segregation and condensation protein B [Actinomyces odontolyticus] 
gi|489888989|ref|WP_003792439.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888990|ref|WP_003792440.1|	MULTISPECIES: chromosome partitioning ATPase [Actinomyces] 
gi|489888991|ref|WP_003792441.1|	tyrosine recombinase XerD [Actinomyces odontolyticus] 
gi|489888992|ref|WP_003792442.1|	transketolase [Actinomyces odontolyticus] 
gi|489888993|ref|WP_003792443.1|	glucose-6-phosphate 1-dehydrogenase [Actinomyces odontolyticus] 
gi|489888994|ref|WP_003792444.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489888995|ref|WP_003792445.1|	6-phosphogluconolactonase [Actinomyces odontolyticus] 
gi|489888996|ref|WP_003792446.1|	preprotein translocase subunit SecG [Actinomyces odontolyticus] 
gi|489888997|ref|WP_003792447.1|	triosephosphate isomerase [Actinomyces odontolyticus] 
gi|489888998|ref|WP_003792448.1|	phosphoglycerate kinase [Actinomyces odontolyticus] 
gi|489888999|ref|WP_003792449.1|	glyceraldehyde-3-phosphate dehydrogenase [Actinomyces odontolyticus] 
gi|489889001|ref|WP_003792451.1|	sporulation protein [Actinomyces odontolyticus] 
gi|489889002|ref|WP_003792452.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889003|ref|WP_003792453.1|	glmZ(sRNA)-inactivating NTPase [Actinomyces odontolyticus] 
gi|489889004|ref|WP_003792454.1|	phosphoribosylglycinamide formyltransferase [Actinomyces odontolyticus] 
gi|489889005|ref|WP_003792455.1|	excinuclease ABC subunit C [Actinomyces odontolyticus] 
gi|489889006|ref|WP_003792456.1|	glutamine synthetase [Actinomyces odontolyticus] 
gi|489889007|ref|WP_003792457.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889008|ref|WP_003792458.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889009|ref|WP_003792459.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889011|ref|WP_003792461.1|	excinuclease ABC subunit A [Actinomyces odontolyticus] 
gi|489889012|ref|WP_003792462.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889013|ref|WP_003792463.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889014|ref|WP_003792464.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889015|ref|WP_003792465.1|	hydrolase [Actinomyces odontolyticus] 
gi|489889016|ref|WP_003792466.1|	tellurium resistance protein TerC [Actinomyces odontolyticus] 
gi|489889017|ref|WP_003792467.1|	tellurium resistance protein TerC [Actinomyces odontolyticus] 
gi|489889018|ref|WP_003792468.1|	excinuclease ABC subunit B [Actinomyces odontolyticus] 
gi|489889019|ref|WP_003792469.1|	dephospho-CoA kinase [Actinomyces odontolyticus] 
gi|489889021|ref|WP_003792471.1|	branched-chain amino acid transporter [Actinomyces odontolyticus] 
gi|489889022|ref|WP_003792472.1|	MULTISPECIES: 30S ribosomal protein S1 [Actinomyces] 
gi|489889023|ref|WP_003792473.1|	DNA polymerase I [Actinomyces odontolyticus] 
gi|489889024|ref|WP_003792474.1|	thioesterase [Actinomyces odontolyticus] 
gi|489889025|ref|WP_003792475.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489889026|ref|WP_003792476.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889027|ref|WP_003792477.1|	pyruvate kinase [Actinomyces odontolyticus] 
gi|489889028|ref|WP_003792478.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889029|ref|WP_003792479.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889030|ref|WP_003792480.1|	tryptophan synthase subunit alpha [Actinomyces odontolyticus] 
gi|489889032|ref|WP_003792482.1|	tryptophan synthase subunit beta [Actinomyces odontolyticus] 
gi|489889034|ref|WP_003792484.1|	indole-3-glycerol-phosphate synthase [Actinomyces odontolyticus] 
gi|489889035|ref|WP_003792485.1|	anthranilate synthase subunit I [Actinomyces odontolyticus] 
gi|489889036|ref|WP_003792486.1|	peptidase A24 [Actinomyces odontolyticus] 
gi|489889037|ref|WP_003792487.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889038|ref|WP_003792488.1|	aminodeoxychorismate lyase [Actinomyces odontolyticus] 
gi|489889039|ref|WP_003792489.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889040|ref|WP_003792490.1|	alanyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489889041|ref|WP_003792491.1|	30S ribosomal protein S4 [Actinomyces odontolyticus] 
gi|489889042|ref|WP_003792492.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489889043|ref|WP_003792493.1|	type IV secretion protein Rhs [Actinomyces odontolyticus] 
gi|489889044|ref|WP_003792494.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889045|ref|WP_003792495.1|	iron ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489889046|ref|WP_003792496.1|	iron-enterobactin transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889047|ref|WP_003792497.1|	iron siderophore ABC transporter permease [Actinomyces odontolyticus] 
gi|489889048|ref|WP_003792498.1|	iron ABC transporter permease [Actinomyces odontolyticus] 
gi|489889050|ref|WP_003792500.1|	iron siderophore ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489889051|ref|WP_003792501.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889052|ref|WP_003792502.1|	translation factor Sua5 [Actinomyces odontolyticus] 
gi|489889053|ref|WP_003792503.1|	aspartyl-tRNA synthase [Actinomyces odontolyticus] 
gi|489889054|ref|WP_003792504.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889055|ref|WP_003792505.1|	major facilitator transporter [Actinomyces odontolyticus] 
gi|489889056|ref|WP_003792506.1|	DNA helicase [Actinomyces odontolyticus] 
gi|489889057|ref|WP_003792507.1|	GTPase [Actinomyces odontolyticus] 
gi|489889058|ref|WP_003792508.1|	GTPase [Actinomyces odontolyticus] 
gi|489889059|ref|WP_003792509.1|	histidyl-tRNA synthase [Actinomyces odontolyticus] 
gi|489889061|ref|WP_003792511.1|	beta-lactamase [Actinomyces odontolyticus] 
gi|489889062|ref|WP_003792512.1|	ATPase [Actinomyces odontolyticus] 
gi|489889063|ref|WP_003792513.1|	GTP pyrophosphokinase [Actinomyces odontolyticus] 
gi|489889064|ref|WP_003792514.1|	adenine phosphoribosyltransferase [Actinomyces odontolyticus] 
gi|489889065|ref|WP_003792515.1|	preprotein translocase subunit SecF [Actinomyces odontolyticus] 
gi|489889067|ref|WP_003792517.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889068|ref|WP_003792518.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889070|ref|WP_003792520.1|	Holliday junction DNA helicase RuvB [Actinomyces odontolyticus] 
gi|489889071|ref|WP_003792521.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889072|ref|WP_003792522.1|	crossover junction endodeoxyribonuclease RuvC [Actinomyces odontolyticus] 
gi|489889073|ref|WP_003792523.1|	glutamine amidotransferase [Actinomyces odontolyticus] 
gi|489889074|ref|WP_003792524.1|	MULTISPECIES: pyridoxal biosynthesis lyase [Actinomyces] 
gi|489889075|ref|WP_003792525.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489889077|ref|WP_003792527.1|	histidine phosphatase [Actinomyces odontolyticus] 
gi|489889078|ref|WP_003792528.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889079|ref|WP_003792529.1|	histidine phosphatase [Actinomyces odontolyticus] 
gi|489889080|ref|WP_003792530.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889082|ref|WP_003792532.1|	glutamine synthetase [Actinomyces odontolyticus] 
gi|489889083|ref|WP_003792533.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889084|ref|WP_003792534.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889085|ref|WP_003792535.1|	iron ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889086|ref|WP_003792536.1|	glycosyl transferase family 1 [Actinomyces odontolyticus] 
gi|489889088|ref|WP_003792538.1|	glucose-1-phosphate adenylyltransferase [Actinomyces odontolyticus] 
gi|489889089|ref|WP_003792539.1|	phosphoserine phosphatase [Actinomyces odontolyticus] 
gi|489889090|ref|WP_003792540.1|	NUDIX hydrolase [Actinomyces odontolyticus] 
gi|489889091|ref|WP_003792541.1|	peptidase [Actinomyces odontolyticus] 
gi|489889092|ref|WP_003792542.1|	peptidase [Actinomyces odontolyticus] 
gi|489889093|ref|WP_003792543.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889094|ref|WP_003792544.1|	GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase [Actinomyces odontolyticus] 
gi|489889095|ref|WP_003792545.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889097|ref|WP_003792547.1|	CDP-alcohol phosphatidyltransferase [Actinomyces odontolyticus] 
gi|489889098|ref|WP_003792548.1|	HIT family hydrolase [Actinomyces odontolyticus] 
