gi|490986841|ref|WP_004848574.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989499|ref|WP_004851232.1|	ATPase AAA [Coprococcus eutactus] 
gi|490989502|ref|WP_004851235.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989504|ref|WP_004851237.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989506|ref|WP_004851239.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989508|ref|WP_004851241.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989510|ref|WP_004851243.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989512|ref|WP_004851245.1|	membrane protein [Coprococcus eutactus] 
gi|490989514|ref|WP_004851247.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989515|ref|WP_004851248.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989517|ref|WP_004851250.1|	tRNA pseudouridine synthase B [Coprococcus eutactus] 
gi|490989519|ref|WP_004851252.1|	exopolyphosphatase [Coprococcus eutactus] 
gi|490989520|ref|WP_004851253.1|	MULTISPECIES: ribosome-binding factor A [Coprococcus] 
gi|490989523|ref|WP_004851256.1|	hypothetical protein partial [Coprococcus eutactus] 
gi|490989537|ref|WP_004851270.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989539|ref|WP_004851272.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989541|ref|WP_004851274.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989542|ref|WP_004851275.1|	tRNA threonylcarbamoyladenosine biosynthesis protein [Coprococcus eutactus] 
gi|490989548|ref|WP_004851281.1|	acyl-CoA:6-aminopenicillanic acid acyl transferase [Coprococcus eutactus] 
gi|490989550|ref|WP_004851283.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989552|ref|WP_004851285.1|	arsenate reductase [Coprococcus eutactus] 
gi|490989554|ref|WP_004851287.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989555|ref|WP_004851288.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989557|ref|WP_004851290.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989558|ref|WP_004851291.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989559|ref|WP_004851292.1|	hypothetical protein partial [Coprococcus eutactus] 
gi|490989560|ref|WP_004851293.1|	CdaR family transcriptional regulator [Coprococcus eutactus] 
gi|490989561|ref|WP_004851294.1|	MULTISPECIES: sugar ABC transporter ATP-binding protein [Coprococcus] 
gi|490989562|ref|WP_004851295.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989563|ref|WP_004851296.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989566|ref|WP_004851299.1|	3-oxoacyl-ACP reductase [Coprococcus eutactus] 
gi|490989568|ref|WP_004851301.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989570|ref|WP_004851303.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989572|ref|WP_004851305.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989574|ref|WP_004851307.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989576|ref|WP_004851309.1|	cell dividion protein FtsZ [Coprococcus eutactus] 
gi|490989578|ref|WP_004851311.1|	molecular chaperone [Coprococcus eutactus] 
gi|490989580|ref|WP_004851313.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989582|ref|WP_004851315.1|	MULTISPECIES: glutamate dehydrogenase [Coprococcus] 
gi|490989584|ref|WP_004851317.1|	AsnC family transcriptional regulator [Coprococcus eutactus] 
gi|490989586|ref|WP_004851319.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989588|ref|WP_004851321.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989590|ref|WP_004851323.1|	dihydropyrimidine dehydrogenase subunit A [Coprococcus eutactus] 
gi|490989592|ref|WP_004851325.1|	ferredoxin-NADP(+) reductase subunit alpha [Coprococcus eutactus] 
gi|490989594|ref|WP_004851327.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989596|ref|WP_004851329.1|	phosphoenolpyruvate-protein phosphotransferase [Coprococcus eutactus] 
gi|490989598|ref|WP_004851331.1|	MULTISPECIES: PTS glucose transporter subunit IIABC [Coprococcus] 
gi|490989600|ref|WP_004851333.1|	PTS fructose transporter subunit IIC [Coprococcus eutactus] 
gi|490989602|ref|WP_004851335.1|	1-phosphofructokinase [Coprococcus eutactus] 
gi|490989603|ref|WP_004851336.1|	MULTISPECIES: DeoR family transcriptional regulator [Coprococcus] 
gi|490989605|ref|WP_004851338.1|	cation diffusion facilitator family transporter [Coprococcus eutactus] 
gi|490989607|ref|WP_004851340.1|	beta-glucosidase [Coprococcus eutactus] 
gi|490989609|ref|WP_004851342.1|	ornithine acetyltransferase [Coprococcus eutactus] 
gi|490989611|ref|WP_004851344.1|	glutamyl-tRNA synthetase [Coprococcus eutactus] 
gi|490989613|ref|WP_004851346.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989614|ref|WP_004851347.1|	oxidoreductase [Coprococcus eutactus] 
gi|490989616|ref|WP_004851349.1|	MULTISPECIES: nucleoid-structuring protein H-NS [Coprococcus] 
gi|490989618|ref|WP_004851351.1|	6-phospho-beta-glucosidase [Coprococcus eutactus] 
gi|490989620|ref|WP_004851353.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989621|ref|WP_004851354.1|	glycerol kinase [Coprococcus eutactus] 
gi|490989623|ref|WP_004851356.1|	translation elongation factor G [Coprococcus eutactus] 
gi|490989625|ref|WP_004851358.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989626|ref|WP_004851359.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989629|ref|WP_004851362.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989630|ref|WP_004851363.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989632|ref|WP_004851365.1|	MULTISPECIES: cell division protein Fic [Coprococcus] 
gi|490989634|ref|WP_004851367.1|	cysteine synthase [Coprococcus eutactus] 
gi|490989636|ref|WP_004851369.1|	O-acetylhomoserine aminocarboxypropyltransferase [Coprococcus eutactus] 
gi|490989638|ref|WP_004851371.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989641|ref|WP_004851374.1|	Rrf2 family transcriptional regulator [Coprococcus eutactus] 
gi|490989643|ref|WP_004851376.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989644|ref|WP_004851377.1|	threonyl-tRNA synthase [Coprococcus eutactus] 
gi|490989646|ref|WP_004851379.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989647|ref|WP_004851380.1|	MULTISPECIES: peptidase S66 [Coprococcus] 
gi|490989650|ref|WP_004851383.1|	MULTISPECIES: branched-chain amino acid transporter [Coprococcus] 
gi|490989653|ref|WP_004851386.1|	MULTISPECIES: branched-chain amino acid ABC transporter permease [Coprococcus] 
gi|490989654|ref|WP_004851387.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989656|ref|WP_004851389.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989657|ref|WP_004851390.1|	magnesium chelatase [Coprococcus eutactus] 
gi|490989659|ref|WP_004851392.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989661|ref|WP_004851394.1|	2-hydroxyacid dehydrogenase [Coprococcus eutactus] 
gi|490989663|ref|WP_004851396.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989665|ref|WP_004851398.1|	PhoB family transcriptional regulator [Coprococcus eutactus] 
gi|490989667|ref|WP_004851400.1|	Trk system potassium transporter TrkH [Coprococcus eutactus] 
gi|490989669|ref|WP_004851402.1|	potassium transporter TrkA [Coprococcus eutactus] 
gi|490989671|ref|WP_004851404.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989673|ref|WP_004851406.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989675|ref|WP_004851408.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989677|ref|WP_004851410.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989679|ref|WP_004851412.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989681|ref|WP_004851414.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490989682|ref|WP_004851415.1|	iron transporter FeoB [Coprococcus eutactus] 
gi|490989683|ref|WP_004851416.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989686|ref|WP_004851419.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490989688|ref|WP_004851421.1|	endonuclease V [Coprococcus eutactus] 
gi|490989690|ref|WP_004851423.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989691|ref|WP_004851424.1|	arginase [Coprococcus eutactus] 
gi|490989694|ref|WP_004851427.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989696|ref|WP_004851429.1|	MULTISPECIES: sodium:glutamate symporter [Coprococcus] 
gi|490989698|ref|WP_004851431.1|	C4-dicarboxylate ABC transporter substrate-binding protein [Coprococcus eutactus] 
gi|490989700|ref|WP_004851433.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989702|ref|WP_004851435.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989704|ref|WP_004851437.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989706|ref|WP_004851439.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989710|ref|WP_004851443.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989712|ref|WP_004851445.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989714|ref|WP_004851447.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989716|ref|WP_004851449.1|	magnesium chelatase [Coprococcus eutactus] 
gi|490989718|ref|WP_004851451.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989720|ref|WP_004851453.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989721|ref|WP_004851454.1|	carbon starvation protein CstA [Coprococcus eutactus] 
gi|490989723|ref|WP_004851456.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989724|ref|WP_004851457.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989726|ref|WP_004851459.1|	membrane protein [Coprococcus eutactus] 
gi|490989728|ref|WP_004851461.1|	glutamine ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490989729|ref|WP_004851462.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989731|ref|WP_004851464.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989733|ref|WP_004851466.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989734|ref|WP_004851467.1|	nicotinamide mononucleotide transporter [Coprococcus eutactus] 
gi|490989737|ref|WP_004851470.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989738|ref|WP_004851471.1|	amidase [Coprococcus eutactus] 
gi|490989740|ref|WP_004851473.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989742|ref|WP_004851475.1|	arabinose transporter [Coprococcus eutactus] 
gi|490989744|ref|WP_004851477.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989745|ref|WP_004851478.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989747|ref|WP_004851480.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989749|ref|WP_004851482.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989752|ref|WP_004851485.1|	ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490989754|ref|WP_004851487.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989755|ref|WP_004851488.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989756|ref|WP_004851489.1|	ornithine cyclodeaminase [Coprococcus eutactus] 
gi|490989758|ref|WP_004851491.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989760|ref|WP_004851493.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989762|ref|WP_004851495.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989764|ref|WP_004851497.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989765|ref|WP_004851498.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989767|ref|WP_004851500.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989769|ref|WP_004851502.1|	carbohydrate kinase [Coprococcus eutactus] 
gi|490989771|ref|WP_004851504.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989772|ref|WP_004851505.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989774|ref|WP_004851507.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989776|ref|WP_004851509.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989779|ref|WP_004851512.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989781|ref|WP_004851514.1|	histidine kinase [Coprococcus eutactus] 
gi|490989783|ref|WP_004851516.1|	MULTISPECIES: heme response regulator HssR [Lachnospiraceae] 
gi|490989786|ref|WP_004851519.1|	phospholipase [Coprococcus eutactus] 
gi|490989788|ref|WP_004851521.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989790|ref|WP_004851523.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989791|ref|WP_004851524.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490989793|ref|WP_004851526.1|	toxin RelE [Coprococcus eutactus] 
gi|490989795|ref|WP_004851528.1|	plasmid stabilization protein [Coprococcus eutactus] 
gi|490989797|ref|WP_004851530.1|	integrase [Coprococcus eutactus] 
gi|490989799|ref|WP_004851532.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490989801|ref|WP_004851534.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989803|ref|WP_004851536.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989805|ref|WP_004851538.1|	MULTISPECIES: DNA mismatch repair protein MutT [Coprococcus] 
gi|490989807|ref|WP_004851540.1|	permease [Coprococcus eutactus] 
gi|490989809|ref|WP_004851542.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989811|ref|WP_004851544.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989813|ref|WP_004851546.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989814|ref|WP_004851547.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989815|ref|WP_004851548.1|	TetR family transcriptional regulator [Coprococcus eutactus] 
gi|490989816|ref|WP_004851549.1|	ATPase P [Coprococcus eutactus] 
gi|490989818|ref|WP_004851551.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989820|ref|WP_004851553.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989822|ref|WP_004851555.1|	MULTISPECIES: short-chain dehydrogenase [Coprococcus] 
gi|490989825|ref|WP_004851558.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989827|ref|WP_004851560.1|	MULTISPECIES: multidrug transporter MatE [Coprococcus] 
gi|490989829|ref|WP_004851562.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989831|ref|WP_004851564.1|	peripheral protein [Coprococcus eutactus] 
gi|490989832|ref|WP_004851565.1|	sugar ABC transporter permease [Coprococcus eutactus] 
gi|490989833|ref|WP_004851566.1|	sugar ABC transporter permease [Coprococcus eutactus] 
gi|490989835|ref|WP_004851568.1|	sugar-binding protein [Coprococcus eutactus] 
gi|490989836|ref|WP_004851569.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989838|ref|WP_004851571.1|	AraC family transcriptional regulator [Coprococcus eutactus] 
gi|490989840|ref|WP_004851573.1|	maltodextrin phosphorylase [Coprococcus eutactus] 
gi|490989841|ref|WP_004851574.1|	4-alpha-glucanotransferase [Coprococcus eutactus] 
gi|490989843|ref|WP_004851576.1|	AraC family transcriptional regulator [Coprococcus eutactus] 
gi|490989845|ref|WP_004851578.1|	peptidase C69 [Coprococcus eutactus] 
gi|490989848|ref|WP_004851581.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989851|ref|WP_004851584.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989853|ref|WP_004851586.1|	endonuclease [Coprococcus eutactus] 
gi|490989856|ref|WP_004851589.1|	exopolyphosphatase [Coprococcus eutactus] 
gi|490989859|ref|WP_004851592.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989860|ref|WP_004851593.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989862|ref|WP_004851595.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987983|ref|WP_004849716.1|	MULTISPECIES: transposase [Clostridiales] 
gi|490989864|ref|WP_004851597.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989865|ref|WP_004851598.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989867|ref|WP_004851600.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989869|ref|WP_004851602.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989870|ref|WP_004851603.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989872|ref|WP_004851605.1|	Cro/Cl family transcriptional regulator [Coprococcus eutactus] 
gi|490989874|ref|WP_004851607.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989875|ref|WP_004851608.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989877|ref|WP_004851610.1|	nucleotidyltransferase [Coprococcus eutactus] 
gi|490989879|ref|WP_004851612.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989881|ref|WP_004851614.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989883|ref|WP_004851616.1|	(Fe-S)-binding protein [Coprococcus eutactus] 
gi|490989885|ref|WP_004851618.1|	MULTISPECIES: coenzyme F420 hydrogenase [Coprococcus] 
gi|490989886|ref|WP_004851619.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989888|ref|WP_004851621.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989890|ref|WP_004851623.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989892|ref|WP_004851625.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989893|ref|WP_004851626.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989896|ref|WP_004851629.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989897|ref|WP_004851630.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989898|ref|WP_004851631.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989900|ref|WP_004851633.1|	glycosyl transferase [Coprococcus eutactus] 
gi|490989901|ref|WP_004851634.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989903|ref|WP_004851636.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989905|ref|WP_004851638.1|	MULTISPECIES: polysaccharide pyruvyl transferase [Coprococcus] 
gi|490989907|ref|WP_004851640.1|	MULTISPECIES: glycosyl transferase [Coprococcus] 
gi|490989909|ref|WP_004851642.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [Coprococcus eutactus] 
gi|490989911|ref|WP_004851644.1|	MULTISPECIES: dTDP-4-dehydrorhamnose reductase [Coprococcus] 
gi|490989913|ref|WP_004851646.1|	MULTISPECIES: spore coat protein [Coprococcus] 
gi|490989915|ref|WP_004851648.1|	glucose-1-phosphate thymidylyltransferase [Coprococcus eutactus] 
gi|490989916|ref|WP_004851649.1|	polyprenyl glycosylphosphotransferase [Coprococcus eutactus] 
gi|490989918|ref|WP_004851651.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989919|ref|WP_004851652.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989921|ref|WP_004851654.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989922|ref|WP_004851655.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989924|ref|WP_004851657.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989926|ref|WP_004851659.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989928|ref|WP_004851661.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989929|ref|WP_004851662.1|	rRNA methyltransferase [Coprococcus eutactus] 
gi|490989931|ref|WP_004851664.1|	MULTISPECIES: O-acetylhomoserine aminocarboxypropyltransferase [Coprococcus] 
gi|490989933|ref|WP_004851666.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989935|ref|WP_004851668.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989937|ref|WP_004851670.1|	alpha-galactosidase [Coprococcus eutactus] 
gi|490989938|ref|WP_004851671.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989940|ref|WP_004851673.1|	alpha-glucosidase [Coprococcus eutactus] 
gi|490989942|ref|WP_004851675.1|	sugar ABC transporter permease [Coprococcus eutactus] 
gi|490989945|ref|WP_004851678.1|	sugar ABC transporter permease [Coprococcus eutactus] 
gi|490989947|ref|WP_004851680.1|	sugar ABC transporter substrate-binding protein [Coprococcus eutactus] 
gi|490989949|ref|WP_004851682.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989952|ref|WP_004851685.1|	MULTISPECIES: ATP-dependent Lon protease [Coprococcus] 
gi|490989954|ref|WP_004851687.1|	cation transporter [Coprococcus eutactus] 
gi|490989957|ref|WP_004851690.1|	cystathionine beta-lyase [Coprococcus eutactus] 
gi|490989958|ref|WP_004851691.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989961|ref|WP_004851694.1|	hydrogenase [Coprococcus eutactus] 
gi|490989962|ref|WP_004851695.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989964|ref|WP_004851697.1|	MULTISPECIES: thiamine biosynthesis protein ThiF [Coprococcus] 
gi|490989967|ref|WP_004851700.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989968|ref|WP_004851701.1|	thioredoxin reductase [Coprococcus eutactus] 
gi|490989970|ref|WP_004851703.1|	glutamate-1-semialdehyde aminotransferase [Coprococcus eutactus] 
gi|490989972|ref|WP_004851705.1|	delta-aminolevulinic acid dehydratase [Coprococcus eutactus] 
gi|490989974|ref|WP_004851707.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989976|ref|WP_004851709.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989978|ref|WP_004851711.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989979|ref|WP_004851712.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989981|ref|WP_004851714.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989984|ref|WP_004851717.1|	MULTISPECIES: adenylyltransferase [Coprococcus] 
gi|490989986|ref|WP_004851719.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989988|ref|WP_004851721.1|	thioredoxin [Coprococcus eutactus] 
gi|490989990|ref|WP_004851723.1|	MULTISPECIES: response regulator SirA [Coprococcus] 
gi|490989992|ref|WP_004851725.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490989995|ref|WP_004851728.1|	O-acetyl-L-homoserine sulfhydrolase [Coprococcus eutactus] 
gi|490989997|ref|WP_004851730.1|	hypothetical protein [Coprococcus eutactus] 
gi|490989998|ref|WP_004851731.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490989999|ref|WP_004851732.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990000|ref|WP_004851733.1|	sulfate adenylyltransferase [Coprococcus eutactus] 
gi|490990001|ref|WP_004851734.1|	sulfate adenylyltransferase subunit 2 [Coprococcus eutactus] 
gi|490990003|ref|WP_004851736.1|	MULTISPECIES: adenylylsulfate reductase subunit beta [Coprococcus] 
gi|490990005|ref|WP_004851738.1|	adenylylsulfate reductase subunit alpha [Coprococcus eutactus] 
gi|490990007|ref|WP_004851740.1|	ABC transporter [Coprococcus eutactus] 
gi|490990009|ref|WP_004851742.1|	MULTISPECIES: sulfate ABC transporter permease [Coprococcus] 
gi|490990011|ref|WP_004851744.1|	sulfate ABC transporter permease [Coprococcus eutactus] 
gi|490990013|ref|WP_004851746.1|	sulfate transporter subunit [Coprococcus eutactus] 
gi|490990016|ref|WP_004851749.1|	cysteine synthase [Coprococcus eutactus] 
gi|490990018|ref|WP_004851751.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990021|ref|WP_004851754.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990022|ref|WP_004851755.1|	MULTISPECIES: XRE family transcriptional regulator [Coprococcus] 
gi|490990024|ref|WP_004851757.1|	histidine kinase [Coprococcus eutactus] 
gi|490990026|ref|WP_004851759.1|	MULTISPECIES: nitrogen-fixing protein NifU [Coprococcus] 
gi|490990027|ref|WP_004851760.1|	MULTISPECIES: cysteine desulfurase [Coprococcus] 
gi|490990030|ref|WP_004851763.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990033|ref|WP_004851766.1|	MULTISPECIES: Fe-S cluster assembly protein SufB [Coprococcus] 
gi|490990035|ref|WP_004851768.1|	MULTISPECIES: ABC transporter ATP-binding protein [Coprococcus] 
gi|490990037|ref|WP_004851770.1|	MULTISPECIES: Rrf2 family transcriptional regulator [Coprococcus] 
gi|490990039|ref|WP_004851772.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990040|ref|WP_004851773.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990043|ref|WP_004851776.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990044|ref|WP_004851777.1|	mannose-6-phosphate isomerase [Coprococcus eutactus] 
gi|490990046|ref|WP_004851779.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990048|ref|WP_004851781.1|	MULTISPECIES: glycosylase [Coprococcus] 
gi|490990051|ref|WP_004851784.1|	glycosidase [Coprococcus eutactus] 
gi|490990052|ref|WP_004851785.1|	N-acylglucosamine 2-epimerase [Coprococcus eutactus] 
gi|490990054|ref|WP_004851787.1|	sugar ABC transporter permease [Coprococcus eutactus] 
gi|490990056|ref|WP_004851789.1|	sugar ABC transporter permease [Coprococcus eutactus] 
gi|490990058|ref|WP_004851791.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990060|ref|WP_004851793.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990061|ref|WP_004851794.1|	transcriptional regulator [Coprococcus eutactus] 
gi|490990063|ref|WP_004851796.1|	alpha-galactosidase [Coprococcus eutactus] 
gi|490990064|ref|WP_004851797.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990065|ref|WP_004851798.1|	phosphoglucomutase [Coprococcus eutactus] 
gi|490990066|ref|WP_004851799.1|	phosphoglucomutase [Coprococcus eutactus] 
gi|490990069|ref|WP_004851802.1|	phosphoglucomutase [Coprococcus eutactus] 
gi|490990070|ref|WP_004851803.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990073|ref|WP_004851806.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990074|ref|WP_004851807.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990076|ref|WP_004851809.1|	ABC transporter [Coprococcus eutactus] 
gi|490990077|ref|WP_004851810.1|	ABC transporter [Coprococcus eutactus] 
gi|490990079|ref|WP_004851812.1|	ABC transporter substrate-binding protein [Coprococcus eutactus] 
gi|490990080|ref|WP_004851813.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990083|ref|WP_004851816.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990085|ref|WP_004851818.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990086|ref|WP_004851819.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990089|ref|WP_004851822.1|	MULTISPECIES: RNA 2'-phosphotransferase [Coprococcus] 
gi|490990091|ref|WP_004851824.1|	NUDIX hydrolase [Coprococcus eutactus] 
gi|490990093|ref|WP_004851826.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990094|ref|WP_004851827.1|	exonuclease SbcD [Coprococcus eutactus] 
gi|490990096|ref|WP_004851829.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990097|ref|WP_004851830.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990098|ref|WP_004851831.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990100|ref|WP_004851833.1|	hypothetical protein [Coprococcus eutactus] 
gi|490990102|ref|WP_004851835.1|	ABC transporter ATP-binding protein [Coprococcus eutactus] 
