gi|490746319|ref|WP_004608627.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490747454|ref|WP_004609762.1|	glycerol-3-phosphate acyltransferase [[Clostridium] spiroforme] 
gi|490747455|ref|WP_004609763.1|	DNA topoisomerase IV subunit B [[Clostridium] spiroforme] 
gi|490747456|ref|WP_004609764.1|	DNA gyrase subunit A [[Clostridium] spiroforme] 
gi|490747457|ref|WP_004609765.1|	RNA polymerase sigma 70 [[Clostridium] spiroforme] 
gi|490747458|ref|WP_004609766.1|	GTPase [[Clostridium] spiroforme] 
gi|490747459|ref|WP_004609767.1|	RNA-binding protein [[Clostridium] spiroforme] 
gi|490747460|ref|WP_004609768.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747461|ref|WP_004609769.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747462|ref|WP_004609770.1|	SAM-dependent methyltransferase [[Clostridium] spiroforme] 
gi|490747463|ref|WP_004609771.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747464|ref|WP_004609772.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747465|ref|WP_004609773.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490747466|ref|WP_004609774.1|	PTS lactose transporter subunit IIB [[Clostridium] spiroforme] 
gi|490747467|ref|WP_004609775.1|	PTS lactose transporter subunit IIB [[Clostridium] spiroforme] 
gi|490747468|ref|WP_004609776.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747469|ref|WP_004609777.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747470|ref|WP_004609778.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747471|ref|WP_004609779.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747472|ref|WP_004609780.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747473|ref|WP_004609781.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747474|ref|WP_004609782.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747475|ref|WP_004609783.1|	phosphopentomutase [[Clostridium] spiroforme] 
gi|490747476|ref|WP_004609784.1|	tyrosine recombinase XerD [[Clostridium] spiroforme] 
gi|490747477|ref|WP_004609785.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747478|ref|WP_004609786.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747479|ref|WP_004609787.1|	branched-chain amino acid transporter AzlD [[Clostridium] spiroforme] 
gi|490747480|ref|WP_004609788.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747481|ref|WP_004609789.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747482|ref|WP_004609790.1|	stage IV sporulation protein B [[Clostridium] spiroforme] 
gi|490747483|ref|WP_004609791.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747484|ref|WP_004609792.1|	rRNA methyltransferase [[Clostridium] spiroforme] 
gi|490747485|ref|WP_004609793.1|	1-deoxy-D-xylulose-5-phosphate synthase [[Clostridium] spiroforme] 
gi|490747486|ref|WP_004609794.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747487|ref|WP_004609795.1|	exodeoxyribonuclease VII [[Clostridium] spiroforme] 
gi|490747488|ref|WP_004609796.1|	exodeoxyribonuclease VII [[Clostridium] spiroforme] 
gi|490747489|ref|WP_004609797.1|	transcription antitermination protein NusB [[Clostridium] spiroforme] 
gi|490747490|ref|WP_004609798.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747491|ref|WP_004609799.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747492|ref|WP_004609800.1|	elongation factor P [[Clostridium] spiroforme] 
gi|490747493|ref|WP_004609801.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747494|ref|WP_004609802.1|	N-terminal cleavage protein [[Clostridium] spiroforme] 
gi|490747495|ref|WP_004609803.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747496|ref|WP_004609804.1|	N-terminal cleavage protein [[Clostridium] spiroforme] 
gi|490747497|ref|WP_004609805.1|	competence protein ComGC [[Clostridium] spiroforme] 
gi|490747498|ref|WP_004609806.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747499|ref|WP_004609807.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747500|ref|WP_004609808.1|	flavodoxin [[Clostridium] spiroforme] 
gi|490747501|ref|WP_004609809.1|	histidinol phosphatase [[Clostridium] spiroforme] 
gi|490747502|ref|WP_004609810.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747503|ref|WP_004609811.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747504|ref|WP_004609812.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747505|ref|WP_004609813.1|	amino acid permease [[Clostridium] spiroforme] 
gi|490747506|ref|WP_004609814.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747507|ref|WP_004609815.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747508|ref|WP_004609816.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747509|ref|WP_004609817.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747510|ref|WP_004609818.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747511|ref|WP_004609819.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747512|ref|WP_004609820.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747513|ref|WP_004609821.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747514|ref|WP_004609822.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747515|ref|WP_004609823.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747516|ref|WP_004609824.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747517|ref|WP_004609825.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747518|ref|WP_004609826.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747519|ref|WP_004609827.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747520|ref|WP_004609828.1|	transposase [[Clostridium] spiroforme] 
gi|490747521|ref|WP_004609829.1|	seribe.threonine protein phosphatase [[Clostridium] spiroforme] 
gi|490747522|ref|WP_004609830.1|	GTP-binding protein [[Clostridium] spiroforme] 
gi|490747523|ref|WP_004609831.1|	thiamine biosynthesis protein ThiH [[Clostridium] spiroforme] 
gi|490747524|ref|WP_004609832.1|	biotin synthase [[Clostridium] spiroforme] 
gi|490747525|ref|WP_004609833.1|	iron-only hydrogenase system regulator [[Clostridium] spiroforme] 
gi|490747526|ref|WP_004609834.1|	D-lactate dehydrogenase [[Clostridium] spiroforme] 
gi|490747527|ref|WP_004609835.1|	acetyl transferase [[Clostridium] spiroforme] 
gi|490747528|ref|WP_004609836.1|	hydrolase [[Clostridium] spiroforme] 
gi|490747529|ref|WP_004609837.1|	methionine ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747530|ref|WP_004609838.1|	methionine import system permease MetP [[Clostridium] spiroforme] 
gi|490747531|ref|WP_004609839.1|	methionine ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747532|ref|WP_004609840.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490747533|ref|WP_004609841.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747534|ref|WP_004609842.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747535|ref|WP_004609843.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747536|ref|WP_004609844.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747537|ref|WP_004609845.1|	50S ribosomal protein L33 [[Clostridium] spiroforme] 
gi|490747538|ref|WP_004609846.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747539|ref|WP_004609847.1|	cell division protein FtsK [[Clostridium] spiroforme] 
gi|490747540|ref|WP_004609848.1|	metallo-beta-lactamase [[Clostridium] spiroforme] 
gi|490747541|ref|WP_004609849.1|	dipicolinic acid synthetase [[Clostridium] spiroforme] 
gi|490747542|ref|WP_004609850.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747543|ref|WP_004609851.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747544|ref|WP_004609852.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747545|ref|WP_004609853.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490747546|ref|WP_004609854.1|	phosphonoacetaldehyde hydrolase [[Clostridium] spiroforme] 
gi|490747547|ref|WP_004609855.1|	2-aminoethylphosphonate:pyruvate aminotransferase [[Clostridium] spiroforme] 
gi|490747548|ref|WP_004609856.1|	ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747549|ref|WP_004609857.1|	iron ABC transporter permease [[Clostridium] spiroforme] 
gi|490747550|ref|WP_004609858.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490747551|ref|WP_004609859.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490747552|ref|WP_004609860.1|	4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein [[Clostridium] spiroforme] 
gi|490747553|ref|WP_004609861.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747554|ref|WP_004609862.1|	phosphopantothenoylcysteine decarboxylase [[Clostridium] spiroforme] 
gi|490747555|ref|WP_004609863.1|	pantothenate kinase [[Clostridium] spiroforme] 
gi|490747556|ref|WP_004609864.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747557|ref|WP_004609865.1|	flavin reductase [[Clostridium] spiroforme] 
gi|490747558|ref|WP_004609866.1|	4-alpha-glucanotransferase [[Clostridium] spiroforme] 
gi|490747559|ref|WP_004609867.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747560|ref|WP_004609868.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747561|ref|WP_004609869.1|	iron transporter FeoA [[Clostridium] spiroforme] 
gi|490747562|ref|WP_004609870.1|	beta-lactamase [[Clostridium] spiroforme] 
gi|490747563|ref|WP_004609871.1|	isochorismatase [[Clostridium] spiroforme] 
gi|490747564|ref|WP_004609872.1|	branched-chain amino acid aminotransferase [[Clostridium] spiroforme] 
gi|490747565|ref|WP_004609873.1|	citrate synthase [[Clostridium] spiroforme] 
gi|490747566|ref|WP_004609874.1|	SAM-dependent methyltransferase [[Clostridium] spiroforme] 
gi|490747567|ref|WP_004609875.1|	cation-transporting ATPase [[Clostridium] spiroforme] 
gi|490747568|ref|WP_004609876.1|	amidohydrolase [[Clostridium] spiroforme] 
gi|490747569|ref|WP_004609877.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747570|ref|WP_004609878.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490747571|ref|WP_004609879.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747572|ref|WP_004609880.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747573|ref|WP_004609881.1|	hydrolase [[Clostridium] spiroforme] 
gi|490747574|ref|WP_004609882.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747575|ref|WP_004609883.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747576|ref|WP_004609884.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747577|ref|WP_004609885.1|	glutamyl-tRNA synthetase [[Clostridium] spiroforme] 
gi|490747578|ref|WP_004609886.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747579|ref|WP_004609887.1|	translation elongation factor G [[Clostridium] spiroforme] 
gi|490747580|ref|WP_004609888.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490747581|ref|WP_004609889.1|	peptide ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747582|ref|WP_004609890.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747583|ref|WP_004609891.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490747584|ref|WP_004609892.1|	phenylalanyl-tRNA synthase subunit alpha [[Clostridium] spiroforme] 
gi|490747585|ref|WP_004609893.1|	phenylalanyl-tRNA synthetase [[Clostridium] spiroforme] 
gi|490746322|ref|WP_004608630.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746350|ref|WP_004608658.1|	RNA-directed DNA polymerase [[Clostridium] spiroforme] 
gi|490747586|ref|WP_004609894.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747587|ref|WP_004609895.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747588|ref|WP_004609896.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747589|ref|WP_004609897.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747590|ref|WP_004609898.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747591|ref|WP_004609899.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747593|ref|WP_004609901.1|	diaminopimelate aminotransferase [[Clostridium] spiroforme] 
gi|490747592|ref|WP_004609900.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747594|ref|WP_004609902.1|	stage IV sporulation protein A [[Clostridium] spiroforme] 
gi|490747595|ref|WP_004609903.1|	integration host factor [[Clostridium] spiroforme] 
gi|490747596|ref|WP_004609904.1|	zinc metallopeptidase [[Clostridium] spiroforme] 
gi|490747597|ref|WP_004609905.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747598|ref|WP_004609906.1|	replication protein DnaD [[Clostridium] spiroforme] 
gi|490747599|ref|WP_004609907.1|	endonuclease III [[Clostridium] spiroforme] 
gi|490747600|ref|WP_004609908.1|	penicillin-binding protein [[Clostridium] spiroforme] 
gi|490747601|ref|WP_004609909.1|	recombinase RecU [[Clostridium] spiroforme] 
gi|490747602|ref|WP_004609910.1|	cell division protein DivIVA [[Clostridium] spiroforme] 
gi|490747603|ref|WP_004609911.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747604|ref|WP_004609912.1|	peroxiredoxin [[Clostridium] spiroforme] 
gi|490747605|ref|WP_004609913.1|	thioredoxin reductase [[Clostridium] spiroforme] 
gi|490747606|ref|WP_004609914.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747607|ref|WP_004609915.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747608|ref|WP_004609916.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [[Clostridium] spiroforme] 
gi|490747609|ref|WP_004609917.1|	damage-inducible protein CinA [[Clostridium] spiroforme] 
gi|490747610|ref|WP_004609918.1|	protein RecA [[Clostridium] spiroforme] 
gi|490747611|ref|WP_004609919.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747612|ref|WP_004609920.1|	ribonuclease [[Clostridium] spiroforme] 
gi|490747613|ref|WP_004609921.1|	metallophosphoesterase [[Clostridium] spiroforme] 
gi|490747614|ref|WP_004609922.1|	stage V sporulation protein S [[Clostridium] spiroforme] 
gi|490747615|ref|WP_004609923.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [[Clostridium] spiroforme] 
gi|490747616|ref|WP_004609924.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747617|ref|WP_004609925.1|	inosine 5'-monophosphate dehydrogenase [[Clostridium] spiroforme] 
gi|490747618|ref|WP_004609926.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747619|ref|WP_004609927.1|	DNA mismatch repair protein MutS [[Clostridium] spiroforme] 
gi|490747620|ref|WP_004609928.1|	DNA mismatch repair protein MutL [[Clostridium] spiroforme] 
gi|490747621|ref|WP_004609929.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [[Clostridium] spiroforme] 
gi|490747622|ref|WP_004609930.1|	recombinase RarA [[Clostridium] spiroforme] 
gi|490747623|ref|WP_004609931.1|	D-tyrosyl-tRNA(Tyr) deacylase [[Clostridium] spiroforme] 
gi|490747624|ref|WP_004609932.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747625|ref|WP_004609933.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747626|ref|WP_004609934.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747627|ref|WP_004609935.1|	short-chain dehydrogenase [[Clostridium] spiroforme] 
gi|490747628|ref|WP_004609936.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747629|ref|WP_004609937.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747630|ref|WP_004609938.1|	aldehyde oxidase [[Clostridium] spiroforme] 
gi|490747631|ref|WP_004609939.1|	(2Fe-2S)-binding protein [[Clostridium] spiroforme] 
gi|490747632|ref|WP_004609940.1|	FAD-binding subunit of xanthine dehydrogenase dehydrogenase [[Clostridium] spiroforme] 
gi|490747633|ref|WP_004609941.1|	uracil permease [[Clostridium] spiroforme] 
gi|490747634|ref|WP_004609942.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747635|ref|WP_004609943.1|	iron ABC transporter permease [[Clostridium] spiroforme] 
gi|490747636|ref|WP_004609944.1|	iron ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747637|ref|WP_004609945.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747638|ref|WP_004609946.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747639|ref|WP_004609947.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746893|ref|WP_004609201.1|	transposase [[Clostridium] spiroforme] 
gi|490747640|ref|WP_004609948.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747641|ref|WP_004609949.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747642|ref|WP_004609950.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747643|ref|WP_004609951.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747644|ref|WP_004609952.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747645|ref|WP_004609953.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747646|ref|WP_004609954.1|	ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747647|ref|WP_004609955.1|	GntR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747648|ref|WP_004609956.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490747649|ref|WP_004609957.1|	carbamoyl phosphate synthase large subunit [[Clostridium] spiroforme] 
gi|490747650|ref|WP_004609958.1|	carbamoyl phosphate synthase small subunit [[Clostridium] spiroforme] 
gi|490747651|ref|WP_004609959.1|	amidophosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490747652|ref|WP_004609960.1|	CTP synthetase [[Clostridium] spiroforme] 
gi|490747653|ref|WP_004609961.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747654|ref|WP_004609962.1|	glutamine synthetase [[Clostridium] spiroforme] 
gi|490747655|ref|WP_004609963.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747656|ref|WP_004609964.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747657|ref|WP_004609965.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747658|ref|WP_004609966.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747659|ref|WP_004609967.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747660|ref|WP_004609968.1|	glycosyl transferase family 2 [[Clostridium] spiroforme] 
gi|490747661|ref|WP_004609969.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747662|ref|WP_004609970.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747663|ref|WP_004609971.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747664|ref|WP_004609972.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747665|ref|WP_004609973.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490747666|ref|WP_004609974.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747667|ref|WP_004609975.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747668|ref|WP_004609976.1|	CRISPR-associated protein Cas2 [[Clostridium] spiroforme] 
gi|490747669|ref|WP_004609977.1|	CRISPR-associated protein Cas1 [[Clostridium] spiroforme] 
gi|490747670|ref|WP_004609978.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747671|ref|WP_004609979.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746776|ref|WP_004609084.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746775|ref|WP_004609083.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746322|ref|WP_004608630.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747672|ref|WP_004609980.1|	heat shock protein Hsp20 [[Clostridium] spiroforme] 
gi|490747673|ref|WP_004609981.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747674|ref|WP_004609982.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747675|ref|WP_004609983.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747676|ref|WP_004609984.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747677|ref|WP_004609985.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747678|ref|WP_004609986.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747679|ref|WP_004609987.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747680|ref|WP_004609988.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747681|ref|WP_004609989.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747682|ref|WP_004609990.1|	glyoxalase [[Clostridium] spiroforme] 
gi|490747683|ref|WP_004609991.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747684|ref|WP_004609992.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747685|ref|WP_004609993.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747686|ref|WP_004609994.1|	branched-chain amino acid ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747687|ref|WP_004609995.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747688|ref|WP_004609996.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747689|ref|WP_004609997.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747690|ref|WP_004609998.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747691|ref|WP_004609999.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747692|ref|WP_004610000.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747693|ref|WP_004610001.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747694|ref|WP_004610002.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747695|ref|WP_004610003.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747696|ref|WP_004610004.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490747697|ref|WP_004610005.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747698|ref|WP_004610006.1|	bacitracin ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747699|ref|WP_004610007.1|	XRE family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747700|ref|WP_004610008.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747701|ref|WP_004610009.1|	maltose O-acetyltransferase [[Clostridium] spiroforme] 
gi|490747703|ref|WP_004610011.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747702|ref|WP_004610010.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747704|ref|WP_004610012.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747705|ref|WP_004610013.1|	cytidine deaminase [[Clostridium] spiroforme] 
gi|490747706|ref|WP_004610014.1|	acetyltransferase [[Clostridium] spiroforme] 
gi|490747707|ref|WP_004610015.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747708|ref|WP_004610016.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490747709|ref|WP_004610017.1|	N-acetyltransferase GCN5 [[Clostridium] spiroforme] 
gi|490747710|ref|WP_004610018.1|	radical SAM protein [[Clostridium] spiroforme] 
gi|490747711|ref|WP_004610019.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747712|ref|WP_004610020.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747713|ref|WP_004610021.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747714|ref|WP_004610022.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747715|ref|WP_004610023.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747716|ref|WP_004610024.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747150|ref|WP_004609458.1|	RNA-directed DNA polymerase [[Clostridium] spiroforme] 
gi|490747717|ref|WP_004610025.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747718|ref|WP_004610026.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747719|ref|WP_004610027.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747720|ref|WP_004610028.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747721|ref|WP_004610029.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747722|ref|WP_004610030.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747723|ref|WP_004610031.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747724|ref|WP_004610032.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747725|ref|WP_004610033.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747726|ref|WP_004610034.1|	radical SAM protein [[Clostridium] spiroforme] 
gi|490747727|ref|WP_004610035.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747728|ref|WP_004610036.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747729|ref|WP_004610037.1|	elongation factor P [[Clostridium] spiroforme] 
gi|490747730|ref|WP_004610038.1|	radical SAM protein [[Clostridium] spiroforme] 
gi|490747731|ref|WP_004610039.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747732|ref|WP_004610040.1|	integrase [[Clostridium] spiroforme] 
gi|490747733|ref|WP_004610041.1|	restriction endonuclease subunit R [[Clostridium] spiroforme] 
gi|490747734|ref|WP_004610042.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747735|ref|WP_004610043.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747736|ref|WP_004610044.1|	restriction endonuclease subunit M [[Clostridium] spiroforme] 
gi|490747737|ref|WP_004610045.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747738|ref|WP_004610046.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747739|ref|WP_004610047.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747740|ref|WP_004610048.1|	transposase [[Clostridium] spiroforme] 
gi|490747741|ref|WP_004610049.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747742|ref|WP_004610050.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747743|ref|WP_004610051.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747744|ref|WP_004610052.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747745|ref|WP_004610053.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747746|ref|WP_004610054.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747747|ref|WP_004610055.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747748|ref|WP_004610056.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747749|ref|WP_004610057.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747750|ref|WP_004610058.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747751|ref|WP_004610059.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747752|ref|WP_004610060.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747753|ref|WP_004610061.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747754|ref|WP_004610062.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747755|ref|WP_004610063.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747756|ref|WP_004610064.1|	hypothetical protein [[Clostridium] spiroforme] 
