gi|490969876|ref|WP_004831676.1|	hypothetical protein partial [Parvimonas micra] 
gi|490970780|ref|WP_004832578.1|	hypothetical protein [Parvimonas micra] 
gi|490970781|ref|WP_004832579.1|	RNA helicase [Parvimonas micra] 
gi|490970782|ref|WP_004832580.1|	RNA methyltransferase [Parvimonas micra] 
gi|490970783|ref|WP_004832581.1|	hypothetical protein [Parvimonas micra] 
gi|490970784|ref|WP_004832582.1|	hypothetical protein [Parvimonas micra] 
gi|490970785|ref|WP_004832583.1|	hypothetical protein [Parvimonas micra] 
gi|490970786|ref|WP_004832584.1|	hypothetical protein [Parvimonas micra] 
gi|490970787|ref|WP_004832585.1|	hypothetical protein [Parvimonas micra] 
gi|490970788|ref|WP_004832586.1|	hypothetical protein [Parvimonas micra] 
gi|490970789|ref|WP_004832587.1|	proline iminopeptidase [Parvimonas micra] 
gi|490970790|ref|WP_004832588.1|	membrane protein [Parvimonas micra] 
gi|490970791|ref|WP_004832589.1|	antitoxin HicB [Parvimonas micra] 
gi|490970792|ref|WP_004832590.1|	hypothetical protein [Parvimonas micra] 
gi|490970793|ref|WP_004832591.1|	hypothetical protein [Parvimonas micra] 
gi|490970794|ref|WP_004832592.1|	hypothetical protein [Parvimonas micra] 
gi|490970795|ref|WP_004832593.1|	hypothetical protein [Parvimonas micra] 
gi|490970796|ref|WP_004832594.1|	hypothetical protein [Parvimonas micra] 
gi|490970797|ref|WP_004832595.1|	hypothetical protein [Parvimonas micra] 
gi|490970798|ref|WP_004832596.1|	hypothetical protein [Parvimonas micra] 
gi|490970799|ref|WP_004832597.1|	hypothetical protein [Parvimonas micra] 
gi|490970800|ref|WP_004832598.1|	hypothetical protein [Parvimonas micra] 
gi|490970801|ref|WP_004832599.1|	hypothetical protein [Parvimonas micra] 
gi|490970802|ref|WP_004832600.1|	hypothetical protein [Parvimonas micra] 
gi|490970803|ref|WP_004832601.1|	hypothetical protein [Parvimonas micra] 
gi|490970804|ref|WP_004832602.1|	hypothetical protein [Parvimonas micra] 
gi|490970805|ref|WP_004832603.1|	hypothetical protein [Parvimonas micra] 
gi|490970806|ref|WP_004832604.1|	single-stranded DNA-binding protein [Parvimonas micra] 
gi|490970807|ref|WP_004832605.1|	N-6 DNA methylase [Parvimonas micra] 
gi|490970808|ref|WP_004832606.1|	hypothetical protein [Parvimonas micra] 
gi|490970809|ref|WP_004832607.1|	hypothetical protein [Parvimonas micra] 
gi|490970810|ref|WP_004832608.1|	hypothetical protein [Parvimonas micra] 
gi|490970811|ref|WP_004832609.1|	hypothetical protein [Parvimonas micra] 
gi|490970812|ref|WP_004832610.1|	DNA methyltransferase [Parvimonas micra] 
gi|490970813|ref|WP_004832611.1|	hypothetical protein [Parvimonas micra] 
gi|490970814|ref|WP_004832612.1|	hypothetical protein [Parvimonas micra] 
gi|490970815|ref|WP_004832613.1|	hypothetical protein [Parvimonas micra] 
gi|490970816|ref|WP_004832614.1|	hypothetical protein [Parvimonas micra] 
gi|490970818|ref|WP_004832615.1|	hypothetical protein [Parvimonas micra] 
gi|490970819|ref|WP_004832616.1|	hypothetical protein [Parvimonas micra] 
gi|490970820|ref|WP_004832617.1|	hypothetical protein [Parvimonas micra] 
gi|490970821|ref|WP_004832618.1|	phage portal protein [Parvimonas micra] 
gi|490970822|ref|WP_004832619.1|	hypothetical protein [Parvimonas micra] 
gi|490970823|ref|WP_004832620.1|	hypothetical protein [Parvimonas micra] 
gi|490970824|ref|WP_004832621.1|	hypothetical protein [Parvimonas micra] 
gi|490970825|ref|WP_004832622.1|	hypothetical protein [Parvimonas micra] 
gi|490970826|ref|WP_004832623.1|	hypothetical protein [Parvimonas micra] 
gi|490970827|ref|WP_004832624.1|	hypothetical protein [Parvimonas micra] 
gi|490970828|ref|WP_004832625.1|	hypothetical protein [Parvimonas micra] 
gi|490970829|ref|WP_004832626.1|	hypothetical protein [Parvimonas micra] 
gi|490970830|ref|WP_004832627.1|	hypothetical protein [Parvimonas micra] 
gi|490970831|ref|WP_004832628.1|	hypothetical protein [Parvimonas micra] 
gi|490970832|ref|WP_004832629.1|	hypothetical protein [Parvimonas micra] 
gi|490970833|ref|WP_004832630.1|	hypothetical protein [Parvimonas micra] 
gi|490970834|ref|WP_004832631.1|	hypothetical protein [Parvimonas micra] 
gi|490970835|ref|WP_004832632.1|	hypothetical protein [Parvimonas micra] 
gi|490970836|ref|WP_004832633.1|	hypothetical protein [Parvimonas micra] 
gi|490970837|ref|WP_004832634.1|	hypothetical protein [Parvimonas micra] 
gi|490970838|ref|WP_004832635.1|	holin [Parvimonas micra] 
gi|490970839|ref|WP_004832636.1|	hypothetical protein [Parvimonas micra] 
gi|490970840|ref|WP_004832637.1|	hypothetical protein [Parvimonas micra] 
gi|490970841|ref|WP_004832638.1|	hypothetical protein [Parvimonas micra] 
gi|490970842|ref|WP_004832639.1|	hypothetical protein [Parvimonas micra] 
gi|490970843|ref|WP_004832640.1|	fructose-bisphosphate aldolase [Parvimonas micra] 
gi|490970844|ref|WP_004832641.1|	hypothetical protein [Parvimonas micra] 
gi|490970845|ref|WP_004832642.1|	AbrB family transcriptional regulator [Parvimonas micra] 
gi|490970846|ref|WP_004832643.1|	alpha/beta hydrolase [Parvimonas micra] 
gi|490970847|ref|WP_004832644.1|	iron-sulfur protein [Parvimonas micra] 
gi|490970848|ref|WP_004832645.1|	hypothetical protein [Parvimonas micra] 
gi|490970849|ref|WP_004832646.1|	hypothetical protein [Parvimonas micra] 
gi|490970850|ref|WP_004832647.1|	hypothetical protein [Parvimonas micra] 
gi|490970851|ref|WP_004832648.1|	hypothetical protein [Parvimonas micra] 
gi|490970852|ref|WP_004832649.1|	hypothetical protein [Parvimonas micra] 
gi|490970853|ref|WP_004832650.1|	hypothetical protein [Parvimonas micra] 
gi|490970854|ref|WP_004832651.1|	hypothetical protein [Parvimonas micra] 
gi|490970855|ref|WP_004832652.1|	hypothetical protein [Parvimonas micra] 
gi|490970856|ref|WP_004832653.1|	TetR family transcriptional regulator [Parvimonas micra] 
gi|490970857|ref|WP_004832654.1|	multidrug transporter MatE [Parvimonas micra] 
gi|490970858|ref|WP_004832655.1|	membrane protein [Parvimonas micra] 
gi|490970859|ref|WP_004832656.1|	membrane protein [Parvimonas micra] 
gi|490970860|ref|WP_004832657.1|	DNA-binding protein [Parvimonas micra] 
gi|490970861|ref|WP_004832658.1|	hypothetical protein [Parvimonas micra] 
gi|490970862|ref|WP_004832659.1|	hypothetical protein [Parvimonas micra] 
gi|490970863|ref|WP_004832660.1|	methionine biosynthesis protein MetW [Parvimonas micra] 
gi|490970864|ref|WP_004832661.1|	MULTISPECIES: transaldolase [Parvimonas] 
gi|490970865|ref|WP_004832662.1|	MULTISPECIES: fructose 1,6-bisphosphatase [Parvimonas] 
gi|490970866|ref|WP_004832663.1|	transcription termination factor Rho [Parvimonas micra] 
gi|490970867|ref|WP_004832664.1|	flavodoxin [Parvimonas micra] 
gi|490970868|ref|WP_004832665.1|	hypothetical protein [Parvimonas micra] 
gi|490970869|ref|WP_004832666.1|	hypothetical protein [Parvimonas micra] 
gi|490970870|ref|WP_004832667.1|	uracil transporter [Parvimonas micra] 
gi|490970871|ref|WP_004832668.1|	hypothetical protein [Parvimonas micra] 
gi|490970872|ref|WP_004832669.1|	ABC transporter permease [Parvimonas micra] 
gi|490970873|ref|WP_004832670.1|	amino acid ABC transporter permease [Parvimonas micra] 
gi|490970874|ref|WP_004832671.1|	membrane protein [Parvimonas micra] 
gi|490970875|ref|WP_004832672.1|	hypothetical protein [Parvimonas micra] 
gi|490970876|ref|WP_004832673.1|	hypothetical protein [Parvimonas micra] 
gi|490970877|ref|WP_004832674.1|	3-hydroxyacyl-ACP dehydratase [Parvimonas micra] 
gi|490970878|ref|WP_004832675.1|	hypothetical protein [Parvimonas micra] 
gi|490970879|ref|WP_004832676.1|	hypothetical protein [Parvimonas micra] 
gi|490970880|ref|WP_004832677.1|	hypothetical protein [Parvimonas micra] 
gi|490970881|ref|WP_004832678.1|	DNA-binding protein [Parvimonas micra] 
gi|490970882|ref|WP_004832679.1|	CarD family transcriptional regulator [Parvimonas micra] 
gi|490970883|ref|WP_004832680.1|	hypothetical protein [Parvimonas micra] 
gi|490970884|ref|WP_004832681.1|	hypothetical protein [Parvimonas micra] 
gi|490970885|ref|WP_004832682.1|	ABC transporter [Parvimonas micra] 
gi|490970886|ref|WP_004832683.1|	metal ABC transporter permease [Parvimonas micra] 
gi|490970887|ref|WP_004832684.1|	hypothetical protein [Parvimonas micra] 
gi|490970888|ref|WP_004832685.1|	radical SAM protein [Parvimonas micra] 
gi|490970889|ref|WP_004832686.1|	lysophospholipase [Parvimonas micra] 
gi|490970890|ref|WP_004832687.1|	hypothetical protein [Parvimonas micra] 
gi|490970891|ref|WP_004832688.1|	adenine permease [Parvimonas micra] 
gi|490970892|ref|WP_004832689.1|	heme ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970893|ref|WP_004832690.1|	sodium:alanine symporter [Parvimonas micra] 
gi|490970894|ref|WP_004832691.1|	hypothetical protein [Parvimonas micra] 
gi|490970895|ref|WP_004832692.1|	hypothetical protein [Parvimonas micra] 
gi|490970896|ref|WP_004832693.1|	hypothetical protein [Parvimonas micra] 
gi|490970897|ref|WP_004832694.1|	NADPH dehydrogenase [Parvimonas micra] 
gi|490970898|ref|WP_004832695.1|	glycine dehydrogenase subunit 2 [Parvimonas micra] 
gi|490970899|ref|WP_004832696.1|	glycine dehydrogenase subunit 1 [Parvimonas micra] 
gi|490970900|ref|WP_004832697.1|	glycine cleavage system protein T [Parvimonas micra] 
gi|490970901|ref|WP_004832698.1|	ATP-NAD kinase [Parvimonas micra] 
gi|490970903|ref|WP_004832700.1|	general stress protein [Parvimonas micra] 
gi|490970905|ref|WP_004832702.1|	hypothetical protein [Parvimonas micra] 
gi|490970906|ref|WP_004832703.1|	formate transporter FocA [Parvimonas micra] 
gi|490970907|ref|WP_004832704.1|	LysR family transcriptional regulator [Parvimonas micra] 
gi|490970909|ref|WP_004832706.1|	alkylhydroperoxidase [Parvimonas micra] 
gi|490970911|ref|WP_004832708.1|	hypothetical protein [Parvimonas micra] 
gi|490970913|ref|WP_004832709.1|	membrane protein [Parvimonas micra] 
gi|490970914|ref|WP_004832710.1|	UDP-diphosphatase [Parvimonas micra] 
gi|490970915|ref|WP_004832711.1|	hypothetical protein [Parvimonas micra] 
gi|490970916|ref|WP_004832712.1|	hypothetical protein [Parvimonas micra] 
gi|490970917|ref|WP_004832713.1|	MULTISPECIES: RNA-binding protein [Parvimonas] 
gi|490970918|ref|WP_004832714.1|	3-ketoacyl-ACP reductase [Parvimonas micra] 
gi|490970919|ref|WP_004832715.1|	30S ribosomal protein S4 [Parvimonas micra] 
gi|490970920|ref|WP_004832716.1|	branched-chain amino acid transporter [Parvimonas micra] 
gi|490970921|ref|WP_004832717.1|	hypothetical protein [Parvimonas micra] 
gi|490970922|ref|WP_004832718.1|	oligoendopeptidase F [Parvimonas micra] 
gi|490970923|ref|WP_004832719.1|	branched-chain amino acid transporter [Parvimonas micra] 
gi|490970924|ref|WP_004832720.1|	hypothetical protein [Parvimonas micra] 
gi|490970925|ref|WP_004832721.1|	hypothetical protein [Parvimonas micra] 
gi|490970926|ref|WP_004832722.1|	recombinase RecR [Parvimonas micra] 
gi|490970927|ref|WP_004832723.1|	hypothetical protein [Parvimonas micra] 
gi|490970928|ref|WP_004832724.1|	hypothetical protein [Parvimonas micra] 
gi|490970929|ref|WP_004832725.1|	DNA polymerase III subunit gamma/tau [Parvimonas micra] 
gi|490970930|ref|WP_004832726.1|	hypothetical protein [Parvimonas micra] 
gi|490970931|ref|WP_004832727.1|	N-acyl-L-amino acid amidohydrolase [Parvimonas micra] 
gi|490970932|ref|WP_004832728.1|	malate dehydrogenase [Parvimonas micra] 
gi|490970933|ref|WP_004832729.1|	DNA repair protein RadA [Parvimonas micra] 
gi|490970934|ref|WP_004832730.1|	hypothetical protein [Parvimonas micra] 
gi|490970935|ref|WP_004832731.1|	hypothetical protein [Parvimonas micra] 
gi|490970936|ref|WP_004832732.1|	macrolide ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970937|ref|WP_004832733.1|	ABC transporter permease [Parvimonas micra] 
gi|490970938|ref|WP_004832734.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490970939|ref|WP_004832735.1|	type I restriction endonuclease EcoR124II subunit M [Parvimonas micra] 
gi|490970940|ref|WP_004832736.1|	type I restriction endonuclease subunit S [Parvimonas micra] 
gi|490970941|ref|WP_004832737.1|	type I restriction endonuclease subunit S [Parvimonas micra] 
gi|490970942|ref|WP_004832738.1|	hypothetical protein [Parvimonas micra] 
gi|490970943|ref|WP_004832739.1|	adhesin [Parvimonas micra] 
gi|490970944|ref|WP_004832740.1|	hypothetical protein [Parvimonas micra] 
gi|490970945|ref|WP_004832741.1|	hypothetical protein [Parvimonas micra] 
gi|490970946|ref|WP_004832742.1|	Cro/Cl family transcriptional regulator [Parvimonas micra] 
gi|490970947|ref|WP_004832743.1|	hypothetical protein [Parvimonas micra] 
gi|490970948|ref|WP_004832744.1|	esterase [Parvimonas micra] 
gi|490970949|ref|WP_004832745.1|	hypothetical protein [Parvimonas micra] 
gi|490970950|ref|WP_004832746.1|	glutamate decarboxylase [Parvimonas micra] 
gi|490970951|ref|WP_004832747.1|	glutamate:gamma-aminobutyrate antiporter [Parvimonas micra] 
gi|490970952|ref|WP_004832748.1|	4Fe-4S ferredoxin [Parvimonas micra] 
gi|490970953|ref|WP_004832749.1|	hypothetical protein [Parvimonas micra] 
gi|490970954|ref|WP_004832750.1|	hypothetical protein [Parvimonas micra] 
gi|490970955|ref|WP_004832751.1|	methyltransferase [Parvimonas micra] 
gi|490970956|ref|WP_004832752.1|	alpha/beta hydrolase [Parvimonas micra] 
gi|490970957|ref|WP_004832753.1|	hypothetical protein [Parvimonas micra] 
gi|490970958|ref|WP_004832754.1|	glutamyl-tRNA synthetase [Parvimonas micra] 
gi|490970959|ref|WP_004832755.1|	hypothetical protein [Parvimonas micra] 
gi|490970960|ref|WP_004832756.1|	hypothetical protein [Parvimonas micra] 
gi|490970961|ref|WP_004832757.1|	hypothetical protein [Parvimonas micra] 
gi|490970962|ref|WP_004832758.1|	hypothetical protein [Parvimonas micra] 
gi|490970963|ref|WP_004832759.1|	hypothetical protein [Parvimonas micra] 
gi|490970964|ref|WP_004832760.1|	manganese transporter [Parvimonas micra] 
gi|490970965|ref|WP_004832761.1|	manganese ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970966|ref|WP_004832762.1|	zinc ABC transporter permease [Parvimonas micra] 
gi|490970967|ref|WP_004832763.1|	zinc ABC transporter permease [Parvimonas micra] 
gi|490970968|ref|WP_004832764.1|	D,D-heptose 1,7-bisphosphate phosphatase [Parvimonas micra] 
gi|490970969|ref|WP_004832765.1|	iron(III)-binding protein [Parvimonas micra] 
gi|490970970|ref|WP_004832766.1|	iron ABC transporter permease [Parvimonas micra] 
gi|490970971|ref|WP_004832767.1|	iron ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970972|ref|WP_004832768.1|	hypothetical protein [Parvimonas micra] 
gi|490970973|ref|WP_004832769.1|	hypothetical protein [Parvimonas micra] 
gi|490970974|ref|WP_004832770.1|	hypothetical protein [Parvimonas micra] 
gi|490970975|ref|WP_004832771.1|	hypothetical protein [Parvimonas micra] 
gi|490970976|ref|WP_004832772.1|	hypothetical protein [Parvimonas micra] 
gi|490970977|ref|WP_004832773.1|	hypothetical protein [Parvimonas micra] 
gi|490970978|ref|WP_004832774.1|	hypothetical protein [Parvimonas micra] 
gi|490970979|ref|WP_004832775.1|	acyl carrier protein [Parvimonas micra] 
gi|490970980|ref|WP_004832776.1|	acetyl-CoA carboxylase [Parvimonas micra] 
gi|490970981|ref|WP_004832777.1|	acetyl-CoA carboxylase biotin carboxylase subunit [Parvimonas micra] 
gi|490970982|ref|WP_004832778.1|	acetyl-CoA carboxylase subunit beta [Parvimonas micra] 
gi|490970983|ref|WP_004832779.1|	acetyl-CoA carboxylase [Parvimonas micra] 
gi|490970984|ref|WP_004832780.1|	3-oxoacyl-ACP synthase [Parvimonas micra] 
gi|490970985|ref|WP_004832781.1|	2-nitropropane dioxygenase [Parvimonas micra] 
gi|490970986|ref|WP_004832782.1|	2-nitropropane dioxygenase [Parvimonas micra] 
gi|490970987|ref|WP_004832783.1|	hypothetical protein [Parvimonas micra] 
gi|490970988|ref|WP_004832784.1|	3-ketoacyl-ACP reductase [Parvimonas micra] 
gi|490970989|ref|WP_004832785.1|	3-oxoacyl-ACP synthase [Parvimonas micra] 
gi|490970990|ref|WP_004832786.1|	3-hydroxyacyl-ACP dehydratase [Parvimonas micra] 
gi|490970991|ref|WP_004832787.1|	biotin [Parvimonas micra] 
gi|490970992|ref|WP_004832788.1|	MarR family transcriptional regulator [Parvimonas micra] 
gi|490970993|ref|WP_004832789.1|	aspartyl-tRNA amidotransferase [Parvimonas micra] 
gi|490970994|ref|WP_004832790.1|	aspartyl-tRNA amidotransferase [Parvimonas micra] 
gi|490970995|ref|WP_004832791.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [Parvimonas micra] 
gi|490970996|ref|WP_004832792.1|	NTP pyrophosphatase [Parvimonas micra] 
gi|490970997|ref|WP_004832793.1|	phosphodiesterase [Parvimonas micra] 
gi|490970998|ref|WP_004832794.1|	carboxypeptidase [Parvimonas micra] 
gi|490970999|ref|WP_004832795.1|	hypothetical protein [Parvimonas micra] 
gi|490971000|ref|WP_004832796.1|	hypothetical protein [Parvimonas micra] 
gi|490971001|ref|WP_004832797.1|	ATP synthase subunit I [Parvimonas micra] 
gi|490971002|ref|WP_004832798.1|	V-type ATP synthase subunit K [Parvimonas micra] 
gi|490971003|ref|WP_004832799.1|	ATP synthase [Parvimonas micra] 
gi|490971004|ref|WP_004832800.1|	ATP synthase [Parvimonas micra] 
gi|490971005|ref|WP_004832801.1|	MULTISPECIES: V-type ATP synthase subunit F [Parvimonas] 
gi|490971006|ref|WP_004832802.1|	V-type ATP synthase subunit A [Parvimonas micra] 
gi|490971008|ref|WP_004832804.1|	V-type ATP synthase subunit B [Parvimonas micra] 
gi|490971010|ref|WP_004832806.1|	MULTISPECIES: V-type ATP synthase subunit D [Parvimonas] 
gi|490971012|ref|WP_004832807.1|	hypothetical protein [Parvimonas micra] 
gi|490971013|ref|WP_004832808.1|	hypothetical protein [Parvimonas micra] 
gi|490971014|ref|WP_004832809.1|	hypothetical protein [Parvimonas micra] 
gi|490971015|ref|WP_004832810.1|	hydrolase [Parvimonas micra] 
gi|490971016|ref|WP_004832811.1|	peroxiredoxin [Parvimonas micra] 
gi|490971017|ref|WP_004832812.1|	radical SAM protein [Parvimonas micra] 
gi|490971018|ref|WP_004832813.1|	serine dehydratase [Parvimonas micra] 
gi|490971019|ref|WP_004832814.1|	serine dehydratase [Parvimonas micra] 
gi|490971020|ref|WP_004832815.1|	electron transporter RnfC [Parvimonas micra] 
gi|490971021|ref|WP_004832816.1|	electron transporter RnfD [Parvimonas micra] 
gi|490971022|ref|WP_004832817.1|	electron transporter RnfG [Parvimonas micra] 
gi|490971023|ref|WP_004832818.1|	electron transporter RsxE [Parvimonas micra] 
gi|490971024|ref|WP_004832819.1|	electron transport complex RsxE subunit [Parvimonas micra] 
gi|490971025|ref|WP_004832820.1|	ferredoxin [Parvimonas micra] 
gi|490971026|ref|WP_004832821.1|	elongation factor G [Parvimonas micra] 
gi|490971027|ref|WP_004832822.1|	TetR family transcriptional regulator [Parvimonas micra] 
gi|490971028|ref|WP_004832823.1|	hypothetical protein [Parvimonas micra] 
gi|490971029|ref|WP_004832824.1|	hypothetical protein [Parvimonas micra] 
gi|490971030|ref|WP_004832825.1|	hypothetical protein [Parvimonas micra] 
gi|490971031|ref|WP_004832826.1|	hypothetical protein [Parvimonas micra] 
gi|490971032|ref|WP_004832827.1|	GCN5 family acetyltransferase [Parvimonas micra] 
gi|490971033|ref|WP_004832828.1|	RNA-binding protein [Parvimonas micra] 
gi|490971034|ref|WP_004832829.1|	glutamine amidotransferase [Parvimonas micra] 
gi|490971035|ref|WP_004832830.1|	hydrolase [Parvimonas micra] 
gi|490971036|ref|WP_004832831.1|	hypothetical protein [Parvimonas micra] 
gi|490971037|ref|WP_004832832.1|	type II secretion protein F [Parvimonas micra] 
gi|490971038|ref|WP_004832833.1|	isochorismatase [Parvimonas micra] 
gi|490971039|ref|WP_004832834.1|	membrane protein [Parvimonas micra] 
gi|490971040|ref|WP_004832835.1|	hypothetical protein [Parvimonas micra] 
gi|490971041|ref|WP_004832836.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971042|ref|WP_004832837.1|	Fe-S cluster assembly protein SufB [Parvimonas micra] 
gi|490971043|ref|WP_004832838.1|	hypothetical protein [Parvimonas micra] 
gi|490971044|ref|WP_004832839.1|	cysteine desulfurase [Parvimonas micra] 
gi|490971045|ref|WP_004832840.1|	nitrogen-fixing protein NifU [Parvimonas micra] 
gi|490971046|ref|WP_004832841.1|	hypothetical protein [Parvimonas micra] 
gi|490971047|ref|WP_004832842.1|	DNA-directed RNA polymerase subunit beta [Parvimonas micra] 
gi|490971048|ref|WP_004832843.1|	DNA-directed RNA polymerase subunit beta' [Parvimonas micra] 
gi|490971049|ref|WP_004832844.1|	hypothetical protein [Parvimonas micra] 
gi|490971050|ref|WP_004832845.1|	hypothetical protein [Parvimonas micra] 
gi|490971051|ref|WP_004832846.1|	hypothetical protein [Parvimonas micra] 
gi|490971052|ref|WP_004832847.1|	glycine/betaine ABC transporter permease [Parvimonas micra] 
gi|490971053|ref|WP_004832848.1|	hypothetical protein [Parvimonas micra] 
gi|490971054|ref|WP_004832849.1|	beta-aspartate methyltransferase [Parvimonas micra] 
gi|490971055|ref|WP_004832850.1|	glycine reductase complex protein B subunit gamma [Parvimonas micra] 
gi|490971056|ref|WP_004832851.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971057|ref|WP_004832852.1|	hypothetical protein [Parvimonas micra] 
gi|490971058|ref|WP_004832853.1|	peptide chain release factor 1 [Parvimonas micra] 
gi|490971059|ref|WP_004832854.1|	peptidase C39 [Parvimonas micra] 
gi|490971060|ref|WP_004832855.1|	hypothetical protein [Parvimonas micra] 
gi|490971061|ref|WP_004832856.1|	DNA mistmatch repair protein MutT [Parvimonas micra] 
gi|490971062|ref|WP_004832857.1|	hypothetical protein [Parvimonas micra] 
gi|490971063|ref|WP_004832858.1|	hypothetical protein [Parvimonas micra] 
gi|490971064|ref|WP_004832859.1|	D-ala D-ala ligase [Parvimonas micra] 
gi|490971065|ref|WP_004832860.1|	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Parvimonas micra] 
gi|490971066|ref|WP_004832861.1|	peptidase [Parvimonas micra] 
gi|490971067|ref|WP_004832862.1|	hypothetical protein [Parvimonas micra] 
gi|490971068|ref|WP_004832863.1|	2-hydroxyglutaryl-CoA dehydratase [Parvimonas micra] 
gi|490971069|ref|WP_004832864.1|	CoA activase [Parvimonas micra] 
gi|490971070|ref|WP_004832865.1|	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Parvimonas micra] 
gi|490971071|ref|WP_004832866.1|	glutamate racemase [Parvimonas micra] 
gi|490971072|ref|WP_004832867.1|	hypothetical protein partial [Parvimonas micra] 
gi|490971076|ref|WP_004832871.1|	hypothetical protein [Parvimonas micra] 
gi|490971078|ref|WP_004832873.1|	phospholipase [Parvimonas micra] 
gi|490971079|ref|WP_004832874.1|	hypothetical protein [Parvimonas micra] 
gi|490971082|ref|WP_004832877.1|	hypothetical protein [Parvimonas micra] 
gi|490971084|ref|WP_004832879.1|	adenosine deaminase [Parvimonas micra] 
gi|490971085|ref|WP_004832880.1|	hypothetical protein [Parvimonas micra] 
gi|490971087|ref|WP_004832882.1|	hypothetical protein [Parvimonas micra] 
gi|490971093|ref|WP_004832888.1|	ABC transporter [Parvimonas micra] 
gi|490971098|ref|WP_004832893.1|	hypothetical protein [Parvimonas micra] 
gi|490971100|ref|WP_004832895.1|	nicotinate phosphoribosyltransferase [Parvimonas micra] 
gi|490971102|ref|WP_004832897.1|	hypothetical protein [Parvimonas micra] 
gi|490971103|ref|WP_004832898.1|	ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490971105|ref|WP_004832900.1|	hypothetical protein [Parvimonas micra] 
gi|490971107|ref|WP_004832902.1|	ABC transporter [Parvimonas micra] 
gi|490971108|ref|WP_004832903.1|	hypothetical protein [Parvimonas micra] 
gi|490971110|ref|WP_004832905.1|	dihydrofolate reductase [Parvimonas micra] 
gi|490971112|ref|WP_004832907.1|	sortase [Parvimonas micra] 
gi|490971114|ref|WP_004832909.1|	galactosyl transferase [Parvimonas micra] 
gi|490971115|ref|WP_004832910.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Parvimonas micra] 
gi|490971116|ref|WP_004832911.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Parvimonas micra] 
gi|490971117|ref|WP_004832912.1|	hypothetical protein [Parvimonas micra] 
gi|490971118|ref|WP_004832913.1|	hypothetical protein [Parvimonas micra] 
gi|490971119|ref|WP_004832914.1|	hypothetical protein [Parvimonas micra] 
gi|490971120|ref|WP_004832915.1|	cobalt ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971122|ref|WP_004832917.1|	cobalt ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971123|ref|WP_004832918.1|	transporter [Parvimonas micra] 
gi|490971124|ref|WP_004832919.1|	hypothetical protein [Parvimonas micra] 
gi|490971125|ref|WP_004832920.1|	hypothetical protein [Parvimonas micra] 
gi|490971126|ref|WP_004832921.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490971127|ref|WP_004832922.1|	hypothetical protein [Parvimonas micra] 
gi|490971128|ref|WP_004832923.1|	hypothetical protein [Parvimonas micra] 
gi|490971129|ref|WP_004832924.1|	hypothetical protein [Parvimonas micra] 
gi|490971130|ref|WP_004832925.1|	hypothetical protein [Parvimonas micra] 
gi|490971133|ref|WP_004832928.1|	hypothetical protein [Parvimonas micra] 
gi|490971135|ref|WP_004832930.1|	hypothetical protein [Parvimonas micra] 
gi|490971136|ref|WP_004832931.1|	hypothetical protein [Parvimonas micra] 
gi|490971137|ref|WP_004832932.1|	hypothetical protein [Parvimonas micra] 
gi|490971139|ref|WP_004832934.1|	hypothetical protein [Parvimonas micra] 
gi|490971141|ref|WP_004832936.1|	hypothetical protein [Parvimonas micra] 
gi|490971143|ref|WP_004832938.1|	hypothetical protein [Parvimonas micra] 
gi|490971144|ref|WP_004832939.1|	hypothetical protein [Parvimonas micra] 
gi|490971146|ref|WP_004832941.1|	guanylate kinase [Parvimonas micra] 
gi|490971148|ref|WP_004832943.1|	MULTISPECIES: DNA-directed RNA polymerase subunit omega [Parvimonas] 
gi|490971149|ref|WP_004832944.1|	hypothetical protein [Parvimonas micra] 
gi|490971152|ref|WP_004832947.1|	primosomal protein [Parvimonas micra] 
gi|490971153|ref|WP_004832948.1|	peptide deformylase [Parvimonas micra] 
gi|490971155|ref|WP_004832950.1|	methionyl-tRNA formyltransferase [Parvimonas micra] 
gi|490971158|ref|WP_004832953.1|	16S rRNA methyltransferase [Parvimonas micra] 
gi|490971160|ref|WP_004832955.1|	MULTISPECIES: aldoketomutase [Parvimonas] 
gi|490971161|ref|WP_004832956.1|	TetR family transcriptional regulator [Parvimonas micra] 
gi|490971162|ref|WP_004832957.1|	glyoxalase [Parvimonas micra] 
gi|490971163|ref|WP_004832958.1|	transcriptional regulator [Parvimonas micra] 
gi|490971164|ref|WP_004832959.1|	hypothetical protein [Parvimonas micra] 
