gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499759|ref|WP_005357455.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499766|ref|WP_005357462.1|	DNA adenine methylase [[Eubacterium] siraeum] 
gi|491499767|ref|WP_005357463.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499769|ref|WP_005357465.1|	type II restriction endonuclease [[Eubacterium] siraeum] 
gi|491499771|ref|WP_005357467.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499778|ref|WP_005357474.1|	DNA methylase N-4 [[Eubacterium] siraeum] 
gi|491499780|ref|WP_005357476.1|	multidrug transporter MatE [[Eubacterium] siraeum] 
gi|491499784|ref|WP_005357480.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499787|ref|WP_005357483.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499794|ref|WP_005357490.1|	HPr kinase [[Eubacterium] siraeum] 
gi|491499797|ref|WP_005357493.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499799|ref|WP_005357495.1|	phosphoribosylformylglycinamidine synthase [[Eubacterium] siraeum] 
gi|491495750|ref|WP_005353467.1|	transposase [[Eubacterium] siraeum] 
gi|491499803|ref|WP_005357499.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499805|ref|WP_005357501.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499807|ref|WP_005357503.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491499810|ref|WP_005357506.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491499812|ref|WP_005357508.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499815|ref|WP_005357511.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499818|ref|WP_005357514.1|	chemotaxis protein CheR [[Eubacterium] siraeum] 
gi|491499821|ref|WP_005357517.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499827|ref|WP_005357523.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499829|ref|WP_005357525.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499833|ref|WP_005357529.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499836|ref|WP_005357532.1|	MULTISPECIES: ribonucleoside-triphosphate reductase activating protein [Clostridiales] 
gi|491499839|ref|WP_005357535.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499841|ref|WP_005357537.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499842|ref|WP_005357538.1|	MULTISPECIES: radical SAM protein [Clostridiales] 
gi|491499845|ref|WP_005357541.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499848|ref|WP_005357544.1|	XRE family transcriptional regulator [[Eubacterium] siraeum] 
gi|491499851|ref|WP_005357547.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499854|ref|WP_005357550.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499856|ref|WP_005357552.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499857|ref|WP_005357553.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499860|ref|WP_005357556.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499863|ref|WP_005357559.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499866|ref|WP_005357562.1|	fucose permease [[Eubacterium] siraeum] 
gi|491499872|ref|WP_005357568.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499873|ref|WP_005357569.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499874|ref|WP_005357570.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499875|ref|WP_005357571.1|	transcriptional regulator [[Eubacterium] siraeum] 
gi|491499877|ref|WP_005357573.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499886|ref|WP_005357582.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499888|ref|WP_005357584.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499890|ref|WP_005357586.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499891|ref|WP_005357587.1|	modification methylase [[Eubacterium] siraeum] 
gi|491499893|ref|WP_005357589.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499895|ref|WP_005357590.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499896|ref|WP_005357591.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499897|ref|WP_005357592.1|	DNA-binding protein [[Eubacterium] siraeum] 
gi|491499898|ref|WP_005357593.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499899|ref|WP_005357594.1|	integrase [[Eubacterium] siraeum] 
gi|491499900|ref|WP_005357595.1|	recombinase [[Eubacterium] siraeum] 
gi|491499901|ref|WP_005357596.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499902|ref|WP_005357597.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499906|ref|WP_005357601.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499908|ref|WP_005357603.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499910|ref|WP_005357605.1|	glycosyl hydrolase family 5 [[Eubacterium] siraeum] 
gi|491499912|ref|WP_005357607.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499914|ref|WP_005357609.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499915|ref|WP_005357610.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499919|ref|WP_005357614.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499920|ref|WP_005357615.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499924|ref|WP_005357619.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499925|ref|WP_005357620.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499926|ref|WP_005357621.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499927|ref|WP_005357622.1|	MULTISPECIES: phosphoenolpyruvate carboxykinase [Clostridiales] 
gi|491499928|ref|WP_005357623.1|	sugar ABC transporter permease [[Eubacterium] siraeum] 
gi|491499929|ref|WP_005357624.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491499931|ref|WP_005357626.1|	ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491499933|ref|WP_005357628.1|	MULTISPECIES: N5-carboxyaminoimidazole ribonucleotide mutase [Clostridiales] 
gi|491499942|ref|WP_005357637.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [[Eubacterium] siraeum] 
gi|491499945|ref|WP_005357640.1|	amidophosphoribosyltransferase [[Eubacterium] siraeum] 
gi|491499947|ref|WP_005357642.1|	amidophosphoribosyltransferase [[Eubacterium] siraeum] 
gi|491499950|ref|WP_005357645.1|	phosphoribosylaminoimidazole synthetase [[Eubacterium] siraeum] 
gi|491499953|ref|WP_005357648.1|	phosphoribosylglycinamide formyltransferase [[Eubacterium] siraeum] 
gi|491499955|ref|WP_005357650.1|	inosine monophosphate cyclohydrolase [[Eubacterium] siraeum] 
gi|491499958|ref|WP_005357653.1|	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [[Eubacterium] siraeum] 
gi|491499966|ref|WP_005357661.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499968|ref|WP_005357663.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499970|ref|WP_005357665.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499974|ref|WP_005357669.1|	phosphoribosylamine--glycine ligase [[Eubacterium] siraeum] 
gi|491499976|ref|WP_005357671.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499978|ref|WP_005357673.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499981|ref|WP_005357676.1|	chemotaxis protein CheY [[Eubacterium] siraeum] 
gi|491499984|ref|WP_005357679.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499985|ref|WP_005357680.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499987|ref|WP_005357682.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499989|ref|WP_005357684.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499992|ref|WP_005357687.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499995|ref|WP_005357690.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499998|ref|WP_005357693.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500000|ref|WP_005357695.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500003|ref|WP_005357698.1|	GCN5 family acetyltransferase [[Eubacterium] siraeum] 
gi|491500005|ref|WP_005357700.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500008|ref|WP_005357703.1|	histidine kinase [[Eubacterium] siraeum] 
gi|491500011|ref|WP_005357706.1|	transcriptional regulator [[Eubacterium] siraeum] 
gi|491500016|ref|WP_005357711.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|491500019|ref|WP_005357714.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491500022|ref|WP_005357717.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500024|ref|WP_005357719.1|	histidine triad protein [[Eubacterium] siraeum] 
gi|491500028|ref|WP_005357723.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500033|ref|WP_005357728.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500035|ref|WP_005357730.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500037|ref|WP_005357732.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500041|ref|WP_005357736.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500043|ref|WP_005357738.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500052|ref|WP_005357746.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500054|ref|WP_005357748.1|	alpha-L-fucosidase [[Eubacterium] siraeum] 
gi|491496042|ref|WP_005353758.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496043|ref|WP_005353759.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496045|ref|WP_005353761.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497359|ref|WP_005355069.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497361|ref|WP_005355071.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497363|ref|WP_005355073.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497365|ref|WP_005355075.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500057|ref|WP_005357751.1|	seryl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491500060|ref|WP_005357754.1|	plasmid partitioning protein ParB [[Eubacterium] siraeum] 
gi|491500062|ref|WP_005357756.1|	sporulation initiation inhibitor Soj [[Eubacterium] siraeum] 
gi|491500064|ref|WP_005357758.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500066|ref|WP_005357760.1|	16S rRNA methyltransferase [[Eubacterium] siraeum] 
gi|491500068|ref|WP_005357762.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [[Eubacterium] siraeum] 
gi|491500070|ref|WP_005357764.1|	DNA gyrase subunit A [[Eubacterium] siraeum] 
gi|491500071|ref|WP_005357765.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500073|ref|WP_005357767.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500075|ref|WP_005357769.1|	DNA gyrase subunit B [[Eubacterium] siraeum] 
gi|491500076|ref|WP_005357770.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500077|ref|WP_005357771.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500078|ref|WP_005357772.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500086|ref|WP_005357780.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500087|ref|WP_005357781.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500088|ref|WP_005357782.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500089|ref|WP_005357783.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500091|ref|WP_005357785.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500093|ref|WP_005357787.1|	pyruvate kinase [[Eubacterium] siraeum] 
gi|491500095|ref|WP_005357789.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500097|ref|WP_005357791.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500098|ref|WP_005357792.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500101|ref|WP_005357795.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500103|ref|WP_005357797.1|	phospho-2-dehydro-3-deoxyheptonate aldolase [[Eubacterium] siraeum] 
gi|491500105|ref|WP_005357799.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500107|ref|WP_005357801.1|	MULTISPECIES: tyrosyl-tRNA synthetase [Clostridiales] 
gi|491500109|ref|WP_005357803.1|	GNAT family acetyltransferase [[Eubacterium] siraeum] 
gi|491500111|ref|WP_005357805.1|	CAAX protease [[Eubacterium] siraeum] 
gi|491500113|ref|WP_005357807.1|	thiouridylase [[Eubacterium] siraeum] 
gi|491500115|ref|WP_005357809.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500117|ref|WP_005357811.1|	O-acetylhomoserine aminocarboxypropyltransferase [[Eubacterium] siraeum] 
gi|491500127|ref|WP_005357821.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500128|ref|WP_005357822.1|	MULTISPECIES: prevent-host-death protein [Clostridiales] 
gi|491500129|ref|WP_005357823.1|	translation initiation factor IF-3 [[Eubacterium] siraeum] 
gi|491500130|ref|WP_005357824.1|	MULTISPECIES: 50S ribosomal protein L35 [Clostridiales] 
gi|491500131|ref|WP_005357825.1|	MULTISPECIES: 50S ribosomal protein L20 [Clostridiales] 
gi|491500133|ref|WP_005357827.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500134|ref|WP_005357828.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500136|ref|WP_005357830.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500138|ref|WP_005357832.1|	DNA topoisomerase I [[Eubacterium] siraeum] 
gi|491500140|ref|WP_005357834.1|	tRNA (uracil-5-)-methyltransferase [[Eubacterium] siraeum] 
gi|491500142|ref|WP_005357836.1|	phosphate acyltransferase [[Eubacterium] siraeum] 
gi|491500144|ref|WP_005357838.1|	MULTISPECIES: ribonuclease III [Clostridiales] 
gi|491500145|ref|WP_005357839.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500147|ref|WP_005357841.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500148|ref|WP_005357842.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500151|ref|WP_005357845.1|	MULTISPECIES: cell division protein FtsY [Clostridiales] 
gi|491500153|ref|WP_005357847.1|	deoxyribonucleotide triphosphate pyrophosphatase [[Eubacterium] siraeum] 
gi|491500154|ref|WP_005357848.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500156|ref|WP_005357850.1|	RNA-binding protein [[Eubacterium] siraeum] 
gi|491500158|ref|WP_005357852.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500160|ref|WP_005357854.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500162|ref|WP_005357856.1|	ribosome-associated protein IOJAP [[Eubacterium] siraeum] 
gi|491500164|ref|WP_005357858.1|	MULTISPECIES: 30S ribosomal protein S21 [Clostridiales] 
gi|491500166|ref|WP_005357860.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500168|ref|WP_005357862.1|	endonuclease IV [[Eubacterium] siraeum] 
gi|491500169|ref|WP_005357863.1|	3-dehydroquinate dehydratase [[Eubacterium] siraeum] 
gi|491500170|ref|WP_005357864.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500172|ref|WP_005357866.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500173|ref|WP_005357867.1|	ArsC family transcriptional regulator [[Eubacterium] siraeum] 
gi|491500174|ref|WP_005357868.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500175|ref|WP_005357869.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500176|ref|WP_005357870.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500177|ref|WP_005357871.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500178|ref|WP_005357872.1|	ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491500179|ref|WP_005357873.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500180|ref|WP_005357874.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491500181|ref|WP_005357875.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500182|ref|WP_005357876.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500183|ref|WP_005357877.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500184|ref|WP_005357878.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500185|ref|WP_005357879.1|	16S rRNA methyltransferase [[Eubacterium] siraeum] 
gi|491500186|ref|WP_005357880.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500188|ref|WP_005357882.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500189|ref|WP_005357883.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500190|ref|WP_005357884.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500191|ref|WP_005357885.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500192|ref|WP_005357886.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500193|ref|WP_005357887.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [[Eubacterium] siraeum] 
gi|491500194|ref|WP_005357888.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500195|ref|WP_005357889.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500201|ref|WP_005357895.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491500203|ref|WP_005357897.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500205|ref|WP_005357899.1|	heme response regulator HssR [[Eubacterium] siraeum] 
gi|491500206|ref|WP_005357900.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500208|ref|WP_005357902.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500210|ref|WP_005357904.1|	acyltransferase [[Eubacterium] siraeum] 
gi|491500212|ref|WP_005357906.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|487736471|ref|WP_001820670.1|	MULTISPECIES: recombinase [Firmicutes] 
gi|446175321|ref|WP_000253176.1|	MULTISPECIES: stage II sporulation protein R [Firmicutes] 
gi|447129730|ref|WP_001206986.1|	MULTISPECIES: seryl-tRNA synthetase [Firmicutes] 
gi|446666354|ref|WP_000743700.1|	MULTISPECIES: plasmid stablization protein ParB [Firmicutes] 
gi|446139792|ref|WP_000217647.1|	MULTISPECIES: recombinase [Firmicutes] 
gi|490334112|ref|WP_004223534.1|	MULTISPECIES: neuraminidase [Clostridiales] 
gi|487736468|ref|WP_001820667.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489629667|ref|WP_003534107.1|	MULTISPECIES: RNA polymerase subunit sigma [Firmicutes] 
gi|487736466|ref|WP_001820665.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|446246040|ref|WP_000323895.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|446163854|ref|WP_000241709.1|	MULTISPECIES: RNA polymerase sigma factor [Bacteria] 
gi|491500220|ref|WP_005357914.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500223|ref|WP_005357917.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500230|ref|WP_005357924.1|	MULTISPECIES: tetracycline resistance protein tetM [Firmicutes] 
gi|447052666|ref|WP_001129922.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|491500232|ref|WP_005357926.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500234|ref|WP_005357928.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500236|ref|WP_005357930.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500237|ref|WP_005357931.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500240|ref|WP_005357934.1|	GMP synthase [[Eubacterium] siraeum] 
gi|491500243|ref|WP_005357937.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500245|ref|WP_005357939.1|	MULTISPECIES: thiol-disulfide isomerase [Clostridiales] 
gi|491500246|ref|WP_005357940.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500247|ref|WP_005357941.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500248|ref|WP_005357942.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500249|ref|WP_005357943.1|	hypoxanthine phosphoribosyltransferase [[Eubacterium] siraeum] 
gi|491500250|ref|WP_005357944.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500251|ref|WP_005357945.1|	replicative DNA helicase [[Eubacterium] siraeum] 
gi|491500253|ref|WP_005357947.1|	50S ribosomal protein L9 [[Eubacterium] siraeum] 
gi|491500255|ref|WP_005357949.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500258|ref|WP_005357952.1|	beta-lactamase [[Eubacterium] siraeum] 
gi|491500260|ref|WP_005357954.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500261|ref|WP_005357955.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500263|ref|WP_005357957.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500265|ref|WP_005357959.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500267|ref|WP_005357961.1|	1-deoxy-D-xylulose-5-phosphate synthase [[Eubacterium] siraeum] 
gi|491500268|ref|WP_005357962.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500270|ref|WP_005357964.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500272|ref|WP_005357966.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500274|ref|WP_005357968.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500276|ref|WP_005357970.1|	glutamate dehydrogenase [[Eubacterium] siraeum] 
gi|491500278|ref|WP_005357972.1|	MULTISPECIES: single-stranded DNA-binding protein [Clostridiales] 
gi|491500280|ref|WP_005357974.1|	MULTISPECIES: catalase [Clostridiales] 
gi|491500281|ref|WP_005357975.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500283|ref|WP_005357977.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500285|ref|WP_005357979.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500287|ref|WP_005357981.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500289|ref|WP_005357983.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500291|ref|WP_005357985.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500292|ref|WP_005357986.1|	multidrug ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491500294|ref|WP_005357988.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491500296|ref|WP_005357990.1|	membrane protein [[Eubacterium] siraeum] 
gi|491500297|ref|WP_005357991.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500299|ref|WP_005357993.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500301|ref|WP_005357995.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500303|ref|WP_005357997.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500304|ref|WP_005357998.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500306|ref|WP_005358000.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500308|ref|WP_005358002.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500310|ref|WP_005358004.1|	plasmid stablization protein ParB [[Eubacterium] siraeum] 
gi|491500312|ref|WP_005358006.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500314|ref|WP_005358008.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500315|ref|WP_005358009.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500317|ref|WP_005358011.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500319|ref|WP_005358013.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500320|ref|WP_005358014.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500322|ref|WP_005358016.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500323|ref|WP_005358017.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500324|ref|WP_005358018.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500325|ref|WP_005358019.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500326|ref|WP_005358020.1|	ATPase [[Eubacterium] siraeum] 
gi|491500327|ref|WP_005358021.1|	potassium-transporting ATPase subunit B [[Eubacterium] siraeum] 
gi|491500328|ref|WP_005358022.1|	potassium transporter KtrA [[Eubacterium] siraeum] 
gi|491500329|ref|WP_005358023.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500330|ref|WP_005358024.1|	potassium transporter TrkH [[Eubacterium] siraeum] 
gi|491500331|ref|WP_005358025.1|	potassium transporter TrkA [[Eubacterium] siraeum] 
gi|491500332|ref|WP_005358026.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500333|ref|WP_005358027.1|	magnesium transporter [[Eubacterium] siraeum] 
gi|491500342|ref|WP_005358036.1|	histidine kinase [[Eubacterium] siraeum] 
gi|491500344|ref|WP_005358038.1|	XRE family transcriptional regulator [[Eubacterium] siraeum] 
gi|491500346|ref|WP_005358040.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500347|ref|WP_005358041.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500349|ref|WP_005358043.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500350|ref|WP_005358044.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500352|ref|WP_005358046.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500354|ref|WP_005358048.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500356|ref|WP_005358050.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500358|ref|WP_005358052.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500360|ref|WP_005358054.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500362|ref|WP_005358056.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500364|ref|WP_005358058.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500365|ref|WP_005358059.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500369|ref|WP_005358063.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500371|ref|WP_005358065.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500373|ref|WP_005358067.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500375|ref|WP_005358069.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500376|ref|WP_005358070.1|	peptide ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491500377|ref|WP_005358071.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500378|ref|WP_005358072.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500379|ref|WP_005358073.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500380|ref|WP_005358074.1|	L-ribulose-5-phosphate 4-epimerase [[Eubacterium] siraeum] 
gi|491500381|ref|WP_005358075.1|	ATPase [[Eubacterium] siraeum] 
gi|491500382|ref|WP_005358076.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500383|ref|WP_005358077.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500386|ref|WP_005358080.1|	hypothetical protein [[Eubacterium] siraeum] 
