gi|493550569|ref|WP_006504245.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552143|ref|WP_006505772.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552144|ref|WP_006505773.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552145|ref|WP_006505774.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552146|ref|WP_006505775.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552147|ref|WP_006505776.1|	50S ribosomal protein L10 [Catenibacterium mitsuokai] 
gi|493552149|ref|WP_006505777.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552150|ref|WP_006505778.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552151|ref|WP_006505779.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552152|ref|WP_006505780.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552153|ref|WP_006505781.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552154|ref|WP_006505782.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552155|ref|WP_006505783.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552156|ref|WP_006505784.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552157|ref|WP_006505785.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552159|ref|WP_006505786.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552160|ref|WP_006505787.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552161|ref|WP_006505788.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552162|ref|WP_006505789.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552163|ref|WP_006505790.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552164|ref|WP_006505791.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552165|ref|WP_006505792.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552167|ref|WP_006505794.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552166|ref|WP_006505793.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552168|ref|WP_006505795.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552169|ref|WP_006505796.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552170|ref|WP_006505797.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552171|ref|WP_006505798.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552172|ref|WP_006505799.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552173|ref|WP_006505800.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552174|ref|WP_006505801.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552175|ref|WP_006505802.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552176|ref|WP_006505803.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552178|ref|WP_006505804.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552179|ref|WP_006505805.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552180|ref|WP_006505806.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552181|ref|WP_006505807.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552182|ref|WP_006505808.1|	DNA-binding protein [Catenibacterium mitsuokai] 
gi|493552183|ref|WP_006505809.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552184|ref|WP_006505810.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552185|ref|WP_006505811.1|	ATP-dependent helicase [Catenibacterium mitsuokai] 
gi|493552186|ref|WP_006505812.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552187|ref|WP_006505813.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552188|ref|WP_006505814.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552189|ref|WP_006505815.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552190|ref|WP_006505816.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552191|ref|WP_006505817.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552192|ref|WP_006505818.1|	amidohydrolase [Catenibacterium mitsuokai] 
gi|493552193|ref|WP_006505819.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552194|ref|WP_006505820.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552196|ref|WP_006505821.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552197|ref|WP_006505822.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552198|ref|WP_006505823.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552199|ref|WP_006505824.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552200|ref|WP_006505825.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552201|ref|WP_006505826.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552202|ref|WP_006505827.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552204|ref|WP_006505828.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552205|ref|WP_006505829.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552206|ref|WP_006505830.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552207|ref|WP_006505831.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552208|ref|WP_006505832.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552209|ref|WP_006505833.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552210|ref|WP_006505834.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552211|ref|WP_006505835.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552212|ref|WP_006505836.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552213|ref|WP_006505837.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552215|ref|WP_006505838.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552216|ref|WP_006505839.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552217|ref|WP_006505840.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552218|ref|WP_006505841.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552219|ref|WP_006505842.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552221|ref|WP_006505843.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552222|ref|WP_006505844.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552223|ref|WP_006505845.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552224|ref|WP_006505846.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552225|ref|WP_006505847.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552226|ref|WP_006505848.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552227|ref|WP_006505849.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552228|ref|WP_006505850.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552229|ref|WP_006505851.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552231|ref|WP_006505852.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552232|ref|WP_006505853.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552233|ref|WP_006505854.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552234|ref|WP_006505855.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552235|ref|WP_006505856.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552236|ref|WP_006505857.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552237|ref|WP_006505858.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552238|ref|WP_006505859.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552240|ref|WP_006505860.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552241|ref|WP_006505861.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552242|ref|WP_006505862.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552244|ref|WP_006505864.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552243|ref|WP_006505863.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552245|ref|WP_006505865.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552246|ref|WP_006505866.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552247|ref|WP_006505867.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552249|ref|WP_006505868.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552250|ref|WP_006505869.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552251|ref|WP_006505870.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552252|ref|WP_006505871.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552253|ref|WP_006505872.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552254|ref|WP_006505873.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552257|ref|WP_006505874.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552258|ref|WP_006505875.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552259|ref|WP_006505876.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552260|ref|WP_006505877.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552261|ref|WP_006505878.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552262|ref|WP_006505879.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552263|ref|WP_006505880.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552264|ref|WP_006505881.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552265|ref|WP_006505882.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552266|ref|WP_006505883.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552267|ref|WP_006505884.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552268|ref|WP_006505885.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552269|ref|WP_006505886.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552271|ref|WP_006505887.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552272|ref|WP_006505888.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552273|ref|WP_006505889.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552274|ref|WP_006505890.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552275|ref|WP_006505891.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552276|ref|WP_006505892.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552278|ref|WP_006505894.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552277|ref|WP_006505893.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552279|ref|WP_006505895.1|	30S ribosomal protein S4 partial [Catenibacterium mitsuokai] 
gi|493552281|ref|WP_006505896.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552282|ref|WP_006505897.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552284|ref|WP_006505898.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552285|ref|WP_006505899.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552286|ref|WP_006505900.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552287|ref|WP_006505901.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552288|ref|WP_006505902.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552289|ref|WP_006505903.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552291|ref|WP_006505904.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552292|ref|WP_006505905.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552293|ref|WP_006505906.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552294|ref|WP_006505907.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552295|ref|WP_006505908.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552296|ref|WP_006505909.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552297|ref|WP_006505910.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552298|ref|WP_006505911.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552300|ref|WP_006505912.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552301|ref|WP_006505913.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552302|ref|WP_006505914.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552303|ref|WP_006505915.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552304|ref|WP_006505916.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552305|ref|WP_006505917.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552306|ref|WP_006505918.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552307|ref|WP_006505919.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552308|ref|WP_006505920.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552309|ref|WP_006505921.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552310|ref|WP_006505922.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552311|ref|WP_006505923.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552312|ref|WP_006505924.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552313|ref|WP_006505925.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552314|ref|WP_006505926.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552316|ref|WP_006505927.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552318|ref|WP_006505928.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552319|ref|WP_006505929.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552320|ref|WP_006505930.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552322|ref|WP_006505931.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552323|ref|WP_006505932.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552324|ref|WP_006505933.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552325|ref|WP_006505934.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552326|ref|WP_006505935.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552327|ref|WP_006505936.1|	cytochrome C assembly protein [Catenibacterium mitsuokai] 
gi|493552329|ref|WP_006505937.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552330|ref|WP_006505938.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552332|ref|WP_006505939.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552333|ref|WP_006505940.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552334|ref|WP_006505941.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552335|ref|WP_006505942.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552336|ref|WP_006505943.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552337|ref|WP_006505944.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552338|ref|WP_006505945.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552339|ref|WP_006505946.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552341|ref|WP_006505947.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552342|ref|WP_006505948.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552344|ref|WP_006505949.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552345|ref|WP_006505950.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552346|ref|WP_006505951.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552347|ref|WP_006505952.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552348|ref|WP_006505953.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552349|ref|WP_006505954.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552350|ref|WP_006505955.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552351|ref|WP_006505956.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552353|ref|WP_006505957.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552354|ref|WP_006505958.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552355|ref|WP_006505959.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552356|ref|WP_006505960.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552357|ref|WP_006505961.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552358|ref|WP_006505962.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552359|ref|WP_006505963.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552360|ref|WP_006505964.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552362|ref|WP_006505965.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552363|ref|WP_006505966.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552364|ref|WP_006505967.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552365|ref|WP_006505968.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552366|ref|WP_006505969.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552367|ref|WP_006505970.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552368|ref|WP_006505971.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552370|ref|WP_006505972.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552371|ref|WP_006505973.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552372|ref|WP_006505974.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552373|ref|WP_006505975.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552374|ref|WP_006505976.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552375|ref|WP_006505977.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552376|ref|WP_006505978.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552378|ref|WP_006505979.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552379|ref|WP_006505980.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552380|ref|WP_006505981.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552381|ref|WP_006505982.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552383|ref|WP_006505983.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552384|ref|WP_006505984.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552385|ref|WP_006505985.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552386|ref|WP_006505986.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552387|ref|WP_006505987.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552388|ref|WP_006505988.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552389|ref|WP_006505989.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552390|ref|WP_006505990.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552391|ref|WP_006505991.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552392|ref|WP_006505992.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552393|ref|WP_006505993.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552394|ref|WP_006505994.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552395|ref|WP_006505995.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552397|ref|WP_006505996.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552398|ref|WP_006505997.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552399|ref|WP_006505998.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552400|ref|WP_006505999.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552401|ref|WP_006506000.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552402|ref|WP_006506001.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552403|ref|WP_006506002.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552404|ref|WP_006506003.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552405|ref|WP_006506004.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552406|ref|WP_006506005.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552408|ref|WP_006506006.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552409|ref|WP_006506007.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552410|ref|WP_006506008.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552411|ref|WP_006506009.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552412|ref|WP_006506010.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552414|ref|WP_006506011.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552415|ref|WP_006506012.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552416|ref|WP_006506013.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552417|ref|WP_006506014.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552418|ref|WP_006506015.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552419|ref|WP_006506016.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552420|ref|WP_006506017.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552421|ref|WP_006506018.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552422|ref|WP_006506019.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552423|ref|WP_006506020.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552424|ref|WP_006506021.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552425|ref|WP_006506022.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552426|ref|WP_006506023.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552428|ref|WP_006506024.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552429|ref|WP_006506025.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552430|ref|WP_006506026.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552431|ref|WP_006506027.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552432|ref|WP_006506028.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552433|ref|WP_006506029.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552434|ref|WP_006506030.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552435|ref|WP_006506031.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552436|ref|WP_006506032.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552437|ref|WP_006506033.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552438|ref|WP_006506034.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552439|ref|WP_006506035.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552440|ref|WP_006506036.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552441|ref|WP_006506037.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552442|ref|WP_006506038.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552444|ref|WP_006506039.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552445|ref|WP_006506040.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552446|ref|WP_006506041.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552447|ref|WP_006506042.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493552448|ref|WP_006506043.1|	ATP phosphoribosyltransferase [Catenibacterium mitsuokai] 
gi|493552449|ref|WP_006506044.1|	ATP phosphoribosyltransferase [Catenibacterium mitsuokai] 
gi|493552450|ref|WP_006506045.1|	histidinol dehydrogenase [Catenibacterium mitsuokai] 
gi|493552451|ref|WP_006506046.1|	imidazoleglycerol-phosphate dehydratase [Catenibacterium mitsuokai] 
gi|493552452|ref|WP_006506047.1|	imidazole glycerol phosphate synthase [Catenibacterium mitsuokai] 
gi|493552453|ref|WP_006506048.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Catenibacterium mitsuokai] 
gi|493552454|ref|WP_006506049.1|	imidazole glycerol phosphate synthase [Catenibacterium mitsuokai] 
gi|493552455|ref|WP_006506050.1|	phosphoribosyl-ATP pyrophosphatase [Catenibacterium mitsuokai] 
gi|493552456|ref|WP_006506051.1|	UDP-N-acetylmuramyl peptide synthase [Catenibacterium mitsuokai] 
gi|493552457|ref|WP_006506052.1|	histidinol phosphate phosphatase [Catenibacterium mitsuokai] 
gi|493552458|ref|WP_006506053.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552459|ref|WP_006506054.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552460|ref|WP_006506055.1|	galactokinase [Catenibacterium mitsuokai] 
gi|493552461|ref|WP_006506056.1|	magnesium transporter [Catenibacterium mitsuokai] 
gi|493552462|ref|WP_006506057.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552463|ref|WP_006506058.1|	chromosome condensation protein CrcB [Catenibacterium mitsuokai] 
gi|493552464|ref|WP_006506059.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552465|ref|WP_006506060.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552466|ref|WP_006506061.1|	LysR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493552467|ref|WP_006506062.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552468|ref|WP_006506063.1|	enolase [Catenibacterium mitsuokai] 
gi|493552469|ref|WP_006506064.1|	membrane protein [Catenibacterium mitsuokai] 
gi|493552470|ref|WP_006506065.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552471|ref|WP_006506066.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552472|ref|WP_006506067.1|	ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493552473|ref|WP_006506068.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552474|ref|WP_006506069.1|	6-phospho-beta-glucosidase [Catenibacterium mitsuokai] 
gi|493552475|ref|WP_006506070.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493552476|ref|WP_006506071.1|	phosphocarrier protein HPr [Catenibacterium mitsuokai] 
gi|493552477|ref|WP_006506072.1|	hydrolase [Catenibacterium mitsuokai] 
gi|493552478|ref|WP_006506073.1|	hypothetical protein [Catenibacterium mitsuokai] 
