gi|493928256|ref|WP_006872959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930205|ref|WP_006874810.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930206|ref|WP_006874811.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930207|ref|WP_006874812.1|	carnitine dehydratase [Anaerotruncus colihominis] 
gi|493930208|ref|WP_006874813.1|	amidase [Anaerotruncus colihominis] 
gi|493930209|ref|WP_006874814.1|	methylmalonyl-CoA carboxyltransferase [Anaerotruncus colihominis] 
gi|493930210|ref|WP_006874815.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930211|ref|WP_006874816.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930212|ref|WP_006874817.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930213|ref|WP_006874818.1|	fatty-acid metabolism regulator protein [Anaerotruncus colihominis] 
gi|493930214|ref|WP_006874819.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930215|ref|WP_006874820.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930216|ref|WP_006874821.1|	MULTISPECIES: cyclase [Clostridiales] 
gi|493930217|ref|WP_006874822.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930218|ref|WP_006874823.1|	MULTISPECIES: 2-hydroxyacid dehydrogenase [Clostridiales] 
gi|493930219|ref|WP_006874824.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930220|ref|WP_006874825.1|	heme response regulator HssR [Anaerotruncus colihominis] 
gi|493930221|ref|WP_006874826.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930222|ref|WP_006874827.1|	acriflavin resistance protein [Anaerotruncus colihominis] 
gi|493930223|ref|WP_006874828.1|	MULTISPECIES: ATPase [Clostridiales] 
gi|493930224|ref|WP_006874829.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930225|ref|WP_006874830.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930226|ref|WP_006874831.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930227|ref|WP_006874832.1|	MULTISPECIES: chemotaxis protein CheD [Clostridiales] 
gi|493930228|ref|WP_006874833.1|	MULTISPECIES: chemotaxis protein CheY [Clostridiales] 
gi|493930229|ref|WP_006874834.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930230|ref|WP_006874835.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930231|ref|WP_006874836.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930232|ref|WP_006874837.1|	MULTISPECIES: flagellar biosynthesis protein FlhA [Clostridiales] 
gi|493930233|ref|WP_006874838.1|	flagellar biosynthetic protein FlhB [Anaerotruncus colihominis] 
gi|493930234|ref|WP_006874839.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930235|ref|WP_006874840.1|	flagellar biosynthesis protein FliQ [Anaerotruncus colihominis] 
gi|493930236|ref|WP_006874841.1|	flagellar biosynthesis protein FliP [Anaerotruncus colihominis] 
gi|493930237|ref|WP_006874842.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930238|ref|WP_006874843.1|	chemotaxis protein CheY [Anaerotruncus colihominis] 
gi|493930239|ref|WP_006874844.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930241|ref|WP_006874845.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930242|ref|WP_006874846.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930243|ref|WP_006874847.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930244|ref|WP_006874848.1|	flagellar protein FlbD [Anaerotruncus colihominis] 
gi|493930245|ref|WP_006874849.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930246|ref|WP_006874850.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930247|ref|WP_006874851.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930248|ref|WP_006874852.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930249|ref|WP_006874853.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930250|ref|WP_006874854.1|	ATP synthase [Anaerotruncus colihominis] 
gi|493930251|ref|WP_006874855.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930252|ref|WP_006874856.1|	MULTISPECIES: flagellar motor switch protein FliG [Clostridiales] 
gi|493930253|ref|WP_006874857.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930254|ref|WP_006874858.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930255|ref|WP_006874859.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930256|ref|WP_006874860.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930257|ref|WP_006874861.1|	MULTISPECIES: flagellar basal body rod protein FlgC [Clostridiales] 
gi|493930258|ref|WP_006874862.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930259|ref|WP_006874863.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930260|ref|WP_006874864.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930262|ref|WP_006874865.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930263|ref|WP_006874866.1|	MULTISPECIES: flagellar protein FliS [Clostridiales] 
gi|493930264|ref|WP_006874867.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930265|ref|WP_006874868.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930266|ref|WP_006874869.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930267|ref|WP_006874870.1|	MULTISPECIES: carbon storage regulator [Clostridiales] 
gi|493930268|ref|WP_006874871.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930269|ref|WP_006874872.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930270|ref|WP_006874873.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930271|ref|WP_006874874.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930272|ref|WP_006874875.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930273|ref|WP_006874876.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930274|ref|WP_006874877.1|	chromosome partitioning protein ParA [Anaerotruncus colihominis] 
gi|493930275|ref|WP_006874878.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930276|ref|WP_006874879.1|	hemerythrin [Anaerotruncus colihominis] 
gi|493930277|ref|WP_006874880.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930278|ref|WP_006874881.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930279|ref|WP_006874882.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930280|ref|WP_006874883.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930281|ref|WP_006874884.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930282|ref|WP_006874885.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930283|ref|WP_006874886.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930284|ref|WP_006874887.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930285|ref|WP_006874888.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930286|ref|WP_006874889.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930287|ref|WP_006874890.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930288|ref|WP_006874891.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930289|ref|WP_006874892.1|	MULTISPECIES: chemotaxis protein CheW [Clostridiales] 
gi|493930290|ref|WP_006874893.1|	chemotaxis protein CheR [Anaerotruncus colihominis] 
gi|493930291|ref|WP_006874894.1|	chemotaxis protein [Anaerotruncus colihominis] 
gi|493930292|ref|WP_006874895.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930294|ref|WP_006874896.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930295|ref|WP_006874897.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930296|ref|WP_006874898.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930297|ref|WP_006874899.1|	nitrate ABC transporter substrate-binding protein [Anaerotruncus colihominis] 
gi|493930298|ref|WP_006874900.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|493930299|ref|WP_006874901.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493930300|ref|WP_006874902.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930301|ref|WP_006874903.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930302|ref|WP_006874904.1|	MULTISPECIES: LacI family transcriptional regulator [Clostridiales] 
gi|493930303|ref|WP_006874905.1|	phosphonate ABC transporter substrate-binding protein [Anaerotruncus colihominis] 
gi|493930304|ref|WP_006874906.1|	phosphonate ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493930305|ref|WP_006874907.1|	MULTISPECIES: phosphonate ABC transporter permease [Clostridiales] 
gi|493930306|ref|WP_006874908.1|	phosphonate ABC transporter permease [Anaerotruncus colihominis] 
gi|493930307|ref|WP_006874909.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930308|ref|WP_006874910.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930309|ref|WP_006874911.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930310|ref|WP_006874912.1|	FAD-dependent oxidoreductase [Anaerotruncus colihominis] 
gi|493930311|ref|WP_006874913.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930312|ref|WP_006874914.1|	Fe-S oxidoreductase [Anaerotruncus colihominis] 
gi|493930313|ref|WP_006874915.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930314|ref|WP_006874916.1|	haloacid dehalogenase [Anaerotruncus colihominis] 
gi|493930315|ref|WP_006874917.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930316|ref|WP_006874918.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930317|ref|WP_006874919.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930318|ref|WP_006874920.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930319|ref|WP_006874921.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930320|ref|WP_006874922.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930321|ref|WP_006874923.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930322|ref|WP_006874924.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930323|ref|WP_006874925.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930324|ref|WP_006874926.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930325|ref|WP_006874927.1|	branched-chain amino acid ABC transporter permease [Anaerotruncus colihominis] 
gi|493930326|ref|WP_006874928.1|	ABC transporter permease [Anaerotruncus colihominis] 
gi|493930327|ref|WP_006874929.1|	heme ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493930328|ref|WP_006874930.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930329|ref|WP_006874931.1|	MULTISPECIES: cytidine deaminase [Clostridiales] 
gi|493930330|ref|WP_006874932.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930331|ref|WP_006874933.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930332|ref|WP_006874934.1|	(4Fe-4S)-binding protein [Anaerotruncus colihominis] 
gi|493930335|ref|WP_006874936.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930336|ref|WP_006874937.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930337|ref|WP_006874938.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930338|ref|WP_006874939.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930339|ref|WP_006874940.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930340|ref|WP_006874941.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930341|ref|WP_006874942.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930342|ref|WP_006874943.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930343|ref|WP_006874944.1|	MULTISPECIES: molecular chaperone GroEL [Clostridiales] 
gi|493930344|ref|WP_006874945.1|	co-chaperonin GroES [Anaerotruncus colihominis] 
gi|493930345|ref|WP_006874946.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930346|ref|WP_006874947.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930347|ref|WP_006874948.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930348|ref|WP_006874949.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930350|ref|WP_006874950.1|	MULTISPECIES: transporter [Clostridiales] 
gi|493930351|ref|WP_006874951.1|	Crp/Fnr family transcriptional regulator [Anaerotruncus colihominis] 
gi|493930352|ref|WP_006874952.1|	(Fe-S)-binding protein [Anaerotruncus colihominis] 
gi|493930353|ref|WP_006874953.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930354|ref|WP_006874954.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930355|ref|WP_006874955.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930356|ref|WP_006874956.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930358|ref|WP_006874957.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|493930359|ref|WP_006874958.1|	D-ribose transporter ATP binding protein [Anaerotruncus colihominis] 
gi|493930360|ref|WP_006874959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930361|ref|WP_006874960.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930362|ref|WP_006874961.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930363|ref|WP_006874962.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930364|ref|WP_006874963.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930365|ref|WP_006874964.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930366|ref|WP_006874965.1|	membrane protein [Anaerotruncus colihominis] 
gi|493930367|ref|WP_006874966.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930368|ref|WP_006874967.1|	ferritin [Anaerotruncus colihominis] 
gi|493930369|ref|WP_006874968.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930370|ref|WP_006874969.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|493930371|ref|WP_006874970.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930372|ref|WP_006874971.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930373|ref|WP_006874972.1|	membrane protein [Anaerotruncus colihominis] 
gi|493930374|ref|WP_006874973.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930375|ref|WP_006874974.1|	iron hydrogenase [Anaerotruncus colihominis] 
gi|493930376|ref|WP_006874975.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930377|ref|WP_006874976.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930378|ref|WP_006874977.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930379|ref|WP_006874978.1|	hydroxyethylthiazole kinase [Anaerotruncus colihominis] 
gi|493930380|ref|WP_006874979.1|	thiamine-phosphate synthase [Anaerotruncus colihominis] 
gi|493930381|ref|WP_006874980.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930382|ref|WP_006874981.1|	MULTISPECIES: phosphomethylpyrimidine kinase [Clostridiales] 
gi|493930383|ref|WP_006874982.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930384|ref|WP_006874983.1|	rubredoxin [Anaerotruncus colihominis] 
gi|493930385|ref|WP_006874984.1|	cation diffusion facilitator family transporter [Anaerotruncus colihominis] 
gi|493930386|ref|WP_006874985.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930387|ref|WP_006874986.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930388|ref|WP_006874987.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930389|ref|WP_006874988.1|	antibiotic ABC transporter permease [Anaerotruncus colihominis] 
gi|493930390|ref|WP_006874989.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930391|ref|WP_006874990.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930392|ref|WP_006874991.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930394|ref|WP_006874992.1|	MULTISPECIES: cytidylate kinase [Clostridiales] 
gi|493930395|ref|WP_006874993.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|493930396|ref|WP_006874994.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930397|ref|WP_006874995.1|	MULTISPECIES: GMP synthase [Clostridiales] 
gi|493930398|ref|WP_006874996.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930399|ref|WP_006874997.1|	MULTISPECIES: cobalt ABC transporter ATP-binding protein [Clostridiales] 
gi|493930400|ref|WP_006874998.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930401|ref|WP_006874999.1|	MULTISPECIES: cobalt ABC transporter [Clostridiales] 
gi|493930402|ref|WP_006875000.1|	cobalt transporter CbiM [Anaerotruncus colihominis] 
gi|493930403|ref|WP_006875001.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930405|ref|WP_006875002.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930406|ref|WP_006875003.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930407|ref|WP_006875004.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930408|ref|WP_006875005.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930409|ref|WP_006875006.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930410|ref|WP_006875007.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930411|ref|WP_006875008.1|	ATPase [Anaerotruncus colihominis] 
gi|493930412|ref|WP_006875009.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930413|ref|WP_006875010.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930414|ref|WP_006875011.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930415|ref|WP_006875012.1|	valyl-tRNA synthase [Anaerotruncus colihominis] 
gi|493930416|ref|WP_006875013.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493930417|ref|WP_006875014.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930418|ref|WP_006875015.1|	phosphoglycerate mutase [Anaerotruncus colihominis] 
gi|493930419|ref|WP_006875016.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930420|ref|WP_006875017.1|	glutamyl-tRNA synthetase [Anaerotruncus colihominis] 
gi|493930421|ref|WP_006875018.1|	glutaminyl-tRNA synthetase [Anaerotruncus colihominis] 
gi|493930422|ref|WP_006875019.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930423|ref|WP_006875020.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930424|ref|WP_006875021.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930425|ref|WP_006875022.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930426|ref|WP_006875023.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930428|ref|WP_006875025.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930427|ref|WP_006875024.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930430|ref|WP_006875027.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930429|ref|WP_006875026.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930431|ref|WP_006875028.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930433|ref|WP_006875030.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930432|ref|WP_006875029.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930434|ref|WP_006875031.1|	asparagine synthase [Anaerotruncus colihominis] 
gi|493930435|ref|WP_006875032.1|	glutamine synthetase [Anaerotruncus colihominis] 
gi|493930436|ref|WP_006875033.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930437|ref|WP_006875034.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930438|ref|WP_006875035.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930439|ref|WP_006875036.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930440|ref|WP_006875037.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930442|ref|WP_006875039.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930441|ref|WP_006875038.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930443|ref|WP_006875040.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930444|ref|WP_006875041.1|	ATPase [Anaerotruncus colihominis] 
gi|493930445|ref|WP_006875042.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930446|ref|WP_006875043.1|	MULTISPECIES: glycosyltransferase [Clostridiales] 
gi|493930448|ref|WP_006875045.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930447|ref|WP_006875044.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930449|ref|WP_006875046.1|	MULTISPECIES: 5'-nucleotidase [Clostridiales] 
gi|493930450|ref|WP_006875047.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930451|ref|WP_006875048.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930452|ref|WP_006875049.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930453|ref|WP_006875050.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930455|ref|WP_006875052.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930454|ref|WP_006875051.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930456|ref|WP_006875053.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930457|ref|WP_006875054.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930458|ref|WP_006875055.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930459|ref|WP_006875056.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930460|ref|WP_006875057.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930461|ref|WP_006875058.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930462|ref|WP_006875059.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930463|ref|WP_006875060.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930464|ref|WP_006875061.1|	MULTISPECIES: phage portal protein [Clostridiales] 
gi|493930465|ref|WP_006875062.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930466|ref|WP_006875063.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930467|ref|WP_006875064.1|	hydrolase [Anaerotruncus colihominis] 
gi|493930468|ref|WP_006875065.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930469|ref|WP_006875066.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930470|ref|WP_006875067.1|	phage tail protein [Anaerotruncus colihominis] 
gi|493930471|ref|WP_006875068.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930472|ref|WP_006875069.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930473|ref|WP_006875070.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930474|ref|WP_006875071.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930475|ref|WP_006875072.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930476|ref|WP_006875073.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930477|ref|WP_006875074.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930478|ref|WP_006875075.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930479|ref|WP_006875076.1|	MULTISPECIES: MarR family transcriptional regulator [Clostridiales] 
gi|493930480|ref|WP_006875077.1|	multidrug transporter MatE [Anaerotruncus colihominis] 
gi|493930481|ref|WP_006875078.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930482|ref|WP_006875079.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930483|ref|WP_006875080.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493930484|ref|WP_006875081.1|	NAD-dependent DNA ligase LigA [Anaerotruncus colihominis] 
gi|493930485|ref|WP_006875082.1|	DNA polymerase IV [Anaerotruncus colihominis] 
gi|493930486|ref|WP_006875083.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930488|ref|WP_006875084.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930489|ref|WP_006875085.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930490|ref|WP_006875086.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930491|ref|WP_006875087.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930492|ref|WP_006875088.1|	amidohydrolase [Anaerotruncus colihominis] 
gi|493930493|ref|WP_006875089.1|	fumarate hydratase [Anaerotruncus colihominis] 
gi|493930494|ref|WP_006875090.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930495|ref|WP_006875091.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930496|ref|WP_006875092.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930497|ref|WP_006875093.1|	transposase [Anaerotruncus colihominis] 
gi|493930498|ref|WP_006875094.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930499|ref|WP_006875095.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930500|ref|WP_006875096.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930501|ref|WP_006875097.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930502|ref|WP_006875098.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930503|ref|WP_006875099.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930504|ref|WP_006875100.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930505|ref|WP_006875101.1|	plasmid stabilization protein [Anaerotruncus colihominis] 
gi|493930506|ref|WP_006875102.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930507|ref|WP_006875103.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930508|ref|WP_006875104.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493930509|ref|WP_006875105.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930510|ref|WP_006875106.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930511|ref|WP_006875107.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930512|ref|WP_006875108.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930513|ref|WP_006875109.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930514|ref|WP_006875110.1|	XRE family transcriptional regulator [Anaerotruncus colihominis] 
gi|493930515|ref|WP_006875111.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930516|ref|WP_006875112.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930517|ref|WP_006875113.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930518|ref|WP_006875114.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930519|ref|WP_006875115.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930520|ref|WP_006875116.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930521|ref|WP_006875117.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930522|ref|WP_006875118.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930523|ref|WP_006875119.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930524|ref|WP_006875120.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930525|ref|WP_006875121.1|	hypothetical protein [Anaerotruncus colihominis] 
