gi|495390983|ref|WP_008115684.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495393826|ref|WP_008118526.1|	DNA methylase [[Bacteroides] pectinophilus] 
gi|495393828|ref|WP_008118528.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393830|ref|WP_008118530.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393832|ref|WP_008118532.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393835|ref|WP_008118535.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393836|ref|WP_008118536.1|	XRE family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495393839|ref|WP_008118539.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393841|ref|WP_008118541.1|	DNA-binding protein [[Bacteroides] pectinophilus] 
gi|495393843|ref|WP_008118543.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393845|ref|WP_008118545.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393846|ref|WP_008118546.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|493914106|ref|WP_006859435.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495393849|ref|WP_008118549.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393851|ref|WP_008118551.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393853|ref|WP_008118553.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393854|ref|WP_008118554.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393856|ref|WP_008118556.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393858|ref|WP_008118558.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393860|ref|WP_008118560.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495393862|ref|WP_008118562.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393864|ref|WP_008118564.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488665856|ref|WP_002594699.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495393866|ref|WP_008118566.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393868|ref|WP_008118568.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393870|ref|WP_008118570.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495393872|ref|WP_008118572.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393874|ref|WP_008118574.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393876|ref|WP_008118576.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393879|ref|WP_008118579.1|	helicase [[Bacteroides] pectinophilus] 
gi|495393880|ref|WP_008118580.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393884|ref|WP_008118584.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393886|ref|WP_008118586.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393889|ref|WP_008118589.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393891|ref|WP_008118591.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393893|ref|WP_008118593.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393894|ref|WP_008118594.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393896|ref|WP_008118596.1|	transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495393898|ref|WP_008118598.1|	DNA repair protein [[Bacteroides] pectinophilus] 
gi|495393900|ref|WP_008118600.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393901|ref|WP_008118601.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393903|ref|WP_008118603.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393905|ref|WP_008118605.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393907|ref|WP_008118607.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393909|ref|WP_008118609.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393911|ref|WP_008118611.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393912|ref|WP_008118612.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393914|ref|WP_008118614.1|	XRE family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495393916|ref|WP_008118616.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393918|ref|WP_008118618.1|	transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495393920|ref|WP_008118620.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|493913893|ref|WP_006859228.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493913892|ref|WP_006859227.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495393925|ref|WP_008118625.1|	integrase [[Bacteroides] pectinophilus] 
gi|495393928|ref|WP_008118628.1|	MULTISPECIES: methionyl-tRNA synthetase [Bacteria] 
gi|495393929|ref|WP_008118629.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393932|ref|WP_008118632.1|	lantibiotic ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|490991665|ref|WP_004853398.1|	MULTISPECIES: bacteriocin ABC transporter permease [Clostridiales] 
gi|495393941|ref|WP_008118641.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393944|ref|WP_008118644.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393946|ref|WP_008118646.1|	multidrug ABC transporter [[Bacteroides] pectinophilus] 
gi|495393948|ref|WP_008118648.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393950|ref|WP_008118650.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393951|ref|WP_008118651.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393953|ref|WP_008118653.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393956|ref|WP_008118656.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393958|ref|WP_008118658.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393961|ref|WP_008118661.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393963|ref|WP_008118663.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393965|ref|WP_008118665.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393967|ref|WP_008118667.1|	abortive phage infection protein [[Bacteroides] pectinophilus] 
gi|495393969|ref|WP_008118669.1|	abortive phage infection protein [[Bacteroides] pectinophilus] 
gi|495393972|ref|WP_008118672.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393973|ref|WP_008118673.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393974|ref|WP_008118674.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393975|ref|WP_008118675.1|	MULTISPECIES: FAD-dependent oxidoreductase [Bacteria] 
gi|495393976|ref|WP_008118676.1|	MULTISPECIES: XRE family transcriptional regulator [Bacteria] 
gi|495393977|ref|WP_008118677.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393978|ref|WP_008118678.1|	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Bacteria] 
gi|495393979|ref|WP_008118679.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393980|ref|WP_008118680.1|	ATPase [[Bacteroides] pectinophilus] 
gi|495393981|ref|WP_008118681.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [[Bacteroides] pectinophilus] 
gi|495393982|ref|WP_008118682.1|	MULTISPECIES: amidophosphoribosyltransferase [Bacteria] 
gi|495393983|ref|WP_008118683.1|	heme ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495393984|ref|WP_008118684.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393985|ref|WP_008118685.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393986|ref|WP_008118686.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393987|ref|WP_008118687.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393990|ref|WP_008118690.1|	mannonate dehydratase [[Bacteroides] pectinophilus] 
gi|495393992|ref|WP_008118692.1|	dioxygenase [[Bacteroides] pectinophilus] 
gi|495393994|ref|WP_008118694.1|	esterase [[Bacteroides] pectinophilus] 
gi|495393996|ref|WP_008118696.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495393997|ref|WP_008118697.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393999|ref|WP_008118699.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394001|ref|WP_008118701.1|	amino acid ABC transporter substrate-binding protein [[Bacteroides] pectinophilus] 
gi|495394002|ref|WP_008118702.1|	amino acid ABC transporter substrate-binding protein [[Bacteroides] pectinophilus] 
gi|495394004|ref|WP_008118704.1|	MULTISPECIES: ABC transporter [Bacteria] 
gi|495394006|ref|WP_008118706.1|	cytidylate kinase [[Bacteroides] pectinophilus] 
gi|495394009|ref|WP_008118709.1|	CRISPR-associated protein Cas6 [[Bacteroides] pectinophilus] 
gi|495394011|ref|WP_008118711.1|	CRISPR-associated protein Cst1 [[Bacteroides] pectinophilus] 
gi|495394012|ref|WP_008118712.1|	CRISPR-associated protein [[Bacteroides] pectinophilus] 
gi|495394014|ref|WP_008118714.1|	CRISPR-associated protein Cas5 [[Bacteroides] pectinophilus] 
gi|495394015|ref|WP_008118715.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394016|ref|WP_008118716.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394017|ref|WP_008118717.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394018|ref|WP_008118718.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394019|ref|WP_008118719.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394020|ref|WP_008118720.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394021|ref|WP_008118721.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394022|ref|WP_008118722.1|	transposase [[Bacteroides] pectinophilus] 
gi|495394024|ref|WP_008118724.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394025|ref|WP_008118725.1|	transposase [[Bacteroides] pectinophilus] 
gi|495394028|ref|WP_008118728.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394030|ref|WP_008118730.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394032|ref|WP_008118732.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394034|ref|WP_008118734.1|	transporter [[Bacteroides] pectinophilus] 
gi|495394036|ref|WP_008118736.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394038|ref|WP_008118738.1|	membrane protein [[Bacteroides] pectinophilus] 
gi|495394039|ref|WP_008118739.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394041|ref|WP_008118741.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495394043|ref|WP_008118743.1|	2-nitropropane dioxygenase [[Bacteroides] pectinophilus] 
gi|495394045|ref|WP_008118745.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394047|ref|WP_008118747.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394048|ref|WP_008118748.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394050|ref|WP_008118750.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394051|ref|WP_008118751.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394053|ref|WP_008118753.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394054|ref|WP_008118754.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495394055|ref|WP_008118755.1|	MULTISPECIES: glutamate synthase [Bacteria] 
gi|495394057|ref|WP_008118757.1|	hydrogenase [[Bacteroides] pectinophilus] 
gi|495394059|ref|WP_008118759.1|	MULTISPECIES: histidyl-tRNA synthetase [Bacteria] 
gi|495394061|ref|WP_008118761.1|	MULTISPECIES: ABC transporter substrate-binding protein [Bacteria] 
gi|495394062|ref|WP_008118762.1|	MULTISPECIES: ABC transporter permease [Bacteria] 
gi|495394065|ref|WP_008118765.1|	ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495394066|ref|WP_008118766.1|	MULTISPECIES: 30S ribosomal protein S12 [Bacteria] 
gi|495394068|ref|WP_008118768.1|	30S ribosomal protein S7 [[Bacteroides] pectinophilus] 
gi|495394070|ref|WP_008118770.1|	MULTISPECIES: elongation factor P [Bacteria] 
gi|495394072|ref|WP_008118772.1|	MULTISPECIES: elongation factor Tu [Bacteria] 
gi|495394074|ref|WP_008118774.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394077|ref|WP_008118777.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394079|ref|WP_008118779.1|	ABC transporter [[Bacteroides] pectinophilus] 
gi|495394081|ref|WP_008118781.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394083|ref|WP_008118783.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394085|ref|WP_008118785.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394086|ref|WP_008118786.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394088|ref|WP_008118788.1|	multidrug transporter MatE [[Bacteroides] pectinophilus] 
gi|495394090|ref|WP_008118790.1|	RND transporter [[Bacteroides] pectinophilus] 
gi|495394091|ref|WP_008118791.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394093|ref|WP_008118793.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394095|ref|WP_008118795.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394096|ref|WP_008118796.1|	adenine permease [[Bacteroides] pectinophilus] 
gi|495394098|ref|WP_008118798.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394100|ref|WP_008118800.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394102|ref|WP_008118802.1|	membrane protein [[Bacteroides] pectinophilus] 
gi|495394104|ref|WP_008118804.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394106|ref|WP_008118806.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394108|ref|WP_008118808.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394109|ref|WP_008118809.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394111|ref|WP_008118811.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394113|ref|WP_008118813.1|	MULTISPECIES: phosphoenolpyruvate carboxykinase [Bacteria] 
gi|495394114|ref|WP_008118814.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394116|ref|WP_008118816.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394118|ref|WP_008118818.1|	multidrug transporter MatE [[Bacteroides] pectinophilus] 
gi|495394120|ref|WP_008118820.1|	multidrug transporter MatE [[Bacteroides] pectinophilus] 
gi|495394122|ref|WP_008118822.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394125|ref|WP_008118825.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394126|ref|WP_008118826.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394128|ref|WP_008118828.1|	MULTISPECIES: nicotinate phosphoribosyltransferase [Bacteria] 
gi|495394130|ref|WP_008118830.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394133|ref|WP_008118833.1|	threonyl-tRNA synthase [[Bacteroides] pectinophilus] 
gi|495394135|ref|WP_008118835.1|	MULTISPECIES: uracil permease [Bacteria] 
gi|495394137|ref|WP_008118837.1|	xanthine phosphoribosyltransferase [[Bacteroides] pectinophilus] 
gi|495394139|ref|WP_008118839.1|	GTP-binding protein [[Bacteroides] pectinophilus] 
gi|495394141|ref|WP_008118841.1|	single-stranded DNA-binding protein [[Bacteroides] pectinophilus] 
gi|495394143|ref|WP_008118843.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394146|ref|WP_008118846.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394147|ref|WP_008118847.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394150|ref|WP_008118850.1|	dihydrodipicolinate synthase [[Bacteroides] pectinophilus] 
gi|495394152|ref|WP_008118852.1|	MULTISPECIES: dihydrodipicolinate reductase [Bacteria] 
gi|495394154|ref|WP_008118854.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394156|ref|WP_008118856.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394158|ref|WP_008118858.1|	MULTISPECIES: adenylate cyclase [Bacteria] 
gi|495394160|ref|WP_008118860.1|	MULTISPECIES: DNA-binding protein [Bacteria] 
gi|495394162|ref|WP_008118862.1|	ABC transporter [[Bacteroides] pectinophilus] 
gi|495394163|ref|WP_008118863.1|	MULTISPECIES: multidrug transporter MatE [Bacteria] 
gi|495394165|ref|WP_008118865.1|	MULTISPECIES: RNA helicase [Bacteria] 
gi|495394167|ref|WP_008118867.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495394169|ref|WP_008118869.1|	hemolysin [[Bacteroides] pectinophilus] 
gi|495394171|ref|WP_008118871.1|	MULTISPECIES: adenylosuccinate synthetase [Bacteria] 
gi|495394173|ref|WP_008118873.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394174|ref|WP_008118874.1|	AMP-dependent synthetase [[Bacteroides] pectinophilus] 
gi|495394176|ref|WP_008118876.1|	MULTISPECIES: diaminopimelate decarboxylase [Bacteria] 
gi|495394178|ref|WP_008118878.1|	acyl carrier protein [[Bacteroides] pectinophilus] 
gi|495394180|ref|WP_008118880.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394182|ref|WP_008118882.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394184|ref|WP_008118884.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394186|ref|WP_008118886.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394188|ref|WP_008118888.1|	chitooligosaccharide deacetylase [[Bacteroides] pectinophilus] 
gi|495394190|ref|WP_008118890.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394193|ref|WP_008118893.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495394194|ref|WP_008118894.1|	zinc ABC transporter ATPase [[Bacteroides] pectinophilus] 
gi|495394196|ref|WP_008118896.1|	MULTISPECIES: ArsR family transcriptional regulator [Bacteria] 
gi|495394197|ref|WP_008118897.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394198|ref|WP_008118898.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394199|ref|WP_008118899.1|	MULTISPECIES: glutamine synthetase [Bacteria] 
gi|495394200|ref|WP_008118900.1|	MULTISPECIES: transcription antitermination regulator [Bacteria] 
gi|495394201|ref|WP_008118901.1|	diaminopimelate epimerase [[Bacteroides] pectinophilus] 
gi|495394202|ref|WP_008118902.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394203|ref|WP_008118903.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394204|ref|WP_008118904.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495394205|ref|WP_008118905.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394207|ref|WP_008118907.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Bacteria] 
gi|495394209|ref|WP_008118909.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394211|ref|WP_008118911.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394213|ref|WP_008118913.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394214|ref|WP_008118914.1|	arginyl-tRNA synthetase [[Bacteroides] pectinophilus] 
gi|495394217|ref|WP_008118917.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394219|ref|WP_008118919.1|	PhoB family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495394221|ref|WP_008118921.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394223|ref|WP_008118923.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394225|ref|WP_008118925.1|	glycosyl transferase [[Bacteroides] pectinophilus] 
gi|495394227|ref|WP_008118927.1|	MULTISPECIES: 2-deoxy-D-gluconate 3-dehydrogenase [Bacteria] 
gi|495394229|ref|WP_008118929.1|	phosphoesterase [[Bacteroides] pectinophilus] 
gi|495394231|ref|WP_008118931.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394232|ref|WP_008118932.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394233|ref|WP_008118933.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394234|ref|WP_008118934.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394235|ref|WP_008118935.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394236|ref|WP_008118936.1|	MULTISPECIES: metallo-beta-lactamase [Bacteria] 
gi|495394237|ref|WP_008118937.1|	MULTISPECIES: diacylglycerol kinase [Bacteria] 
gi|495394238|ref|WP_008118938.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394239|ref|WP_008118939.1|	MULTISPECIES: glutamate synthase [Bacteria] 
gi|495394241|ref|WP_008118941.1|	MULTISPECIES: glutamate synthase subunit beta [Bacteria] 
gi|495394242|ref|WP_008118942.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394244|ref|WP_008118944.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394246|ref|WP_008118946.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394248|ref|WP_008118948.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394250|ref|WP_008118950.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394252|ref|WP_008118952.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394254|ref|WP_008118954.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394256|ref|WP_008118956.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394258|ref|WP_008118958.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394260|ref|WP_008118960.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394262|ref|WP_008118962.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394264|ref|WP_008118964.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394266|ref|WP_008118966.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394268|ref|WP_008118968.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394270|ref|WP_008118970.1|	ABC transporter [[Bacteroides] pectinophilus] 
gi|495394272|ref|WP_008118972.1|	histidine kinase [[Bacteroides] pectinophilus] 
gi|495394274|ref|WP_008118974.1|	membrane protein [[Bacteroides] pectinophilus] 
gi|495394276|ref|WP_008118976.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394277|ref|WP_008118977.1|	cell wall anchor protein [[Bacteroides] pectinophilus] 
gi|495394278|ref|WP_008118978.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394279|ref|WP_008118979.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394280|ref|WP_008118980.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394281|ref|WP_008118981.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495394282|ref|WP_008118982.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394283|ref|WP_008118983.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394285|ref|WP_008118985.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394288|ref|WP_008118988.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394290|ref|WP_008118990.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394292|ref|WP_008118992.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394294|ref|WP_008118994.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394296|ref|WP_008118996.1|	transposase [[Bacteroides] pectinophilus] 
gi|495394298|ref|WP_008118998.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394301|ref|WP_008119001.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394303|ref|WP_008119003.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394304|ref|WP_008119004.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394306|ref|WP_008119006.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394308|ref|WP_008119008.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394311|ref|WP_008119011.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|490981761|ref|WP_004843519.1|	MULTISPECIES: MerR family transcripitonal regulator [Clostridiales] 
gi|495394330|ref|WP_008119030.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394332|ref|WP_008119032.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491802759|ref|WP_005608349.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|491802757|ref|WP_005608347.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491802756|ref|WP_005608346.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981767|ref|WP_004843525.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495394340|ref|WP_008119040.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394342|ref|WP_008119042.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394344|ref|WP_008119044.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394345|ref|WP_008119045.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|490981770|ref|WP_004843528.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495394350|ref|WP_008119050.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394352|ref|WP_008119052.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394354|ref|WP_008119054.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394356|ref|WP_008119056.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495394359|ref|WP_008119059.1|	MULTISPECIES: FMN reductase [Clostridiales] 
gi|495394361|ref|WP_008119061.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495394363|ref|WP_008119063.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394365|ref|WP_008119065.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394367|ref|WP_008119067.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394369|ref|WP_008119069.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394372|ref|WP_008119072.1|	D-tyrosyl-tRNA(Tyr) deacylase [[Bacteroides] pectinophilus] 
gi|495394374|ref|WP_008119074.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394376|ref|WP_008119076.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394378|ref|WP_008119078.1|	aminotransferase class I/II [[Bacteroides] pectinophilus] 
gi|495394380|ref|WP_008119080.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394382|ref|WP_008119082.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394384|ref|WP_008119084.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394386|ref|WP_008119086.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495394388|ref|WP_008119088.1|	MULTISPECIES: succinylglutamate desuccinylase [Bacteria] 
gi|495394390|ref|WP_008119090.1|	succinylglutamate desuccinylase [[Bacteroides] pectinophilus] 
